dataset,step,label,count,proportion
BCCC17,homogenize_columns,Benign,1786239,0.7326500829350645
BCCC17,homogenize_columns,DoS_Hulk,349240,0.1432455091195758
BCCC17,homogenize_columns,Port_Scan,161323,0.06616881018124306
BCCC17,homogenize_columns,DDoS_LOIT,95733,0.03926618464249327
BCCC17,homogenize_columns,FTP-Patator,9531,0.003909268547184391
BCCC17,homogenize_columns,DoS_GoldenEye,8364,0.0034306077146836903
BCCC17,homogenize_columns,DoS_Slowhttptest,6860,0.0028137217745970965
BCCC17,homogenize_columns,SSH-Patator,5949,0.002440062804238794
BCCC17,homogenize_columns,Botnet_ARES,5508,0.002259180690157552
BCCC17,homogenize_columns,DoS_Slowloris,5177,0.0021234165637156223
BCCC17,homogenize_columns,Web_Brute_Force,2734,0.001121387074598901
BCCC17,homogenize_columns,Web_XSS,1358,0.0005570020655835069
BCCC17,homogenize_columns,Web_SQL_Injection,24,9.843924575849899e-06
BCCC17,homogenize_columns,Heartbleed,12,4.9219622879249495e-06
BCCC17,remove_manual_columns,Benign,1786239,0.7326500829350645
BCCC17,remove_manual_columns,DoS_Hulk,349240,0.1432455091195758
BCCC17,remove_manual_columns,Port_Scan,161323,0.06616881018124306
BCCC17,remove_manual_columns,DDoS_LOIT,95733,0.03926618464249327
BCCC17,remove_manual_columns,FTP-Patator,9531,0.003909268547184391
BCCC17,remove_manual_columns,DoS_GoldenEye,8364,0.0034306077146836903
BCCC17,remove_manual_columns,DoS_Slowhttptest,6860,0.0028137217745970965
BCCC17,remove_manual_columns,SSH-Patator,5949,0.002440062804238794
BCCC17,remove_manual_columns,Botnet_ARES,5508,0.002259180690157552
BCCC17,remove_manual_columns,DoS_Slowloris,5177,0.0021234165637156223
BCCC17,remove_manual_columns,Web_Brute_Force,2734,0.001121387074598901
BCCC17,remove_manual_columns,Web_XSS,1358,0.0005570020655835069
BCCC17,remove_manual_columns,Web_SQL_Injection,24,9.843924575849899e-06
BCCC17,remove_manual_columns,Heartbleed,12,4.9219622879249495e-06
BCCC17,remove_infinite_and_empty_values,Benign,1786239,0.7326500829350645
BCCC17,remove_infinite_and_empty_values,DoS_Hulk,349240,0.1432455091195758
BCCC17,remove_infinite_and_empty_values,Port_Scan,161323,0.06616881018124306
BCCC17,remove_infinite_and_empty_values,DDoS_LOIT,95733,0.03926618464249327
BCCC17,remove_infinite_and_empty_values,FTP-Patator,9531,0.003909268547184391
BCCC17,remove_infinite_and_empty_values,DoS_GoldenEye,8364,0.0034306077146836903
BCCC17,remove_infinite_and_empty_values,DoS_Slowhttptest,6860,0.0028137217745970965
BCCC17,remove_infinite_and_empty_values,SSH-Patator,5949,0.002440062804238794
BCCC17,remove_infinite_and_empty_values,Botnet_ARES,5508,0.002259180690157552
BCCC17,remove_infinite_and_empty_values,DoS_Slowloris,5177,0.0021234165637156223
BCCC17,remove_infinite_and_empty_values,Web_Brute_Force,2734,0.001121387074598901
BCCC17,remove_infinite_and_empty_values,Web_XSS,1358,0.0005570020655835069
BCCC17,remove_infinite_and_empty_values,Web_SQL_Injection,24,9.843924575849899e-06
BCCC17,remove_infinite_and_empty_values,Heartbleed,12,4.9219622879249495e-06
BCCC17,remove_duplicate_rows,Benign,1715048,0.7255780029521526
BCCC17,remove_duplicate_rows,DoS_Hulk,346143,0.14644123469189604
BCCC17,remove_duplicate_rows,Port_Scan,161323,0.06825022983044796
BCCC17,remove_duplicate_rows,DDoS_LOIT,95729,0.04049965752830627
BCCC17,remove_duplicate_rows,FTP-Patator,9531,0.004032239299504717
BCCC17,remove_duplicate_rows,DoS_GoldenEye,8364,0.003538521613792619
BCCC17,remove_duplicate_rows,DoS_Slowhttptest,6856,0.0029005385203445954
BCCC17,remove_duplicate_rows,SSH-Patator,5949,0.002516817919709743
BCCC17,remove_duplicate_rows,Botnet_ARES,5508,0.0023302459407902616
BCCC17,remove_duplicate_rows,DoS_Slowloris,5122,0.0021669425760217353
BCCC17,remove_duplicate_rows,Web_Brute_Force,2733,0.001156238590446584
BCCC17,remove_duplicate_rows,Web_XSS,1357,0.0005741001709608541
BCCC17,remove_duplicate_rows,Web_SQL_Injection,24,1.0153577084053427e-05
BCCC17,remove_duplicate_rows,Heartbleed,12,5.076788542026713e-06
BCCC17,handle_null_values_by_class,Benign,1715048,0.7255780029521526
BCCC17,handle_null_values_by_class,DoS_Hulk,346143,0.14644123469189604
BCCC17,handle_null_values_by_class,Port_Scan,161323,0.06825022983044796
BCCC17,handle_null_values_by_class,DDoS_LOIT,95729,0.04049965752830627
BCCC17,handle_null_values_by_class,FTP-Patator,9531,0.004032239299504717
BCCC17,handle_null_values_by_class,DoS_GoldenEye,8364,0.003538521613792619
BCCC17,handle_null_values_by_class,DoS_Slowhttptest,6856,0.0029005385203445954
BCCC17,handle_null_values_by_class,SSH-Patator,5949,0.002516817919709743
BCCC17,handle_null_values_by_class,Botnet_ARES,5508,0.0023302459407902616
BCCC17,handle_null_values_by_class,DoS_Slowloris,5122,0.0021669425760217353
BCCC17,handle_null_values_by_class,Web_Brute_Force,2733,0.001156238590446584
BCCC17,handle_null_values_by_class,Web_XSS,1357,0.0005741001709608541
BCCC17,handle_null_values_by_class,Web_SQL_Injection,24,1.0153577084053427e-05
BCCC17,handle_null_values_by_class,Heartbleed,12,5.076788542026713e-06
BCCC17,remove_constant_columns,Benign,1715048,0.7255780029521526
BCCC17,remove_constant_columns,DoS_Hulk,346143,0.14644123469189604
BCCC17,remove_constant_columns,Port_Scan,161323,0.06825022983044796
BCCC17,remove_constant_columns,DDoS_LOIT,95729,0.04049965752830627
BCCC17,remove_constant_columns,FTP-Patator,9531,0.004032239299504717
BCCC17,remove_constant_columns,DoS_GoldenEye,8364,0.003538521613792619
BCCC17,remove_constant_columns,DoS_Slowhttptest,6856,0.0029005385203445954
