dataset,experiment,component,explained_variance_ratio,cumulative_variance
BCCC17,A1__RobustScaler,1,0.887687724984747,0.887687724984747
BCCC17,A1__RobustScaler,2,0.0673028500440541,0.9549905750288011
BCCC17,A1__RobustScaler,3,0.03813047064624717,0.9931210456750483
BCCC17,A1__RobustScaler,4,0.006877742811859297,0.9999987884869076
BCCC17,A1__RobustScaler,5,1.172741321509886e-06,0.9999999612282291
BCCC17,A1__RobustScaler,6,1.887169585489662e-08,0.999999980099925
BCCC17,A1__RobustScaler,7,1.395619278021851e-08,0.9999999940561177
BCCC17,A1__RobustScaler,8,1.6277144282117419e-09,0.9999999956838321
BCCC17,A1__RobustScaler,9,1.5710886100968848e-09,0.9999999972549207
BCCC17,A1__RobustScaler,10,1.382198966669932e-09,0.9999999986371197
BCCC17,A1__RobustScaler,11,5.725706115006424e-10,0.9999999992096904
BCCC17,A1__RobustScaler,12,3.1406230077001386e-10,0.9999999995237527
BCCC17,A1__RobustScaler,13,2.924338788377967e-10,0.9999999998161866
BCCC17,A1__RobustScaler,14,7.98451648810847e-11,0.9999999998960317
BCCC17,A1__RobustScaler,15,5.7950370558466665e-11,0.9999999999539821
BCCC17,A1__RobustScaler,16,2.8670684023136093e-11,0.9999999999826529
BCCC17,A1__RobustScaler,17,1.4582851805410593e-11,0.9999999999972358
BCCC17,A1__RobustScaler,18,1.2659007699805684e-12,0.9999999999985016
BCCC17,A1__RobustScaler,19,4.5267862434464224e-13,0.9999999999989543
BCCC17,A1__RobustScaler,20,3.6787314098907834e-13,0.9999999999993222
BCCC17,A1__RobustScaler,21,2.1425258584107944e-13,0.9999999999995365
BCCC17,A1__RobustScaler,22,1.8508940447917454e-13,0.9999999999997216
BCCC17,A1__RobustScaler,23,1.7343287940085354e-13,0.999999999999895
BCCC17,A1__RobustScaler,24,4.241548997959987e-14,0.9999999999999374
BCCC17,A1__RobustScaler,25,2.1271460970701658e-14,0.9999999999999587
BCCC17,A1__RobustScaler,26,1.777295003475907e-14,0.9999999999999765
BCCC17,A1__RobustScaler,27,8.07633878322825e-15,0.9999999999999846
BCCC17,A1__RobustScaler,28,4.0387563533554286e-15,0.9999999999999886
BCCC17,A1__RobustScaler,29,3.827741004052528e-15,0.9999999999999923
BCCC17,A1__RobustScaler,30,2.4270761651919996e-15,0.9999999999999948
BCCC17,A1__RobustScaler,31,9.941311583341942e-16,0.9999999999999958
BCCC17,A1__RobustScaler,32,9.349636500951558e-16,0.9999999999999967
BCCC17,A1__RobustScaler,33,7.115738151274806e-16,0.9999999999999973
BCCC17,A1__RobustScaler,34,4.990712906179069e-16,0.9999999999999978
BCCC17,A1__RobustScaler,35,4.589923750602087e-16,0.9999999999999982
BCCC17,A1__RobustScaler,36,4.4361487179247774e-16,0.9999999999999987
BCCC17,A1__RobustScaler,37,3.986363217287963e-16,0.9999999999999991
BCCC17,A1__RobustScaler,38,1.8248279233825534e-16,0.9999999999999993
BCCC17,A1__RobustScaler,39,1.8041566609332278e-16,0.9999999999999996
BCCC17,A1__RobustScaler,40,1.264334201022844e-16,0.9999999999999997
BCCC17,A1__RobustScaler,41,1.1895583844342144e-16,0.9999999999999998
BCCC17,A1__RobustScaler,42,9.53457331275365e-17,0.9999999999999999
BCCC17,A1__RobustScaler,43,8.718602807837502e-17,1.0
BCCC17,A1__RobustScaler,44,5.83256763420799e-17,1.0
BCCC17,A1__RobustScaler,45,5.409914285711926e-17,1.0
BCCC17,A1__RobustScaler,46,4.62081164470509e-17,1.0
BCCC17,A1__RobustScaler,47,3.918922082567373e-17,1.0
BCCC17,A1__RobustScaler,48,3.8536659242878245e-17,1.0
BCCC17,A1__RobustScaler,49,3.301590338545932e-17,1.0
BCCC17,A1__RobustScaler,50,2.6515426981836765e-17,1.0
BCCC17,A1__RobustScaler,51,1.3094687888641068e-17,1.0
BCCC17,A1__RobustScaler,52,8.990522547092981e-18,1.0
BCCC17,A1__RobustScaler,53,5.311529581393742e-18,1.0
BCCC17,A1__RobustScaler,54,9.214416524558648e-19,1.0
BCCC17,A1__RobustScaler,55,5.5091598181617795e-19,1.0
BCCC17,A1__RobustScaler,56,4.23880993827925e-19,1.0
BCCC17,A1__RobustScaler,57,2.5138499875419144e-19,1.0
BCCC17,A1__RobustScaler,58,1.410143788493032e-20,1.0
BCCC17,A1__RobustScaler,59,9.731786622364662e-30,1.0
BCCC17,A1__RobustScaler,60,3.4044166253868146e-31,1.0
BCCC17,A1__RobustScaler,61,0.0,1.0
BCCC17,A1__RobustScaler,62,0.0,1.0
BCCC17,A1__RobustScaler,63,0.0,1.0
