dataset,experiment,component,explained_variance_ratio,cumulative_variance
BCCC17,A1__StandardScaler,1,0.19996044751406947,0.19996044751406947
BCCC17,A1__StandardScaler,2,0.06929908471759035,0.2692595322316598
BCCC17,A1__StandardScaler,3,0.057781214338193054,0.3270407465698529
BCCC17,A1__StandardScaler,4,0.048042055911997304,0.37508280248185016
BCCC17,A1__StandardScaler,5,0.04573688920427747,0.42081969168612765
BCCC17,A1__StandardScaler,6,0.044362626527302426,0.4651823182134301
BCCC17,A1__StandardScaler,7,0.04011056185745764,0.5052928800708877
BCCC17,A1__StandardScaler,8,0.035178781141724534,0.5404716612126123
BCCC17,A1__StandardScaler,9,0.03334928288085735,0.5738209440934696
BCCC17,A1__StandardScaler,10,0.03145145357512412,0.6052723976685938
BCCC17,A1__StandardScaler,11,0.028287618081342437,0.6335600157499361
BCCC17,A1__StandardScaler,12,0.02571067297835512,0.6592706887282913
BCCC17,A1__StandardScaler,13,0.024552987846724342,0.6838236765750156
BCCC17,A1__StandardScaler,14,0.022321686500654362,0.70614536307567
BCCC17,A1__StandardScaler,15,0.020482285525948152,0.7266276486016181
BCCC17,A1__StandardScaler,16,0.018431597286842613,0.7450592458884607
BCCC17,A1__StandardScaler,17,0.018336710984571153,0.7633959568730319
BCCC17,A1__StandardScaler,18,0.01669093606899468,0.7800868929420265
BCCC17,A1__StandardScaler,19,0.01533651222729699,0.7954234051693235
BCCC17,A1__StandardScaler,20,0.014733003988949092,0.8101564091582726
BCCC17,A1__StandardScaler,21,0.013238334175826568,0.8233947433340991
BCCC17,A1__StandardScaler,22,0.012805145479987198,0.8361998888140864
BCCC17,A1__StandardScaler,23,0.01241551389924896,0.8486154027133354
BCCC17,A1__StandardScaler,24,0.010904287582275395,0.8595196902956107
BCCC17,A1__StandardScaler,25,0.010756435054850235,0.870276125350461
BCCC17,A1__StandardScaler,26,0.010585079921898171,0.8808612052723591
BCCC17,A1__StandardScaler,27,0.009541031496593872,0.890402236768953
BCCC17,A1__StandardScaler,28,0.008814138826567963,0.899216375595521
BCCC17,A1__StandardScaler,29,0.008201401335553636,0.9074177769310746
BCCC17,A1__StandardScaler,30,0.00734656447572405,0.9147643414067986
BCCC17,A1__StandardScaler,31,0.007042848556213073,0.9218071899630117
BCCC17,A1__StandardScaler,32,0.0065794702389371,0.9283866602019488
BCCC17,A1__StandardScaler,33,0.006368400265683331,0.9347550604676321
BCCC17,A1__StandardScaler,34,0.006296778941930229,0.9410518394095624
BCCC17,A1__StandardScaler,35,0.006129519443659203,0.9471813588532216
BCCC17,A1__StandardScaler,36,0.005845855659355171,0.9530272145125768
BCCC17,A1__StandardScaler,37,0.005827322721148349,0.9588545372337252
BCCC17,A1__StandardScaler,38,0.0051110978028264765,0.9639656350365516
BCCC17,A1__StandardScaler,39,0.004885317273134023,0.9688509523096857
BCCC17,A1__StandardScaler,40,0.004628749482664687,0.9734797017923503
BCCC17,A1__StandardScaler,41,0.0035065160705617803,0.9769862178629121
BCCC17,A1__StandardScaler,42,0.0029718634136880456,0.9799580812766001
BCCC17,A1__StandardScaler,43,0.0027896955874015745,0.9827477768640017
BCCC17,A1__StandardScaler,44,0.0025628536120603286,0.985310630476062
BCCC17,A1__StandardScaler,45,0.0023069193613806755,0.9876175498374428
BCCC17,A1__StandardScaler,46,0.0021600610726377864,0.9897776109100805
BCCC17,A1__StandardScaler,47,0.0020542716282399916,0.9918318825383206
BCCC17,A1__StandardScaler,48,0.0019129400049522527,0.9937448225432728
BCCC17,A1__StandardScaler,49,0.0015447959608820663,0.9952896185041549
BCCC17,A1__StandardScaler,50,0.001060422342273461,0.9963500408464283
BCCC17,A1__StandardScaler,51,0.0008714215329092365,0.9972214623793375
BCCC17,A1__StandardScaler,52,0.0007486025355984645,0.997970064914936
BCCC17,A1__StandardScaler,53,0.0006718538504825965,0.9986419187654186
BCCC17,A1__StandardScaler,54,0.0005851711670112197,0.9992270899324298
BCCC17,A1__StandardScaler,55,0.0003707410295186604,0.9995978309619484
BCCC17,A1__StandardScaler,56,0.0002372923883973091,0.9998351233503457
BCCC17,A1__StandardScaler,57,0.0001447822825478684,0.9999799056328936
BCCC17,A1__StandardScaler,58,2.009436696319512e-05,0.9999999999998568
BCCC17,A1__StandardScaler,59,1.109467658314468e-13,0.9999999999999677
BCCC17,A1__StandardScaler,60,3.1994706005064294e-14,0.9999999999999997
BCCC17,A1__StandardScaler,61,0.0,0.9999999999999997
BCCC17,A1__StandardScaler,62,0.0,0.9999999999999997
BCCC17,A1__StandardScaler,63,0.0,0.9999999999999997
