,ROBUST SCALER,,STANDARD SCALER,
COMPONENTES,RATIO VARIANZA EXPLICADA,VARIANZA ACUMULADA,RATIO VARIANZA EXPLICADA,VARIANZA ACUMULADA
1,"91,0714 %","91,0714 %","18,0110 %","18,0110 %"
2,"6,9497 %","98,0211 %","9,4321 %","27,4431 %"
3,"1,3623 %","99,3834 %","6,4826 %","33,9257 %"
4,"0,2514 %","99,6348 %","6,3849 %","40,3106 %"
5,"0,2245 %","99,8593 %","4,9535 %","45,2641 %"
6,"0,0925 %","99,9518 %","4,5368 %","49,8009 %"
7,"0,0200 %","99,9718 %","4,2902 %","54,0911 %"
8,"0,0172 %","99,9890 %","4,1264 %","58,2176 %"
9,"0,0078 %","99,9968 %","3,9334 %","62,1510 %"
10,"0,0030 %","99,9998 %","3,3264 %","65,4773 %"
11,"0,0002 %","100,0000 %","2,9860 %","68,4633 %"
12,"0,0000 %","100,0000 %","2,6351 %","71,0984 %"
13,"0,0000 %","100,0000 %","2,4220 %","73,5204 %"
14,"0,0000 %","100,0000 %","2,1948 %","75,7152 %"
15,"0,0000 %","100,0000 %","2,1301 %","77,8453 %"
16,"0,0000 %","100,0000 %","2,1215 %","79,9668 %"
17,"0,0000 %","100,0000 %","2,0294 %","81,9963 %"
18,"0,0000 %","100,0000 %","1,9443 %","83,9406 %"
19,"0,0000 %","100,0000 %","1,8802 %","85,8208 %"
20,"0,0000 %","100,0000 %","1,8102 %","87,6310 %"
21,"0,0000 %","100,0000 %","1,6647 %","89,2956 %"
22,"0,0000 %","100,0000 %","1,4906 %","90,7862 %"
23,"0,0000 %","100,0000 %","1,3738 %","92,1600 %"
24,"0,0000 %","100,0000 %","1,1941 %","93,3541 %"
25,"0,0000 %","100,0000 %","1,1533 %","94,5074 %"
26,"0,0000 %","100,0000 %","1,0052 %","95,5126 %"
27,"0,0000 %","100,0000 %","0,7667 %","96,2794 %"
28,"0,0000 %","100,0000 %","0,6661 %","96,9455 %"
29,"0,0000 %","100,0000 %","0,6010 %","97,5465 %"
30,"0,0000 %","100,0000 %","0,5374 %","98,0840 %"
31,"0,0000 %","100,0000 %","0,4157 %","98,4996 %"
32,"0,0000 %","100,0000 %","0,3316 %","98,8312 %"
33,"0,0000 %","100,0000 %","0,2094 %","99,0406 %"
34,"0,0000 %","100,0000 %","0,2057 %","99,2463 %"
35,"0,0000 %","100,0000 %","0,1985 %","99,4448 %"
36,"0,0000 %","100,0000 %","0,1651 %","99,6099 %"
37,"0,0000 %","100,0000 %","0,1182 %","99,7281 %"
38,"0,0000 %","100,0000 %","0,0930 %","99,8211 %"
39,"0,0000 %","100,0000 %","0,0849 %","99,9060 %"
40,"0,0000 %","100,0000 %","0,0368 %","99,9428 %"
41,"0,0000 %","100,0000 %","0,0260 %","99,9688 %"
42,"0,0000 %","100,0000 %","0,0133 %","99,9821 %"
43,"0,0000 %","100,0000 %","0,0063 %","99,9885 %"
44,"0,0000 %","100,0000 %","0,0059 %","99,9944 %"
45,"0,0000 %","100,0000 %","0,0037 %","99,9981 %"
46,"0,0000 %","100,0000 %","0,0011 %","99,9991 %"
47,"0,0000 %","100,0000 %","0,0009 %","100,0000 %"
