EXPERIMENTO,MODELO,SCALER,PCA,N.º COMPONENTES,ESTRATEGIA DE REBALANCEO,N,ACCURACY MEDIO,ACCURACY STD,LATENCIA DE DETECCIÓN MEDIA (S),LATENCIA DE DETECCIÓN STD (S),F1 MACRO MEDIO,F1 MACRO STD,F1 WEIGHTED MEDIO,F1 WEIGHTED STD,FIT TIME MEDIO,FIT TIME STD,FNR MACRO MEDIO,FNR MACRO STD,FNR WEIGHTED MEDIO,FNR WEIGHTED STD,FPR MACRO MEDIO,FPR MACRO STD,FPR WEIGHTED MEDIO,FPR WEIGHTED STD,MCC MEDIO,MCC STD,PRECISIÓN MACRO MEDIA,PRECISIÓN MACRO STD,PRECISIÓN WEIGHTED MEDIA,PRECISIÓN WEIGHTED STD,RECALL MACRO MEDIO,RECALL MACRO STD,RECALL WEIGHTED MEDIO,RECALL WEIGHTED STD,ROC-AUC MEDIO,ROC-AUC STD,SCORE FIT TIME MEDIO,SCORE FIT TIME STD
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,500,"0,00820","0,00517","0,00000","0,00000","0,03636","0,01849","0,00901","0,00615","0,00196","0,00025","0,70995","0,01757","0,99180","0,00517","0,06672","0,00046","0,00899","0,00174","-0,00430","0,01378","0,10089","0,03849","0,82680","0,01750","0,29005","0,01757","0,00820","0,00517","0,50022","0,00349","0,63629","0,03397"
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,1000,"0,02247","0,00440","0,00000","0,00000","0,04517","0,01722","0,02661","0,00628","0,00331","0,00041","0,61653","0,02748","0,97753","0,00440","0,06582","0,00032","0,00978","0,00151","0,00980","0,01062","0,10501","0,03623","0,83715","0,01084","0,38347","0,02748","0,02247","0,00440","0,50620","0,00243","0,68674","0,03707"
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,2000,"0,03496","0,00353","0,00000","0,00000","0,05188","0,00189","0,03718","0,00738","0,00648","0,00003","0,49361","0,02675","0,96504","0,00353","0,06500","0,00020","0,00993","0,00061","0,02767","0,00637","0,10098","0,00709","0,83973","0,00810","0,50639","0,02675","0,03496","0,00353","0,51260","0,00141","0,76578","0,01066"
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,5000,"0,05711","0,01125","0,00000","0,00000","0,07055","0,00709","0,05748","0,01396","0,01933","0,00024","0,39330","0,03333","0,94289","0,01125","0,06347","0,00083","0,00919","0,00125","0,06125","0,01485","0,11506","0,00611","0,84734","0,00534","0,60670","0,03333","0,05711","0,01125","0,52920","0,00925","0,93409","0,03808"
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,10000,"0,07806","0,02236","0,00000","0,00000","0,09507","0,01298","0,08659","0,03476","0,04419","0,00470","0,36459","0,03366","0,92194","0,02236","0,06245","0,00161","0,01482","0,00200","0,07353","0,02011","0,13269","0,00713","0,85450","0,00332","0,63541","0,03366","0,07806","0,02236","0,53470","0,01543","1,02391","0,04764"
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,20000,"0,09531","0,01738","0,00000","0,00000","0,12088","0,01221","0,09471","0,02055","0,09033","0,00047","0,34145","0,03302","0,90469","0,01738","0,06191","0,00124","0,02389","0,00151","0,09222","0,02352","0,14942","0,00470","0,86053","0,00261","0,65855","0,03302","0,09531","0,01738","0,53937","0,01516","1,15026","0,03452"
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,30000,"0,11394","0,01319","0,00000","0,00000","0,13096","0,01097","0,10220","0,01501","0,16745","0,02605","0,32363","0,02861","0,88606","0,01319","0,06071","0,00094","0,02454","0,00185","0,12398","0,01883","0,15053","0,00482","0,86046","0,00252","0,67637","0,02861","0,11394","0,01319","0,54603","0,00835","1,18618","0,01798"
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,40000,"0,12935","0,00732","0,00000","0,00000","0,13235","0,00644","0,11477","0,00929","0,20304","0,01032","0,31160","0,02613","0,87065","0,00732","0,05971","0,00056","0,02499","0,00142","0,14242","0,00899","0,14900","0,00403","0,86096","0,00279","0,68840","0,02613","0,12935","0,00732","0,55450","0,00566","1,14616","0,02449"
RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,500,"0,01609","0,00410","0,00000","0,00000","0,04119","0,01559","0,02326","0,00786","0,00189","0,00005","0,70295","0,02346","0,98391","0,00410","0,06632","0,00032","0,01088","0,00220","-0,00378","0,01279","0,10253","0,03411","0,83426","0,00919","0,29705","0,02346","0,01609","0,00410","0,50190","0,00286","0,57070","0,01421"
RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,1000,"0,02538","0,00523","0,00000","0,00000","0,04604","0,01468","0,03044","0,00792","0,00372","0,00092","0,59951","0,02810","0,97462","0,00523","0,06580","0,00034","0,01233","0,00245","0,00774","0,01074","0,10499","0,03374","0,83578","0,00986","0,40049","0,02810","0,02538","0,00523","0,50715","0,00257","0,61491","0,00888"
