feature,PC1,PC2,PC3
IDLE_STD,"0,999771379810152","-0,0210924143759633","0,00239200083187272"
ACTIVE_MAX,"0,0163990851222874","0,786131954619928","-0,391018063471181"
ACTIVE_MEAN,"0,0104585035866283","0,47449271700121","0,378824021031611"
ACTIVE_STD,"0,00715088845021185","0,209416023901454","-0,485727524518177"
ACTIVE_MIN,"0,00516928177551253","0,335484413670627","0,683843296023582"
BWD_IAT_MIN,"0,000982582985935974","0,00125172310167425","-0,00182137082166604"
BWD_IAT_STD,"7,45E-06","1,42E-05","-6,94E-06"
BWD_IAT_MAX,"5,13E-06","1,19E-05","-4,82E-07"
BWD_IAT_MEAN,"4,95E-06","1,10E-05","-1,57E-05"
BWD_IAT_TOTAL,"4,75E-06","3,49E-05","-6,08E-05"
FWD_IAT_STD,"1,01E-06","7,80E-07","1,49E-06"
PACKET_LENGTH_VARIANCE,"5,78E-07","1,59E-07","1,26E-06"
FWD_IAT_MEAN,"3,42E-07","2,78E-07","5,63E-07"
FLOW_DURATION,"3,28E-07","1,20E-06","-1,33E-06"
FLOW_IAT_MAX,"2,93E-07","3,43E-07","5,12E-07"
FLOW_IAT_STD,"2,70E-07","2,34E-07","4,53E-07"
FLOW_IAT_MEAN,"2,42E-07","2,88E-07","4,81E-07"
TOTAL_LENGTH_OF_FWD_PACKETS,"1,87E-07","3,07E-06","-2,17E-06"
FWD_PACKET_LENGTH_MEAN,"1,55E-07","2,62E-07","1,07E-07"
FWD_PACKET_LENGTH_MAX,"1,38E-07","3,61E-07","-8,59E-09"
BWD_PACKET_LENGTH_MAX,"9,44E-08","1,28E-07","9,08E-08"
MAX_PACKET_LENGTH,"8,79E-08","1,13E-07","1,00E-07"
PACKET_LENGTH_MEAN,"6,66E-08","1,31E-07","3,96E-08"
DESTINATION_PORT,"6,31E-08","-1,97E-06","1,73E-06"
ACT_DATA_PKT_FWD,"3,43E-08","4,49E-06","6,82E-06"
TOTAL_FWD_PACKETS,"3,35E-08","4,33E-06","5,33E-06"
ACK_FLAG_COUNT,"9,66E-09","-1,83E-08","2,99E-08"
URG_FLAG_COUNT,"1,44E-09","-8,62E-09","1,08E-08"
FWD_PSH_FLAGS,"8,00E-10","2,46E-10","-1,60E-09"
FIN_FLAG_COUNT,"3,64E-10","-3,62E-09","1,40E-09"
FWD_URG_FLAGS,"-7,50E-13","-3,42E-12","7,82E-13"
RST_FLAG_COUNT,"-1,30E-12","4,63E-11","-1,02E-10"
PSH_FLAG_COUNT,"-2,54E-09","5,34E-08","-3,65E-08"
DOWN_UP_RATIO,"-8,14E-09","-2,20E-08","1,71E-08"
INIT_WIN_BYTES_FORWARD,"-8,41E-09","1,26E-07","-4,19E-08"
MIN_PACKET_LENGTH,"-9,53E-09","-4,49E-08","1,84E-08"
BWD_PACKET_LENGTH_MIN,"-1,07E-08","-5,31E-08","1,54E-08"
FWD_PACKET_LENGTH_MIN,"-1,10E-08","-5,10E-08","2,11E-08"
FLOW_PACKETS_S,"-6,35E-08","-2,90E-07","6,63E-08"
BWD_PACKETS_S,"-7,45E-08","-3,40E-07","7,78E-08"
INIT_WIN_BYTES_BACKWARD,"-1,59E-07","5,56E-07","-3,24E-07"
FLOW_BYTES_S,"-3,18E-07","-1,45E-06","3,39E-07"
BWD_HEADER_LENGTH,"-8,28E-06","-5,96E-05","-0,000106227582980497"
FWD_HEADER_LENGTH,"-2,54E-05","-0,000318148657031969","0,000493641022579099"
FLOW_IAT_MIN,"-4,99E-05","-9,40E-05","0,000513143386376862"
MIN_SEG_SIZE_FORWARD,"-5,55E-05","-0,000625443153454083","-0,000531874117825952"
FWD_IAT_MIN,"-0,000221943018559573","-0,0011769827816073","0,00380909789303157"
