EXPERIMENTO,MODELO,SCALER,PCA,COMPONTENTES PCA,REBALANCEO,N,LOGREG (C) ,MLP (ALPHA),MLP (CAPAS OCULTAS),KNN (DISTANCIA),KNN (K),ACCURACY MEDIO,ACCURACY STD,LATENCIA DE DETECCIÓN MEDIA (S),LATENCIA DE DETECCIÓN STD (S),F1 MACRO MEDIO,F1 MACRO STD,F1 WEIGHTED MEDIO,F1 WEIGHTED STD,FIT TIME MEDIO,FIT TIME STD,FNR MACRO MEDIO,FNR MACRO STD,FNR WEIGHTED MEDIO,FNR WEIGHTED STD,FPR MACRO MEDIO,FPR MACRO STD,FPR WEIGHTED MEDIO,FPR WEIGHTED STD,MCC MEDIO,MCC STD,PRECISIÓN MACRO MEDIA,PRECISIÓN MACRO STD,PRECISIÓN WEIGHTED MEDIA,PRECISIÓN WEIGHTED STD,RECALL MACRO MEDIO,RECALL MACRO STD,RECALL WEIGHTED MEDIO,RECALL WEIGHTED STD,ROC-AUC MEDIO,ROC-AUC STD,SCORE TIME MEDIO,SCORE TIME STD
RobustScaler + PCA + NearMiss_SMOTE + knn,knn,RobustScaler,True,3,NearMiss_SMOTE,10000,,,,euclidean,5,"0,07806","0,02236","0,00000","0,00000","0,09507","0,01298","0,08659","0,03476","0,04192","0,00025","0,36459","0,03366","0,92194","0,02236","0,06245","0,00161","0,01482","0,00200","0,07353","0,02011","0,13269","0,00713","0,85450","0,00332","0,63541","0,03366","0,07806","0,02236","0,53470","0,01543","1,01604","0,02906"
RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,10000,,,,euclidean,3,"0,08244","0,02472","0,00000","0,00000","0,08728","0,01265","0,09291","0,03799","0,03783","0,00058","0,37196","0,04029","0,91756","0,02472","0,06248","0,00170","0,01963","0,00511","0,07124","0,02176","0,12406","0,00791","0,83997","0,01957","0,62804","0,04029","0,08244","0,02472","0,53193","0,01332","0,84986","0,01461"
RobustScaler + PCA + NONE + knn,knn,RobustScaler,True,3,NONE,10000,,,,manhattan,3,"0,97136","0,00054","0,00000","0,00000","0,68145","0,01942","0,97134","0,00052","0,73053","0,00915","0,32158","0,01918","0,02864","0,00054","0,00580","0,00009","0,05828","0,00104","0,90479","0,00177","0,70398","0,03915","0,97134","0,00051","0,67842","0,01918","0,97136","0,00054","0,97813","0,00032","1,81615","0,02130"
RobustScaler + PCA + RUS_SMOTE + knn,knn,RobustScaler,True,3,RUS_SMOTE,10000,,,,euclidean,3,"0,83018","0,00157","0,00000","0,00000","0,36708","0,00422","0,87089","0,00163","0,04241","0,00012","0,21023","0,02598","0,16982","0,00157","0,01249","0,00014","0,01751","0,00065","0,63578","0,00312","0,30009","0,00393","0,93662","0,00134","0,78977","0,02598","0,83018","0,00157","0,94006","0,00062","0,59913","0,00730"
RobustScaler + PCA + RUS_SMOTE_ENN + knn,knn,RobustScaler,True,3,RUS_SMOTE_ENN,10000,,,,euclidean,3,"0,86972","0,00118","0,00000","0,00000","0,38759","0,00306","0,89905","0,00095","0,03637","0,00037","0,22389","0,03187","0,13028","0,00118","0,01163","0,00008","0,04422","0,00126","0,67556","0,00306","0,32495","0,00302","0,94004","0,00134","0,77611","0,03187","0,86972","0,00118","0,93687","0,00065","0,58923","0,00877"
StandardScaler + PCA + NearMiss_SMOTE + knn,knn,StandardScaler,True,33,NearMiss_SMOTE,10000,,,,manhattan,15,"0,15783","0,00603","0,00019","0,00000","0,22151","0,00871","0,21325","0,00877","0,01382","0,00053","0,27091","0,01963","0,84217","0,00603","0,06080","0,00106","0,06981","0,01810","0,15626","0,01466","0,28886","0,00893","0,82186","0,02128","0,72909","0,01963","0,15783","0,00603","0,52506","0,00408","75,88144","1,37629"
StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,10000,,,,manhattan,11,"0,15852","0,00640","0,00018","0,00000","0,22312","0,00822","0,21497","0,00919","0,01211","0,00106","0,27033","0,02021","0,84148","0,00640","0,06128","0,00093","0,07774","0,01813","0,15415","0,01410","0,28998","0,00906","0,81138","0,01835","0,72967","0,02021","0,15852","0,00640","0,52612","0,00432","71,65201","1,33722"
StandardScaler + PCA + NONE + knn,knn,StandardScaler,True,33,NONE,10000,,,,manhattan,3,"0,99488","0,00016","0,00210","0,00004","0,80754","0,01412","0,99488","0,00016","0,18041","0,03670","0,20443","0,01050","0,00512","0,00016","0,00100","0,00005","0,00995","0,00065","0,98302","0,00054","0,83731","0,03464","0,99490","0,00016","0,79557","0,01050","0,99488","0,00016","0,99702","0,00007","845,95483","15,17451"
StandardScaler + PCA + RUS_SMOTE + knn,knn,StandardScaler,True,33,RUS_SMOTE,10000,,,,manhattan,3,"0,96297","0,00060","0,00019","0,00001","0,60909","0,01385","0,97064","0,00052","0,01492","0,00034","0,11198","0,01039","0,03703","0,00060","0,00261","0,00004","0,00218","0,00014","0,89306","0,00149","0,53699","0,02051","0,98220","0,00038","0,88802","0,01039","0,96297","0,00060","0,98686","0,00033","74,95376","3,23723"
StandardScaler + PCA + RUS_SMOTE_ENN + knn,knn,StandardScaler,True,33,RUS_SMOTE_ENN,10000,,,,manhattan,3,"0,96487","0,00092","0,00018","0,00000","0,61869","0,01319","0,97212","0,00079","0,01384","0,00035","0,10787","0,01362","0,03513","0,00092","0,00274","0,00005","0,00601","0,00054","0,89690","0,00231","0,55029","0,02006","0,98266","0,00054","0,89213","0,01362","0,96487","0,00092","0,98638","0,00045","72,23981","0,35061"
