EXPERIMENTO,MODELO,SCALER,PCA,COMPONTENTES PCA,REBALANCEO,N,LOGREG (C) ,MLP (ALPHA),MLP (CAPAS OCULTAS),KNN (DISTANCIA),KNN (K),ACCURACY MEDIO,ACCURACY STD,LATENCIA DE DETECCIÓN MEDIA (S),LATENCIA DE DETECCIÓN STD (S),F1 MACRO MEDIO,F1 MACRO STD,F1 WEIGHTED MEDIO,F1 WEIGHTED STD,FIT TIME MEDIO,FIT TIME STD,FNR MACRO MEDIO,FNR MACRO STD,FNR WEIGHTED MEDIO,FNR WEIGHTED STD,FPR MACRO MEDIO,FPR MACRO STD,FPR WEIGHTED MEDIO,FPR WEIGHTED STD,MCC MEDIO,MCC STD,PRECISIÓN MACRO MEDIA,PRECISIÓN MACRO STD,PRECISIÓN WEIGHTED MEDIA,PRECISIÓN WEIGHTED STD,RECALL MACRO MEDIO,RECALL MACRO STD,RECALL WEIGHTED MEDIO,RECALL WEIGHTED STD,ROC-AUC MEDIO,ROC-AUC STD,SCORE TIME MEDIO,SCORE TIME STD
RobustScaler + sin PCA + NearMiss_SMOTE + knn,knn,RobustScaler,False,,NearMiss_SMOTE,10000,,,,manhattan,5.0,"0,08338","0,00076","0,00024","0,00001","0,16787","0,01583","0,09951","0,00433","0,02045","0,00164","0,31653","0,03380","0,91662","0,00076","0,06140","0,00012","0,00435","0,00167","0,11790","0,00436","0,25342","0,02954","0,93045","0,00603","0,68347","0,03380","0,08338","0,00076","0,54116","0,00053","98,26357","5,44276"
RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,knn,RobustScaler,False,,NearMiss_SMOTE_ENN,10000,,,,manhattan,3.0,"0,08478","0,00094","0,00023","0,00001","0,17541","0,01954","0,10349","0,00599","0,03161","0,00600","0,31071","0,02006","0,91522","0,00094","0,06130","0,00017","0,00434","0,00228","0,11805","0,00555","0,26342","0,03186","0,93119","0,00793","0,68929","0,02006","0,08478","0,00094","0,54248","0,00174","94,65178","2,13870"
RobustScaler + sin PCA + NONE + knn,knn,RobustScaler,False,,NONE,10000,,,,manhattan,3.0,"0,99293","0,00009","0,00256","0,00002","0,80385","0,02278","0,99292","0,00010","0,20658","0,01527","0,21252","0,01876","0,00707","0,00009","0,00144","0,00005","0,01457","0,00068","0,97652","0,00030","0,85689","0,05141","0,99292","0,00011","0,78748","0,01876","0,99293","0,00009","0,99464","0,00020","1032,03359","8,40144"
RobustScaler + sin PCA + RUS_SMOTE + knn,knn,RobustScaler,False,,RUS_SMOTE,10000,,,,manhattan,3.0,"0,93031","0,00196","0,00017","0,00001","0,53751","0,00487","0,94597","0,00121","0,02096","0,00226","0,14991","0,03358","0,06969","0,00196","0,00499","0,00015","0,00518","0,00028","0,81727","0,00404","0,45975","0,00506","0,96852","0,00087","0,85009","0,03358","0,93031","0,00196","0,97740","0,00076","70,00923","2,63589"
RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,knn,RobustScaler,False,,RUS_SMOTE_ENN,10000,,,,manhattan,3.0,"0,94512","0,00124","0,00017","0,00000","0,55459","0,00454","0,95683","0,00092","0,02113","0,00197","0,14805","0,01818","0,05488","0,00124","0,00468","0,00009","0,01529","0,00060","0,84586","0,00282","0,48368","0,00512","0,97280","0,00060","0,85195","0,01818","0,94512","0,00124","0,97679","0,00064","68,85917","0,88443"
StandardScaler + sin PCA + NearMiss_SMOTE + knn,knn,StandardScaler,False,,NearMiss_SMOTE,10000,,,,euclidean,15.0,"0,15861","0,00225","0,00005","0,00000","0,22602","0,01040","0,21627","0,00578","0,02300","0,00171","0,27143","0,02135","0,84139","0,00225","0,05900","0,00038","0,04360","0,00593","0,16804","0,01120","0,29516","0,00833","0,86922","0,00731","0,72857","0,02135","0,15861","0,00225","0,53455","0,00773","19,51591","1,21453"
StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,knn,StandardScaler,False,,NearMiss_SMOTE_ENN,10000,,,,euclidean,15.0,"0,15849","0,00229","0,00005","0,00000","0,22668","0,01011","0,21650","0,00601","0,02295","0,00539","0,26440","0,01952","0,84151","0,00229","0,05891","0,00046","0,04221","0,00681","0,16893","0,01163","0,29629","0,00853","0,87207","0,00933","0,73560","0,01952","0,15849","0,00229","0,53282","0,00680","19,69937","1,13291"
StandardScaler + sin PCA + NONE + knn,knn,StandardScaler,False,,NONE,10000,,,,manhattan,5.0,"0,99603","0,00002","0,00141","0,00000","0,81448","0,01019","0,99602","0,00003","0,18526","0,00785","0,19592","0,01028","0,00397","0,00002","0,00074","0,00003","0,00709","0,00036","0,98683","0,00008","0,84212","0,01037","0,99603","0,00003","0,80408","0,01028","0,99603","0,00002","0,99826","0,00007","567,93383","0,53000"
StandardScaler + sin PCA + RUS_SMOTE + knn,knn,StandardScaler,False,,RUS_SMOTE,10000,,,,manhattan,3.0,"0,96548","0,00081","0,00013","0,00000","0,60117","0,00909","0,97251","0,00071","0,01861","0,00145","0,10482","0,01608","0,03452","0,00081","0,00242","0,00005","0,00182","0,00020","0,89950","0,00206","0,52629","0,01001","0,98300","0,00052","0,89518","0,01608","0,96548","0,00081","0,98780","0,00026","52,59846","0,51630"
StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,knn,StandardScaler,False,,RUS_SMOTE_ENN,10000,,,,manhattan,3.0,"0,96720","0,00080","0,00012","0,00000","0,60894","0,00844","0,97391","0,00067","0,02134","0,00205","0,10764","0,01291","0,03280","0,00080","0,00253","0,00005","0,00513","0,00049","0,90313","0,00204","0,53804","0,00936","0,98358","0,00047","0,89236","0,01291","0,96720","0,00080","0,98744","0,00036","49,49206","0,23893"
RobustScaler + sin PCA + NearMiss_SMOTE + logreg,logreg,RobustScaler,False,,NearMiss_SMOTE,10000,0.1,,,,,"0,00564","0,00031","0,00000","0,00000","0,00779","0,00146","0,00247","0,00057","66,67274","12,56889","0,75776","0,01757","0,99436","0,00031","0,06643","0,00002","0,00209","0,00003","0,00633","0,00032","0,07635","0,00101","0,83499","0,00038","0,24224","0,01757","0,00564","0,00031","0,57134","0,00173","0,04368","0,00081"
RobustScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,logreg,RobustScaler,False,,NearMiss_SMOTE_ENN,10000,1.0,,,,,"0,00559","0,00052","0,00000","0,00000","0,00827","0,00104","0,00239","0,00082","65,54306","11,90187","0,75962","0,02121","0,99441","0,00052","0,06643","0,00003","0,00204","0,00013","0,00636","0,00052","0,07562","0,00234","0,83440","0,00128","0,24038","0,02121","0,00559","0,00052","0,57139","0,00426","0,04064","0,00344"
RobustScaler + sin PCA + NONE + logreg,logreg,RobustScaler,False,,NONE,10000,10.0,,,,,"0,72041","0,01423","0,00000","0,00000","0,07935","0,00146","0,72408","0,00757","599,76122","4,33319","0,91899","0,00589","0,27959","0,01423","0,05937","0,00040","0,61089","0,01226","0,09055","0,00807","0,08224","0,00150","0,72921","0,00193","0,08101","0,00589","0,72041","0,01423","0,50635","0,00229","0,02592","0,00159"
RobustScaler + sin PCA + RUS_SMOTE + logreg,logreg,RobustScaler,False,,RUS_SMOTE,10000,0.1,,,,,"0,14555","0,01397","0,00000","0,00000","0,05148","0,00423","0,24095","0,01906","52,55186","0,59809","0,74976","0,02908","0,85445","0,01397","0,05873","0,00172","0,02656","0,03817","0,06449","0,00674","0,13253","0,00878","0,86250","0,04052","0,25024","0,02908","0,14555","0,01397","0,53337","0,00467","0,03044","0,00304"
RobustScaler + sin PCA + RUS_SMOTE_ENN + logreg,logreg,RobustScaler,False,,RUS_SMOTE_ENN,10000,10.0,,,,,"0,16803","0,06988","0,00000","0,00000","0,05646","0,00660","0,26919","0,08829","50,95775","0,37496","0,74828","0,02809","0,83197","0,06988","0,05779","0,00142","0,03492","0,04963","0,07217","0,00613","0,14987","0,00995","0,87558","0,02924","0,25172","0,02809","0,16803","0,06988","0,53845","0,00164","0,02931","0,00188"
StandardScaler + sin PCA + NearMiss_SMOTE + logreg,logreg,StandardScaler,False,,NearMiss_SMOTE,10000,1.0,,,,,"0,13589","0,00294","0,00000","0,00000","0,18220","0,00509","0,16857","0,00232","25,15830","2,80196","0,25159","0,02323","0,86411","0,00294","0,05837","0,00058","0,01148","0,01084","0,17920","0,01002","0,23954","0,00513","0,93377","0,02728","0,74841","0,02323","0,13589","0,00294","0,40385","0,02166","0,03350","0,00097"
StandardScaler + sin PCA + NearMiss_SMOTE_ENN + logreg,logreg,StandardScaler,False,,NearMiss_SMOTE_ENN,10000,10.0,,,,,"0,14065","0,00717","0,00000","0,00000","0,17913","0,01415","0,17673","0,00789","34,99493","3,28024","0,24929","0,02656","0,85935","0,00717","0,05791","0,00057","0,00930","0,00702","0,18781","0,01522","0,24424","0,00972","0,94664","0,01364","0,75071","0,02656","0,14065","0,00717","0,42066","0,01584","0,03177","0,00235"
StandardScaler + sin PCA + NONE + logreg,logreg,StandardScaler,False,,NONE,10000,10.0,,,,,"0,97760","0,00089","0,00000","0,00000","0,63672","0,02287","0,97770","0,00087","345,38389","31,73196","0,36864","0,02351","0,02240","0,00089","0,00322","0,00014","0,02597","0,00132","0,92860","0,00274","0,69624","0,04041","0,97990","0,00084","0,63136","0,02351","0,97760","0,00089","0,99802","0,00017","0,02958","0,00036"
