feature,PC1,PC2,PC3
DESTINATION_PORT,6.308899255672597e-08,-1.9654154266895874e-06,1.7323423779794242e-06
FLOW_DURATION,3.2770473223919794e-07,1.1994290367578486e-06,-1.3301033061630108e-06
TOTAL_FWD_PACKETS,3.3463433926074246e-08,4.3320952136397e-06,5.326140347363436e-06
TOTAL_LENGTH_OF_FWD_PACKETS,1.8664544727656732e-07,3.074550844908164e-06,-2.1664570569633517e-06
FWD_PACKET_LENGTH_MAX,1.3835293194682704e-07,3.6094280880158166e-07,-8.587788055429064e-09
FWD_PACKET_LENGTH_MIN,-1.1044448438325058e-08,-5.096682011655813e-08,2.113720022720396e-08
FWD_PACKET_LENGTH_MEAN,1.5458154118561883e-07,2.619416691753674e-07,1.0746754720877768e-07
BWD_PACKET_LENGTH_MAX,9.442002930847375e-08,1.2828597756158153e-07,9.08117844668507e-08
BWD_PACKET_LENGTH_MIN,-1.0730489825761109e-08,-5.308680059439303e-08,1.5413734222242913e-08
FLOW_BYTES_S,-3.182240575768058e-07,-1.4482209149979685e-06,3.38772748864574e-07
FLOW_PACKETS_S,-6.352410397494359e-08,-2.899209111550355e-07,6.626514364500117e-08
FLOW_IAT_MEAN,2.4236917922704263e-07,2.878461708067146e-07,4.810183380721513e-07
FLOW_IAT_STD,2.6971734170326673e-07,2.3353863016436856e-07,4.529847154102395e-07
FLOW_IAT_MAX,2.933095956551499e-07,3.4336405624334327e-07,5.121596572061939e-07
FLOW_IAT_MIN,-4.989655835416478e-05,-9.395148538519048e-05,0.0005131433863768621
FWD_IAT_MEAN,3.4169189427994193e-07,2.7780120954709324e-07,5.628582230659838e-07
FWD_IAT_STD,1.007628230524767e-06,7.80260516809076e-07,1.4927268832249943e-06
FWD_IAT_MIN,-0.00022194301855957277,-0.0011769827816072997,0.0038090978930315662
BWD_IAT_TOTAL,4.747945569604726e-06,3.4906843113563496e-05,-6.079591340621914e-05
BWD_IAT_MEAN,4.951193210127612e-06,1.1032220632310665e-05,-1.5664881033394614e-05
BWD_IAT_STD,7.451244616664849e-06,1.4168511060852902e-05,-6.939084929211131e-06
BWD_IAT_MAX,5.132084352903403e-06,1.1923637950268472e-05,-4.817229379074557e-07
BWD_IAT_MIN,0.0009825829859359744,0.0012517231016742486,-0.00182137082166604
FWD_PSH_FLAGS,7.999032310097334e-10,2.4565671910051597e-10,-1.6014148615789599e-09
FWD_URG_FLAGS,-7.498229162421778e-13,-3.4224423805856193e-12,7.817758800854623e-13
FWD_HEADER_LENGTH,-2.537004708635319e-05,-0.00031814865703196896,0.0004936410225790988
BWD_HEADER_LENGTH,-8.284826865475779e-06,-5.95569414868241e-05,-0.00010622758298049718
BWD_PACKETS_S,-7.447322449389914e-08,-3.398057964445686e-07,7.781474712135499e-08
MIN_PACKET_LENGTH,-9.530404102842442e-09,-4.48823899220366e-08,1.8385522898474532e-08
MAX_PACKET_LENGTH,8.791670652275493e-08,1.1329041724259035e-07,9.996708858984805e-08
PACKET_LENGTH_MEAN,6.659765552174899e-08,1.310469525217733e-07,3.960477272395256e-08
PACKET_LENGTH_VARIANCE,5.782448895992423e-07,1.593563579215749e-07,1.2629336271087882e-06
FIN_FLAG_COUNT,3.640401953296642e-10,-3.6173591851808217e-09,1.4041660562810898e-09
RST_FLAG_COUNT,-1.303995908768949e-12,4.6273682582639584e-11,-1.0204944269521765e-10
PSH_FLAG_COUNT,-2.5393146510909013e-09,5.3445195243291294e-08,-3.654309232517455e-08
ACK_FLAG_COUNT,9.66055891738047e-09,-1.8339862382205267e-08,2.9907858312660554e-08
URG_FLAG_COUNT,1.43872754514562e-09,-8.616129234493627e-09,1.0791369967136286e-08
DOWN_UP_RATIO,-8.142600709576163e-09,-2.204215182265359e-08,1.70974627035067e-08
INIT_WIN_BYTES_FORWARD,-8.409187656797999e-09,1.2618564503974837e-07,-4.190847265402823e-08
INIT_WIN_BYTES_BACKWARD,-1.5921819988056417e-07,5.555600404358985e-07,-3.2445535758304134e-07
ACT_DATA_PKT_FWD,3.429735194911742e-08,4.488271562658908e-06,6.819462450420846e-06
MIN_SEG_SIZE_FORWARD,-5.5513609960645125e-05,-0.000625443153454083,-0.0005318741178259523
ACTIVE_MEAN,0.010458503586628254,0.47449271700121,0.37882402103161117
ACTIVE_STD,0.007150888450211848,0.2094160239014538,-0.4857275245181773
ACTIVE_MAX,0.016399085122287438,0.7861319546199279,-0.39101806347118134
ACTIVE_MIN,0.005169281775512527,0.3354844136706272,0.6838432960235821
IDLE_STD,0.9997713798101524,-0.021092414375963264,0.0023920008318727218
