dataset,experiment,component,explained_variance_ratio,cumulative_variance
CIC17,A1__StandardScaler,1,0.18011020803608188,0.18011020803608188
CIC17,A1__StandardScaler,2,0.0943211627115037,0.2744313707475856
CIC17,A1__StandardScaler,3,0.0648260841377693,0.3392574548853549
CIC17,A1__StandardScaler,4,0.06384873447137002,0.40310618935672493
CIC17,A1__StandardScaler,5,0.049535181721968656,0.45264137107869357
CIC17,A1__StandardScaler,6,0.0453679915863989,0.49800936266509244
CIC17,A1__StandardScaler,7,0.04290195745636234,0.5409113201214548
CIC17,A1__StandardScaler,8,0.04126420129754483,0.5821755214189996
CIC17,A1__StandardScaler,9,0.03933403969360689,0.6215095611126066
CIC17,A1__StandardScaler,10,0.03326357643510637,0.6547731375477129
CIC17,A1__StandardScaler,11,0.02985957473729228,0.6846327122850052
CIC17,A1__StandardScaler,12,0.026351414829793522,0.7109841271147987
CIC17,A1__StandardScaler,13,0.02421972681359447,0.7352038539283933
CIC17,A1__StandardScaler,14,0.021948267945668332,0.7571521218740616
CIC17,A1__StandardScaler,15,0.021300684937269367,0.7784528068113309
CIC17,A1__StandardScaler,16,0.021215444951507345,0.7996682517628382
CIC17,A1__StandardScaler,17,0.020294324839955906,0.819962576602794
CIC17,A1__StandardScaler,18,0.01944341167332631,0.8394059882761203
CIC17,A1__StandardScaler,19,0.01880164707134125,0.8582076353474616
CIC17,A1__StandardScaler,20,0.018101869411348764,0.8763095047588103
CIC17,A1__StandardScaler,21,0.01664679487805563,0.892956299636866
CIC17,A1__StandardScaler,22,0.014906189962054821,0.9078624895989208
CIC17,A1__StandardScaler,23,0.013737836777094534,0.9216003263760153
CIC17,A1__StandardScaler,24,0.0119410078762751,0.9335413342522904
CIC17,A1__StandardScaler,25,0.01153294301155176,0.9450742772638421
CIC17,A1__StandardScaler,26,0.010052179394375426,0.9551264566582175
CIC17,A1__StandardScaler,27,0.0076671251820518965,0.9627935818402694
CIC17,A1__StandardScaler,28,0.006661421346410095,0.9694550031866795
CIC17,A1__StandardScaler,29,0.006010027111671548,0.9754650302983511
CIC17,A1__StandardScaler,30,0.005374472024895196,0.9808395023232462
CIC17,A1__StandardScaler,31,0.004156644748805801,0.9849961470720521
CIC17,A1__StandardScaler,32,0.003315948206325191,0.9883120952783773
CIC17,A1__StandardScaler,33,0.0020937376228729165,0.9904058329012502
CIC17,A1__StandardScaler,34,0.0020572341299801653,0.9924630670312303
CIC17,A1__StandardScaler,35,0.0019848177870718767,0.9944478848183022
CIC17,A1__StandardScaler,36,0.00165115615202276,0.9960990409703249
CIC17,A1__StandardScaler,37,0.0011820362515927202,0.9972810772219176
CIC17,A1__StandardScaler,38,0.0009301836888914558,0.998211260910809
CIC17,A1__StandardScaler,39,0.0008489938918826062,0.9990602548026917
CIC17,A1__StandardScaler,40,0.00036814067624472334,0.9994283954789364
CIC17,A1__StandardScaler,41,0.00025971393270631356,0.9996881094116427
CIC17,A1__StandardScaler,42,0.00013320165257169002,0.9998213110642143
CIC17,A1__StandardScaler,43,6.348816201136069e-05,0.9998847992262258
CIC17,A1__StandardScaler,44,5.894059293350184e-05,0.9999437398191593
CIC17,A1__StandardScaler,45,3.689195532253661e-05,0.9999806317744818
CIC17,A1__StandardScaler,46,1.0843993195183078e-05,0.999991475767677
CIC17,A1__StandardScaler,47,8.52423232284707e-06,0.9999999999999999
