experiment,descripcion_experimento,model_family,model,scaler,use_pca,n_components_pca,rebalanceo_short,n,metrica,metrica_columna,tipo_tiempo,tiempo_columna,tiempo,valor_metrica,delta_metrica,delta_tiempo,VD,VD_normalizado
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,500,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.0019554615020751,0.0184852611046275,,,,
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,1000,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.003314733505249,0.0172197265186076,-0.0012655345860199015,0.0013592720031738999,-0.9310385140464001,0.7452432934694889
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,2000,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.0064828872680664,0.0018877998724153,-0.015331926646192299,0.0031681537628174003,-4.839388424303562,0.0
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,5000,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.0193262100219726,0.0070894250127748,0.0052016251403595,0.0128433227539062,0.4050061841494612,1.0
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,10000,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.044189167022705,0.01298230112512,0.005892876112345199,0.0248629570007324,0.23701429046318226,0.9679673429959855
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,20000,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.0903332233428955,0.0122077806758046,-0.0007745204493153999,0.046144056320190495,-0.01678483668494713,0.9195729817595043
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,30000,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.1674547672271728,0.0109655504174752,-0.0012422302583294,0.07712154388427732,-0.01610743504037465,0.9197021485547491
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,40000,std F1 macro,B_f1_macro_std,fit_time,B_fit_time_mean,0.2030372142791748,0.0064382102009363,-0.004527340216538899,0.035582447052001975,-0.127235212629486,0.8985123285877326
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,500,std F1 macro,B_f1_macro_std,score_time,B_score_time_mean,0.6362869262695312,0.0184852611046275,,,,
A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,RobustScaler,True,3,NM_SMOTE,1000,std F1 macro,B_f1_macro_std,score_time,B_score_time_mean,0.6867377281188964,0.0172197265186076,-0.0012655345860199015,0.050450801849365234,-0.025084528681992083,0.6506004508914074
