dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,1,1613311,5786,403328,0.001874685287475586,0.5772156715393066,0.020281259917486513,0.8307196233662819,0.020281259917486513,0.032938833461837645,0.09063533809443096,0.33225338736590815,0.03851635758289626,-0.008382438479907295,0.5011816845326366,1.4311321592830319e-06,0.06615733231121486,0.6677466126340919,0.01264124458570952,0.9797187400825135
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,2,1613311,5814,403328,0.0018124580383300781,0.5612139701843262,0.009416653443351316,0.8285490238119116,0.009416653443351316,0.0123814220426401,0.08471495622585445,0.27255218512744683,0.030270605255935047,-0.011368703708512711,0.4978413751958174,1.3914579949428906e-06,0.06680148372153345,0.7274478148725532,0.011438909266353393,0.9905833465566487
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,3,1613311,5829,403328,0.0019338130950927734,0.5868241786956787,0.017385353855918755,0.8306695625319384,0.017385353855918755,0.02747923871272294,0.08756527618438102,0.28838514211988014,0.03558252793178049,-0.008777826925091112,0.502160555762726,1.4549552193145e-06,0.06629081622740132,0.7116148578801198,0.011747597266938614,0.9826146461440812
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,4,1613311,6306,403328,0.001940011978149414,0.5769546031951904,0.017846516978736907,0.8506058935822808,0.017846516978736907,0.019252669583897077,0.16341640000244326,0.3079602184271577,0.06854440425490281,0.019007506215817892,0.5057927424277552,1.430484873837647e-06,0.06594649681917049,0.6920397815728424,0.007043969266294381,0.982153483021263
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,5,1613312,5778,403327,0.0018699169158935547,0.5513107776641846,0.015506028607060771,0.8307356141931536,0.015506028607060771,0.024252066088971947,0.08630370541930796,0.2841166151600634,0.03302521671498937,-0.009377692947225872,0.5025482836556425,1.3669076894534324e-06,0.06640180850248045,0.7158833848399365,0.011533156144267514,0.9844939713929393
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,1,1613311,11942,403328,0.003522157669067383,0.6234915256500244,0.028604510472865757,0.83261222093688,0.028604510472865757,0.036318428194967514,0.09873601402409453,0.43991681221084683,0.049025630800816546,0.0038819557253868923,0.5055286664737392,1.5458671990291386e-06,0.06571384766845914,0.5600831877891532,0.014312225499752832,0.9713954895271343
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,2,1613311,11964,403328,0.003637552261352539,0.6013073921203613,0.017439900031735955,0.8278793652457758,0.017439900031735955,0.020885816328251105,0.08437503887912894,0.3716575209196655,0.03195267497383681,-0.00476124499001131,0.503796189091108,1.4908644877627176e-06,0.06639337950007733,0.6283424790803346,0.013340592532895882,0.982560099968264
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,3,1613311,11998,403328,0.0026569366455078125,0.6176421642303467,0.02891443192637258,0.8320005851680295,0.02891443192637258,0.03539445073693619,0.08822299315556963,0.3898637611400499,0.03886157150628307,0.008159835415151353,0.508315187359454,1.5313644582829525e-06,0.06559427942409693,0.6101362388599502,0.012828623287826333,0.9710855680736274
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,4,1613311,12668,403328,0.005194187164306641,0.6208782196044922,0.02259451364646144,0.8530044548977366,0.02259451364646144,0.022747251625365877,0.1646086683144089,0.3823552375090579,0.06993301006503225,0.024729315432538694,0.5076524365860904,1.5393878421644224e-06,0.06569717928414999,0.6176447624909421,0.008052202908711097,0.9774054863535385
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,5,1613312,12184,403327,0.003606081008911133,0.6112265586853027,0.029353353482410055,0.8334035403868799,0.029353353482410055,0.03685451682642892,0.08902065781215548,0.41865383983938254,0.040414110874181404,0.006714075055457921,0.5104669180560278,1.5154615453101397e-06,0.06558373884919998,0.5813461601606175,0.013109436220409703,0.9706466465175899
