dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,1,1613311,5130,403328,0.0020661354064941406,0.5647768974304199,0.7762788598857505,0.9072223187760182,0.7762788598857505,0.8297789596820447,0.23890884232131843,0.7134526040423511,0.2768883479597275,0.5114451358578055,0.8888196547046229,1.400291815669678e-06,0.0204755750451737,0.2865473959576488,0.08341248556335604,0.22372114011424946
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,2,1613311,5049,403328,0.002058267593383789,0.5339508056640625,0.7664531101237703,0.9050031575322653,0.7664531101237703,0.8221124427566494,0.2473544517716266,0.7209927801402783,0.290283679979799,0.5041776518562802,0.8921984624870437,1.3238624783403645e-06,0.02053270226854798,0.27900721985972143,0.07444364415198997,0.23354688987622976
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,3,1613311,5117,403328,0.0025415420532226562,0.5460517406463623,0.7589554903205331,0.9060383062202848,0.7589554903205331,0.8183799686243585,0.24533869064686292,0.7328781578838885,0.28677218460284915,0.4954163496500835,0.8842551631428507,1.3538651932084117e-06,0.021571565683646887,0.2671218421161114,0.08252897557523643,0.24104450967946683
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,4,1613311,5047,403328,0.0024232864379882812,0.5100023746490479,0.7566819065376071,0.9024446635637074,0.7566819065376071,0.8129197824826109,0.2308075406821136,0.7295909446224732,0.273107418745763,0.49958313014702405,0.878324232587478,1.2644854179453147e-06,0.021075830732206816,0.27040905537752663,0.07281936752070942,0.2433180934623929
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,5,1613312,5064,403327,0.0020101070404052734,0.5643870830535889,0.7669062572056916,0.9109498530889611,0.7669062572056916,0.8251383605014929,0.24143931029928106,0.7317411883980374,0.28011246597406153,0.5118700581473976,0.8856116249185255,1.3993287904196567e-06,0.02032138135804303,0.26825881160196263,0.07172697757633716,0.23309374279430833
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,1,1613311,10947,403328,0.004636287689208984,0.5790364742279053,0.7892137416693114,0.9123544878762033,0.7892137416693114,0.8386229322961748,0.25440196029531253,0.7603155618551091,0.30240852961202275,0.5403352712622249,0.9065176161968204,1.4356466058094287e-06,0.01851804262630201,0.23968443814489093,0.06698438106384144,0.21078625833068868
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,2,1613311,10805,403328,0.004516124725341797,0.5887191295623779,0.7874806609013012,0.9143544559209307,0.7874806609013012,0.8393619999335242,0.2670233388416091,0.7384138893232026,0.3139838657131966,0.537161785780496,0.9062035381808076,1.4596535067299517e-06,0.01836403654577971,0.26158611067679743,0.0629412090879968,0.21251933909869883
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,3,1613311,11049,403328,0.0047016143798828125,0.5803239345550537,0.7798169231989844,0.91341204392326,0.7798169231989844,0.833674381004342,0.26061430967784116,0.7293815293664888,0.31012348454127814,0.5326440936999629,0.8989169101798716,1.4388386984168064e-06,0.019060733193359467,0.2706184706335112,0.06572792109937642,0.22018307680101554
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,4,1613311,10882,403328,0.0025610923767089844,0.5441436767578125,0.7824425777530942,0.9136108203609833,0.7824425777530942,0.8347827117273969,0.24673886958704708,0.7529257246030956,0.2909167383796002,0.5349222998005041,0.9014243169046332,1.349134393738626e-06,0.01909604848528128,0.2470742753969044,0.06888330503231349,0.21755742224690575
CIC17,A2__RobustScaler_pca_RUS_SMOTE_ENN_knn,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,5,1613312,10944,403327,0.0037097930908203125,0.5780665874481201,0.7776518804840737,0.9132254892993791,0.7776518804840737,0.8320240503296497,0.25170946358391144,0.7853330256254923,0.29636795816713957,0.5309196591866531,0.9012153268688974,1.433245449593308e-06,0.01883923226906363,0.21466697437450757,0.060240364520028095,0.22234811951592628
