dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,1,1613311,6999,403328,0.001220703125,0.6755387783050537,0.11271719295461759,0.7956468532239995,0.11271719295461759,0.1511658951803035,0.2562989181264648,0.4939662653094516,0.12549828086393555,0.10114549742011937,0.508309485471636,1.674911680580207e-06,0.0634292374671926,0.5060337346905485,0.06415575496250664,0.8872828070453824
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,2,1613311,7076,403328,0.0009126663208007812,0.6918561458587646,0.10927830450650587,0.8034820377731448,0.10927830450650587,0.15332139387858437,0.25757848118989407,0.5489448513281014,0.14364178437567063,0.12773472730535726,0.5105463584494555,1.7153684987374163e-06,0.06262843970792614,0.45105514867189866,0.048704900125398,0.8907216954934941
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,3,1613311,7066,403328,0.0008394718170166016,0.665147066116333,0.11685030545858457,0.8459609718613269,0.11685030545858457,0.16660480262943406,0.28455125234651985,0.535912293168034,0.147048612545527,0.1344078551044812,0.5385768544630489,1.649146764212584e-06,0.06149435064104054,0.4640877068319658,0.03926556507419274,0.8831496945414155
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,4,1613311,7077,403328,0.000957489013671875,0.6825780868530273,0.11386514201840686,0.7969939707796911,0.11386514201840686,0.1613020761350237,0.26864215834903504,0.5272940996137527,0.13219883427216503,0.11532840394886891,0.5136185024574467,1.692364742475175e-06,0.06305939239003802,0.4727059003862472,0.059756027868977254,0.8861348579815932
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,500,5,1613312,7119,403327,0.0009038448333740234,0.6782970428466797,0.11027776469217285,0.7601553679810406,0.11027776469217285,0.15852192373764834,0.29931216732283566,0.5031768302154663,0.17702247955823588,0.11033256301482315,0.4698837390383122,1.6817546131220565e-06,0.06428351968318698,0.4968231697845338,0.07453055993997744,0.8897222353078271
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,1,1613311,13673,403328,0.0019714832305908203,1.1324434280395508,0.11975612900666455,0.7692900603083092,0.11975612900666455,0.1574283845989156,0.24617553236861556,0.5895061511455062,0.14292804583293064,0.09894507208820623,0.4974117813958779,2.8077481058581373e-06,0.0640635823046838,0.4104938488544939,0.08070986357692153,0.8802438709933355
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,2,1613311,13568,403328,0.001683950424194336,1.1245226860046387,0.11468333465566487,0.755354122408344,0.11468333465566487,0.15726644943943,0.3223701600651943,0.6392953302706902,0.22886930403394706,0.1274763173658293,0.5051169361203777,2.788109642783637e-06,0.06379773505344909,0.36070466972930976,0.07164936045740113,0.8853166653443352
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,3,1613311,13581,403328,0.001283884048461914,1.1248302459716797,0.12510661298000636,0.8588387980025247,0.12510661298000636,0.17643647469188203,0.28254006322361663,0.6183280335044474,0.16995748881299327,0.1463968103306622,0.525256206871553,2.7888721982398436e-06,0.06077147532479618,0.3816719664955526,0.036678742851949074,0.8748933870199936
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,4,1613311,13594,403328,0.001871347427368164,1.1333966255187988,0.12793309663598856,0.7990619447051186,0.12793309663598856,0.17915083189195127,0.31999002444734587,0.6153036546334627,0.21614335662781334,0.1247282524320805,0.5071847730829514,2.810111436644118e-06,0.06264149010253996,0.38469634536653724,0.06755544817408789,0.8720669033640114
CIC17,A2__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,1000,5,1613312,13665,403327,0.00138092041015625,1.1330909729003906,0.12125644948143814,0.744333400975174,0.12125644948143814,0.16664078350071845,0.31033639791833545,0.6069757676933119,0.21511869292087243,0.11903401969588404,0.4992274760515113,2.8093605756629002e-06,0.06438290366067238,0.39302423230668815,0.08700000439152396,0.8787435505185619
