dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,500,1,1613311,7500,403328,0.0010194778442382812,0.7285637855529785,0.1126775230085687,0.7941348367047072,0.1126775230085687,0.1510018737988225,0.2562025443310257,0.49490929259526495,0.12137725178464273,0.10094757338657818,0.5076851062856441,1.8063803791281004e-06,0.06346143756177508,0.5050907074047352,0.06459908643519487,0.8873224769914313
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,500,2,1613311,7500,403328,0.0008242130279541016,0.7151999473571777,0.10939235560139639,0.8002716622209153,0.10939235560139639,0.1498583660298106,0.2447414006428117,0.5469256766792192,0.127364493983422,0.11966081059696915,0.5061328158844437,1.77324645786352e-06,0.06277739784563595,0.45307432332078074,0.05105332328593552,0.8906076443986036
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,500,3,1613311,7500,403328,0.0008702278137207031,0.7315266132354736,0.11704369644557283,0.8405130601644161,0.11704369644557283,0.16202160986770572,0.26836322098796417,0.5189490327935415,0.12699932196483915,0.1249236472269001,0.534573232067188,1.8137263300228935e-06,0.06168805312300029,0.48105096720645846,0.042364493290577336,0.8829563035544271
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,500,4,1613311,7500,403328,0.0009288787841796875,0.716785192489624,0.11395935814027293,0.7992507992976913,0.11395935814027293,0.1632116718716634,0.2670368907882082,0.528530442961812,0.128106010385133,0.11960213496356226,0.5137689831127193,1.7771768696684189e-06,0.06300933883780668,0.471469557038188,0.05909944070737308,0.8860406418597271
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,500,5,1613312,7500,403327,0.0008749961853027344,0.7222599983215332,0.11008189384791993,0.7554322292008773,0.11008189384791993,0.15464009189159608,0.2946174635074708,0.48178395143242964,0.17114262622553175,0.10143222599383567,0.4660506833205528,1.7907553878652638e-06,0.06450084462450406,0.5182160485675704,0.07759456321548082,0.8899181061520801
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,1000,1,1613311,15000,403328,0.0013060569763183594,1.2382981777191162,0.12011315852110441,0.7680683666035706,0.12011315852110441,0.1578445111375856,0.24170698325982062,0.5883188293801968,0.13584418427718006,0.09841142091781326,0.49690467415775424,3.070201368908472e-06,0.0641157876986243,0.41168117061980336,0.08184997400046896,0.8798868414788956
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,1000,2,1613311,15000,403328,0.0013756752014160156,1.2385632991790771,0.11469077277054904,0.7502463266694196,0.11469077277054904,0.15208824779498054,0.3046029761592724,0.6344500043511356,0.2070169918085024,0.11643247888859559,0.5008883814893288,3.0708587035342875e-06,0.0639787190474181,0.36554999564886437,0.07437155848182059,0.8853092272294509
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,1000,3,1613311,15000,403328,0.001226663589477539,1.2333605289459229,0.12532479768327515,0.8530084348468389,0.12532479768327515,0.17146331496695358,0.2677038893027224,0.5989953090284328,0.1521623212292984,0.13504598623960148,0.521229452617135,3.057959102630918e-06,0.060958692592881454,0.40100469097156727,0.039705186576497006,0.8746752023167248
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,1000,4,1613311,15000,403328,0.0012753009796142578,1.23465895652771,0.1280074777848302,0.8034421688080812,0.1280074777848302,0.18095491666095942,0.31959838388585987,0.624975808605243,0.21289620207959295,0.12933369856024976,0.5075129094144069,3.0611783871382846e-06,0.06251800152704971,0.3750241913947569,0.06577750069057585,0.8719925222151698
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,1000,5,1613312,15000,403327,0.0012962818145751953,1.2348368167877197,0.12153909854782843,0.7445151205449829,0.12153909854782843,0.16328642461783688,0.30327575550216584,0.5784720832880763,0.20650153724355746,0.11058574970268369,0.4958163498512541,3.0616269597317307e-06,0.0644373449722536,0.42152791671192374,0.08809927313163242,0.8784609014521716
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,2000,1,1613311,30000,403328,0.002691507339477539,2.2815418243408203,0.12555042050142812,0.8392844727376441,0.12555042050142812,0.16402995667715195,0.2946512640917665,0.6301367495626363,0.20144011387750232,0.11352340975934451,0.5217591186079195,5.65679006749053e-06,0.06173268884791424,0.3698632504373637,0.05154075322014162,0.8744495794985718
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,2000,2,1613311,30000,403328,0.0022487640380859375,2.3212387561798096,0.11535276499523961,0.8362454102915609,0.11535276499523961,0.15040114495140924,0.29423268712304207,0.6768673562841608,0.20511384834648197,0.1294368558025914,0.5258933440343234,5.755213514012936e-06,0.06148256815992594,0.32313264371583916,0.03759128739412874,0.8846472350047604
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,2000,3,1613311,30000,403328,0.0024394989013671875,2.2810683250427246,0.12690911615360204,0.8937357442807611,0.12690911615360204,0.17059217105010294,0.3078836513578175,0.6249048636386213,0.21324468586927087,0.1395266908627373,0.5322904498054143,5.655616086764927e-06,0.05967423521326702,0.3750951363613787,0.022022644352607333,0.873090883846398
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,2000,4,1613311,30000,403328,0.00257110595703125,2.4005956649780273,0.12560248730561727,0.851146254064996,0.12560248730561727,0.17407786815498577,0.3110869002900439,0.6705062322113543,0.21746341733371527,0.1406377119822487,0.5300416104769117,5.951968782177353e-06,0.06086929682296773,0.32949376778864564,0.03864193965013341,0.8743975126943827
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,2000,5,1613312,30000,403327,0.0023255348205566406,2.2911415100097656,0.1264829778318833,0.846186196020806,0.1264829778318833,0.1689193783778792,0.2980834242183533,0.6220014599278654,0.2036069631658928,0.13071803638956137,0.5255824543434952,5.680605340108065e-06,0.0609730128023268,0.3779985400721347,0.04107816986678526,0.8735170221681167
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,5000,1,1613311,75000,403328,0.005887508392333984,5.430907726287842,0.1377861194858775,0.8210456658307227,0.1377861194858775,0.17597257287249554,0.26942061563190445,0.699697551288582,0.18576308863318092,0.1211808452981787,0.5263690850999186,1.3465238531140516e-05,0.06177267149253301,0.30030244871141787,0.06437619187387268,0.8622138805141225
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,5000,2,1613311,75000,403328,0.006073713302612305,5.435073614120483,0.12694382735639478,0.8554050658468829,0.12694382735639478,0.16262348131970797,0.2779830426234389,0.7461075197035673,0.19401153244145775,0.14051030528592218,0.5343881878278778,1.3475567315238424e-05,0.06049585766955918,0.25389248029643274,0.034381692399782365,0.8730561726436052
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,5000,3,1613311,75000,403328,0.006005764007568359,5.431083679199219,0.14239527134243096,0.8184785254537763,0.14239527134243096,0.18872536046852578,0.2797720816578202,0.6976691588462145,0.20558181656143987,0.14138603547413775,0.5345450990310683,1.3465674783796857e-05,0.0612404029177339,0.30233084115378545,0.061001315108439494,0.857604728657569
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,5000,4,1613311,75000,403328,0.00608515739440918,5.439203977584839,0.13918448508410028,0.8408080529832276,0.13918448508410028,0.18957608264031944,0.2909225479877019,0.7255923100351919,0.20868556842430017,0.15024741379322495,0.5332618510005398,1.3485808021225501e-05,0.0606506453191528,0.2744076899648082,0.048944164871392394,0.8608155149158997
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,5000,5,1613312,75000,403327,0.0058362483978271484,5.437165260314941,0.13684677693286093,0.7996402751085149,0.13684677693286093,0.17793138634059633,0.27165461455783385,0.6931432611346576,0.19201328356363198,0.13268500813158704,0.5281031090998558,1.348078670734898e-05,0.06199544661464499,0.3068567388653424,0.06677847615253585,0.863153223067139
CIC17,A2__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,1613311,150000,403328,0.010836601257324219,10.67725157737732,0.15954260552205649,0.818758043812187,0.15954260552205649,0.20918530553204326,0.27269276623100747,0.7154103889174812,0.198986216944538,0.13486832893548661,0.5250340447016694,2.64728746265504e-05,0.061319780925781824,0.2845896110825187,0.07933931940878376,0.8404573944779435
