dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,B_fit_time,B_score_time,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,1,1613311,6625,403328,0.0008432865142822266,0.7012333869934082,0.8755132299270073,0.9592648892180544,0.8755132299270073,0.9087443380711968,0.35380807251084534,0.8935639851887325,0.4321541509964861,0.7206688913099535,0.9626459118535254,1.738618164356078e-06,0.00876457386387109,0.10643601481126751,0.0069818378850736405,0.12448677007299268
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,2,1613311,6527,403328,0.0008420944213867188,0.5996840000152588,0.8606146858140273,0.9573047110450258,0.8606146858140273,0.8983894985594324,0.3365268408511484,0.9120920304722563,0.4152937168466304,0.6991350133878705,0.9547148172612339,1.4868394954361185e-06,0.009675352972490649,0.08790796952774377,0.005744980401387007,0.13938531418597272
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,3,1613311,6566,403328,0.001115560531616211,0.6131720542907715,0.8713354887337353,0.9626523775121874,0.8713354887337353,0.9082046409582565,0.3593554448399411,0.9000143112060657,0.4317987904008083,0.7135853093871337,0.9616742573841186,1.520281394524485e-06,0.009117620941414556,0.09998568879393425,0.008099802854953687,0.1286645112662647
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,4,1613311,6564,403328,0.0009164810180664062,0.605156421661377,0.87273137496033,0.9597463344086137,0.87273137496033,0.9073541858916744,0.3364097967512454,0.8904316747133517,0.4090549109734611,0.7159940589371222,0.958346554716155,1.5004076624022556e-06,0.009003331208964103,0.10956832528664827,0.007781343094791599,0.12726862503966996
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,500,5,1613312,6531,403327,0.0010542869567871094,0.604971170425415,0.8617746890240425,0.9597508144462418,0.8617746890240425,0.9006518746821072,0.324945213428185,0.860549828754176,0.3953681383546848,0.6995919251520712,0.9595341754621972,1.499952074682367e-06,0.009684728155131229,0.13945017124582415,0.007045611351010967,0.13822531097595747
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,1,1613311,13520,403328,0.0014317035675048828,1.0806076526641846,0.900163142653126,0.9666066709305475,0.900163142653126,0.9270299969775084,0.3977725538997753,0.8746806729001305,0.47099994622995794,0.7608105004196726,0.9689081354267419,2.6792279550742437e-06,0.007084102002238446,0.12531932709986948,0.006424672686702665,0.099836857346874
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,2,1613311,13366,403328,0.0017123222351074219,1.127723217010498,0.8962804466835925,0.9668176319420473,0.8962804466835925,0.9248697497592676,0.37953131186195677,0.9118968516689296,0.4620386756074834,0.7551657728075434,0.9698672012115591,2.7960449485542734e-06,0.00726870882329046,0.08810314833107023,0.0053110790329493965,0.10371955331640749
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,3,1613311,13380,403328,0.0017902851104736328,1.1332106590270996,0.9012813392573786,0.9681213813579205,0.9012813392573786,0.9285903430343421,0.39245038290362555,0.905747456513085,0.46981593438776964,0.7632087523658299,0.972963956879432,2.80965035660083e-06,0.006983319348336301,0.09425254348691485,0.0060311294824231185,0.0987186607426214
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,4,1613311,13390,403328,0.0014209747314453125,1.1283597946166992,0.9008499285940971,0.9688311048285049,0.9008499285940971,0.9285759727857759,0.3760323037630554,0.9041807231089228,0.4518006725100774,0.7627797918653314,0.9731830760331903,2.7976232610101438e-06,0.007050391253802775,0.09581927689107703,0.006605797401138748,0.09915007140590289
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,1000,5,1613312,13458,403327,0.001832723617553711,1.0835862159729004,0.8998331378757187,0.9674389689778042,0.8998331378757187,0.9272490478054531,0.3608087479696192,0.8719947173631349,0.43659079742095164,0.7600900783316675,0.9724129161896858,2.686619581562604e-06,0.007213596515919634,0.1280052826368651,0.008037085614513228,0.10016686212428129
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,2000,1,1613311,27575,403328,0.0032761096954345703,2.088822364807129,0.9233824579498572,0.9730579509239494,0.9233824579498572,0.9438084943054708,0.40527797643216257,0.875724616360961,0.48416704781069986,0.803853511925305,0.9771224019234888,5.178966907348681e-06,0.005540657126134,0.12427538363903888,0.006492314841867179,0.07661754205014282
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,2000,2,1613311,27413,403328,0.003751039505004883,2.0589981079101562,0.9254775269755633,0.9742180599525734,0.9254775269755633,0.9455651801351471,0.41873792347048366,0.9191222556516944,0.5019723733229553,0.8085562131506954,0.9780522054158075,5.105021490970516e-06,0.0053204274674060765,0.08087774434830573,0.005283938986654462,0.07452247302443668
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,2000,3,1613311,27386,403328,0.0023844242095947266,2.054873466491699,0.9265634917486513,0.9741287881228109,0.9265634917486513,0.9463614973727333,0.41967353887262726,0.88528758096078,0.4996049403198233,0.809738235782727,0.9782310001746867,5.094794972061694e-06,0.005428949754587452,0.11471241903921987,0.007997738067463013,0.07343650825134877
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,2000,4,1613311,27363,403328,0.002218961715698242,2.154867649078369,0.9260403443351317,0.9727651790498706,0.9260403443351317,0.9451758776293263,0.4129672362216739,0.8892853788145924,0.490499204581687,0.8090820793503773,0.9789036884990591,5.342717711337594e-06,0.005395571258309918,0.11071462118540756,0.006973913209780455,0.0739596556648683
CIC17,A2__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,33,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,2000,5,1613312,27549,403327,0.0034666061401367188,2.326415538787842,0.9262558668276609,0.9745544748330982,0.9262558668276609,0.9462669856280517,0.41243186330216114,0.8709267907433917,0.48700878918529433,0.8095673870749711,0.9793426241243097,5.768062983107607e-06,0.005353033236408085,0.12907320925660845,0.006551365373782213,0.07374413317233906
