rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.08243766209256784,0.024718051541632993,0.0006109820720148251,0.8399723659761478,0.01956864905260891,0.00038293202574417166,0.08243766209256784,0.024718051541632993,0.0006109820720148251,0.0929113646866924,0.03799488140227679,0.0014436110127730788,0.1240553464050564,0.007906925155382587,6.251946541282195e-05,0.6280398113244068,0.04028863964167068,0.0016231744841763986,0.08727891352261465,0.012651189273089253,0.0001600525900235286,0.019626311938083934,0.005109640577257979,2.6108426828761254e-05,0.917562337907432,0.02471805154163298,0.0006109820720148246,0.06247924332303441,0.001703124100651816,2.900631702221057e-06,0.37196018867559316,0.040288639641670676,0.001623174484176398,0.07124129302179627,0.02176385484802457,0.00047366537784588263,0.5319341878922416,0.01332112974096571,0.00017745249757564118,2.2266791953044374e-06,9.988767418599667e-08,9.977547454287825e-15,0.038654518127441403,0.001020672462774804,1.0417722762667835e-06,0.898081636428833,0.04028790705261501,0.0016231154546801462
2,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.08270444273793306,0.024859900780870716,0.0006180146668347364,0.8396720236275226,0.020078020967285573,0.0004031269259627591,0.08270444273793306,0.024859900780870716,0.0006180146668347364,0.09320090878773195,0.03795069395984509,0.0014402551720338226,0.12353497031769885,0.007890140366183747,6.225431499808219e-05,0.6299304891942672,0.04071076857562992,0.0016573666780184968,0.08652118709483543,0.012070343034800774,0.00014569318097776355,0.01965512085910312,0.00526435423348265,2.77134254955867e-05,0.9172955572620669,0.024859900780870716,0.0006180146668347365,0.06246337854141134,0.001705445902174275,2.908545725243027e-06,0.3700695108057328,0.04071076857562989,0.0016573666780184944,0.07149832213809844,0.021772007315735517,0.00047402030255644086,0.5339983936588905,0.016350326672077496,0.0002673331822836488,2.694916127005892e-06,1.3966938215669357e-07,1.950753631203251e-14,0.03883814811706543,0.0016352778131468696,2.674133526170408e-06,1.0869345664978027,0.05633191016101045,0.003173284102388152
3,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.08298758708481992,0.02519621548870983,0.0006348492749535011,0.839327802924366,0.020121139004481686,0.0004048602348376742,0.08298758708481992,0.02519621548870983,0.0006348492749535011,0.09362276133483222,0.038481561512343394,0.0014808305764282682,0.12247324870380416,0.0076659143952392105,5.876624351513575e-05,0.6290698708673128,0.04049814106250641,0.0016400994295186681,0.08503016609969663,0.011077220255098115,0.00012270480857995596,0.01976933318284601,0.005243110951361777,2.7490212448289798e-05,0.9170124129151802,0.025196215488709813,0.0006348492749535003,0.06245211640653507,0.0017275115513695207,2.9842961601151283e-06,0.3709301291326871,0.04049814106250643,0.0016400994295186694,0.07138164567831237,0.021848247246098802,0.00047734590772666386,0.5318351626534037,0.01757161834469727,0.0003087617712517016,2.9952227651745947e-06,1.4176573878363656e-07,2.0097524692870274e-14,0.03835930824279785,0.0013115923365452304,1.7202744572841766e-06,1.208056592941284,0.0571776734466378,0.0032692863407703496
4,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.08542480856039436,0.028253378349012877,0.0007982533881324696,0.8490219576164677,0.009276681011804375,8.605681059477186e-05,0.08542480856039436,0.028253378349012877,0.0007982533881324696,0.0970325323503117,0.043157324860771326,0.001862554689138151,0.12280284663419212,0.008409613502956761,7.072159926911268e-05,0.6312882842159787,0.03187843718621815,0.001016234757435656,0.0849402209659333,0.01193331497549675,0.000142404006304415,0.017014532623855144,0.0016039442269856264,2.5726370832805184e-06,0.9145751914396056,0.028253378349012852,0.0007982533881324683,0.06210598160423072,0.001958477752552486,3.835635107243037e-06,0.3687117157840213,0.03187843718621815,0.001016234757435656,0.0740880150178349,0.02249349479291201,0.0005059573079987598,0.5356180842414118,0.015583938228386177,0.00024285913070615608,2.7392934767375135e-06,2.2992974060094923e-07,5.28676856128198e-14,0.040634870529174805,0.004652912449159444,2.1649594259542937e-05,1.104833221435547,0.09273724731581635,0.008600197039714886
5,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.08419256112927347,0.026978246907535756,0.0007278258062039625,0.8491579667968493,0.00905020751330342,8.190625603385368e-05,0.08419256112927347,0.026978246907535756,0.0007278258062039625,0.09460799954318029,0.04125751865379781,0.0017021828454684739,0.12285047536942166,0.00790348109975983,6.246501349426084e-05,0.6352774503972719,0.03146212222732184,0.0009898651350469388,0.08479646430281296,0.011010605952284465,0.00012123344343648207,0.01707249333123256,0.0016126069475983192,2.600501167442368e-06,0.9158074388707265,0.026978246907535745,0.000727825806203962,0.062191995480130616,0.0018731335423000622,3.5086292672895787e-06,0.3647225496027281,0.03146212222732186,0.0009898651350469401,0.07367454733268589,0.021841776497850556,0.0004770632005820569,0.5379523073602368,0.017898684111055815,0.00032036289290736196,3.0800936194367897e-06,1.3511878216141604e-07,1.8257085292784198e-14,0.03910703659057617,0.0013170593782378447,1.7346454058042581e-06,1.2422873973846436,0.05449757975899474,0.002969986199587993
6,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.0869238371348117,0.029390456232395015,0.0008637989175483271,0.8502760090032722,0.008842621845469403,7.819196110197272e-05,0.0869238371348117,0.029390456232395015,0.0008637989175483271,0.09903373121953707,0.04496150333120296,0.002021536781801775,0.12334376299201408,0.008115901366213102,6.58678549860997e-05,0.6271073042527847,0.04093846901054028,0.001675958244926967,0.08473985748074872,0.011569516866112156,0.00013385372051525363,0.01715878873982369,0.0017772229029499075,3.1585212467696964e-06,0.9130761628651884,0.029390456232394977,0.0008637989175483248,0.06201566344033412,0.002066517107820184,4.270492956913499e-06,0.37289269574721523,0.04093846901054034,0.0016759582449269717,0.07483608126412739,0.024235976276501692,0.0005873825460751529,0.5426717780270176,0.023419364985359094,0.0005484666563174637,4.392703682322065e-06,9.734406949356632e-08,9.47586786556827e-15,0.03802027702331543,0.0007769435353727486,6.036412571575055e-07,1.7716995239257813,0.03926223913754614,0.00154152342209386
7,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.08880667212865749,0.030994612708603483,0.0009606660169563245,0.8508096047229842,0.007059941451329425,4.984277329619943e-05,0.08880667212865749,0.030994612708603483,0.0009606660169563245,0.1024708731822053,0.04781894130405084,0.002286651147440259,0.12377737706465741,0.0068200200262805415,4.651267315886764e-05,0.6312322674957433,0.03263793990058805,0.0010652351209543979,0.08431622616031875,0.010700103178936562,0.00011449220803988834,0.017601125021006924,0.0015131752685421031,2.289699393327466e-06,0.9111933278713424,0.030994612708603493,0.0009606660169563252,0.061919630192823295,0.0021550431044019642,4.644210781830456e-06,0.36876773250425654,0.0326379399005881,0.0010652351209544009,0.07502106671879907,0.02459476738388559,0.0006049025826674424,0.5443808394371812,0.023547599191834134,0.0005544894276992675,5.022336631145969e-06,2.2864060368385955e-07,5.227652565291973e-14,0.049890661239624025,0.023507515329679263,0.0005526032769751055,2.0256479263305662,0.09221547387189447,0.008503693621418052
8,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.08401850988890934,0.02678681358784237,0.0007175333821898167,0.8396021764432829,0.020450643802776773,0.0004182288319480521,0.08401850988890934,0.02678681358784237,0.0007175333821898167,0.09565018570998507,0.041549210848047684,0.0017263369220955232,0.12218940237933411,0.008089020735953413,6.54322564666843e-05,0.6243611281080363,0.041351571765173206,0.0017099524874502699,0.08424582720619192,0.010806236991636983,0.00011677475791942353,0.019773857136407325,0.0051323858725334974,2.6341384744581434e-05,0.9159814901110905,0.026786813587842344,0.0007175333821898153,0.06238368981649987,0.0018575391249110171,3.450451600575187e-06,0.3756388718919636,0.04135157176517318,0.0017099524874502675,0.07125660493996114,0.02224669612732582,0.0004949154885815737,0.5314743633537635,0.01845680064547833,0.0003406534900669293,3.732192199665156e-06,2.4428510521278654e-07,5.967521262882218e-14,0.038541650772094725,0.0007629637528066435,5.82113688096797e-07,1.5052968978881835,0.0985275520682402,0.009707678516559782
9,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.08315469677681134,0.02555450856742307,0.0006530329081224991,0.839367455726185,0.020105311102759718,0.0004042235345387532,0.08315469677681134,0.02555450856742307,0.0006530329081224991,0.0941521939443402,0.03945384951111304,0.0015566062412455544,0.12203997871535995,0.007509860119917895,5.639799902073323e-05,0.6278429987290428,0.04108730948046074,0.001688167000343159,0.08414314696246743,0.010099929859794392,0.00010200858317276639,0.01987027714693657,0.0051831875216320706,2.6865432884402407e-05,0.9168453032231886,0.02555450856742305,0.0006530329081224981,0.06244770535800835,0.0017648602094791235,3.114731559002696e-06,0.3721570012709572,0.041087309480460715,0.001688167000343157,0.07085867163368487,0.021767655337697575,0.0004738308189007937,0.5320332418813412,0.017777243732678867,0.00031603039473107,3.4799784973677834e-06,3.538771788916556e-07,1.2522905774031683e-13,0.03833827972412109,0.0006410612880157213,4.1095957499237555e-07,1.4035721302032471,0.14272923666735382,0.020371634999645494
10,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.0844762013664689,0.02725830578887293,0.0007430152344797034,0.8492383026019528,0.00899018455266554,8.082341829098609e-05,0.0844762013664689,0.02725830578887293,0.0007430152344797034,0.09492250797921153,0.04162861508592571,0.001732941593972162,0.12249969242952277,0.007932624331846832,6.292652879020841e-05,0.63568828859958,0.03190065918991409,0.0010176520567510502,0.08403785220921832,0.011490551218843318,0.00013203276731286169,0.017110989062223077,0.0015926845504084454,2.536644077109752e-06,0.9155237986335312,0.027258305788872946,0.0007430152344797044,0.06217565251305028,0.0018968707575445075,3.5981186708274738e-06,0.3643117114004199,0.031900659189914124,0.0010176520567510524,0.07378752805736973,0.022287275145506585,0.0004967226334115156,0.5403686881995424,0.021221695765211608,0.0004503603711512003,3.4800784841921115e-06,2.1864667081221085e-07,4.780636665726329e-14,0.039333534240722653,0.0011184798286266427,1.2509971270446842e-06,1.4036124229431153,0.0881867870889507,0.007776909417071921
