dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9713528300045485,0.0004977839249810032,2.47788835969493e-07,0.9713383180763069,0.00048218310337183265,2.3250054517729145e-07,0.9713528300045485,0.0004977839249810032,2.47788835969493e-07,0.9713310459422091,0.00048767749835197617,2.3782934239884172e-07,0.7021649455059118,0.03318076782892195,0.0011009633537168218,0.6775269221300795,0.019115199619033678,0.0003653908564755052,0.6765120238162945,0.013490877760766276,0.00018200378275593808,0.058324983563357136,0.0010828603512894738,1.1725865403947626e-06,0.028647169995451516,0.0004977839249809961,2.4778883596948594e-07,0.0057981435705872445,8.802982996215229e-05,7.749250963165445e-09,0.3224730778699205,0.019115199619033654,0.0003653908564755043,0.9047643765584965,0.0016263837867277493,2.645124221730893e-06,0.9781600233777518,0.00027053990963497003,7.319184270529774e-08,3.582920134754577e-06,1.2893317481347448e-08,1.6623763567481972e-16,0.7504083633422851,0.016347193791309313,0.0002672307448506217,1.4450912952423096,0.005200137524050391,2.7041430269036936e-05
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9720118473213869,0.0004886790950482088,2.388072579371363e-07,0.9718708947693748,0.00046255207476021107,2.139544218649759e-07,0.9720118473213869,0.0004886790950482088,2.388072579371363e-07,0.9719172078808096,0.00047140201651337953,2.2221986117288052e-07,0.7038181069312893,0.03491032241978028,0.0012187306114530136,0.6736152023864481,0.018660766131069106,0.0003482241925984558,0.6741160087331671,0.00990982830751671,9.820469708445953e-05,0.05823114413766883,0.0007543975424234125,5.691156520144845e-07,0.02798815267861317,0.0004886790950482015,2.388072579371292e-07,0.005747953121085466,6.329136140456174e-05,4.005796428442847e-09,0.3263847976135517,0.018660766131069085,0.0003482241925984551,0.9067962305676511,0.001579386915515684,2.4944630289021466e-06,0.9836305397453134,5.702177174367281e-05,3.251482452787523e-09,4.166952189304672e-06,1.7401634570806426e-08,3.028168857358853e-16,0.7413327693939209,0.015444819282639929,0.00023854244267340619,1.6806476593017579,0.007018591951989714,4.926063298853478e-05
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9719974669266014,0.0005018653691030628,2.518688487049535e-07,0.9717982057668099,0.0004707914544807894,2.2164459361213721e-07,0.9719974669266014,0.0005018653691030628,2.518688487049535e-07,0.9718645256340201,0.0004832699653113011,2.3354985937198615e-07,0.7185643306234084,0.04330963366839637,0.0018757243684906924,0.671571452672597,0.017082868279524044,0.00029182438865556876,0.6790185206715036,0.010267556504849411,0.00010542271658027546,0.058856698506723384,0.0006240520896388999,3.894410105826775e-07,0.0280025330733986,0.0005018653691030632,2.518688487049539e-07,0.005790615438674799,5.1411151614122034e-05,2.6431065102902427e-09,0.328428547327403,0.017082868279524065,0.0002918243886555695,0.9066747948715044,0.0016144245206610214,2.6063665329115687e-06,0.9862755166708675,5.911679144076205e-05,3.494795030250557e-09,4.6626513034456455e-06,2.9564197141796312e-08,8.740417526389973e-16,0.7374820709228516,0.010511437273065801,0.00011049031354559702,1.8805768966674805,0.011924908862223003,0.00014220345137232472
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9718645725286523,0.0005457126715179659,2.9780231985527535e-07,0.9716137712345452,0.0005095073333224767,2.595977227093813e-07,0.9718645725286523,0.0005457126715179659,2.9780231985527535e-07,0.9716984654352055,0.0005225883581043181,2.7309859202616697e-07,0.7086035143029733,0.04167554758825377,0.0017368512667808047,0.6660497656719487,0.016019997189504892,0.00025664030995174465,0.6752717867389659,0.00812387113993378,6.599728229824897e-05,0.05975696093693108,0.0006428213073500564,4.132192331832358e-07,0.02813542747134775,0.0005457126715179704,2.9780231985528027e-07,0.005859492560551923,5.17940174971878e-05,2.682620248498996e-09,0.33395023432805127,0.016019997189504878,0.00025664030995174416,0.9061571646260141,0.0017541095340370433,3.0769002573996536e-06,0.9879081912100061,0.00016811778975097096,2.8263591230751676e-08,5.137703838508649e-06,4.0449927990144016e-08,1.6361966744078365e-15,0.7466273307800293,0.0123368093272602,0.00015219686437717428,2.0721787929534914,0.016315648032315073,0.0002662003707143867
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.9717053968086582,0.0005417023796604531,2.934414681297977e-07,0.9714075546151969,0.0005149021079850501,2.6512418080744814e-07,0.9717053968086582,0.0005417023796604531,2.934414681297977e-07,0.971507713214755,0.0005223303630861676,2.7282900820172766e-07,0.7082955014548791,0.041472147058244827,0.0017199389816206848,0.6631090876022012,0.015744144864804164,0.0002478780975239393,0.6729669433746652,0.00808779099967871,6.541236325448395e-05,0.060778473669169976,0.0006312879534818284,3.9852448021127516e-07,0.028294603191341843,0.0005417023796604708,2.9344146812981695e-07,0.0059382051240341235,5.545691595337539e-05,3.075469527059742e-09,0.33689091239779867,0.01574414486480417,0.00024787809752393954,0.9055571035867185,0.0017472389091140541,3.0528438055220702e-06,0.9889157658288324,0.0002148122490290596,4.6144302332922716e-08,5.62706441754376e-06,1.870905890468533e-08,3.500288850989854e-16,0.739466381072998,0.018209569917034815,0.00033158843656337926,2.2695515155792236,0.007547234119404747,5.696074285310715e-05
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.9713111765722623,0.000514408954284204,2.646165722477683e-07,0.970964378413602,0.0005050675727515439,2.5509325304513604e-07,0.9713111765722623,0.000514408954284204,2.646165722477683e-07,0.9710784653204956,0.0005022758363978397,2.522810158291494e-07,0.7095625167831315,0.041280124221864854,0.0017040486557725932,0.6599531031290427,0.015706904152205305,0.0002467068380465643,0.6707961220689383,0.008461521768706678,7.159735064229699e-05,0.0625753098396025,0.0006055838118480032,3.667317531723578e-07,0.028688823427737698,0.0005144089542842209,2.6461657224778573e-07,0.006084275551156012,6.061429499150831e-05,3.6740927573175897e-09,0.34004689687095746,0.015706904152205263,0.00024670683804656294,0.9041523963950112,0.0016745064194087125,2.803971748640987e-06,0.9901729295261225,0.00018859692628491611,3.556880060411808e-08,6.5827692717146145e-06,4.091074917480169e-08,1.673689398043537e-15,0.7462856292724609,0.015563193909064695,0.00024221300465114838,2.655013847351074,0.016500266301702593,0.0002722587880271021
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9713572928894619,0.0005431131766634145,2.949719226654253e-07,0.9713435049211702,0.0005106069542804506,2.6071946175955813e-07,0.9713572928894619,0.0005431131766634145,2.949719226654253e-07,0.9713356312607964,0.0005241512874432588,2.747345721284257e-07,0.7039788192522854,0.039151124749682784,0.0015328105691652235,0.6784155457861467,0.019176514034284203,0.000367738690507099,0.6814544849751176,0.019420025082853905,0.00037713737421867476,0.05828448929831481,0.0010427838672355464,1.0873981937667216e-06,0.02864270711053804,0.0005431131766634095,2.9497192266541986e-07,0.005795146427256858,8.79567200684451e-05,7.736384605198814e-09,0.3215844542138533,0.019176514034284196,0.00036773869050709865,0.9047873198710447,0.0017702210229295044,3.133682470021581e-06,0.9781304053566245,0.0003220016079912607,1.0368503554895754e-07,4.545156599667327e-06,1.6663089600840456e-08,2.776585550456373e-16,0.7416648864746094,0.019381885621695297,0.00037565749025247896,1.833188009262085,0.006719754754371983,4.515510395890487e-05
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9720088721123169,0.0004838502731142144,2.3411108679269983e-07,0.9718749985542031,0.00047017025299199634,2.2106006679855783e-07,0.9720088721123169,0.0004838502731142144,2.3411108679269983e-07,0.9719176209988774,0.00047428445996868825,2.2494574896779022e-07,0.7150709480320991,0.043941541510986996,0.0019308590703617933,0.6762703740153273,0.018544130126415183,0.00034388476214541923,0.6807185436930638,0.013047799655089747,0.00017024507583936012,0.05819543006453685,0.0008207448992203704,6.736221895962558e-07,0.027991127887683043,0.0004838502731142156,2.3411108679270107e-07,0.005745770530147992,6.972785494379995e-05,4.861973755063607e-09,0.3237296259846728,0.018544130126415214,0.0003438847621454203,0.9067994830609892,0.0015805726706867528,2.4982099673218542e-06,0.9836158460623905,0.00010654700994650478,1.135226532854059e-08,5.330191167664909e-06,4.0003274370680344e-08,1.6002619603759306e-15,0.7353292465209961,0.01310366702569494,0.0001717060895202849,2.14981427192688,0.01613355251900914,0.0002602915168836262
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9719577969854705,0.000548463106113551,3.0081177876772435e-07,0.9717452311225936,0.0005226335708541002,2.731458493837078e-07,0.9719577969854705,0.000548463106113551,3.0081177876772435e-07,0.9718175973074066,0.0005312167094399863,2.8219119238824687e-07,0.7172484267879083,0.04361677895024238,0.0019024234059943066,0.6708342677470095,0.017723531886078205,0.00031412358251683086,0.6781424574672663,0.010661163218933614,0.00011366040118074293,0.059197992115446386,0.0007450478524416876,5.550963024279707e-07,0.028042203014529633,0.0005484631061135611,3.0081177876773536e-07,0.005816013008665068,6.936211674212925e-05,4.811103238948766e-09,0.3291657322529905,0.01772353188607833,0.0003141235825168353,0.9065206721657816,0.0017826273824605144,3.177760384698025e-06,0.9863241233630557,0.00018390044109963576,3.38193722366406e-08,6.00107462450661e-06,3.841839258494289e-08,1.4759728888107946e-15,0.7498098373413086,0.015076562435566895,0.00022730273487354678,2.4204002380371095,0.0154975520651397,0.00024017412001171577
CIC17,B__RobustScaler_pca_NONE_knn,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9718258943410902,0.0005348654669173952,2.8608106770076315e-07,0.9715617288253163,0.000506936305431705,2.569844177647469e-07,0.9718258943410902,0.0005348654669173952,2.8608106770076315e-07,0.9716525706396487,0.0005159093968358272,2.6616250574350697e-07,0.7110406761066849,0.04139164236605289,0.0017132680577592245,0.667396035688986,0.015157036827053242,0.00022973576537664824,0.6778898173649981,0.008108405588729096,6.574624119133324e-05,0.06012738655743054,0.0007586547221263044,5.755569874045402e-07,0.028174105658909727,0.0005348654669173724,2.860810677007388e-07,0.005886766147756018,6.736739027828238e-05,4.538365272906416e-09,0.3326039643110139,0.015157036827053228,0.00022973576537664778,0.9060098260173802,0.0017400473646609058,3.0277648312633634e-06,0.987980995728177,0.0002144256703203675,4.597836809233894e-08,6.584806046417247e-06,3.8652353071824904e-08,1.494004397989012e-15,0.7377280712127685,0.016354524533981767,0.0002674704727326116,2.6558353424072267,0.01559090722730699,0.00024307638817049336
