dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,1613311,150000,403328,euclidean,3,0.8305795779117741,0.9377977687626661,0.8305795779117741,0.8717981004398467,0.3048839762065836,0.8218111674979021,0.3721462686408191,0.6372747572872749,0.9404516989619379,1.6705349669385357e-06,0.012409129773926508,0.1781888325020979,0.016716524520671665,0.16942042208822597,0.6737735271453857,0.058893680572509766
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,1613311,150000,403328,euclidean,3,0.8301977546810536,0.9376999770999833,0.8301977546810536,0.8720965041795917,0.30177649470354273,0.7646423199946973,0.36656386752308856,0.6338962693589869,0.939007720971329,1.5608984084403238e-06,0.012528158033563639,0.23535768000530277,0.018120125184508208,0.16980224531894636,0.629554033279419,0.042403459548950195
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,1613311,150000,403328,euclidean,3,0.8289307957791178,0.9359299684622742,0.8289307957791178,0.8695339668493764,0.29963253162417597,0.7613577445605401,0.36783391650778036,0.634189539434153,0.9403190853766452,1.5602706302275396e-06,0.01261129510336798,0.2386422554394598,0.018100222329637428,0.17106920422088226,0.6293008327484131,0.04369330406188965
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,1613311,150000,403328,euclidean,3,0.8325729927007299,0.9370366000846574,0.8325729927007299,0.87227051049473,0.30004625181328193,0.8019485073290438,0.3683253027683057,0.640549433398868,0.9405304051861935,1.559060590678039e-06,0.0122921127705761,0.1980514926709563,0.016954684259371456,0.16742700729927007,0.6288127899169922,0.04219985008239746
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,1613312,150000,403327,euclidean,3,0.8286080525231387,0.9346260984088491,0.8286080525231387,0.8687399289689534,0.29410430498026946,0.799087017852197,0.3605088771219288,0.6329861387390338,0.9399661315378169,1.6857873001145734e-06,0.012603428037910844,0.20091298214780287,0.01765947309180147,0.1713919474768612,0.6799235343933105,0.04357099533081055
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,1613311,150000,403328,euclidean,5,0.824353875753729,0.9377074940737888,0.824353875753729,0.8677838614522111,0.301283800211678,0.818750120217978,0.36745844563156765,0.6298654094027704,0.95025914059642,1.845792082520524e-06,0.01273601385027053,0.181249879782022,0.015394083507786921,0.17564612424627102,0.7444596290588379,0.042264461517333984
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,1613311,150000,403328,euclidean,5,0.8233472508727389,0.9372664483449398,0.8233472508727389,0.8676118906259729,0.29728126261546184,0.7676539306958879,0.3609192346333884,0.6254998804216261,0.9488442533037612,2.1983013715641114e-06,0.012919617447047654,0.23234606930411197,0.01714151257845361,0.1766527491272612,0.88663649559021,0.04317474365234375
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,1613311,150000,403328,euclidean,5,0.8226579855601397,0.9358381364044049,0.8226579855601397,0.8654692009604152,0.29612621959589924,0.7617540987024618,0.36325362425054414,0.6269190202027854,0.9498289793752418,1.7792759661219e-06,0.012924584956007483,0.23824590129753806,0.016526759900251892,0.17734201443986036,0.7176318168640137,0.04390978813171387
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,1613311,150000,403328,euclidean,5,0.8258340606156775,0.9362612739417471,0.8258340606156775,0.8675799548830063,0.295774804806584,0.8068941897694334,0.3634143761101198,0.6323869831434245,0.9500619145377609,1.9472675242525402e-06,0.012655698264518732,0.19310581023056667,0.015669534583458523,0.17416593938432243,0.7853875160217285,0.05739164352416992
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,1613312,150000,403327,euclidean,5,0.8219062943963583,0.9341814088362491,0.8219062943963583,0.864335240816497,0.29027294596217657,0.8013160786783631,0.3553437456390331,0.6248156299480659,0.9493208697010997,1.761730327176379e-06,0.012977800474927184,0.19868392132163687,0.016573301520266055,0.1780937056036417,0.7105534076690674,0.04233598709106445
