dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.8301778347191628,0.0015746347525139527,2.4794746038246772e-06,0.9366180825636861,0.0013396654545797082,1.794703530194256e-06,0.8301778347191628,0.0015746347525139527,2.4794746038246772e-06,0.8708878021864997,0.0016315418445826783,2.6619287906242484e-06,0.30008871186557073,0.003932753489791309,1.5466550011465718e-05,0.7897693514468761,0.025982762731055223,0.0006751039591383122,0.3670756465123845,0.004219958556507462,1.780805021864054e-05,0.017510205877198044,0.0006482545874316189,4.202340101261384e-07,0.16982216528083716,0.0015746347525139428,2.4794746038246455e-06,0.012488824743869014,0.00013668110724435789,1.8681725077543663e-08,0.21023064855312393,0.025982762731055223,0.0006751039591383122,0.6357792276436633,0.0031171083553656626,9.716364499090426e-06,0.9400550084067845,0.0006240617378776678,3.8945305268289495e-07,1.6073103792798026e-06,6.49053671057777e-08,4.212706679135771e-15,0.046152257919311525,0.007154163801278271,5.118205969552036e-05,0.6482729434967041,0.026177642339608877,0.0006852689584604832
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.8236198934397286,0.0015311179526660101,2.3443221849761544e-06,0.9362509523202259,0.0013789742387349524,1.9015699510946416e-06,0.8236198934397286,0.0015311179526660101,2.3443221849761544e-06,0.8665560297476205,0.001563964182886416,2.4459839653515747e-06,0.29614780663835993,0.00394704752849103,1.557918419216715e-05,0.7912736836128248,0.02514509445645052,0.0006322757752238187,0.3620778852529306,0.004438752853776828,1.9702526896911933e-05,0.016261038418043397,0.0007149892483480589,5.112096252533222e-07,0.17638010656027134,0.0015311179526660392,2.3443221849762433e-06,0.012842742998554316,0.0001389470693996039,1.9306288094738342e-08,0.20872631638717515,0.025145094456450457,0.0006322757752238155,0.6278973846237345,0.003171437040964746,1.0058012904803224e-05,0.9496630315028568,0.0005765121120167462,3.3236621530200927e-07,1.906473454327091e-06,1.7863348801903254e-07,3.190992304184585e-14,0.045815324783325194,0.00650632989749433,4.233232873502857e-05,0.7689337730407715,0.07204824433283845,0.005190949511444387
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.8178260942378742,0.00246306712972563,6.066699685534853e-06,0.9353479548091619,0.0016401156221511892,2.6899792540243827e-06,0.8178260942378742,0.00246306712972563,6.066699685534853e-06,0.8624392842409904,0.0021412764644715286,4.58506489729969e-06,0.2922553890222804,0.0039054708709918813,1.5252702724166083e-05,0.7914856957841543,0.02891053825544141,0.0008358192222193414,0.3572181439648229,0.004817864074767477,2.321181424293508e-05,0.01604624927340631,0.0006044562940649184,3.653674114346951e-07,0.18217390576212567,0.0024630671297256462,6.066699685534933e-06,0.013214677002368797,0.0001928651507494355,3.719696637360248e-08,0.20851430421584566,0.028910538255441362,0.0008358192222193385,0.6205592828823393,0.004433582045007545,1.9656649749813282e-05,0.9547847702147573,0.0006857308836097542,4.7022684473621423e-07,2.2079116532766133e-06,1.307434992939696e-07,1.7093862607632228e-14,0.042768669128417966,0.0009045861897249712,8.182761746411416e-07,0.8905121803283691,0.0527331155941469,0.0027807814802656592
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.8124746157114837,0.002757946183240961,7.606267149653383e-06,0.9343342587233652,0.001638970530988535,2.6862244014488408e-06,0.8124746157114837,0.002757946183240961,7.606267149653383e-06,0.8585214949163735,0.0022336082645421397,4.989005879430949e-06,0.2890331988870917,0.003803517479860631,1.4466745219605365e-05,0.7928092223003445,0.028734789079325643,0.0008256881034333323,0.35340961705462637,0.004921602134704883,2.4222167572331668e-05,0.01590908799337038,0.0005972926467594531,3.567585058729128e-07,0.18752538428851645,0.0027579461832409817,7.6062671496534974e-06,0.013562298152125788,0.00021751270843025776,4.731177832866632e-08,0.20719077769965555,0.028734789079325595,0.0008256881034333294,0.6138910539081593,0.004767187061503992,2.2726072479371062e-05,0.9581367576294841,0.0006761785683581751,4.572174563069114e-07,2.500440045235443e-06,1.364569299056179e-07,1.8620493719266716e-14,0.04550352096557617,0.0036578868332148304,1.338013608460642e-05,1.0084969520568847,0.05503616148214572,0.00302897907068882
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.8080439760462677,0.0032950862289785627,1.0857593256404166e-05,0.9335638242459889,0.0018039226292206046,3.254136852214179e-06,0.8080439760462677,0.0032950862289785627,1.0857593256404166e-05,0.8552786551817488,0.0026634145105480203,7.093776854997751e-06,0.286313248212732,0.004120273044297049,1.6976649959560875e-05,0.7950471123942717,0.030137947563969307,0.0009082958833685635,0.35022092307893715,0.005387072037632337,2.9020545138640223e-05,0.01577752032894845,0.0007533976239402202,5.676079797587694e-07,0.19195602395373254,0.003295086228978569,1.0857593256404207e-05,0.013848902952178731,0.00026733381917282053,7.146737087352632e-08,0.20495288760572822,0.0301379475639693,0.0009082958833685631,0.6085912492767382,0.005482793492227797,3.0061024478415486e-05,0.9603459659019048,0.0006969085039161098,4.856814628305904e-07,2.694898827280985e-06,5.401668319549685e-08,2.9178020634426713e-15,0.04532318115234375,0.0055681972023708315,3.100482008449035e-05,1.086927604675293,0.02178576972663696,0.00047461976258205145
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.8012638827038101,0.0036943866375168614,1.3648492627463142e-05,0.9324480817317771,0.0018453822953735039,3.405435816077982e-06,0.8012638827038101,0.0036943866375168614,1.3648492627463142e-05,0.8503955274427252,0.002967291166499342,8.804816866785025e-06,0.28215013455125837,0.0040505603223712815,1.6407038925168543e-05,0.7921465025447885,0.029980039907189372,0.0008988027928366674,0.34488691782419084,0.005153481186691847,2.6558368341586814e-05,0.015977542479059893,0.0007505341147868448,5.633014574588728e-07,0.19873611729618995,0.003694386637516834,1.3648492627462939e-05,0.01431424398501666,0.00029523283987356326,8.716242973980905e-08,0.20785349745521145,0.02998003990718934,0.0008988027928366655,0.6003599953673635,0.005841273614089315,3.412047743465605e-05,0.9632164905529244,0.0006365833804649735,4.052384002842132e-07,3.6186265647487904e-06,2.517782440444287e-07,6.33922841740959e-14,0.052975034713745116,0.008559056491535027,7.325744802528788e-05,1.4594926834106445,0.1015490708472743,0.010312213789944735
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.8298837812145685,0.0014804474373598872,2.1917246147854573e-06,0.9365101721779387,0.0012295455203556736,1.511782186626704e-06,0.8298837812145685,0.0014804474373598872,2.1917246147854573e-06,0.870667554435515,0.0013435542229505162,1.8051379500081653e-06,0.2997128066492574,0.004131306615727715,1.7067694353155584e-05,0.7896484689138449,0.02580664043019442,0.0006659826902933452,0.3667450170308865,0.0050246673035310935,2.524728151117443e-05,0.017476918811112248,0.0005542918097166141,3.0723941031891915e-07,0.1701162187854315,0.0014804474373598636,2.1917246147853874e-06,0.012506209173102915,0.00013126437963979147,1.7230337362219304e-08,0.2103515310861551,0.025806640430194417,0.0006659826902933451,0.6354132710433535,0.0032406201040622853,1.0501618658852656e-05,0.9400722244863571,0.0008340667631543407,6.95667365398759e-07,2.0068352809061627e-06,3.616978351751674e-07,1.3082532397040256e-13,0.05042810440063476,0.007339645942712158,5.3870402564371037e-05,0.8094124794006348,0.14588299994589995,0.021281849673215447
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.8233461704947909,0.0017561036729950743,3.0839001103067907e-06,0.9361152530920862,0.0014589286752975416,2.1284728796054397e-06,0.8233461704947909,0.0017561036729950743,3.0839001103067907e-06,0.8663284712617999,0.0016455504610045817,2.7078363197123914e-06,0.2955678199732872,0.004317827333323583,1.8643632880396247e-05,0.7891337555424623,0.02517523571210231,0.0006337924931599113,0.36139809741635126,0.005198220536251476,2.7021496743506583e-05,0.016270812871884158,0.0006836930434845502,4.6743617770916707e-07,0.1766538295052092,0.0017561036729950746,3.083900110306792e-06,0.012861642825139557,0.00015784038281245369,2.4913586446381924e-08,0.21086624445753763,0.025175235712102333,0.0006337924931599126,0.6275016227547586,0.003578345985819588,1.280455999423116e-05,0.949758282444016,0.0008123753826435417,6.599537623252408e-07,2.279255885299628e-06,1.720252144632178e-07,2.959267441111608e-14,0.04647984504699707,0.006487624933300421,4.20892772751813e-05,0.9192873001098633,0.06938316610864746,0.004814023739260165
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.817397658899232,0.002184437846521139,4.7717687053139105e-06,0.9352405472101448,0.0016565140172285987,2.7440386892748304e-06,0.817397658899232,0.002184437846521139,4.7717687053139105e-06,0.8621196623478966,0.0019427030837048703,3.7740952714364124e-06,0.29174974226959144,0.004217956980324019,1.779116108786412e-05,0.7962147855490208,0.03142276645711377,0.0009873902518183141,0.35675295783747085,0.005373152940390315,2.887077252082509e-05,0.015929618864287953,0.0007181520777561584,5.157424067854874e-07,0.18260234110076806,0.002184437846521152,4.771768705313967e-06,0.013235463997670402,0.00019094280388599067,3.645915435584389e-08,0.20378521445097925,0.031422766457113754,0.0009873902518183133,0.6200437089444388,0.004174897978278659,1.7429773129035237e-05,0.9549164945084587,0.0008665632133719823,7.509318027695757e-07,2.5821640833449244e-06,1.837321312567853e-07,3.375749605616059e-14,0.04767279624938965,0.008489073215557037,7.20643640590879e-05,1.041458511352539,0.07410339929838435,0.0054913137875757904
CIC17,B__RobustScaler_pca_RUS_SMOTE_knn,RobustScaler + PCA + RUS_SMOTE + knn,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.8124493264036531,0.0028599277674859775,8.179186835237327e-06,0.9344923018620541,0.0016959387034250811,2.8762080857751454e-06,0.8124493264036531,0.0028599277674859775,8.179186835237327e-06,0.8586112752166575,0.0022635521554863606,5.123668360606948e-06,0.288852952086812,0.004006973510744968,1.605583671581185e-05,0.7929770383093164,0.02866627825711127,0.0008217555091141304,0.35314558686338016,0.0054066111681291005,2.923144432333832e-05,0.0157191911708497,0.0007145981082667538,5.106504563384232e-07,0.18755067359634683,0.002859927767485997,8.179186835237439e-06,0.013551324317813102,0.00023707895121385662,5.620642910866221e-08,0.20702296169068352,0.02866627825711119,0.0008217555091141257,0.6139001461858287,0.004948749773603868,2.4490124321744334e-05,0.9582575890918132,0.0008381434933797273,7.02484515494773e-07,3.0650447011157773e-06,3.0494748259964497e-07,9.299296714386078e-14,0.0427098274230957,0.0006211007850727748,3.857661852180172e-07,1.236217737197876,0.12299387075267713,0.015127492242726248
