dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.1579058026344773,0.006346785123654211,4.02816814058384e-05,0.809924058409061,0.00886943028701251,7.866679361617483e-05,0.1579058026344773,0.006346785123654211,4.02816814058384e-05,0.21528903277836098,0.010429139193545125,0.00010876694431833907,0.2896658914013304,0.010357847725997833,0.00010728500951495848,0.7294700946235946,0.019739300657341058,0.0003896399904409051,0.21947059202073255,0.01271107784652836,0.0001615715000205041,0.07973873861688102,0.007714138401107789,5.9507931271445834e-05,0.8420941973655227,0.0063467851236542324,4.028168140583867e-05,0.061455529065493585,0.0002911996187454659,8.479721795750471e-08,0.2705299053764054,0.01973930065734103,0.00038963999044090404,0.1522496518389388,0.00994470232230134,9.889710427918565e-05,0.5248753240128522,0.0037849803486948875,1.4326076240006471e-05,4.582023893017726e-05,8.791633993777087e-07,7.729282828053686e-13,0.01322951316833496,0.001439821688490354,2.0730864946472137e-06,18.480576276779175,0.35459852483377335,0.12574011381428818
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.15657586683010805,0.006149011252904537,3.781033938834662e-05,0.829314887460033,0.011881471895375908,0.0001411693744006076,0.15657586683010805,0.006149011252904537,3.781033938834662e-05,0.21330507107535995,0.01005811772691956,0.00010116573220857347,0.2906418130727363,0.010309240896819614,0.00010628044786865807,0.7294754445329461,0.019583132406538046,0.0003834990748520006,0.21895359584459997,0.011187744782370305,0.000125165633315454,0.0666375208954833,0.012193254699727705,0.00014867546017243176,0.843424133169892,0.006149011252904549,3.781033938834677e-05,0.060670776937691684,0.0004560286134863055,2.0796209631824224e-07,0.27052455546705395,0.019583132406538067,0.0003834990748520015,0.15641238156470122,0.012038008208199866,0.00014491364162068737,0.5254374144140619,0.004205643153784959,1.7687434336978298e-05,4.506354116539536e-05,1.6550445798942367e-06,2.7391725614372904e-12,0.014252662658691406,0.0019482924203497068,3.795843355192119e-06,18.175379467010497,0.6675433542894168,0.44561412985596577
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.15626892030043643,0.005710042191035702,3.26045818234078e-05,0.8314490874253206,0.018921190853906287,0.0003580114633299469,0.15626892030043643,0.005710042191035702,3.26045818234078e-05,0.21282722491325773,0.009539829584659421,9.100834850434316e-05,0.2914645687322189,0.009928150037695916,9.856816317100143e-05,0.7292198633631761,0.019877254784767696,0.0003951052577785703,0.22020916553309,0.010626700090758261,0.00011292675481892162,0.06518845217278761,0.014800666002697053,0.00021905971412339238,0.8437310796995636,0.005710042191035698,3.260458182340775e-05,0.06059463545815674,0.0007595174268423754,5.76866721677263e-07,0.2707801366368238,0.01987725478476764,0.0003951052577785681,0.15689678821044822,0.012511596459813933,0.00015654004597322855,0.523242812980253,0.005354912539349734,2.8675088304085018e-05,4.4743217027861965e-05,1.5680313575491727e-06,2.458722338257502e-12,0.017165327072143556,0.0012306657089241433,1.514538087121764e-06,18.04618353843689,0.6324396083542011,0.39997985821521526
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.15619106802762714,0.005870573110739938,3.446362864854279e-05,0.8426939954861172,0.01855569754452283,0.00034431391136381054,0.15619106802762714,0.005870573110739938,3.446362864854279e-05,0.21272608017694283,0.010053376390594417,0.00010107037685096122,0.2925158210022829,0.008674131100224443,7.524055034388092e-05,0.7291942742312886,0.01968271934736705,0.0003874094409072171,0.22071906389289353,0.009788378297187202,9.581234968884545e-05,0.058608804001825686,0.014042973053582005,0.00019720509218363032,0.8438089319723729,0.00587057311073994,3.4463628648542814e-05,0.0601611823982799,0.0006813990442213737,4.643046574658016e-07,0.27080572576871137,0.019682719347367015,0.0003874094409072158,0.15921916795315816,0.010920511268427873,0.00011925756636386015,0.5229486093803148,0.004478716484452453,2.0058901348106138e-05,4.363609049613219e-05,8.627980165613507e-07,7.444204173822007e-13,0.013506317138671875,0.0012696772591031396,1.6120803422836614e-06,17.599648332595827,0.34798755990654706,0.12109534184971267
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.15613007551139563,0.005527005918592201,3.054779442415322e-05,0.8484413441330645,0.0189131404357709,0.0003577068811431923,0.15613007551139563,0.005527005918592201,3.054779442415322e-05,0.21259560970096136,0.00968020409776607,9.370635137440703e-05,0.2934386331814289,0.00785945582478125,6.177104586168792e-05,0.7297610901117572,0.01964911689137149,0.00038608779461078046,0.22193796333058927,0.009147429828738042,8.367547247168648e-05,0.05501085508573962,0.013509958210584911,0.00018251897085175067,0.8438699244886043,0.005527005918592198,3.054779442415318e-05,0.059925385304956266,0.0007081073592169254,5.01416032177168e-07,0.27023890988824284,0.019649116891371474,0.00038608779461077975,0.16054274002730248,0.01082478250529445,0.0001171759162869288,0.520556335335746,0.005825056764696482,3.393128631193624e-05,4.6106417591638686e-05,6.446502227091564e-07,4.15573909638965e-13,0.012936592102050781,0.002609194413652743,6.8078954882366816e-06,18.596000051498415,0.26001243363332127,0.06760646564392231
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.15574081427890135,0.005267529178576845,2.774686364715845e-05,0.8490568706293302,0.01803094333846068,0.00032511491767477953,0.15574081427890135,0.005267529178576845,2.774686364715845e-05,0.21165361492409943,0.00954540963024373,9.111484500914975e-05,0.29354839653893094,0.00917245041134685,8.413384654861698e-05,0.7304524441969587,0.019499899968650748,0.0003802460987873854,0.22252862546814262,0.010404669773953722,0.00010825715310502619,0.053772841207946155,0.012458508748453967,0.00015521444023530406,0.8442591857210987,0.00526752917857686,2.7746863647158605e-05,0.059868801795269655,0.0007715743967733198,5.953270497561124e-07,0.26954755580304135,0.019499899968650706,0.00038024609878738386,0.16114526240510563,0.013137355999117842,0.00017259012264755756,0.5202965027651714,0.00600901094917215,3.6108212587270786e-05,4.561052875534598e-05,1.5390181796986478e-06,2.3685769574429395e-12,0.013964033126831055,0.0005357109123990767,2.869861816634511e-07,18.395994091033934,0.6207242898641906,0.38529864402740377
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.161592629696157,0.007072610802290707,5.00218235606792e-05,0.7695172254361535,0.008789033731998968,7.72471139422157e-05,0.161592629696157,0.007072610802290707,5.00218235606792e-05,0.21955787414574282,0.010161161254222626,0.00010324919803431512,0.2864045253813838,0.009456609016164429,8.942745408460235e-05,0.7315358627892463,0.019746422879891284,0.00038992121655149407,0.22052632917320528,0.010129668631011071,0.00010261018657408972,0.1117771797266294,0.016233951530300297,0.0002635411822881394,0.838407370303843,0.007072610802290712,5.0021823560679276e-05,0.06334563666869816,0.000638659635096568,4.078861295016814e-07,0.2684641372107538,0.019746422879891246,0.00038992121655149245,0.14146530902829413,0.012043632347984466,0.00014504908013341785,0.5248489959972132,0.0028617007719317243,8.189331308074625e-06,0.0001756035556575781,1.4534624708181637e-06,2.1125531540768414e-12,0.013695383071899414,0.0007176936365537928,5.150841559498075e-07,70.82579584121704,0.5862320154180751,0.3436679759011383
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.16096782768688497,0.0068911817633762265,4.7488386095889076e-05,0.7912281318399779,0.008551171185067728,7.312252863633262e-05,0.16096782768688497,0.0068911817633762265,4.7488386095889076e-05,0.21879560091470412,0.009827428577600102,9.657835244783116e-05,0.2881124744442686,0.008861152389624084,7.85200216721406e-05,0.7326430156426402,0.019376571578366874,0.0003754515261315749,0.22221401822270978,0.008879955905486034,7.885361688337628e-05,0.09368976472253535,0.013425073340148268,0.00018023259418835976,0.839032172313115,0.0068911817633762135,4.74883860958889e-05,0.062181462469043366,0.0005130625247596371,2.632331543127332e-07,0.2673569843573597,0.019376571578366832,0.0003754515261315734,0.14907877355121993,0.011164847564781978,0.0001246538211448181,0.5265042823299588,0.0031628223890397696,1.0003445464611235e-05,0.00017465905098331606,7.817696940325929e-07,6.111638545078139e-13,0.012957906723022461,0.0006453577764001748,4.1648665956017793e-07,70.444850730896,0.31529499094008046,0.09941093131190541
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.15986847352261024,0.006648674747327583,4.42048758957515e-05,0.802604835563933,0.015212342600360914,0.00023141536739075544,0.15986847352261024,0.006648674747327583,4.42048758957515e-05,0.21717354700307143,0.00946065528838443,8.950399848563628e-05,0.28892281524322766,0.009395982770618693,8.828449222576332e-05,0.7293445462706496,0.020100999990080647,0.00040405020060122225,0.22212632970648705,0.009010499828594231,8.118910716109666e-05,0.08496945168865133,0.01712346294585246,0.0002932129832579823,0.8401315264773899,0.0066486747473275785,4.4204875895751436e-05,0.06167339854440275,0.0008061122687513841,6.498169898315038e-07,0.27065545372935046,0.020100999990080633,0.0004040502006012216,0.15182287956507756,0.012965717694805253,0.00016810983534138607,0.5265023611528102,0.0032605370541018185,1.0631101881170965e-05,0.00017680282772,6.130756899427281e-07,3.75861801598752e-13,0.012834119796752929,0.0011184825730130626,1.2510032661339212e-06,71.30949540138245,0.24722112958215156,0.06111828691187497
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.1591514388740211,0.006473506258241734,4.1906283275494894e-05,0.8079239475007547,0.017707040103654245,0.0003135392692324197,0.1591514388740211,0.006473506258241734,4.1906283275494894e-05,0.2160581437801345,0.009296040898045355,8.641637637813189e-05,0.2894119384495627,0.00932429845937619,8.69425417595252e-05,0.7324689308651199,0.020406450644559565,0.0004164232279088455,0.22227714990210196,0.00864140561323273,7.467389097241012e-05,0.0808364973243749,0.01817956361868037,0.0003304965333656469,0.840848561125979,0.00647350625824171,4.190628327549458e-05,0.061445670563356924,0.0009012629415680505,8.122748898438952e-07,0.2675310691348801,0.020406450644559596,0.0004164232279088467,0.15314742422517252,0.01363648958867994,0.00018595384830217637,0.5267133608038053,0.003053804345700406,9.325720981818685e-06,0.00017723045372343045,2.717882811796074e-06,7.386886978656533e-12,0.012419891357421876,0.001774183124921111,3.1477257607548383e-06,71.48196878433228,1.0961811100664496,1.2016130260665137
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.1585226698824388,0.006401510356322561,4.0979334842105e-05,0.8113780500471315,0.018352499853385357,0.0003368142508685095,0.1585226698824388,0.006401510356322561,4.0979334842105e-05,0.21496957348846474,0.00918957481005569,8.444828518961008e-05,0.2899804601601793,0.009056578853453493,8.202162052882099e-05,0.7296735412336255,0.020209976600722143,0.0004084431542017366,0.22312015488938947,0.008220389189878413,6.757479843306986e-05,0.07774272838680632,0.018125563419223233,0.00032853604926428345,0.8414773301175613,0.0064015103563225765,4.09793348421052e-05,0.0612813372336245,0.0009345586178696889,8.733998102345032e-07,0.27032645876637457,0.020209976600722115,0.00040844315420173545,0.1541540888693569,0.01409984772381761,0.00019880570583484465,0.5261227374110369,0.004315136774567378,1.8620405383223756e-05,0.00017739356519330958,8.610828431480269e-07,7.414636627638894e-13,0.013283348083496094,0.0009283233371981306,8.617842183866742e-07,71.54775633811951,0.3472871095944065,0.12060833649043731
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_knn,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.15772282432105883,0.005969644183844649,3.5636651681710246e-05,0.8227350899686069,0.0209114072115896,0.0004372869515689215,0.15772282432105883,0.005969644183844649,3.5636651681710246e-05,0.21352557643447492,0.008672025649947377,7.520402887334524e-05,0.2901581652828405,0.008986191035293674,8.075162932279239e-05,0.7303392034066467,0.019928478747065412,0.0003971442651722379,0.2227040876813498,0.008278810960195093,6.85387109146464e-05,0.06937655915828445,0.017597687999340687,0.0003096786229221393,0.8422771756789411,0.005969644183844656,3.563665168171033e-05,0.06077691565581504,0.0010368193893421592,1.0749944461158481e-06,0.2696607965933534,0.019928478747065416,0.000397144265172238,0.15686897902462915,0.01475203576692197,0.00021762255926854507,0.5264350055709717,0.003901277970360916,1.521996980202339e-05,0.00017842887969044154,4.244599052351688e-06,1.801662111522484e-11,0.011295795440673828,0.000821436865869981,6.747585246102972e-07,71.96532607078552,1.7118874256764265,2.9305585581890625
