dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,1613311,150000,403328,euclidean,3,0.15894011821643922,0.8160784962894705,0.15894011821643922,0.20831249561157528,0.27230058781506966,0.7168043815648564,0.19770770861979106,0.13410681941537142,0.5237579125591969,4.714751637992084e-05,0.061470115933693906,0.28319561843514346,0.08099185722184786,0.8410598817835607,19.015913486480713,0.011996030807495117
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,1613311,150000,403328,euclidean,3,0.14709368057759442,0.8031488790016544,0.14709368057759442,0.18954233710457527,0.2751035467088438,0.7557701796510448,0.20210381188127874,0.1329865454760042,0.5256608159844463,4.6053997668641895e-05,0.06192316963419075,0.24422982034895527,0.07594122509045555,0.8529063194224056,18.574866771697998,0.014379262924194336
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,1613311,150000,403328,euclidean,3,0.1587888765471279,0.790329922381744,0.1587888765471279,0.20857059067241118,0.2762676924891588,0.7101005114474517,0.2078031793422749,0.13131028205569703,0.5201644866880832,4.570827334977377e-05,0.06244786455006771,0.2898994885525484,0.09550684479814348,0.8412111234528721,18.435426473617554,0.01565241813659668
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,1613311,150000,403328,euclidean,3,0.1636856355125357,0.8154563091756311,0.1636856355125357,0.2277460684835905,0.2952348080536671,0.7412067391105057,0.2237084528642958,0.1593822291760299,0.5303516121896352,4.410555379915071e-05,0.06118576768448512,0.25879326088949434,0.08147215077981249,0.8363143644874643,17.789004802703857,0.014763116836547852
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,1613312,150000,403327,euclidean,3,0.15647601078033457,0.7880013735509417,0.15647601078033457,0.2037547747292453,0.271074043910655,0.709801379690159,0.2002893622384559,0.1307166723594569,0.5165815242242852,4.427485571259977e-05,0.06248091816603715,0.2901986203098411,0.09368978327089186,0.8435239892196654,17.857244729995728,0.014604806900024414
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,1613311,150000,403328,euclidean,5,0.15954260552205649,0.818758043812187,0.15954260552205649,0.20918530553204326,0.27269276623100747,0.7154103889174812,0.198986216944538,0.13486832893548661,0.5250340447016694,4.541538407484034e-05,0.061319780925781824,0.2845896110825187,0.07933931940878376,0.8404573944779435,18.317296028137207,0.01264643669128418
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,1613311,150000,403328,euclidean,5,0.14681847032688036,0.8379875797466503,0.14681847032688036,0.19357728296993534,0.28244522561931273,0.7575568687964603,0.20919742301840857,0.1534473658841138,0.5273054102181155,4.440788398353458e-05,0.06033395640279333,0.24244313120353975,0.05182781636878011,0.8531815296731197,17.910943031311035,0.015020132064819336
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,1613311,150000,403328,euclidean,5,0.15777481355125356,0.8207542756006398,0.15777481355125356,0.2116953130018869,0.2845754411666636,0.7100901561732286,0.21656735697480692,0.15239033574739938,0.5193160294665122,4.756860600524916e-05,0.06080811866571244,0.28990984382677143,0.06989659353694007,0.8422251864487464,19.185750722885132,0.01578521728515625
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,1613311,150000,403328,euclidean,5,0.1621360282450016,0.8272651034777343,0.1621360282450016,0.2252790312742948,0.2960883669548128,0.7437161167864301,0.22409421161209905,0.16227126369684353,0.5313868135707263,4.7179900750550947e-05,0.06064743475037381,0.25628388321356993,0.07184754950060879,0.8378639717549984,19.028975009918213,0.014077425003051758
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,1613312,150000,403327,euclidean,5,0.1555363266034756,0.8149333725410326,0.1555363266034756,0.20659071940631127,0.2785690535437123,0.7099626935326907,0.20827712038499907,0.1493744478884081,0.516967213723554,4.761836288229657e-05,0.061022067589236735,0.29003730646730924,0.0708673404420266,0.8444636733965244,19.205771446228027,0.011298179626464844
