dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.15699686432680635,0.00612518449191381,3.751788505998143e-05,0.8026029960798884,0.013331639716083685,0.00017773261751945985,0.15699686432680635,0.00612518449191381,3.751788505998143e-05,0.2075852533202795,0.013676417942029262,0.00018704440772505988,0.2779961357954789,0.009860033366723453,9.722025799289981e-05,0.7267366382928035,0.020703524854104576,0.0004286359413845259,0.20632250298921928,0.01040281788184627,0.00010821861988286051,0.08552037223223023,0.008589594229636057,7.378112902979705e-05,0.8430031356731936,0.00612518449191381,3.751788505998143e-05,0.061901567193694926,0.0005772941501761941,3.332685358276541e-07,0.2732633617071965,0.02070352485410457,0.0004286359413845256,0.13770050969651187,0.012194691686850662,0.00014871050533734465,0.5233032703291294,0.005255418097071596,2.7619419375027633e-05,4.545803938201739e-05,1.2748781012217544e-06,1.6253141729747859e-12,0.01427912712097168,0.00136462426445533,1.8621993831402506e-06,18.33449125289917,0.5142043076950645,0.26440607005216066
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.15636164884973353,0.005856884631664871,3.4303097588632156e-05,0.8239396750356489,0.009034816785827047,8.162791435346216e-05,0.15636164884973353,0.005856884631664871,3.4303097588632156e-05,0.2092655304368943,0.011353614083759844,0.00012890455276294989,0.2828741707031018,0.008658642047605955,7.497208210856985e-05,0.7273472448412581,0.0219264658068373,0.0004807699027784054,0.21142446578697033,0.00944123040024281,8.913683147046901e-05,0.06875572385142786,0.010172099596109829,0.00010347161019317774,0.8436383511502663,0.005856884631664886,3.4303097588632325e-05,0.06082627166677963,0.0003730194114395766,1.3914348131072815e-07,0.27265275515874177,0.02192646580683724,0.0004807699027784026,0.1504703484304503,0.009955332687315509,9.910864891513262e-05,0.5240019023361155,0.005872811178602489,3.4489911139518354e-05,4.6438027539294316e-05,1.4481934922157739e-06,2.097264390896119e-12,0.013765478134155273,0.0018090487313603308,3.272657312436422e-06,18.729747247695922,0.5840872824207161,0.34115795348561734
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.15601007387173102,0.005572588216959311,3.1053739435793746e-05,0.8280016214731545,0.019853569463031476,0.00039416422042341597,0.15601007387173102,0.005572588216959311,3.1053739435793746e-05,0.21014218369553075,0.01012671908189782,0.00010255043936367343,0.28604792348913266,0.00894907607517386,8.008596259924919e-05,0.7265239472816912,0.022180167370794108,0.0004919598245964397,0.21508390873615774,0.009827483337175928,9.65794287424705e-05,0.06613872967844574,0.014462431265189169,0.00020916191810032116,0.8439899261282691,0.005572588216959315,3.105373943579379e-05,0.06067524372044765,0.0007792956871275099,6.073017679755377e-07,0.27347605271830877,0.02218016737079408,0.0004919598245964384,0.15379294278177014,0.011694313741775797,0.00013675697389108624,0.5219083004160001,0.00690411557202698,4.766681183190544e-05,4.65150112968225e-05,8.081191927391623e-07,6.530566296733955e-13,0.015549564361572265,0.002411485302317967,5.815261363295577e-06,18.76079730987549,0.325946778969319,0.10624130272047409
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.15609982726359556,0.0056333998389765496,3.1735193745781016e-05,0.8398248123508848,0.01902722146558136,0.00036203515670028,0.15609982726359556,0.0056333998389765496,3.1735193745781016e-05,0.21116878483355023,0.009918964768423293,9.838586207722253e-05,0.28888934379891273,0.00815627214589023,6.652477531782481e-05,0.7261311472289016,0.020028524671552094,0.000401141800518971,0.2173909647230646,0.009795000219899836,9.594202930783785e-05,0.05949799934686506,0.013317703623501516,0.0001773612298034254,0.8439001727364044,0.005633399838976585,3.1735193745781415e-05,0.0602265448055513,0.0006898721980748624,4.7592364967664226e-07,0.2738688527710983,0.020028524671551966,0.00040114180051896577,0.15726650805243053,0.010335054556712136,0.00010681335269021627,0.5216396052944254,0.006156934567334956,3.790784326644409e-05,4.687001240846444e-05,5.873036018406358e-07,3.4492552073498413e-13,0.014771556854248047,0.0005123156102722338,2.624672845286114e-07,18.90397915840149,0.23689241957098373,0.05611801845019499
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.15610280246897706,0.005603815185336595,3.140274463140902e-05,0.8476438176912728,0.01848454388646625,0.00034167836269069686,0.15610280246897706,0.005603815185336595,3.140274463140902e-05,0.21210908529685008,0.009939515743632799,9.879397321792429e-05,0.29202347451842253,0.008327007295426094,6.933905049807939e-05,0.7258588943907618,0.01982826212009611,0.00039315997870323827,0.22028788737958402,0.01028299069651851,0.00010573989766468625,0.055345810461056355,0.013272919713870557,0.0001761703977308537,0.843897197531023,0.0056038151853366235,3.140274463140934e-05,0.059949533866138625,0.0007084931782379625,5.019625836097294e-07,0.27414110560923816,0.01982826212009612,0.0003931599787032387,0.15981026341105603,0.010597018736224076,0.00011229680609588413,0.5192968291002173,0.00700967276079627,4.913551221344921e-05,4.657111453091555e-05,1.8268019461507322e-06,3.3372053504601025e-12,0.014162397384643555,0.0007782829806236917,6.057243979284977e-07,18.783424806594848,0.7367884359135882,0.5428571992959916
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.15574825236550796,0.005304754064000693,2.8140415679531867e-05,0.848145284721441,0.018245904830021878,0.00033291304306621564,0.15574825236550796,0.005304754064000693,2.8140415679531867e-05,0.21122949053455553,0.009566435638552596,9.151669082656922e-05,0.29222989628925894,0.008786848213067338,7.720870151948467e-05,0.7260161730189137,0.021632683790363916,0.00046797300797387373,0.22134922716577946,0.010456278295880712,0.00010933375580090604,0.054045947403896545,0.012331821299289595,0.0001520738165576125,0.844251747634492,0.005304754064000694,2.8140415679531874e-05,0.05988651300255924,0.0007703740170986908,5.93476126220774e-07,0.27398382698108625,0.021632683790363885,0.00046797300797387243,0.16058391475460881,0.012961726107024325,0.00016800634367351595,0.5190557931091131,0.006955528284323146,4.8379373714019277e-05,4.783897217277907e-05,1.1307137574350699e-06,1.2785136012529339e-12,0.014864158630371094,0.0005388149749845534,2.903215772676049e-07,19.29478726387024,0.45604117852900306,0.20797355651412205
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.16063757459179712,0.006574825900830472,4.3228335626231234e-05,0.7618557091235345,0.010006834945340326,0.00010013674562328431,0.16063757459179712,0.006574825900830472,4.3228335626231234e-05,0.21160938320020323,0.01328412840199107,0.0001764680674005858,0.2748993231827406,0.009638715539021412,9.290483724217281e-05,0.7290800387971152,0.01872906859223858,0.00035077801033277765,0.2077461608981483,0.010098993504820727,0.00010198966981041124,0.11756744047853511,0.013640706703514839,0.00018606887937131468,0.8393624254082027,0.006574825900830469,4.322833562623118e-05,0.0637953243924492,0.0005847016234867222,3.4187598850800864e-07,0.2709199612028847,0.018729068592238586,0.00035077801033277787,0.1272803532209849,0.010944572785212202,0.00011978367345080757,0.5231858042508184,0.00309913327873363,9.604627079354258e-06,0.00018422840642195445,9.555531496962077e-07,9.13081821894343e-13,0.01427927017211914,0.0006198654399836115,3.842331636860763e-07,74.30443754196168,0.3853241143182889,0.14847467307517376
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.16051955662401823,0.006502285667765562,4.227971890522944e-05,0.7864576756551369,0.008422654983979603,7.094111697915645e-05,0.16051955662401823,0.006502285667765562,4.227971890522944e-05,0.21429162869445023,0.01132687782400236,0.00012829816123987643,0.27980707682131334,0.007898364897941547,6.238416806103519e-05,0.7298508424856296,0.020472138091480928,0.0004191084380366643,0.21363440432108485,0.007884634447708608,6.216746037399322e-05,0.0952044750655179,0.011174873269113242,0.00012487779258074167,0.8394804433759818,0.006502285667765559,4.22797189052294e-05,0.06231232789609997,0.00043575111017412976,1.898790300179866e-07,0.2701491575143703,0.02047213809148093,0.0004191084380366645,0.1433020502355305,0.009204741536276258,8.47272667496494e-05,0.524876284021693,0.0032258418380179646,1.040605556390712e-05,0.00018494123514220675,1.2650765272847636e-06,1.6004186198868771e-12,0.0139678955078125,0.001163424080991843,1.3535555922317144e-06,74.59194121360778,0.5101882004709026,0.26029199989973795
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.15965375992978506,0.006463193475250852,4.177286989852518e-05,0.7995791198807088,0.013226858690792449,0.00017494979082619173,0.15965375992978506,0.006463193475250852,4.177286989852518e-05,0.21476679610155786,0.010094168585669883,0.00010189223943592473,0.2837405132143463,0.008117544346217831,6.589452621281307e-05,0.7294276336552401,0.01927581614919527,0.00037155708821757713,0.2170668221264204,0.008452049027699155,7.143713276663022e-05,0.085686243026774,0.015657078919330294,0.00024514412028613704,0.840346240070215,0.0064631934752508455,4.17728698985251e-05,0.06173549887313259,0.0007399493434677265,5.475250308983195e-07,0.27057236634475995,0.019275816149195293,0.00037155708821757805,0.14912992350841872,0.011489978415663639,0.00013201960399241631,0.52504565874371,0.0038243796474333805,1.4625879687702666e-05,0.00018728830579010298,9.89323386267557e-07,9.787607626159059e-13,0.013027477264404296,0.0010592941279456778,1.1221040495001941e-06,75.5385802745819,0.3990063121350857,0.15920603712364143
CIC17,B__StandardScaler_pca_NM_SMOTE_knn,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.15915639770210993,0.006258991850431813,3.917497898377185e-05,0.8064779948507358,0.01674516924701161,0.0002804006931110633,0.15915639770210993,0.006258991850431813,3.917497898377185e-05,0.21496777601990247,0.009209493111894902,8.481476337803966e-05,0.28632375283531925,0.008583280169618478,7.367269847016582e-05,0.7281129547474494,0.01978121927424551,0.0003912966359757821,0.21920854914001248,0.008659738058442995,7.499106324084606e-05,0.08115434541149665,0.017623342367298598,0.0003105821961950217,0.84084360229789,0.006258991850431854,3.917497898377236e-05,0.06146652984729245,0.00087372565304545,7.633965167896981e-07,0.2718870452525505,0.01978121927424553,0.00039129663597578296,0.15183780291874333,0.012883443373949914,0.00016598311316977395,0.5252422788416465,0.003438535724611537,1.1823527929429787e-05,0.0001874943726993653,1.9419708677304474e-06,3.771250851113747e-12,0.014508628845214843,0.0009270729418503155,8.594642395109986e-07,75.62169246673584,0.7832041060993699,0.6134086718109131
