dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,1613311,150000,403328,euclidean,3,0.9617333782926055,0.981355169954393,0.9617333782926055,0.9694824094193829,0.5213273310529848,0.8860327447468754,0.5987381905476024,0.8899698159129389,0.9860993047288663,4.581360472114984e-05,0.0026951133995316585,0.11396725525312441,0.0021600792855804,0.03826662170739447,18.477909564971924,0.014744997024536133
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,1613311,150000,403328,euclidean,3,0.9629854609647731,0.9823732541519241,0.9629854609647731,0.9707729625462582,0.5143065171118281,0.9033083405179536,0.5903313788227309,0.8930259461385153,0.9870202595912666,4.587191006600838e-05,0.00262588330508952,0.09669165948204643,0.0023737105411158863,0.03701453903522692,18.501425743103027,0.01350712776184082
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,1613311,150000,403328,euclidean,3,0.9636970406220248,0.9822017721282077,0.9636970406220248,0.971003493791165,0.5020648296323649,0.8786599770712057,0.5779656752043925,0.8948822036223386,0.9869907153909019,4.6584321885251194e-05,0.002575258486404864,0.1213400229287944,0.002325917918097708,0.036302959377975244,18.788761377334595,0.014167070388793945
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,1613311,150000,403328,euclidean,3,0.9627796731196445,0.9818594016300823,0.9627796731196445,0.9703296628956389,0.48938784973955957,0.9087921557396494,0.5651284685813021,0.8925281258571284,0.9869589007673415,4.61465931816428e-05,0.002641437820432478,0.0912078442603505,0.0024012404261317295,0.03722032688035544,18.612213134765625,0.01395869255065918
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,1613312,150000,403327,euclidean,3,0.9626060243921185,0.9823231097909497,0.9626060243921185,0.9705223818743032,0.504088425204299,0.879462147703718,0.5764851611164876,0.8921561312886868,0.9865653325399986,4.5972080781787665e-05,0.0026384700500538868,0.12053785229628199,0.002183075142926856,0.03739397560788145,18.541781425476074,0.013781070709228516
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,1613311,150000,403328,euclidean,5,0.9567101713741669,0.9804168309163153,0.9567101713741669,0.9661452983523171,0.49005923365010845,0.8844208865430792,0.571729572578548,0.8778091776134151,0.9875375979329973,4.636776618486887e-05,0.0030079543924141196,0.11557911345692075,0.0018294872603787226,0.04328982862583307,18.70141839981079,0.013841390609741211
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,1613311,150000,403328,euclidean,5,0.9578804347826086,0.9813604200087481,0.9578804347826086,0.9673710367722007,0.49516898285497163,0.9052983478579729,0.573798124461172,0.8805786454677076,0.9883118515300265,4.642948884220208e-05,0.0029464215783501263,0.09470165214202722,0.0020767584578605873,0.042119565217391304,18.72631287574768,0.013160943984985352
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,1613311,150000,403328,euclidean,5,0.9598069065376071,0.9815170373799288,0.9598069065376071,0.9684561369590977,0.48914540077435575,0.878797089574834,0.5650017533650389,0.8853216864362915,0.9884486508500555,4.6641326156808094e-05,0.0028157785168899264,0.12120291042516591,0.0020435842909560077,0.040193093462392894,18.811752796173096,0.014808893203735352
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,1613311,150000,403328,euclidean,5,0.9580391145668042,0.9808675599242792,0.9580391145668042,0.9671244601967569,0.4699121426945319,0.9111605384610438,0.5482996952863862,0.8809665032717036,0.9884441089675964,4.6668006139723164e-05,0.002939904229940071,0.08883946153895611,0.0021376780159052472,0.04196088543319581,18.822513580322266,0.012297391891479492
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,1613312,150000,403327,euclidean,5,0.9583836440406915,0.9816612236616882,0.9583836440406915,0.9678148773465476,0.4884108414964071,0.879504793162808,0.5607200577411483,0.8818858596927941,0.9880856827823755,4.605729863425443e-05,0.0028936640074070114,0.12049520683719189,0.001788604151796728,0.04161635595930845,18.576152086257935,0.0121002197265625
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",1,1613311,150000,403328,euclidean,7,0.9529340883846398,0.9797712684949869,0.9529340883846398,0.9636745351908287,0.46122194248009374,0.883516963819053,0.5415761143762403,0.8689198834941995,0.9885636057584525,4.297949525050911e-05,0.0032496440255439444,0.11648303618094688,0.0016787487677989692,0.0470659116153602,17.33483386039734,0.011782646179199219
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",2,1613311,150000,403328,euclidean,7,0.9536555855284037,0.9806366498298221,0.9536555855284037,0.9646160005026293,0.4811272949438534,0.9266998442796819,0.5613187360755406,0.8705803922082547,0.9893166405600959,4.634334431190939e-05,0.003218679278791513,0.07330015572031824,0.0019357747102763875,0.04634441447159632,18.69156837463379,0.012223482131958008
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",3,1613311,150000,403328,euclidean,7,0.9558870199936528,0.9806768048162088,0.9558870199936528,0.9658270208464806,0.4768386821125867,0.8785674313405069,0.5537695154722425,0.8758733553041461,0.9893170139200448,4.6303718620086615e-05,0.0030772271961077373,0.12143256865949313,0.0020454279352688726,0.04411298000634719,18.675586223602295,0.012779951095581055
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",4,1613311,150000,403328,euclidean,7,0.9537845128530625,0.9801588597370132,0.9537845128530625,0.9643604474430926,0.45565058704402567,0.9103717993320891,0.5339242143174634,0.8708956593758959,0.9893850171540073,3.293360799541552e-05,0.0032103228804497815,0.08962820066791087,0.0019393560598092408,0.04621548714693748,13.283046245574951,0.010879039764404297
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",5,1613312,150000,403327,euclidean,7,0.9546397835999078,0.981066472645171,0.9546397835999078,0.9653900669541189,0.47147014918074787,0.876877006843618,0.5440718016863887,0.8729537833598887,0.9890310916981029,4.447478406183564e-05,0.003139425567593444,0.12312299315638216,0.001731167113809423,0.04536021640009223,17.937881231307983,0.015266895294189453
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",1,1613311,150000,403328,euclidean,9,0.9501076047286575,0.979376428647514,0.9501076047286575,0.961873271928656,0.45173849603632227,0.8846737067618066,0.5320932606908325,0.8623814206569098,0.9892768532717089,4.616314477294031e-05,0.003441422793558729,0.11532629323819338,0.0017289466320385004,0.049892395271342434,18.61888885498047,0.013455867767333984
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",2,1613311,150000,403328,euclidean,9,0.9500555379244684,0.9798973724162512,0.9500555379244684,0.9622179615425501,0.47118898016225313,0.9227187029983149,0.5520047995287671,0.8622424348140967,0.9900899973287867,4.668817011582136e-05,0.003457021343629278,0.07728129700168515,0.0019108580789075986,0.049944462075531576,18.830646276474,0.013806343078613281
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",3,1613311,150000,403328,euclidean,9,0.9524456521739131,0.9799956202454573,0.9524456521739131,0.9635327239492333,0.4649280229422982,0.8781971108067242,0.5430017895006787,0.8677920874875974,0.990002071576177,4.698062668486801e-05,0.0033044978644838656,0.12180288919327564,0.0020131201411710334,0.04755434782608696,18.948602199554443,0.016971349716186523
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",4,1613311,150000,403328,euclidean,9,0.9500505791812123,0.9794307665180481,0.9500505791812123,0.9618760856473777,0.4448288213314647,0.9090072434221612,0.5235222868867413,0.862245690913569,0.9901114201735124,4.6956098999949876e-05,0.0034560181709337692,0.09099275657783881,0.001890851745218855,0.049949420818787685,18.938709497451782,0.014218807220458984
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",5,1613312,150000,403327,euclidean,9,0.9518108135582294,0.9805980749445502,0.9518108135582294,0.9635353708688924,0.4624709932533389,0.878688205097843,0.5360134429506636,0.86638886817946,0.9899247473632333,4.644181788084873e-05,0.00331948843392027,0.1213117949021573,0.0016031400670334824,0.04818918644177057,18.731239080429077,0.01513361930847168
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",1,1613311,150000,403328,euclidean,11,0.9471720287210409,0.9789936410985208,0.9471720287210409,0.9600048559998917,0.4439245363901782,0.8842473883067168,0.5246883529455373,0.8557555023843084,0.9899658156972808,4.7634882123573966e-05,0.0036323859039825625,0.11575261169328309,0.0016578172807793729,0.05282797127895906,19.21248173713684,0.015003442764282227
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",2,1613311,150000,403328,euclidean,11,0.9470579776261504,0.9793332814374142,0.9470579776261504,0.9602240427315639,0.46356505741925796,0.9211217499472365,0.5450480280349569,0.8554683026475464,0.9906623834988734,4.5168371081957546e-05,0.003654618808628611,0.07887825005276346,0.0018772597555795833,0.052942022373849575,18.217668771743774,0.012878179550170898
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",3,1613311,150000,403328,euclidean,11,0.9496018129165344,0.9793082645480037,0.9496018129165344,0.9615661182501358,0.45418894007499344,0.8772075430506413,0.5334404268494423,0.8612154317227477,0.990493336604025,4.82166463214229e-05,0.003495456715676119,0.12279245694935857,0.0020336636516762297,0.050398187083465565,19.447123527526855,0.013474225997924805
