dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9627603154782334,0.0007083298888725831,5.017312314702459e-07,0.9820225415311115,0.00042351613808521343,1.7936591921861356e-07,0.9627603154782334,0.0007083298888725831,5.017312314702459e-07,0.9704221821053496,0.000583682853299311,3.406856732356249e-07,0.5062349905482073,0.012234709040731973,0.00014968810531136868,0.8912510731558804,0.01394464673060511,0.00019445317244137577,0.5817297748545032,0.013043691814715123,0.00017013789615726632,0.0022888046627705157,0.00011065391642448476,1.2244289220076858e-08,0.0372396845217667,0.0007083298888725718,5.0173123147023e-07,0.0026352326123024817,4.27755760126687e-05,1.8297499032155978e-09,0.10874892684411955,0.01394464673060512,0.00019445317244137604,0.8925124445639214,0.001765758149628867,3.1179018429807608e-06,0.986726902603675,0.000396693406410623,1.5736565868966369e-07,4.607770212716798e-05,3.1010612601524034e-07,9.616580939218013e-14,0.014031791687011718,0.0004664865773634287,2.1760972686024614e-07,18.58441824913025,0.1250783997148936,0.015644606075238696
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9581640542603758,0.0011132170339193807,1.2392521646082635e-06,0.9811646143781919,0.0005139513722160448,2.6414601300275543e-07,0.9581640542603758,0.0011132170339193807,1.2392521646082635e-06,0.967382361925384,0.0008568883032670739,7.342575642759248e-07,0.486539320294075,0.009664602267503694,9.340453698903755e-05,0.8918363311199476,0.015262112818588944,0.00023293208768733698,0.5639098406864587,0.010173126250330528,0.00010349249770516406,0.001975222435379458,0.0001560767822283217,2.435996195074696e-08,0.041835945739624306,0.001113217033919362,1.239252164608222e-06,0.002920744545000251,7.13848436788061e-05,5.095795907047585e-09,0.10816366888005238,0.0152621128185889,0.0002329320876873356,0.8813123744963823,0.002708036239344547,7.333460273603355e-06,0.9881655784126103,0.0003807387208724094,1.4496197357155846e-07,4.6432777191571325e-05,2.470054251371655e-07,6.101168004719187e-14,0.013241767883300781,0.0011199263251025625,1.2542349736577307e-06,18.727629947662354,0.09964170788776398,0.009928469950790487
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9541801980719333,0.0011301586609867994,1.2772585990034753e-06,0.9804620111046404,0.0005027511514975012,2.5275872033206345e-07,0.9541801980719333,0.0011301586609867994,1.2772585990034753e-06,0.9647736141874301,0.0008504709101320896,7.233007689809048e-07,0.4692617311522615,0.010641667467605037,0.00011324508649108341,0.8952066091229899,0.022199612716451527,0.0004928228047604363,0.5469320763855751,0.010721456597426822,0.00011494963157050714,0.0018660949173925786,0.0001546664893993442,2.392172294311745e-08,0.045819801928066686,0.00113015866098681,1.2772585990034992e-06,0.0031790597896972847,6.976741321794497e-05,4.867491947123482e-09,0.10479339087701027,0.0221996127164515,0.0004928228047604351,0.871844614748477,0.0026699172886785628,7.1284583283846885e-06,0.9891226738181407,0.0003410130415910077,1.1628989453515032e-07,4.260699004795126e-05,5.586319903576851e-06,3.120697006509888e-11,0.012586402893066406,0.0016519174923569878,2.7288314015549988e-06,17.18458318710327,2.253115516602723,5.0765295311559555
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9508940375132962,0.0011490176690096329,1.3202416036963304e-06,0.979859652554364,0.0004956375196725306,2.456565509071382e-07,0.9508940375132962,0.0011490176690096329,1.3202416036963304e-06,0.962607082787342,0.0008577267719160051,7.356952152614507e-07,0.45903106274513544,0.010598436296977015,0.00011232685194107988,0.8946569938173701,0.020118307385330398,0.0004047462920506397,0.5373271159115365,0.010808892152229055,0.00011683214955851884,0.0018293833328738942,0.00016236475979528324,2.6362315223380024e-08,0.04910596248670383,0.0011490176690096062,1.320241603696269e-06,0.0033956897213051826,7.683618057087446e-05,5.903798644720027e-09,0.10534300618263004,0.020118307385330384,0.00040474629205063914,0.8642101004103268,0.0026763941518227765,7.163085655911159e-06,0.9898810179426836,0.0003458101957159646,1.1958469146111374e-07,4.6645971690885663e-05,3.481214697260822e-07,1.2118855768424759e-13,0.014717197418212891,0.0014074454410844346,1.9809026696293584e-06,18.813617181777953,0.1404139463961119,0.019716076342530187
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.9479941631403721,0.0012754020990412163,1.6266505142387408e-06,0.9793353798809562,0.0005436757750913024,2.955833484211284e-07,0.9479941631403721,0.0012754020990412163,1.6266505142387408e-06,0.9606915343389539,0.0009512854036501709,9.049439191978685e-07,0.45137886782812986,0.010420169461306483,0.00010857993160234422,0.8939136632199789,0.020072203237596887,0.0004028933428113949,0.5301110420064126,0.010494771629272447,0.00011014023155058185,0.0018348673203472487,0.0001609952096831422,2.5919457540918928e-08,0.05200583685962792,0.0012754020990411897,1.6266505142386724e-06,0.003589380278665011,8.361062657471656e-05,6.990736876216698e-09,0.106086336780021,0.02007220323759689,0.0004028933428113951,0.8576016647652652,0.002891682293016893,8.361826483747436e-06,0.9904810909188237,0.00030386012221622134,9.233097387325696e-08,4.747394559161383e-05,1.3945314727993748e-06,1.9447180286279935e-12,0.014187812805175781,0.000957566276934205,9.169331747216347e-07,19.14756202697754,0.562453342969545,0.31635376301761653
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.942793926532873,0.0011965878585521337,1.431822503234381e-06,0.978411180859409,0.0005616773440092054,3.154814387732352e-07,0.942793926532873,0.0011965878585521337,1.431822503234381e-06,0.9572605536688084,0.0008765108796874441,7.682713222104573e-07,0.43845064770165976,0.010723647704063173,0.00011499662008085939,0.8934600660301222,0.02189879988735869,0.00047955743650658097,0.5176561450553724,0.011648614170832157,0.00013569021210091175,0.0018195089438071237,0.00019806308862519432,3.922898707575158e-08,0.05720607346712704,0.0011965878585521344,1.4318225032343827e-06,0.0039350388273956104,8.054026946744541e-05,6.486735005888721e-09,0.10653993396987782,0.02189879988735864,0.0004795574365065789,0.8460599333257658,0.002606067555205542,6.79158810229499e-06,0.9913711387188477,0.0003264595140854356,1.0657581433689871e-07,4.70560660763173e-05,1.7909479614604923e-06,3.2074946006594927e-12,0.013594102859497071,0.002340462672991145,5.477765523664857e-06,18.979020071029662,0.722353941837054,0.52179521728753
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9629665993501405,0.0005975604389306966,3.5707847817504677e-07,0.9821998064173046,0.00037795447339566426,1.428495839597939e-07,0.9629665993501405,0.0005975604389306966,3.5707847817504677e-07,0.9706367519470213,0.000519574639321335,2.699578058258953e-07,0.536991892424712,0.02051128142357555,0.0004207126656371154,0.8880189311974798,0.010386650355900716,0.00010788250561573245,0.6090873811848616,0.013848188552354654,0.0001917723261815665,0.0021827932278457715,0.00013595140982133733,1.8482785832409216e-08,0.03703340064985955,0.0005975604389307086,3.570784781750611e-07,0.0026144129251803546,3.682611528267199e-05,1.3561627668126472e-09,0.11198106880252015,0.010386650355900763,0.00010788250561573343,0.8930556678798306,0.0014909033995880317,2.2227929469031503e-06,0.98685951367464,0.000331211720755692,1.0970120396594649e-07,0.00018796491476511624,3.6226643227473156e-06,1.3123696795306267e-11,0.01519775390625,0.0010828660974571036,1.1725989850219776e-06,75.81147632598876,1.4611712842883262,2.1350215220287967
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9582612455765581,0.0010249005162200695,1.050421068148165e-06,0.9812636142876737,0.00046634234874653405,2.17475186234434e-07,0.9582612455765581,0.0010249005162200695,1.050421068148165e-06,0.9675011772214237,0.0008109149736748219,6.575830945300372e-07,0.5172307681643431,0.02636498018157531,0.0006951121799748588,0.8932497793816188,0.018894579575077657,0.0003570051373189418,0.592036273815997,0.018416867339385,0.00033918100259650594,0.0019232475142848381,0.00013830761771611562,1.912899711830718e-08,0.04173875442344188,0.0010249005162200316,1.050421068148087e-06,0.0029108001291817806,6.582370851596586e-05,4.332760602794838e-09,0.10675022061838116,0.018894579575077657,0.00035700513731894173,0.8815613965240324,0.0024885387803332097,6.1928252612223e-06,0.9882992920114866,0.0003537395088180371,1.2513164009882617e-07,0.00018662514898014354,1.5536858053752092e-06,2.4139395818244128e-12,0.014052963256835938,0.0010880775201424838,1.183912689839417e-06,75.27111029624939,0.6265740581864225,0.39259505039220244
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9545580545059918,0.0010134358033363012,1.0270521274838942e-06,0.9805931554247767,0.0004170345238878345,1.739177941143528e-07,0.9545580545059918,0.0010134358033363012,1.0270521274838942e-06,0.9650635273697656,0.0007670331919843531,5.883399176057054e-07,0.5045118258513889,0.026772113868251575,0.0007167460809746284,0.8948607167175856,0.021428014064747987,0.0004591597867590375,0.5804778645072116,0.019047247257157122,0.00036279762807527944,0.0018066627469030504,0.0001350188664506845,1.8230094297627772e-08,0.04544194549400814,0.0010134358033363137,1.0270521274839194e-06,0.0031499072160607452,6.372978676297535e-05,4.0614857208543086e-09,0.10513928328241429,0.021428014064748015,0.0004591597867590388,0.8727486229994946,0.0024019169365988905,5.769204970320599e-06,0.9892225447825285,0.00033770266335876565,1.1404308883960379e-07,0.00018787245577176894,1.5068996844549586e-06,2.2707466590104537e-12,0.014795970916748048,0.00014428484923439,2.0818117718590657e-08,75.77418475151062,0.6078493674438437,0.3694808535018808
CIC17,B__StandardScaler_pca_RUS_SMOTE_knn,StandardScaler + PCA + RUS_SMOTE + knn,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9514246233146398,0.001246561141047195,1.5539146783688847e-06,0.9800152282191297,0.0004458861821844071,1.988144874629863e-07,0.9514246233146398,0.001246561141047195,1.5539146783688847e-06,0.962999540511831,0.0009155730617628488,8.382740314257972e-07,0.495143053846247,0.02665838182704915,0.0007106693216367443,0.8933569791737451,0.022016852101313458,0.00048474177645111083,0.5717500725585537,0.019141819415800624,0.0003664092505471218,0.0017764627132251822,8.178632978819022e-05,6.6890037402226126e-09,0.04857537668536009,0.0012465611410472006,1.5539146783688989e-06,0.003356789293239018,8.306806582081855e-05,6.900303559211843e-09,0.10664302082625483,0.022016852101313416,0.00048474177645110904,0.8654450298270984,0.002900547945917526,8.413178386566378e-06,0.9899851973713385,0.00028614222389244926,8.187737229411657e-08,0.00018552736258839835,2.2025248912720723e-06,4.851115896673055e-12,0.012491226196289062,0.0015264371692624255,2.3300104317058867e-06,74.82834362983704,0.8884059065220115,0.789265054743197
