dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,1613311,403328,0.01,0.8148256505871152,0.7141735846566778,0.8148256505871152,0.7549543199001308,0.08624488085824716,0.0925181919135071,0.07633346301683945,0.058549841154742564,0.36375786406889127,2.8315634812222176e-08,0.0651408845406117,0.9074818080864929,0.7919389186962906,0.1851743494128848,0.011420488357543945,269.8771107196808
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,1613311,403328,0.01,0.8152892930815614,0.7136985237962573,0.8152892930815614,0.755052004091333,0.08604811049154988,0.09487868060192023,0.07688715688835572,0.059418753650182426,0.36098481589477466,3.842274581239701e-08,0.0651126253903664,0.9051213193980797,0.7919786739370575,0.18471070691843858,0.015496969223022461,271.92398595809937
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,1613311,403328,0.01,0.8149967272294509,0.7126974035563164,0.8149967272294509,0.7545984178876983,0.08497070956115663,0.0922988186779083,0.07600917199213493,0.05602421018883719,0.3596403276211002,3.1005859526328834e-08,0.06520706010750923,0.9077011813220917,0.7931026288420894,0.18500327277054904,0.012505531311035156,270.44796347618103
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,1613311,403328,0.01,0.8148876348778166,0.7134615164248804,0.8148876348778166,0.7547517802550434,0.08573226295796425,0.09330620686152441,0.07639677930373785,0.05746022740402029,0.3683040944921667,3.7168371643349695e-08,0.06515900863579505,0.9066937931384756,0.7922727644147423,0.18511236512218343,0.014991044998168945,267.07953095436096
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,1613312,403327,0.01,0.8148450264921515,0.7137276853879416,0.8148450264921515,0.7547714020817363,0.08544524408806668,0.09056420068408913,0.07564494273549864,0.05664164926083036,0.3654772594587165,4.0208643979917734e-08,0.06519247978347173,0.9094357993159109,0.7927322232442275,0.18515497350784846,0.01621723175048828,271.76971983909607
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,1613311,403328,0.1,0.8148231712154872,0.714206133628237,0.8148231712154872,0.7549551943124708,0.08628108784349248,0.0925179930332032,0.07632566069801752,0.05855412294889755,0.3642153093006841,3.0765270324254255e-08,0.0651409586574327,0.9074820069667968,0.7919375510769777,0.18517682878451286,0.01240849494934082,271.76127886772156
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,1613311,403328,0.1,0.8152868137099334,0.7136979275914136,0.8152868137099334,0.7550508113023815,0.08604902811161708,0.09487848172102305,0.07688916262918064,0.059410515973770006,0.3609052531281053,3.726176990852852e-08,0.06511281465374345,0.9051215182789769,0.7919790335160851,0.18471318629006664,0.015028715133666992,272.87071323394775
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,1613311,403328,0.1,0.8149967272294509,0.7126947951176902,0.8149967272294509,0.754596937661765,0.08494055500366023,0.0922988186779083,0.07597147692362884,0.056076902450005454,0.3602507878824353,3.838905150154136e-08,0.06520657217463856,0.9077011813220917,0.7930953098490293,0.18500327277054904,0.015483379364013672,272.970427274704
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,1613311,403328,0.1,0.8148851555061886,0.71343586379398,0.8148851555061886,0.7547508852397138,0.08572262893759526,0.0933060079806272,0.07644501214165418,0.05740995033932777,0.3632666593642926,2.9356020550923058e-08,0.06515958645624814,0.9066939920193727,0.7922789523499104,0.1851148444938115,0.011840105056762695,269.73441076278687
CIC17,B__RobustScaler_pca_NONE_logreg,RobustScaler + PCA + NONE + logreg,RobustScaler,True,3,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,1613312,403327,0.1,0.8148400677366008,0.7137043179046655,0.8148400677366008,0.7547709481287024,0.08543321864005796,0.09056380292229474,0.0756655890441993,0.05661175076769054,0.36064748406206076,4.111721036917286e-08,0.06519160989865454,0.9094361970777053,0.7927142162164188,0.1851599322633992,0.016583681106567383,272.0392093658447
