dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,150000,403328,0.01,0.00801828784512853,0.8467493174576355,0.00801828784512853,0.008920715424168498,0.0957632025496943,0.16107629185045363,0.027849518557497035,0.016879955546123433,0.4741109477572673,4.0151204846465977e-08,0.06630892434593079,0.8389237081495462,0.00265215303409023,0.9919817121548715,0.01619410514831543,22.884830236434937
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,150000,403328,0.01,0.007874484290701365,0.01798515901461813,0.007874484290701365,0.008912285532712344,0.03144465646091907,0.15162829664592323,0.027590866977493415,0.017544481573325495,0.5150777069411832,3.329234363842828e-08,0.06630845218372104,0.8483717033540769,0.002501267046516883,0.9921255157092986,0.013427734375,22.737209796905518
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,150000,403328,0.01,0.008556311488416376,0.8568165504070729,0.008556311488416376,0.01046705061599046,0.10625713745613469,0.14020991202594335,0.029150057606538146,0.01866462761067156,0.5119623554575895,4.049051246806502e-08,0.06627040613566085,0.8597900879740566,0.00261240352332894,0.9914436885115836,0.016330957412719727,23.159114837646484
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,150000,403328,0.01,0.012681985877499207,0.8514094577380295,0.012681985877499207,0.01779115739185106,0.10001590718080741,0.1409456657767329,0.029751055289097696,0.023779755466688274,0.5103254626416311,4.061642278757825e-08,0.06596407041926729,0.859054334223267,0.002143042166508447,0.9873180141225008,0.01638174057006836,22.448475122451782
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,150000,403327,0.01,0.008816667369157037,0.02022774676213436,0.008816667369157037,0.010224349341832738,0.03266923343315537,0.13829526977807008,0.028100690502415517,0.018744058840046804,0.5095978744874575,4.068450340955363e-08,0.06627021997878842,0.86170473022193,0.0028699670509833197,0.991183332630843,0.01640915870666504,23.031449794769287
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,150000,403328,0.1,0.007971179784195493,0.8458829581752546,0.007971179784195493,0.008799763324229768,0.09480648545683186,0.1609768835046027,0.02758538399263707,0.018649794759087686,0.47409079591046144,3.812954619512676e-08,0.06626889856733227,0.8390231164953972,0.0020046582941795734,0.9920288202158045,0.015378713607788086,22.854633569717407
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,150000,403328,0.1,0.00787696366232942,0.01794120997154663,0.00787696366232942,0.008913671828446722,0.031404393863472074,0.15163155153639618,0.027595501872826736,0.017508481642718315,0.515049756371056,3.887259441873302e-08,0.06630915810825165,0.8483684484636039,0.002514335286104212,0.9921230363376706,0.01567840576171875,22.59265160560608
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,150000,403328,0.1,0.010614189939701682,0.8650902894407674,0.010614189939701682,0.013831183220868098,0.11437022525813464,0.14219976516791888,0.03244864651641113,0.026291648782209312,0.5119095813042406,4.117208335256622e-08,0.06611438757128642,0.8578002348320812,0.0023300035089979885,0.9893858100602984,0.016605854034423828,22.429725408554077
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,150000,403328,0.1,0.012372064423992383,0.8502735417634509,0.012372064423992383,0.017266531246211983,0.09888915651587464,0.1406794018217528,0.029299201271409097,0.022982352404962957,0.5092401066284923,4.143336204376269e-08,0.06598450209128266,0.8593205981782472,0.0021395957932324313,0.9876279355760076,0.01671123504638672,23.27396059036255
CIC17,B__RobustScaler_pca_RUS_SMOTE_logreg,RobustScaler + PCA + RUS_SMOTE + logreg,RobustScaler,True,3,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,150000,403327,0.1,0.008801791102504916,0.020517549662245976,0.008801791102504916,0.010240896302882859,0.03298252385902929,0.1382774289059873,0.02809455414309537,0.019335456396238074,0.5096117635096291,4.2775920381046566e-08,0.06626618685666642,0.8617225710940127,0.0027945939525012356,0.9911982088974951,0.017252683639526367,23.159986972808838
