dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,142557,403328,0.01,0.14866560218978103,0.9391643451829931,0.14866560218978103,0.19353657574622848,0.22842910739773478,0.7107060941366007,0.16545808172221235,0.16460418073150684,0.43917033296546026,6.996594092763442e-08,0.05788527683235778,0.2892939058633992,0.0169447546751478,0.851334397810219,0.028219223022460938,9.699922323226929
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,141791,403328,0.01,0.14536555855284036,0.942073479873631,0.14536555855284036,0.1919424484063126,0.2388075679657578,0.7335167445292963,0.1787103849603809,0.1747267083145484,0.4071544370362528,6.520144714699288e-08,0.05748740106586674,0.26648325547070373,0.007676574540841661,0.8546344414471596,0.026297569274902344,7.714725494384766
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,141957,403328,0.01,0.15548139479530307,0.9467247188957458,0.15548139479530307,0.2116561367042667,0.24860952764553718,0.7166626429101954,0.19513830901900348,0.19770793028495445,0.44265656504812656,6.927727650400571e-08,0.056579094214412255,0.28333735708980456,0.00416780801148682,0.8445186052046969,0.027941465377807617,9.337940454483032
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,141753,403328,0.01,0.14840278879720722,0.9390836016779797,0.14840278879720722,0.19237661523687735,0.22666373358813727,0.727504186798241,0.16191809851015035,0.16578043113051674,0.42599121203656215,6.001784342956785e-08,0.05784547989105205,0.27249581320175903,0.01608498716298796,0.8515972112027927,0.024206876754760742,8.342897653579712
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,142167,403327,0.01,0.14658577283444946,0.9406697881498796,0.14658577283444946,0.19002657064561843,0.23093790379345494,0.7151955380614627,0.16660407852149153,0.16508937479324248,0.46795852909087843,6.055828480627275e-08,0.05796077044585065,0.28480446193853726,0.01599732952220928,0.8534142271655505,0.02442479133605957,8.05145263671875
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,142557,403328,0.1,0.11551392415106315,0.9329615041336533,0.11551392415106315,0.1550590271256789,0.22071379777765704,0.6942679702376788,0.13924059747336015,0.12106311545113624,0.4318998309511228,6.945402385393274e-08,0.05992108683738805,0.3057320297623213,0.01433022671188394,0.8844860758489368,0.028012752532958984,13.977570056915283
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,141791,403328,0.1,0.11606930339574738,0.9449940663212049,0.11606930339574738,0.15920006116971866,0.24049501364184647,0.7297596972614845,0.16294793167927896,0.14918382750936243,0.35547974384433656,6.965323407776354e-08,0.05915929697220575,0.2702403027385154,0.003458757978833491,0.8839306966042526,0.02809309959411621,14.674962759017944
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,141957,403328,0.1,0.12973064106632815,0.9418776955318359,0.12973064106632815,0.1824537916512086,0.24474892288012165,0.7143877966089515,0.17754385214593463,0.1592465708666224,0.38235706845680245,7.300552244377075e-08,0.058305137526612684,0.2856122033910485,0.004307703965518395,0.8702693589336719,0.029445171356201172,12.442124128341675
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,141753,403328,0.1,0.13351912091399556,0.9403889197599032,0.13351912091399556,0.17602240007752668,0.2361490989230233,0.734771163799776,0.16749600605686074,0.1819266473047492,0.381716815335116,7.516846074939947e-08,0.05813467182726646,0.2652288362002239,0.0055391983229924405,0.8664808790860045,0.03031754493713379,13.649008989334106
CIC17,B__StandardScaler_pca_NM_SMOTE_ENN_logreg,StandardScaler + PCA + NearMiss_SMOTE_ENN + logreg,StandardScaler,True,33,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,142167,403327,0.1,0.13791290937626294,0.9313852436761606,0.13791290937626294,0.1843848692988838,0.23565794302841156,0.7126157621540475,0.16935482122921672,0.1809655737686241,0.39050135813260073,7.080788312982161e-08,0.05803089596897388,0.28738423784595246,0.008376348910871082,0.8620870906237371,0.028558731079101562,12.297939777374268
