dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,1613311,403328,0.01,0.9626557045382418,0.9619032843933112,0.9626557045382418,0.960915600542327,0.461622026488391,0.40008854795705334,0.41946348178006393,0.8755340724454057,0.9919856828610901,4.811192913230961e-08,0.00889651415171178,0.5999114520429468,0.09610341681391855,0.03734429546175817,0.019404888153076172,44.821852922439575
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,1613311,403328,0.01,0.9614457711837512,0.960904342934537,0.9614457711837512,0.9597685701679435,0.4176259809268519,0.3760837516124498,0.38933563117075615,0.8716825016703375,0.9920171706961034,4.758050482600729e-08,0.009070513834682338,0.6239162483875501,0.09750347870398625,0.03855422881624881,0.019190549850463867,44.69560790061951
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,1613311,403328,0.01,0.9614135393525864,0.9608370868088671,0.9614135393525864,0.9597023021086012,0.4173024617751576,0.37593827051605255,0.3886044208244924,0.8715365303376371,0.9919011419370293,5.0524323563922286e-08,0.009106623808512316,0.6240617294839474,0.09801289648027121,0.03858646064741352,0.02037787437438965,47.17865467071533
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,1613311,403328,0.01,0.9583663916217074,0.9575845997389978,0.9583663916217074,0.9565147279666442,0.4137506959940985,0.37302985198590866,0.386138085878954,0.8606972268389865,0.9912477229053563,4.9037044860188525e-08,0.0101647898987253,0.6269701480140913,0.11083824010258687,0.04163360837829261,0.019778013229370117,47.309462547302246
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,1613312,403327,0.01,0.9620605612815408,0.9614881165295028,0.9620605612815408,0.960341600380581,0.4178245383480659,0.37347326543312437,0.3870205197627828,0.8737548414674836,0.9919100270863248,4.9262977996977425e-08,0.00893737667394221,0.6265267345668756,0.09612121139067391,0.037939438718459215,0.019869089126586914,46.60158157348633
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,1613311,403328,0.1,0.967931807362742,0.9698964424236155,0.967931807362742,0.9671550322489757,0.5922589997045192,0.4367805653776072,0.46572683381024665,0.8942358714620534,0.9942354003702607,4.811015574752774e-08,0.0070362749758331586,0.5632194346223929,0.07347593200023939,0.03206819263725801,0.019404172897338867,96.30158019065857
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,1613311,403328,0.1,0.965841697080292,0.9673452054446093,0.965841697080292,0.9644448187036928,0.5342296470467898,0.38885598482721806,0.40674181793278424,0.8867985497414583,0.993995590249032,5.569551358787418e-08,0.007810519114359318,0.6111440151727819,0.08299948379568176,0.034158302919708027,0.022463560104370117,100.74702739715576
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,1613311,403328,0.1,0.9668805537924469,0.9683265836119131,0.9668805537924469,0.9659203126302057,0.5662400493889803,0.4364060126309807,0.4700035950093255,0.8905501425014805,0.9939801257786648,5.8460811591080276e-08,0.007400541158166319,0.5635939873690192,0.07788867116494164,0.03311944620755316,0.023578882217407227,100.2180769443512
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,1613311,403328,0.1,0.9661912884798477,0.9680037940901154,0.9661912884798477,0.9652296453644348,0.6144594132486364,0.47292473577016164,0.4966491290662393,0.8878712044229118,0.9938796138464249,5.890001988872503e-08,0.007791771140419176,0.5270752642298384,0.08306785558613532,0.03380871152015233,0.023756027221679688,107.5756287574768
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,1613312,403327,0.1,0.9669424561212118,0.9686334362208425,0.9669424561212118,0.9656808938907635,0.5316828461517845,0.3910269519153025,0.4108233137065185,0.8907340546468449,0.9940518041137335,5.686845305498421e-08,0.007401554271846544,0.6089730480846974,0.07796577019890998,0.033057543878788176,0.022936582565307617,97.71978163719177
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1,1613311,1613311,403328,1.0,0.9733740280863218,0.9747642225302218,0.9733740280863218,0.9727835187903362,0.640441918637276,0.5188410498051839,0.5413608339077348,0.9126884250634685,0.9962163723915005,4.4633139318528534e-08,0.0054599117396199924,0.4811589501948161,0.055272704180621704,0.026625971913678197,0.018001794815063477,162.45476293563843
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,3,"{""C"": 1}",2,1613311,1613311,403328,1.0,0.9728161694700095,0.9742434748712296,0.9728161694700095,0.972222722415139,0.6049648013988698,0.4927044548848106,0.5140504592739191,0.910816038782002,0.9962449826673898,5.016669096624386e-08,0.005636671116879491,0.5072955451151894,0.057366236223201895,0.027183830529990478,0.020233631134033203,187.1247341632843
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,3,"{""C"": 1}",3,1613311,1613311,403328,1.0,0.9724839336718502,0.9737624155614246,0.9724839336718502,0.9718875346802619,0.5837491733651796,0.4909670424843314,0.5123301651212866,0.9096786227216821,0.9961451586606014,4.769695709335051e-08,0.0057397512471134855,0.5090329575156686,0.05858020237855251,0.027516066328149794,0.019237518310546875,176.1855001449585
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,3,"{""C"": 1}",4,1613311,1613311,403328,1.0,0.9728930299904792,0.9743009937519836,0.9728930299904792,0.9722262998653513,0.5593527259990955,0.5226197534336487,0.48140511327514796,0.910924933709045,0.9961554739851717,4.779212874331122e-08,0.005684509245449875,0.47738024656635136,0.05816066867222733,0.027106970009520788,0.019275903701782227,181.64037251472473
CIC17,B__StandardScaler_pca_NONE_logreg,StandardScaler + PCA + NONE + logreg,StandardScaler,True,33,NONE,NONE,logreg,LogisticRegression,10000,3,"{""C"": 1}",5,1613312,1613312,403327,1.0,0.9726574218934017,0.9741524441734197,0.9726574218934017,0.9720408250952606,0.5444396302803715,0.4563830694844611,0.46734831730462795,0.9103070063131168,0.9961363687299732,5.571456782933294e-08,0.00565032292981689,0.5436169305155389,0.057412265840654994,0.02734257810659837,0.022471189498901367,154.6815972328186
