dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,150000,403328,0.01,0.7080068827356395,0.9483976798477562,0.7080068827356395,0.7922083072786458,0.26618903812805467,0.8264663275610499,0.31246561722609767,0.535421147428097,0.9653934005722068,6.738743945478599e-08,0.019721828579928654,0.17353367243895018,0.00383431143456928,0.2919931172643605,0.027179241180419922,7.027249336242676
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,150000,403328,0.01,0.6996662765788638,0.9488742549166438,0.6996662765788638,0.7866553111870546,0.2705734744697289,0.8178996602295434,0.31553773700130755,0.5292763923397587,0.9655960030958476,7.36208869630819e-08,0.020281502989852554,0.18210033977045664,0.003888821426652142,0.3003337234211361,0.0296933650970459,6.794522762298584
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,150000,403328,0.01,0.703943192637258,0.9490716767219023,0.703943192637258,0.7901785441592213,0.27243763896764933,0.7983218830196888,0.3181500964620661,0.5316029559398434,0.9632618460486487,6.262117228936257e-08,0.019989119522121613,0.20167811698031116,0.0037799854690822067,0.296056807362742,0.025256872177124023,7.338427305221558
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,150000,403328,0.01,0.7061721477308791,0.9480736675893876,0.7061721477308791,0.790525531546036,0.26159585357649495,0.8292862229731331,0.3048258247688418,0.5338342614631149,0.9648634376365495,6.467948089286057e-08,0.019853373901068914,0.17071377702686688,0.003972756246912802,0.2938278522691209,0.026087045669555664,7.373522758483887
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,150000,403327,0.01,0.6995316455382358,0.9491178935048638,0.6995316455382358,0.7866517132580877,0.26653734040369254,0.8170068222875008,0.30987128052088775,0.5280746473735393,0.9662098565037697,6.157384567598018e-08,0.02030001854027465,0.1829931777124991,0.004031923642355492,0.3004683544617643,0.024834394454956055,6.881888389587402
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,150000,403328,0.1,0.7369411496350365,0.9516669348840396,0.7369411496350365,0.814684790623322,0.287403232590024,0.8369593507991676,0.34310441844241935,0.5637089176433694,0.9769085975763854,6.319338444564805e-08,0.017817347353785453,0.1630406492008324,0.00420135994181829,0.2630588503649635,0.025487661361694336,13.024648189544678
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,150000,403328,0.1,0.7302493256109172,0.9523627813617951,0.7302493256109172,0.8109275750198968,0.2894191817200407,0.8321102720680861,0.3426070970495775,0.5574613140283659,0.9768619150854969,6.074256667709472e-08,0.01827562573910241,0.16788972793191398,0.004383711697453357,0.26975067438908285,0.024499177932739258,13.29388976097107
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,150000,403328,0.1,0.7321857148524278,0.952910319400003,0.7321857148524278,0.8125495316037332,0.29015592092251974,0.8107451173879632,0.34311961155564596,0.5593581680926809,0.9765798459783105,7.141302290964566e-08,0.018145499237390263,0.1892548826120368,0.0043682034132817345,0.2678142851475722,0.028802871704101562,14.451720476150513
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,150000,403328,0.1,0.7455371310695017,0.95290302470522,0.7455371310695017,0.8216818468315188,0.2932241676087103,0.844436018432619,0.3497138876759506,0.5707585969255903,0.9757348904362909,6.17575339005887e-08,0.017264170535142086,0.155563981567381,0.004499689096633045,0.2544628689304983,0.02490854263305664,13.560047626495361
CIC17,B__StandardScaler_pca_RUS_SMOTE_logreg,StandardScaler + PCA + RUS_SMOTE + logreg,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,150000,403327,0.1,0.7341016098599895,0.9517951403030647,0.7341016098599895,0.8130126972097174,0.2834428382797704,0.8349375899110759,0.3368420778667321,0.5607755836417531,0.9771869303965949,5.376324860296263e-08,0.018026245326204355,0.16506241008892406,0.004495289753054881,0.2658983901400105,0.02168416976928711,13.540119886398315
