dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,150000,403328,0.0001,"(50,)",0.14225146778800382,0.8029448814151328,0.14225146778800382,0.18274080858295186,0.2129693388026287,0.7436226016101445,0.14888020674417327,0.1443979153832346,0.5974890615634131,2.4428670934479185e-07,0.06152304782661223,0.2563773983898555,0.06509718518718724,0.8577485322119962,0.09852766990661621,9.59015679359436
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,150000,403328,0.0001,"(50,)",0.1466845842589654,0.9240392676852702,0.1466845842589654,0.18804429624394886,0.22659682172882165,0.7505959822986458,0.15336212096464552,0.18049556450396115,0.6534812364743446,2.450386244923075e-07,0.057717343455749484,0.2494040177013543,0.01244473609520771,0.8533154157410346,0.0988309383392334,19.48088049888611
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,150000,403328,0.0001,"(50,)",0.17007001745477626,0.9126526255713118,0.17007001745477626,0.2120949170369684,0.29596036776586593,0.7411198589613038,0.2043036553023803,0.18981600825048073,0.6223769820583376,2.5660404891144544e-07,0.0569539597974211,0.25888014103869617,0.024379414416092794,0.8299299825452238,0.10349559783935547,6.293902635574341
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,150000,403328,0.0001,"(50,)",0.16694352983179944,0.8958732981006626,0.16694352983179944,0.2234663634281595,0.254026081919726,0.7495821888561779,0.19832230102294282,0.19796978343639124,0.6114873647416026,2.51220643841929e-07,0.05748157844977752,0.25041781114382206,0.029167206578462227,0.8330564701682006,0.10132431983947754,9.329910516738892
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,150000,403327,0.0001,"(50,)",0.18494174701916807,0.8241826185372562,0.18494174701916807,0.23930843033910212,0.2225659635562311,0.7126585769775887,0.1709624134652269,0.16982837953019858,0.6581182360972434,2.0692318728665487e-07,0.059911530031552536,0.2873414230224113,0.08361469749245615,0.8150582529808319,0.08345770835876465,11.482610702514648
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,150000,403328,0.0001,"(100,)",0.14512505950491908,0.9411844559193622,0.14512505950491908,0.19128752246591155,0.23646308686279607,0.7513886246675544,0.16807711433861613,0.19998577886918917,0.5382503631519439,3.330280660864135e-07,0.057471344841044006,0.2486113753324455,0.007195232120579018,0.854874940495081,0.13431954383850098,5.646777153015137
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,150000,403328,0.0001,"(100,)",0.1370770192002539,0.9522771501378772,0.1370770192002539,0.1773101133368173,0.24193235774544633,0.7461996037172178,0.1703157234088127,0.1931302093898728,0.6160926871858146,3.3020424638540547e-07,0.05773270669726321,0.2538003962827821,0.0030676196592019267,0.8629229807997462,0.1331806182861328,7.530516147613525
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,150000,403328,0.0001,"(100,)",0.14805815614090764,0.9125619542263368,0.14805815614090764,0.18233038745499708,0.23268688943555024,0.7304069096960898,0.1651513635866973,0.18126022137309214,0.6477208603700566,3.2487463398760595e-07,0.058060819287394795,0.26959309030391027,0.018970445451829538,0.8519418438590923,0.13103103637695312,7.392230033874512
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,150000,403328,0.0001,"(100,)",0.13941010790225325,0.9029062733336629,0.13941010790225325,0.18597227023918328,0.23482693151592188,0.7292398376912751,0.16310299160568048,0.1768537325306496,0.5426271955037149,2.804826749994126e-07,0.05864762309522187,0.27076016230872485,0.019124454330581218,0.8605898920977467,0.11312651634216309,5.931063890457153
CIC17,B__StandardScaler_pca_NM_SMOTE_mlp,StandardScaler + PCA + NearMiss_SMOTE + mlp,StandardScaler,True,33,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,150000,403327,0.0001,"(100,)",0.15266520713961623,0.9148095798133439,0.15266520713961623,0.20042884954240062,0.24287367510265023,0.7141090847525543,0.182133939279926,0.17244743241675176,0.6356128084071672,3.451234059879922e-07,0.05772562876065328,0.28589091524744575,0.01854963854941548,0.8473347928603837,0.13919758796691895,11.489683151245117
