dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,1613311,403328,0.0001,"(50,)",0.9854485679149476,0.9853593614674755,0.9854485679149476,0.9851621281451747,0.7866443151988213,0.7111963327342562,0.7287719007818892,0.9518357841971001,0.9989441056669508,1.8707790740971638e-07,0.0030635395143480816,0.28880366726574375,0.03140166063016885,0.014551432085052364,0.0754537582397461,57.56456446647644
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,1613311,403328,0.0001,"(50,)",0.9863609766740717,0.9872391027467943,0.9863609766740717,0.9862897134221932,0.8104640875682931,0.7197079670954476,0.7040383472870219,0.9555574799211457,0.9990431003001465,1.8592875407106043e-07,0.0021518020349506474,0.28029203290455235,0.01863800719833144,0.013639023325928278,0.07499027252197266,71.35990142822266
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,1613311,403328,0.0001,"(50,)",0.9852254244684228,0.9851008959956542,0.9852254244684228,0.9848429765980405,0.7685717478082702,0.6469227277043218,0.67004557467552,0.9508931309761408,0.9988842058800369,1.859955515645111e-07,0.0033565070837986237,0.3530772722956782,0.035573030725402084,0.014774575531577277,0.07501721382141113,57.7275755405426
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,1613311,403328,0.0001,"(50,)",0.9846130196762932,0.9843423102645391,0.9846130196762932,0.983907786138141,0.8643835465168922,0.6838856488147116,0.7040756912693081,0.9481535427536537,0.9986505893837424,1.8537959591693931e-07,0.0046293066920990444,0.3161143511852886,0.05405262005777889,0.015386980323706759,0.0747687816619873,39.34206557273865
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,1613312,403327,0.0001,"(50,)",0.9867502051685109,0.9863960821072639,0.9867502051685109,0.9860082990220759,0.836938972202772,0.6768088876041032,0.6946197471286042,0.9554167218293969,0.9991430290620598,1.8589020049674818e-07,0.004074484291174108,0.32319111239589676,0.04786746953612253,0.01324979483148909,0.07497453689575195,83.3427746295929
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,1613311,403328,0.0001,"(100,)",0.9870874325610918,0.9867009272777904,0.9870874325610918,0.9866499490840027,0.8017798675856694,0.7027962925825199,0.7248013132555098,0.9568225452114435,0.999115395687612,2.6153701424636527e-07,0.003325999969894514,0.29720370741748003,0.03697743210950942,0.012912567438908283,0.10548520088195801,110.30673909187317
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,1613311,403328,0.0001,"(100,)",0.987055200729927,0.9870298147129588,0.987055200729927,0.9865615899175935,0.8430993826756551,0.6253995091808876,0.6559208180663909,0.9565823456624909,0.9991190438919995,2.5856127458237647e-07,0.0036149168470103626,0.37460049081911245,0.04127895343508245,0.012944799270072993,0.10428500175476074,119.3244833946228
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,1613311,403328,0.0001,"(100,)",0.9851336877181847,0.9853267088561114,0.9851336877181847,0.9847656802761453,0.8542570798627992,0.6620196321641549,0.6887706154092232,0.9508879827152256,0.9990129525015325,2.5987771721878946e-07,0.00303062883102964,0.33798036783584495,0.03059312018362931,0.014866312281815296,0.10481595993041992,73.67441391944885
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,1613311,403328,0.0001,"(100,)",0.9880742224690574,0.9884984848969338,0.9880742224690574,0.9877462406526878,0.8756627144092769,0.7011515624845004,0.7176031725890001,0.9605319979904153,0.9991064313964846,2.602205716099523e-07,0.0024756514463456832,0.2988484375154998,0.025208994164242694,0.011925777530942558,0.10495424270629883,85.86332130432129
CIC17,B__StandardScaler_pca_NONE_mlp,StandardScaler + PCA + NONE + mlp,StandardScaler,True,33,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,1613312,403327,0.0001,"(100,)",0.9865369786798305,0.9866698953936809,0.9865369786798305,0.9861423485058174,0.8149902088241056,0.671933047177454,0.685421327771199,0.9551662534208117,0.9990235401317571,2.5765453152365166e-07,0.0031659490278936513,0.328066952822546,0.03402621409823528,0.01346302132016949,0.10391902923583984,69.39439105987549
