dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,150000,403328,0.0001,"(50,)",0.932595802919708,0.9660156227801352,0.932595802919708,0.9452964208640776,0.46104454894886515,0.8902168088542183,0.5481347630385278,0.8241506293738794,0.9957293294082438,2.3651751061539087e-07,0.004657260169861122,0.10978319114578156,0.0024547054676248544,0.06740419708029197,0.09539413452148438,15.136666297912598
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,150000,403328,0.0001,"(50,)",0.9364933751190099,0.9696722270478585,0.9364933751190099,0.949384111576044,0.46138903807374215,0.8963554320578402,0.5357736995713985,0.832450941410024,0.9964586455457042,2.469000873850172e-07,0.00438164670456123,0.10364456794216001,0.002218075687428286,0.06350662488099017,0.09958171844482422,13.967052936553955
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,150000,403328,0.0001,"(50,)",0.9146377142177087,0.9628560330372756,0.9146377142177087,0.9333625750267057,0.4132099523964188,0.8654156357286134,0.49591605499056984,0.7893403754532806,0.9951196679712435,2.3718725893467958e-07,0.005874969627480648,0.13458436427138676,0.002762258629918371,0.08536228578229134,0.09566426277160645,6.236668586730957
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,150000,403328,0.0001,"(50,)",0.9320924904792129,0.9665826530379326,0.9320924904792129,0.9452472838409404,0.4303373141847169,0.8832715668111427,0.5159580983217895,0.8231396292228722,0.996173258980402,2.256555288263973e-07,0.004705169932016346,0.1167284331888573,0.002670039459458154,0.06790750952078706,0.09101319313049316,9.4499351978302
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,150000,403327,0.0001,"(50,)",0.9297914595353151,0.9656789576069255,0.9297914595353151,0.9435275948826279,0.46433548390060503,0.8558699161105727,0.5448913080404153,0.8184200702484261,0.9959538066383153,2.38110009384457e-07,0.004838168977710689,0.1441300838894272,0.0023639942009753448,0.07020854046468498,0.09603619575500488,11.606549263000488
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,150000,403328,0.0001,"(100,)",0.934093343383053,0.9664767797005585,0.934093343383053,0.9464671685924166,0.46074464900069395,0.9128127734703391,0.5456629986637226,0.8274108040669997,0.9968022915185036,3.1408476984640864e-07,0.004545278808491944,0.08718722652966086,0.0022725255104321857,0.065906656616947,0.1266791820526123,18.301878929138184
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,150000,403328,0.0001,"(100,)",0.9344850841002856,0.966378151061495,0.9344850841002856,0.9465979012679071,0.453898738122426,0.8852895701947675,0.5347477732613678,0.8281616301868059,0.9968562828282138,3.214803755150943e-07,0.004527525469387307,0.11471042980523262,0.002397966141095217,0.06551491589971438,0.12966203689575195,15.58831000328064
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,150000,403328,0.0001,"(100,)",0.9302577554744526,0.9655347110014765,0.9302577554744526,0.94374598457345,0.4402153744471709,0.8866719586877291,0.5190873949761352,0.8195219720365579,0.9960509531976552,3.3036621552881685e-07,0.004806810692075789,0.11332804131227109,0.002359915855589381,0.06974224452554745,0.13324594497680664,17.38996934890747
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,150000,403328,0.0001,"(100,)",0.9276345802919708,0.9640782835203777,0.9276345802919708,0.9413435447463335,0.41345035084935566,0.8710854525968063,0.4951723968723679,0.8142353232249707,0.9961903740146414,2.758281310752474e-07,0.004988720802505156,0.1289145474031937,0.0024653923295481564,0.07236541970802919,0.11124920845031738,9.699305772781372
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,150000,403327,0.0001,"(100,)",0.9355138634408309,0.9667836491732189,0.9355138634408309,0.94739106373586,0.4496470148332581,0.8669160680449934,0.5320678351943279,0.8302611830278896,0.9960832751304745,3.073389850154494e-07,0.00445278152866158,0.13308393195500665,0.0023055863707545864,0.06448613655916911,0.12395811080932617,14.798174142837524
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",1,1613311,150000,403328,0.0001,"(100, 50)",0.9333470525230085,0.9662560102847003,0.9333470525230085,0.9458570479678851,0.4764881592161382,0.8919271480530391,0.560289736385208,0.8258645566422151,0.9966714014801071,3.904124331148947e-07,0.004583960335860559,0.10807285194696092,0.002106457560916962,0.06665294747699142,0.15746426582336426,13.640383005142212
CIC17,B__StandardScaler_pca_RUS_SMOTE_mlp,StandardScaler + PCA + RUS_SMOTE + mlp,StandardScaler,True,33,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",2,1613311,150000,403328,0.0001,"(100, 50)",0.9360173357664233,0.9666760936602528,0.9360173357664233,0.9477395777392554,0.47156770786289187,0.8739093702959569,0.5449804142927887,0.8314386402220606,0.9965008343999769,4.0916124815715375e-07,0.004424781898004691,0.12609062970404308,0.0023890642364937133,0.06398266423357664,0.16502618789672852,25.143343210220337
