rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.08477917887538591,0.0009417962244254844,8.869801283420975e-07,0.9311857577291474,0.007933811383938017,6.29453630759045e-05,0.08477917887538591,0.0009417962244254844,8.869801283420975e-07,0.10349152660406424,0.005992837996371648,3.591410725075576e-05,0.26341729439712513,0.03185514569081161,0.0010147503069828337,0.6892920223572121,0.020062908528456457,0.0004025202986212108,0.17541080234918666,0.0195399755769949,0.0003818106455495572,0.004344611586521491,0.002282918993814209,5.21171913231768e-06,0.915220821124614,0.0009417962244255122,8.869801283421497e-07,0.06130436218074238,0.0001672258915907908,2.7964498818334913e-08,0.31070797764278785,0.020062908528456443,0.0004025202986212103,0.11804657594081439,0.005554786859517958,3.0855657054673374e-05,0.5424775826573615,0.001736519725035429,3.015500755437122e-06,0.0002375905917814928,2.8932874356079902e-06,8.371112185047061e-12,0.026845979690551757,0.0061747880266090575,3.812800717355458e-05,95.82689099311828,1.16697537027021,1.3618315148172937
2,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.08452826616909752,0.0011041755644184638,1.219203677058833e-06,0.9296507863778463,0.007708674417173534,5.9423661269985726e-05,0.08452826616909752,0.0011041755644184638,1.219203677058833e-06,0.10207869577716307,0.005421959905578378,2.9397649217699494e-05,0.2548685761066829,0.03043499809162713,0.0009262891088373471,0.6895065750060232,0.019839927697030014,0.00039362273102337865,0.1699499703230179,0.015734135221992827,0.00024756301118395525,0.004544210834263376,0.0022558210805445978,5.088728747429397e-06,0.9154717338309025,0.001104175564418455,1.219203677058814e-06,0.061334396311011063,0.0001566281437483363,2.4532375414049502e-08,0.31049342499397686,0.019839927697029986,0.00039362273102337757,0.11761146587136642,0.00536909135930817,2.882714202459766e-05,0.5432820292369493,0.001558402138830871,2.4286172263126334e-06,0.0002362125004847483,3.233351368638374e-06,1.0454561073075646e-11,0.029317092895507813,0.005576430398763264,3.1096575992251015e-05,95.27106866836547,1.304147692182696,1.700801203025452
3,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.08496463736326963,0.0031726254833279164,1.0065552457461694e-05,0.9149796433746443,0.0019474762260614802,3.7926636510746656e-06,0.08496463736326963,0.0031726254833279164,1.0065552457461694e-05,0.11854975599799025,0.006215704153678028,3.8634978126050285e-05,0.26707133013637174,0.024880189191450134,0.0006190238142023521,0.6676373002137399,0.017685828390222248,0.0003127885258483913,0.16797794090082482,0.019250276086008256,0.00037057312938754133,0.006676001021266783,0.0003028558268419643,9.172165185212985e-08,0.9150353626367304,0.003172625483327925,1.006555245746175e-05,0.061447424243866476,0.00019602283446583374,3.842495163201966e-08,0.33236269978626,0.01768582839022222,0.0003127885258483903,0.1047012114768701,0.0020053937148220334,4.021603951447715e-06,0.5449758854548443,0.003362563792326298,1.1306835257463815e-05,5.062710150497989e-05,1.6376956629477851e-06,2.682047084437985e-12,0.03190436363220215,0.004196218321632592,1.7608248202805044e-05,20.41931700706482,0.6605097938390745,0.4362731877573367
4,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.08446231488256181,0.0011121021239291669,1.2367711340477638e-06,0.9290299769588684,0.008057071053955376,6.491639396848559e-05,0.08446231488256181,0.0011121021239291669,1.2367711340477638e-06,0.10132130730545272,0.005956109744593482,3.547524328964143e-05,0.25143034293404526,0.03142660635054734,0.0009876315867122622,0.6895532383898171,0.019671079003119697,0.0003869513491469766,0.1672153748482132,0.015420627928553763,0.00023779576571089233,0.004704018461038614,0.0022936366388189035,5.260769030932477e-06,0.9155376851174383,0.0011121021239291538,1.236771134047735e-06,0.06134944690523179,0.00017448502232305169,3.0445023015075846e-08,0.3104467616101828,0.01967107900311976,0.00038695134914697903,0.11737334154745596,0.005605629033775982,3.1423076864312245e-05,0.5439189699691989,0.0016490861484251076,2.7194851249275563e-06,0.00023371391931784839,4.70204022320432e-06,2.2109182260631332e-11,0.029826641082763672,0.0053979373712818544,2.913772786428126e-05,94.26332192420959,1.896526255542288,3.5968118379612517
5,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.083540486088648,0.001809577776015763,3.2745717274501552e-06,0.9147508356604905,0.0025382622058394352,6.4427750255928755e-06,0.083540486088648,0.001809577776015763,3.2745717274501552e-06,0.11599828786636834,0.0034561427334604804,1.194492259405168e-05,0.2670709891229065,0.024356932247363017,0.0005932601485026325,0.6676200134028136,0.01718149592638719,0.0002952038022684597,0.16717079621917363,0.01875783496864201,0.0003518563727108091,0.0066014190538597264,0.00047759399331900724,2.2809602245439594e-07,0.9164595139113519,0.0018095777760157854,3.2745717274502357e-06,0.061537395531014116,9.506574114716371e-05,9.037495139859535e-09,0.3323799865971863,0.01718149592638715,0.00029520380226845817,0.10431960722925641,0.0018324363144480598,3.357822846507989e-06,0.5421246483887472,0.0036018511859309855,1.2973331965592448e-05,5.10446555688137e-05,4.362247972043957e-06,1.9029207369601612e-11,0.032343578338623044,0.005907796456217867,3.4902058968100394e-05,20.587730121612548,1.7594353557940592,3.095612771218168
6,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.08444843039406794,0.0010958504190588558,1.20088814095147e-06,0.9278934334813606,0.0084905970413945,7.209023811933704e-05,0.08444843039406794,0.0010958504190588558,1.20088814095147e-06,0.10050090983248572,0.005992013327751703,3.590422371995404e-05,0.24769654893995732,0.03338651586373791,0.0011146594415196232,0.6902030453264723,0.020184630065035163,0.0004074192908623214,0.16387933566512983,0.01619708657478528,0.00026234561351108957,0.0049503692092927026,0.0023505057794628316,5.524877419288174e-06,0.9155515696059322,0.0010958504190588896,1.2008881409515437e-06,0.06136679592101498,0.0001776086196089696,3.1544821759403665e-08,0.30979695467352764,0.020184630065035212,0.00040741929086232333,0.1169071742926383,0.005724025502041286,3.276446794801899e-05,0.5443392879407908,0.0016031261357613885,2.570013407161242e-06,0.00024486517526570677,3.6093286516022224e-06,1.3027253315276716e-11,0.027274322509765626,0.0070240839390903744,4.933775518338735e-05,98.76093230247497,1.4557319109549856,2.119155396572654
7,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.08694714221012272,0.005990717321503197,3.588869402615844e-05,0.917673326345948,0.0038024307673646092,1.4458479740601011e-05,0.08694714221012272,0.005990717321503197,3.588869402615844e-05,0.12204557054900642,0.01208169474649512,0.0001459673479474878,0.26197138117506213,0.028751083261351604,0.0008266247887011724,0.6686439731919936,0.017838440055476835,0.0003182099436128404,0.16327288186341968,0.02224392760217344,0.0004947923151707335,0.00631464271769532,0.0005603585830511598,3.140017415991036e-07,0.9130528577898772,0.005990717321503176,3.588869402615819e-05,0.06129116670050484,0.00039012760482413347,1.5219954804581525e-07,0.3313560268080063,0.01783844005547685,0.0003182099436128409,0.10551121021226642,0.0025836618627169323,6.675308620857928e-06,0.5459210586912189,0.0027614505010300056,7.625608869638869e-06,4.857630324744569e-05,2.157202592292996e-06,4.6535230241956204e-12,0.03322224617004395,0.006164802436992914,3.800478908715377e-05,19.592173957824706,0.8700719520138415,0.7570252016811765
8,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.08459818449572812,0.0010789209209128637,1.164070353583462e-06,0.9269196363660898,0.008865657444087223,7.859988191589918e-05,0.08459818449572812,0.0010789209209128637,1.164070353583462e-06,0.09995656976692212,0.006209728230395498,3.85607246953708e-05,0.24625262015260801,0.03489163882546347,0.0012174264599265898,0.6896710955666087,0.01940497362761775,0.00037655300148854026,0.16281583344858372,0.017109710797027174,0.00029274220355790824,0.005200361714996226,0.0023367478128282315,5.460390340757524e-06,0.9154018155042719,0.0010789209209128396,1.1640703535834097e-06,0.061373478481284535,0.00018206522924754312,3.314774770096043e-08,0.3103289044333913,0.01940497362761776,0.0003765530014885407,0.11671058977203726,0.005890987890415899,3.470373832502677e-05,0.5444931108877487,0.0017460973651526274,3.048856008592948e-06,0.00023993227541278754,4.897292016942528e-06,2.3983469099209012e-11,0.027544498443603516,0.00646481316289916,4.1793809231194246e-05,96.77135701179505,1.9752284427775562,3.9015274011574492
9,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.08737607332842232,0.006098905454748559,3.719664774596173e-05,0.9188492518623935,0.0045048394529273285,2.0293578496650594e-05,0.08737607332842232,0.006098905454748559,3.719664774596173e-05,0.12260142658986817,0.01219995610360249,0.00014883892892982766,0.26092589921653453,0.027490428825003053,0.0007557236769825588,0.669292967468817,0.017595994721678387,0.0003096190302453337,0.16244689259108927,0.022174368545020626,0.0004917026203704001,0.006110833212393118,0.0010359646383117566,1.0732227318324088e-06,0.9126239266715777,0.006098905454748545,3.719664774596156e-05,0.06124898399226473,0.00037714006283729037,1.4223462699691534e-07,0.3307070325311829,0.01759599472167841,0.00030961903024533447,0.10585385222091634,0.0026455459017256547,6.998913118137407e-06,0.5470833225443934,0.0023580929407410536,5.560602317172791e-06,4.909037488255583e-05,2.6524535548466292e-06,7.03550986061852e-12,0.031121587753295897,0.004807844845870746,2.3115372061965897e-05,19.799513053894042,1.0698122347211685,1.1444982175591005
10,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + knn,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.08692631541345,0.006178584608855701,3.817490776878856e-05,0.918483605240678,0.004885200918014853,2.3865188009373155e-05,0.08692631541345,0.006178584608855701,3.817490776878856e-05,0.12149423509174277,0.012609102844339444,0.00015898947453912905,0.257765164499086,0.030822770682996353,0.0009500431925765794,0.6739751797280865,0.01739688026328191,0.0003026514428949677,0.1591789784094593,0.025507956378843816,0.0006506558386249989,0.006100190665140616,0.0011642138265693745,1.3553938339753054e-06,0.9130736845865499,0.006178584608855708,3.817490776878864e-05,0.06127825835011271,0.00036786577117660867,1.3532522560336102e-07,0.3260248202719135,0.017396880263281934,0.00030265144289496856,0.10573324064836445,0.002668599567638101,7.121423652398258e-06,0.5477607857456672,0.0024029945100471624,5.7743826153168025e-06,5.2128901689261464e-05,1.7203913834860566e-06,2.9597465123730676e-12,0.029270505905151366,0.00681825671012757,4.648862456519964e-05,21.025034856796264,0.6938671820990502,0.4814516663940765
