dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,1613311,150000,403328,euclidean,3,0.07913162488099017,0.924813992891789,0.07913162488099017,0.10224920208528765,0.27387345039080935,0.6626156942235758,0.1813639534815642,0.10156010617660803,0.5372198578952355,5.183089908740892e-05,0.06167600712703633,0.3373843057764242,0.0042717317865349725,0.9208683751190099,20.904852867126465,0.021845340728759766
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,1613311,150000,403328,euclidean,3,0.0803093264043161,0.9248797730208368,0.0803093264043161,0.10761192303105817,0.27403050887719266,0.6638131294595311,0.1595652649918508,0.10139433478721098,0.5377331806163103,5.1518777454516046e-05,0.06157068794147696,0.3361868705404689,0.0038696455264704086,0.9196906735956839,20.77896547317505,0.024091482162475586
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,1613311,150000,403328,euclidean,3,0.07906716121866074,0.9355605403400683,0.07906716121866074,0.10731757185513364,0.23817441265151987,0.6237462702039773,0.1412414605958981,0.10557803018561465,0.5382116217900322,4.91013081867859e-05,0.06158054317662906,0.3762537297960226,0.0027753088680965354,0.9209328387813392,19.803932428359985,0.022039413452148438
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,1613311,150000,403328,euclidean,3,0.0806638765471279,0.908871731840052,0.0806638765471279,0.10574544008372742,0.23532477630744697,0.6779140944340145,0.15209901639495788,0.10053627727185079,0.5377209402189763,4.98964283077424e-05,0.06174374567362157,0.32208590556598543,0.0068200616514515235,0.9193361234528721,20.124626636505127,0.02067852020263672
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,1613312,150000,403327,euclidean,3,0.07854420854542345,0.9322283616869524,0.07854420854542345,0.10541815030700853,0.26411781845841614,0.6766150133187233,0.17278621667978086,0.1049442631357675,0.538125698151425,4.852226112010345e-05,0.061634121710469794,0.3233849866812769,0.0030560342024703153,0.9214557914545766,19.570338010787964,0.02090907096862793
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,1613311,150000,403328,euclidean,5,0.07890104331958109,0.9319359410626857,0.07890104331958109,0.10589741197000328,0.28826247508098973,0.6858795378026871,0.19139233510171874,0.10462483913773622,0.5364609863173276,4.982860698014431e-05,0.06160786379779768,0.31412046219731293,0.003019000286546326,0.921098956680419,20.097272396087646,0.022632122039794922
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,1613311,150000,403328,euclidean,5,0.0793101396382101,0.933819376688976,0.0793101396382101,0.11029480989064658,0.29357500808932974,0.6618871152591507,0.16758395722191738,0.10370594285711361,0.5374566428292461,4.947372431113432e-05,0.061577517923850536,0.3381128847408493,0.0029729084959680186,0.9206898603617899,19.95413827896118,0.02325916290283203
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,1613311,150000,403328,euclidean,5,0.07887377023167248,0.9349542758326659,0.07887377023167248,0.1067649297418497,0.23713663445934666,0.6229247191747803,0.1406624163949543,0.10548161722912187,0.5370010290260627,5.299172780034051e-05,0.06159569188456117,0.3770752808252196,0.0028091485000901477,0.9211262297683275,21.373047590255737,0.022729158401489258
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,1613311,150000,403328,euclidean,5,0.08056222231037766,0.9148503337427817,0.08056222231037766,0.11005043040624811,0.2511536476112921,0.6789651070291943,0.1589082413015719,0.10225297678153916,0.538030754018306,5.076458705432526e-05,0.06171427011740281,0.3210348929708056,0.006276274071419833,0.9194377776896223,20.4747793674469,0.020853281021118164
CIC17,C__RobustScaler_no_pca_NM_SMOTE_knn,RobustScaler + sin PCA + NearMiss_SMOTE + knn,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,1613312,150000,403327,euclidean,5,0.07906487787824767,0.9293213030734591,0.07906487787824767,0.1069099812540188,0.26530835725443913,0.676645479939495,0.1731902415789106,0.10479417432082855,0.5377560910647791,4.8475165223682926e-05,0.06163484087167086,0.323354520060505,0.00358749095331056,0.9209351221217523,19.551342964172363,0.022661924362182617
