dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,1613311,1613311,403328,euclidean,3,0.9916569144715963,0.9916120250078382,0.9916569144715963,0.9916274068738264,0.8357639772270329,0.7946624682059491,0.8081587072437009,0.9722804534072071,0.9933784769881637,0.0003345648523731029,0.00172641365449075,0.20533753179405095,0.017553119288957565,0.008343085528403682,134.93937277793884,0.19157648086547852
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,1613311,1613311,403328,euclidean,3,0.9916891463027611,0.9916997081308788,0.9916891463027611,0.9916879926413784,0.8374325381454911,0.761159476855984,0.7825334729385052,0.9724241296217668,0.9941574901189889,0.00035025052116224403,0.00165392567415642,0.23884052314401602,0.016498031415107327,0.008310853697238971,141.26584219932556,0.18928170204162598
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,1613311,1613311,403328,euclidean,3,0.9916147651539194,0.99161214629338,0.9916147651539194,0.9916051412142041,0.86971364646973,0.7651350850427371,0.7919931410966934,0.9721746537250013,0.9938006967709139,0.00032665506974737516,0.001677145529521037,0.23486491495726286,0.016771948096734948,0.00838523484608061,131.74913597106934,0.1882038116455078
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,1613311,1613311,403328,euclidean,3,0.9916321207553158,0.9916027178874764,0.9916321207553158,0.9916049858454526,0.8861939694796431,0.8128464137376052,0.8278478693975817,0.972201748055825,0.993592649532491,0.00033005530393547347,0.0017403997946397643,0.18715358626239462,0.01773811767491224,0.008367879244684228,133.12054562568665,0.17996597290039062
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,1613312,1613312,403327,euclidean,3,0.9915874712082255,0.9915906252012007,0.9915874712082255,0.9915824046819538,0.7639978093140719,0.7660726264413903,0.7647449270792263,0.9720960035966141,0.9939203249794558,0.0003666266234702814,0.0016535579464634085,0.23392737355860976,0.01639084040517671,0.008412528791774416,147.8704161643982,0.16942119598388672
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,1613311,1613311,403328,euclidean,5,0.9914734409711203,0.9914108396792115,0.9914734409711203,0.9914240806091319,0.8730967624565501,0.792678589898269,0.814896973172807,0.9716617413948305,0.994943259875133,0.00032712002227189844,0.0017853090469632953,0.20732141010173097,0.018253076675569704,0.008526559028879721,131.93666434288025,0.19739603996276855
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,1613311,1613311,403328,euclidean,5,0.9917635274516027,0.9917634418166408,0.9917635274516027,0.9917553833561095,0.835187121002393,0.7586891501362617,0.7800978583559338,0.972657637865841,0.9957905403897405,0.00033565832911427535,0.00165824570172607,0.2413108498637382,0.016637212977493723,0.008236472548397334,135.38040256500244,0.21545886993408203
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,1613311,1613311,403328,euclidean,5,0.9917040225325293,0.9916759353045671,0.9917040225325293,0.9916766703170121,0.875288775993092,0.7662932299372207,0.7945024916740592,0.9724511483844984,0.9954376482224212,0.0003492239571845331,0.0016951358172421693,0.23370677006277926,0.017131059791161894,0.008295977467470645,140.85180020332336,0.1937723159790039
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,1613311,1613311,403328,euclidean,5,0.9915800539511266,0.9915138641952941,0.9915800539511266,0.9915248007129945,0.9060007287843151,0.8053346371536244,0.8280501097632734,0.9720142854015302,0.9952895159993123,0.0003299179978453519,0.001780364172664513,0.19466536284637556,0.018285516541094324,0.008419946048873373,133.0651662349701,0.18875741958618164
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,1613312,1613312,403327,euclidean,5,0.9916717700525876,0.9916285455886518,0.9916717700525876,0.9916402772960449,0.7706897419049382,0.7657031648440277,0.7676124079064671,0.9723520734008403,0.9955526669680006,0.00032748975916155695,0.0016874061412931126,0.23429683515597244,0.016982862171984296,0.008328229947412398,132.08546209335327,0.17323613166809082
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",1,1613311,1613311,403328,euclidean,7,0.9912874880990162,0.9912159599708961,0.9912874880990162,0.9912243170368346,0.8404291809168997,0.7685383711474703,0.7825586022863256,0.9710398063499424,0.9959377038728885,0.00036205578227718077,0.0018329668037119515,0.23146162885252958,0.01878199015469546,0.008712511900983815,146.02723455429077,0.18126535415649414
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",2,1613311,1613311,403328,euclidean,7,0.9916519557283402,0.9916307485913233,0.9916519557283402,0.9916276271130723,0.838170246195055,0.7464949584703053,0.7664086756230433,0.9722781575341629,0.9965663542143876,0.0003503984190885395,0.0016991929885458617,0.25350504152969466,0.017139850556528134,0.00834804427165979,141.32549357414246,0.19197726249694824
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",3,1613311,1613311,403328,euclidean,7,0.9916494763567122,0.9915984977897453,0.9916494763567122,0.9916077954500531,0.8108493244626794,0.7488577901839466,0.7676097569516961,0.9722593952212313,0.9962407783358583,0.0003283968143891017,0.0017304356009588586,0.25114220981605334,0.017606010371095042,0.008350523643287845,132.4516303539276,0.1876521110534668
CIC17,C__RobustScaler_no_pca_NONE_knn,RobustScaler + sin PCA + NONE + knn,RobustScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",4,1613311,1613311,403328,euclidean,7,0.9914660028562361,0.9913842840451141,0.9914660028562361,0.9913989980936136,0.8401245969172159,0.7707912311094655,0.7832485590599026,0.9716257382082034,0.9961602690205938,0.0003287796485579154,0.001822982839810564,0.22920876889053454,0.01881074545339458,0.008533997143763884,132.6060380935669,0.1856381893157959
