dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,1613311,144610,403328,euclidean,3,0.9370983417962552,0.9681054629128076,0.9370983417962552,0.9498469838950143,0.46139296976700894,0.8666119180663906,0.5373654111855206,0.8266098824186181,0.9728169846554245,4.877029705032474e-05,0.005435078994026887,0.1333880819336094,0.018624526706658453,0.06290165820374484,19.67042636871338,0.028772830963134766
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,1613311,144303,403328,euclidean,3,0.9360718819422406,0.9678347153855656,0.9360718819422406,0.9490010385615484,0.45377322653813007,0.8589364979538464,0.5311001098390945,0.8245692699137568,0.973044290812685,4.964846478061652e-05,0.005453022062039853,0.14106350204615362,0.017867212872838354,0.06392811805775944,20.0246160030365,0.03450345993041992
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,1613311,144570,403328,euclidean,3,0.9350131902570612,0.967083510197281,0.9350131902570612,0.9479980084043187,0.44876643534073435,0.8231975999238368,0.5245585923978409,0.8223872193402052,0.9725156107361528,5.4828693746801634e-05,0.0055046920262738315,0.17680240007616319,0.017583570651168716,0.06498680974293874,22.11394739151001,0.026107311248779297
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,1613311,144503,403328,euclidean,3,0.9344330172960965,0.9674312614136401,0.9344330172960965,0.9479636751788131,0.46272012661819395,0.8617820546830007,0.5382603430905625,0.8211211366096101,0.9724188052597758,5.520565978537208e-05,0.005554204116506506,0.13821794531699924,0.017746079043694074,0.06556698270390353,22.26598834991455,0.03348231315612793
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,1613312,144336,403327,euclidean,3,0.9333394491318459,0.9667780909618612,0.9333394491318459,0.9470045112306212,0.45389467751452695,0.8497901601553982,0.5300570828743584,0.8187503959241933,0.9722649626319508,4.84354696803054e-05,0.00564873292317133,0.15020983984460173,0.018070442979415853,0.06666055086815412,19.535332679748535,0.019240617752075195
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,1613311,144610,403328,euclidean,5,0.9299974214535068,0.9659643255012533,0.9299974214535068,0.9445687736436972,0.44205301281197296,0.8667261656405629,0.5195894793532223,0.8118857397360717,0.9765603317970031,4.1079876801960814e-05,0.0058054261997839895,0.13327383435943688,0.017078814450266655,0.07000257854649318,16.56866455078125,0.03321027755737305
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,1613311,144303,403328,euclidean,5,0.928095743414789,0.965513814127818,0.928095743414789,0.9431051512999449,0.4366363083478114,0.8594239626858828,0.5157029941845461,0.8082018762568982,0.9770426399901385,4.251433169319682e-05,0.005875670028803344,0.1405760373141172,0.016230793846839113,0.07190425658521105,17.147220373153687,0.035410165786743164
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,1613311,144570,403328,euclidean,5,0.9266775428435418,0.9645978262122507,0.9266775428435418,0.9418431261048092,0.4309116288644049,0.8219027381823163,0.5080550197264725,0.8051869630286229,0.9758775237251762,4.1878794921991826e-05,0.005976891692109928,0.17809726181768373,0.016330918225190668,0.07332245715645827,16.89089059829712,0.022867441177368164
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,1613311,144503,403328,euclidean,5,0.9265188630593463,0.9650534902741883,0.9265188630593463,0.9420869251080444,0.4439754064276374,0.862918287337189,0.5211548534064508,0.8050914706731901,0.9763907834657026,4.178307529613352e-05,0.005958766830752473,0.13708171266281108,0.015900365520633352,0.07348113694065377,16.85228419303894,0.02289891242980957
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_knn,RobustScaler + sin PCA + RUS_SMOTE_ENN + knn,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,1613312,144336,403327,euclidean,5,0.924909564695644,0.9646579336067135,0.924909564695644,0.9409498234405725,0.4356791230939613,0.8492384068629328,0.5122536810392938,0.8019018108511359,0.9762632121356027,5.345524400587542e-05,0.006082089864612397,0.1507615931370671,0.01614091266482992,0.07509043530435602,21.559943199157715,0.021348237991333008
