dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,1613311,150000,403328,euclidean,3,0.9193633965407807,0.9629748516810752,0.9193633965407807,0.9365515794680828,0.4300223624517325,0.8502642141665383,0.5141019772884278,0.7945877653921086,0.9737745092985955,5.658586506274571e-05,0.005774882699604669,0.1497357858334617,0.005986637034850704,0.08063660345921929,22.8226637840271,0.019505023956298828
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,1613311,150000,403328,euclidean,3,0.9195766225007934,0.9633267152326439,0.9195766225007934,0.9368726673076196,0.4349141354863057,0.8636098071447674,0.5182070256283952,0.7951495870391534,0.97358379036526,5.317250546274848e-05,0.00578303450481248,0.13639019285523252,0.006322140072980635,0.08042337749920661,21.44596028327942,0.02231431007385254
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,1613311,150000,403328,euclidean,3,0.9157410345921929,0.9627545039263333,0.9157410345921929,0.9344029093828146,0.4239713272816664,0.8093947600658458,0.5056392105587204,0.7878224858400004,0.9729552217173965,5.241122152343019e-05,0.006053572309149614,0.19060523993415412,0.006544619229437164,0.08425896540780704,21.13891315460205,0.022691726684570312
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,1613311,150000,403328,euclidean,3,0.9165964178038718,0.9640943270953294,0.9165964178038718,0.935674286417706,0.434568788840533,0.8766401808326687,0.516793391091913,0.789458337286957,0.9723516135434555,5.339483648623712e-05,0.005997855874717916,0.12335981916733127,0.006564255924640511,0.08340358219612821,21.535632610321045,0.020966053009033203
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,1613312,150000,403327,euclidean,3,0.9149746979498025,0.9617006266412279,0.9149746979498025,0.9334152450533693,0.4283675059964938,0.8526292984137469,0.5110770575683143,0.7862357186225009,0.9723836699313823,4.9670760562818803e-05,0.006108698225513673,0.14737070158625304,0.006605171332507602,0.08502530205019748,20.03355884552002,0.02216815948486328
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,1613311,150000,403328,euclidean,5,0.913655883052999,0.9619853720064263,0.913655883052999,0.9326435363290251,0.419652935873201,0.8726503979029243,0.5034935616964453,0.7840058816748171,0.978020048651422,5.338448937716313e-05,0.006137612369731127,0.12734960209707571,0.005720068598965977,0.08634411694700095,21.53145933151245,0.020349740982055664
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,1613311,150000,403328,euclidean,5,0.9124186766105998,0.9618287722521168,0.9124186766105998,0.9318504388370903,0.4219596439992798,0.8612437385239231,0.5050991868993516,0.7816756390738999,0.9779800212576654,5.398835408729207e-05,0.006247218195188392,0.13875626147607695,0.006126949538425693,0.0875813233894002,21.775014877319336,0.022330284118652344
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,1613311,150000,403328,euclidean,5,0.9091012773722628,0.9614388059855203,0.9091012773722628,0.9297508224279559,0.41205453797511044,0.8082112632248416,0.4936920234774048,0.775686962012972,0.9776865470991877,5.574150277542258e-05,0.006480595762439076,0.19178873677515837,0.006310213808848908,0.09089872262773722,22.48210883140564,0.020051956176757812
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,1613311,150000,403328,euclidean,5,0.9101277372262774,0.9623860980177639,0.9101277372262774,0.9309531982923493,0.4249648288519789,0.8663844450364976,0.5069045493523839,0.777443324974639,0.9769416533675541,5.5288895373494236e-05,0.0064227702954628195,0.13361555496350241,0.006469291658219664,0.08987226277372262,22.299559593200684,0.019772052764892578
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_knn,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,1613312,150000,403327,euclidean,5,0.9085903001782673,0.9609392753591133,0.9085903001782673,0.9292618696884921,0.41779705554418245,0.8516129695243078,0.499440049528946,0.7745971370904048,0.9767977337399115,5.477618722120438e-05,0.006520262816290668,0.1483870304756923,0.0063942424226272575,0.09140969982173273,22.0927152633667,0.022887706756591797
