rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9303137539484082,0.0019635583685235726,3.855561466598954e-06,0.9685201100488818,0.000870630966635369,7.579982800644371e-07,0.9303137539484082,0.0019635583685235726,3.855561466598954e-06,0.9459691575791652,0.001211145592648978,1.4668736465930442e-06,0.45974654209097093,0.005059500900364329,2.5598549360787456e-05,0.8500895594617106,0.03357708344693761,0.0011274205328026118,0.5375094972047947,0.00487027004150516,2.3719530277182673e-05,0.005183893374325979,0.0002840816744335933,8.070239774899409e-08,0.06968624605159188,0.0019635583685235778,3.855561466598974e-06,0.004991342628394524,0.00014528986137208417,2.1109143817519437e-08,0.14991044053828925,0.03357708344693751,0.0011274205328026046,0.8172738299097766,0.004042046124536293,1.6338136872878867e-05,0.9774015048408187,0.0007646773319599382,5.847314220133695e-07,0.00023539982424025085,3.206663812849642e-06,1.0282692808639403e-11,0.02187495231628418,0.0012243044687210668,1.4989214321303734e-06,94.943292760849,1.2932937137593736,1.6726086300495127
2,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9245983035698917,0.0018686445587407288,3.4918324869113334e-06,0.967322785337732,0.0007673825462129701,5.888759722323012e-07,0.9245983035698917,0.0018686445587407288,3.4918324869113334e-06,0.9420580611607509,0.001127979827632611,1.272338491546095e-06,0.4481697230333387,0.00645664180272315,4.168822336867205e-05,0.8527880843155149,0.032016865346452004,0.0010250796666128393,0.5264567391988334,0.006006558024375199,3.60787393001861e-05,0.0050095033351157305,0.00026678421321708374,7.11738164218584e-08,0.07540169643010838,0.0018686445587407286,3.491832486911332e-06,0.005360746651014941,0.00013871850916999417,1.9242824786345752e-08,0.1472119156844849,0.03201686534645193,0.0010250796666128345,0.8059231873685665,0.0036916579990295094,1.3628338781798561e-05,0.9812092010349179,0.0005893391329842305,3.473206136666045e-07,0.0002420245207551995,2.5989232973727347e-06,6.7544023056267686e-12,0.021294641494750976,0.0002854127023865194,8.14604106835759e-08,97.61521739959717,1.0482065665860767,1.0987370062341713
3,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9198478249867866,0.0019622398724541325,3.850385317048811e-06,0.9663617109492231,0.0008200770720921734,6.725264041712717e-07,0.9198478249867866,0.0019622398724541325,3.850385317048811e-06,0.9388027751863699,0.0012299692406655632,1.5128243329834223e-06,0.4395957808569276,0.006734635406228404,4.5355314054825225e-05,0.8576590554636748,0.02745880972048929,0.0007539862312660371,0.5183420068631313,0.005564183739293765,3.0960140684621154e-05,0.004833678195415756,0.0002062558433937398,4.254147293406292e-08,0.08015217501321328,0.0019622398724541477,3.850385317048869e-06,0.005665723547241935,0.0001436184273711971,2.0626252680575822e-08,0.1423409445363252,0.027458809720489256,0.0007539862312660353,0.7967912053694235,0.003802167274296508,1.445647598173134e-05,0.9833732288185845,0.0003897171689819609,1.5187947179931428e-07,0.00024240529887741393,3.938920611570249e-06,1.551509558425294e-11,0.022150468826293946,0.0005396341175649671,2.912049808401207e-07,97.7687955379486,1.588648559833362,2.5238042466606148
4,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9172504338774882,0.002107175951790746,4.440190491805235e-06,0.962970204915322,0.0008730875936977789,7.622819462689779e-07,0.9172504338774882,0.002107175951790746,4.440190491805235e-06,0.9353833375259185,0.0014579241249136825,2.1255427540053267e-06,0.43036882401134624,0.004564888683909248,2.0838208696482712e-05,0.8505076521247134,0.02524582173994831,0.0006373515153252466,0.5131637324271542,0.005011541007292592,2.5115543267775254e-05,0.006404564718883324,0.000258271626338199,6.670423297137829e-08,0.08274956612251172,0.0021071759517907202,4.4401904918051275e-06,0.00594360872275967,0.00015535591242847604,2.4135459526484315e-08,0.14949234787528654,0.025245821739948278,0.0006373515153252451,0.790650778836144,0.00402035611605701,1.6163263299917006e-05,0.973009760971218,0.0006600136942691889,4.356180766228624e-07,5.3047037819596056e-05,2.473030265481758e-06,6.115878693988775e-12,0.02152905464172363,0.0013029349971682275,1.697639606845769e-06,21.395345735549927,0.9974593041338213,0.9949250634031271
5,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9160023176478982,0.002133835995052897,4.553256053783387e-06,0.9655813850980819,0.0007332171776531706,5.376074296056812e-07,0.9160023176478982,0.002133835995052897,4.553256053783387e-06,0.936147407309279,0.0012785168700208149,1.6346053869278215e-06,0.4321409105831121,0.005306564703871672,2.8159628956376644e-05,0.8658980625426114,0.022701167795996718,0.0005153430193019984,0.5114481565777245,0.004297764499997504,1.84707796974388e-05,0.004758457138007182,0.0001252638018318616,1.5691020049371894e-08,0.08399768235210184,0.0021338359950529083,4.553256053783435e-06,0.005917075966007269,0.00014970798898054027,2.2412481964597567e-08,0.13410193745738858,0.022701167795996693,0.0005153430193019973,0.7895309193179469,0.004010535573090857,1.6084395583027205e-05,0.9848268369555653,0.00025580805103696545,6.543775897533071e-08,0.00023959693558669345,1.810878625438298e-06,3.2792813960692997e-12,0.022223997116088866,0.0005996286134070629,3.5955447401647695e-07,96.6361053943634,0.7304562336001879,0.5335663092053722
6,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9125951630812974,0.0024305258270416034,5.90745579591627e-06,0.9647576608896345,0.0008286838148059619,6.867168649213619e-07,0.9125951630812974,0.0024305258270416034,5.90745579591627e-06,0.933700894209722,0.0015422192168650717,2.3784401128679155e-06,0.425864535389631,0.005171306222907384,2.6742408051080632e-05,0.8661059246219012,0.022036536332114116,0.0004856089335165855,0.5055096992046996,0.004110387335730017,1.6895284049729704e-05,0.004739159505603464,0.00019131224706244625,3.660037587608248e-08,0.08740483691870257,0.0024305258270416004,5.907455795916255e-06,0.006142933094953736,0.00016958931331154535,2.876053518948149e-08,0.13389407537809883,0.02203653633211413,0.00048560893351658614,0.7832184134319702,0.0044714237193312955,1.9993630077798512e-05,0.985844142084985,0.0002456624417466496,6.035003528492599e-08,0.0002444877719896277,3.8446837896217435e-06,1.478159344218021e-11,0.02181730270385742,0.001095475316195754,1.2000661683941874e-06,98.60871443748474,1.5506067844356677,2.404381399937921
7,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9107787748880811,0.0021791224472431448,4.748574640078953e-06,0.9617156647241881,0.0005510098319175695,3.036118348698283e-07,0.9107787748880811,0.0021791224472431448,4.748574640078953e-06,0.9308919731149825,0.0014097731047178568,1.987460206785825e-06,0.4192858004487506,0.00484879133678747,2.3510777427705223e-05,0.8520205628424989,0.025672938287506882,0.0006590997603141367,0.5017258741909064,0.005269971201210619,2.7772596461589295e-05,0.0062041532054175,0.0002991569294092509,8.949486841357153e-08,0.08922122511191874,0.0021791224472431335,4.748574640078903e-06,0.006361691887822417,0.0001630408686244941,2.658232484182954e-08,0.14797943715750117,0.025672938287506858,0.0006590997603141356,0.7786817889653467,0.004015478306563737,1.612406603048398e-05,0.9774852008231483,0.0005786848476754574,3.3487615292916725e-07,5.463588576691529e-05,9.557438483010281e-07,9.134463035652587e-13,0.02107834815979004,0.001425822460715402,2.032969689480524e-06,22.03617157936096,0.38547624535958364,0.1485919357365219
8,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.9064542521342911,0.0026928725424071416,7.251562529650302e-06,0.9632528517633773,0.0008985286069309659,8.073536574733021e-07,0.9064542521342911,0.0026928725424071416,7.251562529650302e-06,0.9292544150096363,0.0017728829261149123,3.143113869709774e-06,0.41497630707893374,0.004666014927658305,2.1771695305130138e-05,0.8652345065361224,0.021817964811755245,0.00047602358852699006,0.4951703863071784,0.0035180165288477504,1.2376440297245974e-05,0.0048051953930815065,0.00018376126294223413,3.3768201758124904e-08,0.09354574786570877,0.0026928725424071433,7.251562529650311e-06,0.0065567295505860185,0.00018962427099368113,3.595736414988502e-08,0.1347654934638775,0.021817964811755224,0.0004760235885269892,0.7721042491494032,0.004821860880977584,2.325034235550192e-05,0.9873856753432652,0.0003284217288646036,1.0786083199041523e-07,0.00024222573076981523,2.3487452733761587e-06,5.516604359206846e-12,0.022272062301635743,0.0005425739121542256,2.9438645015034127e-07,97.69637150764466,0.9473675077476886,0.8975051947360669
9,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9054535773689938,0.002708674679339212,7.336918518493382e-06,0.96061381081186,0.0008068096760107893,6.509418533046346e-07,0.9054535773689938,0.002708674679339212,7.336918518493382e-06,0.9271522548262643,0.0019303296546396317,3.7261725755811596e-06,0.4119998597827298,0.005926857555703086,3.512764048559476e-05,0.8573410372260399,0.021136928092271638,0.00044676972917786194,0.49428710455292657,0.005966056245144435,3.559382712022691e-05,0.006110112896030547,0.00035218216863515053,1.2403227990455762e-07,0.0945464226310063,0.002708674679339229,7.336918518493473e-06,0.006710435701802457,0.00020149011405644633,4.059826606247975e-08,0.1426589627739599,0.02113692809227162,0.0004467697291778612,0.7691014308503497,0.004875582629286886,2.377130597500403e-05,0.9800619268039682,0.0004042630969606933,1.6342865156425092e-07,5.210340370043952e-05,4.162527156472682e-06,1.732663232837255e-11,0.02243633270263672,0.0006698160771607477,4.486535772230127e-07,21.014752674102784,1.678883700393402,2.8186504794466427
10,RobustScaler + sin PCA + RUS_SMOTE + knn,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9010953356184211,0.002873372135687252,8.256267430143921e-06,0.9597212022431586,0.0007912712375580539,6.261101713866542e-07,0.9010953356184211,0.002873372135687252,8.256267430143921e-06,0.9240639921430777,0.0020277600075659552,4.111810648283882e-06,0.4049058607444983,0.005392293185542347,2.907682579884644e-05,0.8590008025170359,0.02110867982011177,0.0004455763637479938,0.48733519263363256,0.005451078500842311,2.9714256822345255e-05,0.0060652831111175625,0.0003337656301247089,1.1139949585254398e-07,0.09890466438157883,0.002873372135687233,8.25626743014381e-06,0.006997996499513092,0.00021269213365389375,4.5237943718245806e-08,0.14099919748296408,0.02110867982011174,0.0004455763637479926,0.7614777552984481,0.005055963384342814,2.5562765743815243e-05,0.9817396535458893,0.0002696206524316437,7.26952962176652e-08,5.261758329695858e-05,7.17510252798839e-07,5.148209628714539e-13,0.023393011093139647,0.001504950862778676,2.2648770993782817e-06,21.222134017944335,0.2893832325278049,0.0837426552682416
