rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.1584864706066869,0.002292191985955574,5.254144100478958e-06,0.8720690418125375,0.009329320097604494,8.703621348356714e-05,0.1584864706066869,0.002292191985955574,5.254144100478958e-06,0.21650465961476492,0.006008379044757676,3.610061874548317e-05,0.2962905765566735,0.008533875438714545,7.282703000349539e-05,0.7355997113084314,0.019518627682001435,0.0003809768265885927,0.22667935734808106,0.010114729299460098,0.00010230774880135658,0.042207748204924324,0.006807779035460121,4.634585539565033e-05,0.8415135293933131,0.0022921919859555887,5.2541441004790265e-06,0.0589147518398825,0.00045851194076543847,2.1023319982448893e-07,0.2644002886915687,0.019518627682001407,0.0003809768265885916,0.16893270814471562,0.011629238008231353,0.00013523917665209272,0.5328207869880506,0.006802950009652723,4.6280128833833986e-05,5.256349270427147e-05,2.172329018894611e-06,4.719013366331625e-12,0.023492956161499025,0.0032202173262144314,1.0369799628051623e-05,21.20031781196594,0.8761592703584967,0.7676550670351333
2,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.1586798617239979,0.0022563731841272004,5.0912199460483205e-06,0.8550900422778751,0.016470159962267937,0.00027126616918269383,0.1586798617239979,0.0022563731841272004,5.0912199460483205e-06,0.2168891821028336,0.005543204017057514,3.072711077472256e-05,0.29470489839729286,0.008050112004272369,6.480430328133009e-05,0.7341011592836578,0.018373187734886734,0.00033757402754139233,0.22532664439237057,0.009144693237378983,8.362541440576493e-05,0.052095816020762596,0.008067343428206024,6.508202998861893e-05,0.841320138276002,0.0022563731841272095,5.091219946048363e-06,0.059561063619784305,0.0005621756242384745,3.160414324879186e-07,0.2658988407163423,0.018373187734886713,0.0003375740275413916,0.16440520930375757,0.009746539582918037,9.49950338413881e-05,0.5329445490747785,0.005790110676092251,3.352538164139746e-05,5.1484240749098754e-05,1.3754009522116704e-06,1.8917277793447698e-12,0.02457318305969238,0.005133488400887545,2.6352703162046965e-05,20.76502604484558,0.5547595023523402,0.30775810545021615
3,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.16183114886384653,0.004695276964361965,2.2045625772068112e-05,0.8356413926761421,0.037134713504801756,0.001378986947083706,0.16183114886384653,0.004695276964361965,2.2045625772068112e-05,0.21955826480396276,0.006158808788043747,3.793092568768488e-05,0.293067843137882,0.010460042998347668,0.00010941249952728208,0.7328214535259198,0.016308102828468042,0.0002659542178638873,0.2248592997134505,0.011878332926895357,0.00014109479312216644,0.06595559337488995,0.024192585657708564,0.0005852812008055662,0.8381688511361535,0.0046952769643619765,2.204562577206822e-05,0.06027496296740289,0.0017833500749691237,3.1803374898923795e-06,0.26717854647408024,0.016308102828467976,0.0002659542178638852,0.16385708747507294,0.0230328762753678,0.0005305133895164007,0.5350675829099145,0.004321713564391444,1.8677208132645e-05,5.05081997446097e-05,1.8822930902525487e-06,3.5430272776124894e-12,0.026729249954223634,0.0037414000450641033,1.3998074297205675e-05,20.371361637115477,0.7591990156842503,0.5763831454159345
4,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.15940135967551686,0.002362423022456755,5.58104253703371e-06,0.849096945953726,0.016474532604525985,0.0002714102245375898,0.15940135967551686,0.002362423022456755,5.58104253703371e-06,0.21773925807299382,0.0056696224194574445,3.214461837921449e-05,0.293871581979396,0.008551628283603846,7.313034630093324e-05,0.7309925930849321,0.018726242268179472,0.0003506721494865515,0.2246597840027263,0.00983825464046471,9.67912543706254e-05,0.05588021215368224,0.00872079686084604,7.605229788814213e-05,0.8405986403244832,0.002362423022456778,5.581042537033818e-06,0.05976525683187769,0.0005495361692217097,3.019900012828715e-07,0.2690074069150678,0.018726242268179417,0.00035067214948654934,0.16377627819110446,0.009930806693649577,9.862092158663524e-05,0.5343155871083565,0.005524989618533542,3.052551028490341e-05,5.209385907430307e-05,1.1876721642469301e-06,1.4105651697269869e-12,0.023493051528930664,0.003859745652756714,1.4897636503974354e-05,21.010901308059694,0.4790064889082181,0.2294472164161789
5,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.1602155868463885,0.002117723244636767,4.484751740874876e-06,0.8370750811546186,0.005475112066363066,2.997685213923444e-05,0.1602155868463885,0.002117723244636767,4.484751740874876e-06,0.21836012170611768,0.005411562702455613,2.9285010882608693e-05,0.2932334491591981,0.00931303725985862,8.673266300351496e-05,0.7314138544864142,0.017988034147746065,0.0003235693725004785,0.22456022775022105,0.011154974982778945,0.00012443346686642412,0.06336590945910478,0.0070827196182798695,5.0164917191166545e-05,0.8397844131536114,0.0021177232446367676,4.484751740874878e-06,0.06021002150751442,0.0003891005122966016,1.5139920866947783e-07,0.268586145513586,0.017988034147746072,0.0003235693725004788,0.16208966445904233,0.013121087264319433,0.00017216293099788562,0.5348771055545323,0.005494096664106926,3.0185098154550856e-05,5.0391803025395385e-05,9.73871174316561e-07,9.484250641647173e-13,0.025606203079223632,0.002624908299003112,6.890143578175411e-06,20.324414825439455,0.3927745121014154,0.15427181735650491
6,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.16196057258043356,0.005177921900617523,2.6810875208894577e-05,0.8207759126654345,0.04237750450353493,0.0017958528879471235,0.16196057258043356,0.005177921900617523,2.6810875208894577e-05,0.21963188885604232,0.007266603396864467,5.28035249273222e-05,0.2918163223414319,0.010530458008612966,0.00011089054587116095,0.7323647024837922,0.01677793479524547,0.0002814990959935087,0.22442146401521557,0.012640550143870909,0.00015978350793971485,0.07550055525761627,0.02661006810495999,0.0007080957245506089,0.8380394274195664,0.005177921900617509,2.6810875208894435e-05,0.060902665511812185,0.0020432927079329956,4.175045090292154e-06,0.2676352975162079,0.016777934795245485,0.00028149909599350914,0.16023694825547752,0.023597940107959868,0.000556862777338861,0.5366831028995036,0.009871607474468339,9.744863412997916e-05,5.236995977092019e-05,4.06656597779864e-06,1.653695885178941e-11,0.025638818740844727,0.004204831041594277,1.7680604088354812e-05,21.122260570526123,1.6401584621491236,2.690119780959378
7,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.17109309100279468,0.0027062968352286163,7.3240425603684245e-06,0.8741346906073538,0.011529037895155627,0.00013291871478793448,0.17109309100279468,0.0027062968352286163,7.3240425603684245e-06,0.22274596399018348,0.0047855089359635505,2.2901095776186993e-05,0.2822889715039648,0.003744203904523581,1.4019062878649628e-05,0.7408790660580483,0.018367924089881332,0.00033738063537164297,0.2151225649624482,0.006810898501912509,4.638833840335406e-05,0.04947757231687534,0.006532276681707893,4.267063864638469e-05,0.8289069089972052,0.0027062968352286228,7.324042560368458e-06,0.058558965420938705,0.0004943546312728033,2.443865014608693e-07,0.25912093394195157,0.018367924089881343,0.0003373806353716433,0.16142125964187604,0.004321414892474355,1.867462667289914e-05,0.5570792728179768,0.003912716662109719,1.530935167795102e-05,0.00023189884012710023,5.9420632543746725e-06,3.530811571898972e-11,0.024916410446166992,0.004620022790793156,2.1344610587448187e-05,93.53124971389771,2.3966342594984615,5.743855773801738
8,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.17118978556558773,0.0028050763514701604,7.868453337577147e-06,0.8882245889838034,0.013491326747573435,0.0001820158974097904,0.17118978556558773,0.0028050763514701604,7.868453337577147e-06,0.22259713328950323,0.004759314344124073,2.265107302618515e-05,0.2794038465644359,0.010766803485596176,0.00011592405729744597,0.7383901983523833,0.01962861051123931,0.00038528235060193434,0.21374565755713076,0.00936844025096446,8.776767273589103e-05,0.04160891662789525,0.00774569909996044,5.9995854547127976e-05,0.8288102144344123,0.002805076351470146,7.868453337577066e-06,0.0580279420708205,0.0005840976907251028,3.4117011231039783e-07,0.2616098016476167,0.0196286105112393,0.0003852823506019339,0.1649892404898142,0.0031917329923105042,1.0187159494203364e-05,0.555014412946127,0.008263735091834055,6.828931766800961e-05,0.00022741299003095297,2.6792816837820656e-06,7.178550341050061e-12,0.026140880584716798,0.007046605095628827,4.965464337374215e-05,91.7219810962677,1.0806436780912847,1.1677907589986602
9,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.17158648692436237,0.003182012736248719,1.0125205053649059e-05,0.8660953539936763,0.015091064915506863,0.00022774024028404213,0.17158648692436237,0.003182012736248719,1.0125205053649059e-05,0.2236612889458756,0.005277069933216038,2.7847467080052718e-05,0.28068072489586166,0.003140870316218541,9.865066343302757e-06,0.7404162567066376,0.01852189685736611,0.0003430606631949086,0.21339205379755444,0.006198486461010484,3.8421234407330274e-05,0.05439225212675079,0.008470270097064938,7.174547551723247e-05,0.8284135130756377,0.0031820127362487353,1.0125205053649162e-05,0.058853717680159234,0.0006713000880773397,4.5064380825264405e-07,0.2595837432933624,0.018521896857366063,0.0003430606631949068,0.15942296707121734,0.0056038906701673516,3.140359064318869e-05,0.5546702308603514,0.004443941442858438,1.974861554755474e-05,0.00023094638184894913,4.0660884037937346e-06,1.653307490746588e-11,0.024490499496459962,0.006491710310000817,4.21423027489709e-05,93.14709596633911,1.6399571401852626,2.6894594216446253
10,StandardScaler + sin PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.17154830307307184,0.002375901810725288,5.644909414207702e-06,0.8993394163226913,0.00999627264526975,9.992546679856827e-05,0.17154830307307184,0.002375901810725288,5.644909414207702e-06,0.22251286942794007,0.004692346203775607,2.2018112896087347e-05,0.2765136522739694,0.009862055313635026,9.726013500919683e-05,0.7422832405143751,0.01984911463658396,0.0003939873518562516,0.21246650137423745,0.006316559618952028,3.989892541977539e-05,0.03573402922092152,0.006182706833089842,3.822586378393583e-05,0.8284516969269282,0.0023759018107252713,5.6449094142076234e-06,0.057612381743189986,0.0003461528403680513,1.198217888948696e-07,0.257716759485625,0.01984911463658399,0.0003939873518562529,0.168284282341156,0.0016520540779516135,2.729282676476556e-06,0.5547388023639138,0.007786057122424955,6.0622685513664364e-05,0.0002266159991435352,3.808258375884967e-06,1.4502831857498004e-11,0.024378013610839844,0.004419960320426855,1.9536049234147867e-05,91.4005331993103,1.5360371230452647,2.359410043373174
