dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.16185693428451775,0.0038553964593671312,1.4864081858900611e-05,0.8192948551975687,0.03977777033140223,0.0015822710125377834,0.16185693428451775,0.0038553964593671312,1.4864081858900611e-05,0.21291548878486183,0.00804635525361199,6.474383286732929e-05,0.2814159996594321,0.008118146871323076,6.590430862437265e-05,0.7310659788087703,0.01948232521237403,0.0003795609956807048,0.21218821466751625,0.008078886345621539,6.526840458547013e-05,0.07829921918467732,0.024818441850478958,0.0006159550558856054,0.8381430657154821,0.003855396459367115,1.4864081858900489e-05,0.0610961523266773,0.0018640680725275744,3.4747497790166664e-06,0.2689340211912298,0.019482325212374033,0.00037956099568070496,0.14798324184959494,0.019258488819294244,0.0003708893916028815,0.5378590064518524,0.007803775336071498,6.089890949587782e-05,5.267722542339526e-05,1.3894838875405469e-06,1.9306654737347914e-12,0.021276521682739257,0.0016122501023505104,2.5993503925292314e-06,21.246189308166503,0.5604114262749775,0.3140609666995545
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.16146221814428924,0.004374612597471397,1.9137235377955445e-05,0.827008042765622,0.038863466030127504,0.0015103689918748745,0.16146221814428924,0.004374612597471397,1.9137235377955445e-05,0.21518417828860037,0.007236490270392601,5.236679143348678e-05,0.2851469645758122,0.008042803142797796,6.468668239379811e-05,0.7313997889408068,0.01998201394984797,0.00039928088149191897,0.2170816550944304,0.008419025494007084,7.087999026874123e-05,0.07012700967200228,0.023970869548410028,0.0005746025869068912,0.8385377818557108,0.004374612597471408,1.913723537795554e-05,0.0605776527685142,0.001820704752564342,3.3149657960103817e-06,0.26860021105919324,0.019982013949847943,0.00039928088149191783,0.1571179570786172,0.020537081325392257,0.00042177170936577536,0.5366614869236042,0.005638468097512812,3.179232248666974e-05,5.236267032581207e-05,1.0364280775449342e-06,1.0741831599234883e-12,0.02137761116027832,0.0011924505817714967,1.421938389967181e-06,21.119320726394655,0.41802682821377135,0.1747464291064659
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.16009112243860907,0.0020342262207364973,4.138076317131892e-06,0.8308290631877234,0.00418924303562413,1.7549757211525277e-05,0.16009112243860907,0.0020342262207364973,4.138076317131892e-06,0.2158982209687453,0.005802031057450784,3.3663564391623456e-05,0.28774892319515055,0.007775166282095613,6.0453210714236524e-05,0.7292230723946004,0.021126559347460296,0.0004463315098617621,0.21936652641074805,0.009343036571771955,8.729233238146826e-05,0.06621433237737046,0.005136786799027783,2.6386578618666097e-05,0.8399088775613908,0.0020342262207364904,4.138076317131865e-06,0.06040821399591743,0.00034608486661830883,1.197747349022126e-07,0.2707769276053997,0.021126559347460258,0.00044633150986176046,0.15830619789420608,0.011481936657868992,0.00013183486941531575,0.5369900721471306,0.007281164580198493,5.30153576439371e-05,5.261626168101489e-05,2.212434429072858e-06,4.894866102946943e-12,0.021651363372802733,0.0008101613222692061,6.563613681009884e-07,21.221600770950317,0.8923276729727362,0.7962486759529384
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.15941921121517075,0.0023277547108216724,5.418441993752488e-06,0.843319385608279,0.015284505466760625,0.00023361610736343544,0.15941921121517075,0.0023277547108216724,5.418441993752488e-06,0.21632163997827672,0.005654004181309623,3.1967763282266704e-05,0.29024312431167487,0.007754935439398147,6.0139023669233336e-05,0.7287781712709915,0.020749189713628283,0.0004305288737721377,0.2214790185316931,0.009020559653866384,8.1370496468962e-05,0.05863156803840153,0.007011158772168253,4.9156347328551847e-05,0.8405807887848292,0.0023277547108216845,5.418441993752544e-06,0.05994749045488205,0.0004870953387116348,2.3726186899460225e-07,0.2712218287290085,0.020749189713628238,0.00043052887377213587,0.16119716594746622,0.009169941733287354,8.408783139188507e-05,0.5365456789366216,0.00766273926846774,5.871757309651752e-05,5.4275698349561865e-05,5.750295835968743e-07,3.306590220115947e-13,0.02212233543395996,0.0008163632561904914,6.66448966057942e-07,21.890897941589355,0.23191755502984424,0.05378575233102083
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.1588058139145839,0.002267617058959687,5.14208712608498e-06,0.8533494824791393,0.015632446554850028,0.0002443733852902425,0.1588058139145839,0.002267617058959687,5.14208712608498e-06,0.21656796721541668,0.005324989112805998,2.8355509051502403e-05,0.2930346701332315,0.00802156329860309,6.434547775349609e-05,0.7278701927255363,0.020582593684307014,0.00042364316277327497,0.2235867357008261,0.009405905533187013,8.847105889923805e-05,0.05293994180154545,0.0075491471611388,5.6989622860530005e-05,0.8411941860854162,0.0022676170589596817,5.142087126084956e-06,0.05960894185913077,0.0005251597909107992,2.7579280598947426e-07,0.2721298072744637,0.02058259368430701,0.00042364316277327486,0.16354093167669498,0.009451372778812831,8.932844740408418e-05,0.5350105593174002,0.0070132779567622545,4.918606769880735e-05,5.4766706481482274e-05,2.571872210226454e-07,6.614526665735106e-14,0.021424198150634767,0.0008201462860971582,6.726399305989617e-07,22.088935327529907,0.10375433354504261,0.010764961729375954
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.15861192696966678,0.0022451304368639705,5.040610678533004e-06,0.869216565997139,0.007313797831242783,5.3491638716291635e-05,0.15861192696966678,0.0022451304368639705,5.040610678533004e-06,0.21627053862550225,0.00577933282871413,3.340068794505287e-05,0.29516347521909314,0.008328575266810327,6.936516597492472e-05,0.7285669041459458,0.02135322715322426,0.0004559603098571938,0.22602006841620242,0.010402263819707708,0.00010820709257479999,0.043599803125712155,0.005925894638598416,3.5116227267769444e-05,0.8413880730303334,0.002245130436863973,5.040610678533014e-06,0.05899919174373636,0.00037664396903308264,1.4186067940899373e-07,0.2714330958540542,0.021353227153224255,0.00045596030985719366,0.16803908062671707,0.011197904658396911,0.00012539306873854725,0.534552174390455,0.007726385849274519,5.969703829186954e-05,5.4720864477822854e-05,1.1385402129339535e-06,1.2962738164676922e-12,0.021166563034057617,0.0008949468283495359,8.009298255728936e-07,22.070445775985718,0.4591985980767842,0.210863352475684
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.17095027972937482,0.0028966105870983434,8.39035289329021e-06,0.8655249576116398,0.014911154197460082,0.00022234251950043144,0.17095027972937482,0.0028966105870983434,8.39035289329021e-06,0.22239324552498818,0.005110771314718449,2.6119983431348947e-05,0.27817810616477323,0.0032512203412633604,1.0570433707444642e-05,0.7394978623847999,0.016600021155155735,0.0002755607023516179,0.20897792962645872,0.006151193157764311,3.7837177264126484e-05,0.05458256450855774,0.008364740160832941,6.996887795825151e-05,0.8290497202706252,0.0028966105870983335,8.390352893290152e-06,0.05890881898527887,0.0006409223875435964,4.1078150685458397e-07,0.26050213761520014,0.01660002115515584,0.0002755607023516214,0.15899209140592027,0.005541063722236924,3.070338717389011e-05,0.5549395250895467,0.0038464621379782253,1.479527097890002e-05,0.0002427504239129826,4.288750661409821e-06,1.8393382235743174e-11,0.02213592529296875,0.0038283430628334413,1.4656210606744934e-05,97.90799465179444,1.7297891388599305,2.9921704649177796
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.17101920565082268,0.0026950918126501014,7.263519878613609e-06,0.8740271695219983,0.011533395965024012,0.00013301922248603218,0.17101920565082268,0.0026950918126501014,7.263519878613609e-06,0.2224628434403073,0.004953305819218099,2.453523853869988e-05,0.27957050710482056,0.0032998992920679074,1.0889335337790276e-05,0.7391786285292316,0.018334697390847726,0.0003361611284139584,0.2104572849826351,0.005998227835297676,3.597873716413984e-05,0.049397559018918805,0.006707965451014444,4.499680049200342e-05,0.8289807943491774,0.002695091812650129,7.263519878613759e-06,0.058558556891206405,0.0004980133854381459,2.4801733207556326e-07,0.26082137147076834,0.018334697390847695,0.0003361611284139573,0.16126993555302227,0.004457637038433929,1.9870527966418012e-05,0.5571660499739746,0.0037321042320078673,1.3928601998571033e-05,0.0002410849916203303,3.3706182321770126e-06,1.1361067267084088e-11,0.019728422164916992,0.002673569471456073,7.1479737187019055e-06,97.23628005981445,1.3595330250334672,1.8483300461566503
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.1712765636598613,0.002744937208174973,7.534680276823417e-06,0.8876318973210232,0.01368141240013952,0.0001871810452626914,0.1712765636598613,0.002744937208174973,7.534680276823417e-06,0.22263772300673965,0.004749563822621958,2.25583565051593e-05,0.2775856124967838,0.010124889868810204,0.00010251339485553553,0.7390674749570365,0.019526215410094076,0.0003812730882413953,0.21081794257173483,0.008175626288524548,6.684086520961369e-05,0.04175927166471487,0.007776945148955346,6.048087584986008e-05,0.8287234363401386,0.002744937208174984,7.534680276823476e-06,0.058032180533656906,0.00059473778384621,3.537130315343011e-07,0.26093252504296355,0.01952621541009406,0.00038127308824139467,0.16493253554877815,0.003173309395150752,1.006989251735203e-05,0.555153075675821,0.008184597119949127,6.698763001587954e-05,0.0002396644849541493,2.7179754088737376e-06,7.38739032324236e-12,0.02172741889953613,0.0006191135939062353,3.833016421594948e-07,96.66334939002991,1.0962284543474796,1.201716824121064
CIC17,C__StandardScaler_no_pca_NM_SMOTE_knn,StandardScaler + sin PCA + NearMiss_SMOTE + knn,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.1716172296731815,0.0023303378834446634,5.430474651017354e-06,0.899248185447411,0.009921040844074696,9.842705142979835e-05,0.1716172296731815,0.0023303378834446634,5.430474651017354e-06,0.22254138234043933,0.004689272589375629,2.1989277417469614e-05,0.27494829391203796,0.011089654158117171,0.00012298042934664547,0.7400329691359869,0.018492115389127935,0.00034195833156482216,0.20996083508652957,0.007273482913029155,5.290355368612708e-05,0.03567284613010987,0.006132788144723334,3.761109042805907e-05,0.8283827703268185,0.0023303378834446764,5.4304746510174146e-06,0.05760370776379522,0.0003430569683205775,1.1768808351330568e-07,0.25996703086401324,0.018492115389127938,0.00034195833156482226,0.16830266476064343,0.0016232618849230187,2.634979147043832e-06,0.5550976001139856,0.007903036912685532,6.245799244327006e-05,0.00024415858990837775,1.89699802461338e-06,3.598601505387066e-12,0.020586013793945312,0.0018876027661540173,3.563044202792298e-06,98.47594738006592,0.7651859254767718,0.5855095005477438
