dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9948954672135703,0.00011150539519589096,1.243345315779182e-08,0.9949104981678879,0.00010466922316957266,1.0955646278921807e-08,0.9948954672135703,0.00011150539519589096,1.243345315779182e-08,0.994896105391328,0.0001082065414718572,1.1708655617300754e-08,0.825379239684892,0.019755708737477874,0.0003902880277200597,0.7956249924621168,0.02208784322506017,0.00048787281833483645,0.8036546208921574,0.02040140933478506,0.00041621750284545503,0.009901789242915288,0.0005672211420890185,3.217398240327705e-07,0.005104532786429703,0.000111505395195898,1.2433453157793394e-08,0.0010004214686229994,4.211191261131801e-05,1.7734131837832847e-09,0.20437500753788324,0.022087843225060157,0.00048787281833483586,0.9830576245351391,0.00037025555275487903,1.3708917434582101e-07,0.9970627603139848,0.00023092819583286217,5.332783163062074e-08,0.0003601492554868006,1.459622396112941e-05,2.1304975392344837e-10,0.18671126365661622,0.013157739169350043,0.00017312610004864836,145.25820822715758,5.8871063809391355,34.65802154049429
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9947987716450791,9.913290678966798e-05,9.827333208569002e-09,0.9948081353654828,8.584957997656551e-05,7.370150382152719e-09,0.9947987716450791,9.913290678966798e-05,9.827333208569002e-09,0.9947927908332842,9.159197811250737e-05,8.38909045456203e-09,0.8252378799545109,0.02758137652638339,0.0007607323310901327,0.7909770267416091,0.020145611254073253,0.00040584565280024285,0.8005788219870983,0.0203843161123096,0.00041552034336656473,0.00995327047882395,0.0005045739856210925,2.545949069655544e-07,0.005201228354920878,9.913290678968003e-05,9.827333208571389e-09,0.0010102999222496552,3.656064962322019e-05,1.3366811008718706e-09,0.20902297325839098,0.02014561125407322,0.0004058456528002416,0.9827413645089071,0.0003272784176367386,1.0711116265080749e-07,0.9980851918887333,0.00023535422027166626,5.5391608999684005e-08,0.00035234472907463165,2.0276221944604338e-05,4.111251763468545e-10,0.19062910079956055,0.004047605999985663,1.6383114331119942e-05,142.11042699813842,8.17802201278436,66.88004404158558
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9946837287720303,9.782016582272469e-05,9.568784841585356e-09,0.9946888355089486,8.706772984045562e-05,7.580789579570567e-09,0.9946837287720303,9.782016582272469e-05,9.568784841585356e-09,0.9946709511461135,9.076554971296572e-05,8.23838501469685e-09,0.8297363352022572,0.027508954207761067,0.0007567425616046953,0.783163603100326,0.009467511730197862,8.96337783614341e-05,0.7956520731878076,0.012246727205094296,0.00014998232723599677,0.010135156320366925,0.00042425484137079025,1.799921704265544e-07,0.005316271227969646,9.782016582273917e-05,9.568784841588188e-09,0.001030095169889105,3.282437695038472e-05,1.0774397221809479e-09,0.21683639689967418,0.0094675117301978,8.963377836143292e-05,0.9823615624856293,0.0003250140740959856,1.0563414836047079e-07,0.9985090165339461,0.00019590989139829155,3.8380685547690386e-08,0.0003550799649566441,1.6878218322069448e-05,2.848742537274408e-10,0.1826021194458008,0.008946183101869254,8.0034192092171e-05,143.21362133026122,6.807464337008717,46.34157069964554
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9945503385452457,0.00011873356706944277,1.4097659949033865e-08,0.9945523519878232,0.00011957315788307242,1.4297740086130163e-08,0.9945503385452457,0.00011873356706944277,1.4097659949033865e-08,0.9945320988749418,0.00011840256418041588,1.4019167204497503e-08,0.8273021366335227,0.02722724847585156,0.0007413230595657611,0.7760035796488176,0.011299533777029937,0.00012767946357824045,0.7883336594827821,0.011387883142885502,0.00012968388247601578,0.010426413458319935,0.0005584603340795246,3.1187794474021417e-07,0.005449661454754397,0.00011873356706944467,1.4097659949034316e-08,0.0010584049942049555,4.450651428684163e-05,1.9808298139648382e-09,0.2239964203511824,0.011299533777029956,0.00012767946357824088,0.9819193376268791,0.0003989380083591134,1.5915153451353606e-07,0.9987123504846476,0.0001993934793171313,3.975775959419127e-08,0.00034626201847888646,1.5407530676082362e-05,2.37392001534419e-10,0.18568730354309082,0.0074856191713080465,5.603449437785457e-05,139.65710000991822,6.214339734459486,38.618018335281995
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.994480420216156,9.71566878988581e-05,9.43942200347612e-09,0.9944783542116369,0.0001104749943159705,1.2204724369113715e-08,0.994480420216156,9.71566878988581e-05,9.43942200347612e-09,0.9944573561046053,0.00010220517123045492,1.0445897026246611e-08,0.8151248802562832,0.030935987668020592,0.000957035332995922,0.7707263217652749,0.008684898956292961,7.542746988101857e-05,0.781576117581696,0.007518289541820529,5.652467763464793e-05,0.010579605779140768,0.0005951884427127305,3.542492823388053e-07,0.0055195797838439266,9.715668789887735e-05,9.439422003479861e-09,0.0010732790375323129,4.5868417244360693e-05,2.1039117005027655e-09,0.22927367823472516,0.008684898956292942,7.542746988101824e-05,0.9816877167380973,0.0003301695850809819,1.0901195491254773e-07,0.9988251868721576,0.00019813533166391356,3.925760965356903e-08,0.0003525928243729941,1.3626421051137032e-05,1.8567935066287044e-10,0.1847370147705078,0.008163614935733629,6.66446088189332e-05,142.21048936843872,5.495955876167188,30.205530992776648
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.9943425671032283,0.00011333469545817027,1.2844753194596202e-08,0.9943392167703109,0.00012162807298959521,1.47933881391623e-08,0.9943425671032283,0.00011333469545817027,1.2844753194596202e-08,0.9943142413907415,0.00011691075556220188,1.3668124766124918e-08,0.816263708762048,0.030817572639334198,0.0009497227833806397,0.762747335198567,0.01599505893861173,0.00025584191044966296,0.7765906188927075,0.014240949884013691,0.00020280465359898955,0.01090513452384346,0.0005815762152710273,3.382308941689723e-07,0.005657432896771613,0.00011333469545815215,1.2844753194592094e-08,0.001104171161374338,4.610894446709761e-05,2.126034759869891e-09,0.23725266480143298,0.015995058938611785,0.00025584191044966475,0.9812304109812541,0.00038310457075133145,1.4676911213056191e-07,0.9989547780822289,0.0002107071498199215,4.439750298523485e-08,0.0003557529931992098,1.2638262524993365e-05,1.5972567965065168e-10,0.1841376781463623,0.009537263552951678,9.095939607846048e-05,143.48507342338561,5.097411171960116,25.9836006560238
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9959948211049049,7.011711434515851e-05,4.916409724092034e-09,0.9959973300302547,6.814677570676845e-05,4.6439830392286076e-09,0.9959948211049049,7.011711434515851e-05,4.916409724092034e-09,0.995989758622248,6.893917631221582e-05,4.752610030606778e-09,0.8295651454478066,0.01066245947968047,0.00011368804215582793,0.8048318079671478,0.008881463911216761,7.888040120624573e-05,0.8124995589939626,0.008111231624066755,6.579207845926061e-05,0.00723895302529697,0.00043796046379600436,1.9180936784841123e-07,0.004005178895095029,7.011711434516773e-05,4.916409724093326e-09,0.0007496087946928002,3.2506237496382366e-05,1.056655476171215e-09,0.19516819203285216,0.008881463911216756,7.888040120624564e-05,0.9867061049226373,0.00023451592526018382,5.499771920064012e-08,0.997565576734367,0.00012481051919969208,1.5577665702896704e-08,0.001414714903693162,1.5036058986192293e-06,2.26083069836254e-12,0.18575725555419922,0.007048424865962213,4.968029309111443e-05,570.5938496589661,0.6063586776538313,0.3676708459661029
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9960325075573397,2.3806314891794594e-05,5.667406287272811e-10,0.9960254357351099,3.2302505644019816e-05,1.043451870881932e-09,0.9960325075573397,2.3806314891794594e-05,5.667406287272811e-10,0.9960188304888536,2.7060796023698975e-05,7.322866814362422e-10,0.8421226061891985,0.010366562859282592,0.00010746562551545728,0.8040765422317557,0.010276609199958786,0.00010560869664867757,0.8144841448965657,0.010189703923697776,0.00010383006605262185,0.007093669750012592,0.0003627776365170685,1.3160761355691026e-07,0.003967492442660221,2.380631489177045e-05,5.667406287261316e-10,0.0007374108128448541,2.5404547707055588e-05,6.453910442000634e-10,0.19592345776824438,0.010276609199958767,0.00010560869664867718,0.9868327666608275,8.270972590156922e-05,6.8408987587127114e-09,0.9982616929315892,6.658739632956382e-05,4.4338813499504085e-09,0.0014140049621412132,3.206884111050356e-06,1.0284105701707232e-11,0.1844325065612793,0.009198355494017242,8.460974379431718e-05,570.3075109004974,1.2936085157771877,1.6734229920912584
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.996002259206265,2.62739945190216e-05,6.903227879855771e-10,0.9959866553169757,3.7253317041601763e-05,1.3878096306020965e-09,0.996002259206265,2.62739945190216e-05,6.903227879855771e-10,0.9959800499898707,3.33633991020792e-05,1.113116399644619e-09,0.8413082767868817,0.012371284128910875,0.0001530486709982421,0.7967268950077999,0.01233067018583925,0.00015204542723194496,0.8078989903478366,0.011804574710104746,0.00013934798408644455,0.007161015101736267,0.0003200453411859787,1.0242902041484952e-07,0.003997740793734923,2.6273994519031256e-05,6.903227879860845e-10,0.0007439170596980794,2.2664523399282108e-05,5.136806209166062e-10,0.20327310499220014,0.012330670185839292,0.00015204542723194599,0.9867322082799037,8.990540382258178e-05,8.082981636501503e-09,0.998587506525247,8.67003182093345e-05,7.516945177599859e-09,0.00141747075055081,2.116088316479677e-06,4.477829763141792e-12,0.18532710075378417,0.010407296639904114,0.00010831182335095945,571.705359840393,0.8538593428701795,0.7290757774066947
CIC17,C__StandardScaler_no_pca_NONE_knn,StandardScaler + sin PCA + NONE + knn,StandardScaler,False,,NONE,NONE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9959720108650261,4.367388796547022e-05,1.907408490020444e-09,0.9959496797182389,5.173761183436866e-05,2.676780478323804e-09,0.9959720108650261,4.367388796547022e-05,1.907408490020444e-09,0.9959435084917511,4.659858758753372e-05,2.171428365153052e-09,0.8259783875517954,0.02567985328870443,0.0006594548649293838,0.7884052244244626,0.013920447599950097,0.00019377886138295645,0.7981666330473789,0.015237224335552422,0.00023217300545195092,0.007198920727485727,0.0003358420748697888,1.1278989925284482e-07,0.004027989134973948,4.36738879654654e-05,1.9074084900200234e-09,0.0007484606574973117,2.5037348826981322e-05,6.26868836283943e-10,0.21159477557553732,0.013920447599950076,0.00019377886138295582,0.9866322437217481,0.00014880699295064364,2.2143521151012907e-08,0.998709314955299,8.300077446243427e-05,6.889128561363881e-09,0.001415332422741252,2.548279169571178e-06,6.493726726070372e-12,0.18496456146240234,0.008201180111569574,6.725935522240434e-05,570.8429127693176,1.0280950109306486,1.0569793515004904
