rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9672043434637768,0.0007964141896153536,6.342755614206805e-07,0.98358175696786,0.0004743095832432431,2.2496958075637898e-07,0.9672043434637768,0.0007964141896153536,6.342755614206805e-07,0.9739119673564576,0.0006740677877236751,4.543673824466896e-07,0.5380393803925774,0.009358355677993715,8.75788209958372e-05,0.8923593536926571,0.012912723093307446,0.00016673841768443542,0.6089351550439164,0.008435730231996988,7.116154454702797e-05,0.005134385328006354,0.0004854717673066135,2.356828368518067e-07,0.032795656536223225,0.0007964141896153504,6.342755614206753e-07,0.0025286694576153053,5.276942025876711e-05,2.784611714446381e-09,0.10764064630734296,0.012912723093307467,0.00016673841768443596,0.9031263820552662,0.002039252025937632,4.158548825290737e-06,0.9874355303412834,0.0003638682971365366,1.324001376610429e-07,0.00023012257570916825,4.964139536726256e-06,2.4642681340088767e-11,0.02949104309082031,0.003649661884537302,1.3320031871444372e-05,92.81483383178711,2.0022681532933784,4.009077757692876
2,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9653988639340252,0.0009954881575896797,9.90996671901295e-07,0.9826530413302377,0.0005327782127382836,2.8385262396859983e-07,0.9653988639340252,0.0009954881575896797,9.90996671901295e-07,0.9724215287483329,0.0008071846352499794,6.515470353836423e-07,0.5253811055528015,0.012815895063297828,0.00016424716627346165,0.8891025535550126,0.010449978083729052,0.00010920204195041751,0.595997469858484,0.013072348403478958,0.00017088629278193886,0.0063724706117020994,0.0005261087953426887,2.7679046453693505e-07,0.03460113606597476,0.0009954881575896942,9.90996671901324e-07,0.0027315737785117904,6.238289185906446e-05,3.891625196699731e-09,0.1108974464449874,0.010449978083729074,0.00010920204195041798,0.8981503943042242,0.0025186813969903334,6.343755979545177e-06,0.9864417494828663,0.0005644636527331535,3.186192152568541e-07,4.987080923473147e-05,1.4858398439366889e-06,2.207720041829804e-12,0.02736983299255371,0.0031254692773093466,9.76855820340461e-06,20.114283561706543,0.5992717662658602,0.3591266498434038
3,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9626596530958679,0.0009787053835004283,9.578642276927206e-07,0.9824677561815506,0.0005561098252960183,3.0925813779076807e-07,0.9626596530958679,0.0009787053835004283,9.578642276927206e-07,0.9707738546705033,0.0008380251616179296,7.022861715047569e-07,0.5185843866162704,0.011105940494624312,0.00012334191427013612,0.8949311520076788,0.017328302538325076,0.0003002700688597233,0.5927143608724579,0.009723225968395165,9.454112323247407e-05,0.004235613901407998,0.0006491126969765803,4.213472933762097e-07,0.03734034690413218,0.0009787053835004329,9.578642276927295e-07,0.002771730720369345,6.729927552449251e-05,4.529192486121556e-09,0.10506884799232116,0.017328302538325107,0.0003002700688597243,0.8917318340610262,0.0024211385239367197,5.8619117520904775e-06,0.9887842099279842,0.0002614079145586871,6.833409779392185e-08,0.00023159389072232797,2.5493720956529504e-06,6.499298082093916e-12,0.027826690673828126,0.003811071742780433,1.4524267828619487e-05,93.40825424194335,1.0282107416683115,1.0572173292820992
4,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9588915025611847,0.0013745514888074525,1.8893917953827842e-06,0.9815372517824329,0.0005541981943036938,3.0713563856947474e-07,0.9588915025611847,0.0013745514888074525,1.8893917953827842e-06,0.9681619966615458,0.0010810386718806135,1.1686446101014008e-06,0.5009659364312823,0.01206375266030501,0.00014553412824901623,0.8919060658479928,0.019701219398004757,0.00038813804576831893,0.5772402073341814,0.010010939869880425,0.00010021891707836149,0.0037194094811425307,0.0005264835694215257,2.7718494887083044e-07,0.04110849743881535,0.0013745514888074278,1.8893917953827162e-06,0.0029885271279971918,9.550131868599378e-05,9.120501870763744e-09,0.10809393415200719,0.019701219398004798,0.0003881380457683205,0.8825521047528445,0.0033294877264378074,1.10854885205e-05,0.9896868548446573,0.00021704462194253402,4.7108367914177516e-08,0.0002285628086917213,4.86635039899094e-06,2.368136620575928e-11,0.02817955017089844,0.003417787775928051,1.1681273281283212e-05,92.18573427200317,1.9627045327582284,3.8522090829096953
5,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9604936727322247,0.001226038688121437,1.5031708647705345e-06,0.9816726833541164,0.000580147222026914,3.3657079922554543e-07,0.9604936727322247,0.001226038688121437,1.5031708647705345e-06,0.9691232228837604,0.0009667042436208648,9.345170946345883e-07,0.5009006466028195,0.010885769337123938,0.00011849997406106776,0.8919571077776963,0.013148613424012343,0.00017288603497411757,0.5746329289324404,0.011528235223961746,0.00013290020737899232,0.005158734815201687,0.0004977466374062409,2.4775171504921987e-07,0.03950632726777533,0.0012260386881214546,1.5031708647705775e-06,0.0029776708055318014,6.638345890351678e-05,4.406763615994902e-09,0.10804289222230357,0.01314861342401232,0.00017288603497411697,0.8860695184410264,0.0029652611804228436,8.792773868122676e-06,0.9878937288704639,0.00045679045364069597,2.086575185372728e-07,5.18141290906944e-05,1.0286496421772284e-06,1.0581200863513398e-12,0.02634272575378418,0.00415358216205665,1.7252244776955192e-05,20.898078775405885,0.4148882227859054,0.1721322374064471
6,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9557898073143771,0.0014617846437998976,2.1368143448491933e-06,0.9807508498512563,0.0005349313499056922,2.861515491119261e-07,0.9557898073143771,0.0014617846437998976,2.1368143448491933e-06,0.9660022280845189,0.001093952812018594,1.1967327549233895e-06,0.4906974297796765,0.01282051954949391,0.0001643657215189555,0.8950995436863917,0.01738828338557817,0.0003023523990971738,0.5682407695440432,0.011295568759422397,0.00012758987359883924,0.003342998908615035,0.0005709525029253604,3.259867605967337e-07,0.0442101926856228,0.0014617846437999097,2.136814344849229e-06,0.0031702127729491885,0.0001042541506638623,1.0868927930643298e-08,0.10490045631360825,0.017388283385578213,0.0003023523990971753,0.8751736177363936,0.0034658007203369713,1.2011774633088269e-05,0.9903925685049879,0.00022692743902689186,5.149606258330372e-08,0.0002308059882509404,3.1479267723649946e-06,9.909442964172292e-12,0.029275989532470702,0.0037713803583632956,1.422330980744846e-05,93.09047141075135,1.2696417529599655,1.6119901808592543
7,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9530441498690128,0.00134416681916684,1.8067844377491e-06,0.9801167373545979,0.0005418415084582709,2.9359222028833444e-07,0.9530441498690128,0.00134416681916684,1.8067844377491e-06,0.9641279578312834,0.001002406897845388,1.0048195888480145e-06,0.4828014327713143,0.011787958304860352,0.00013895596099712613,0.895543032937678,0.016975836139410387,0.0002881790126321117,0.5613745232924015,0.010367530584453881,0.00010748569041958663,0.003202982881829149,0.000566640394639095,3.210813368367494e-07,0.04695585013098728,0.0013441668191668079,1.8067844377490143e-06,0.003343922200854428,9.908671640496543e-05,9.818177367918046e-09,0.10445696706232219,0.016975836139410404,0.0002881790126321123,0.8687303987019483,0.0031291224109010695,9.791407062403323e-06,0.9909777644863949,0.00023772810484202797,5.651465183178225e-08,0.00023173902346311617,3.997975801365923e-06,1.598381050830749e-11,0.029867267608642577,0.003753327979122865,1.408747091886653e-05,93.46679105758668,1.6125349684191175,2.600269024374444
8,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9563838643150829,0.0013096751696933771,1.715249050111376e-06,0.9808964053502214,0.0005564076575669855,3.0958948139917987e-07,0.9563838643150829,0.0013096751696933771,1.715249050111376e-06,0.9663881346454296,0.0010010291637518195,1.002059386681667e-06,0.48078102835914727,0.011825724996326666,0.00013984777168874534,0.8940011156079855,0.017509776650120264,0.0003065922783370968,0.5560450220950603,0.011646296445462483,0.0001356362208955921,0.004478163559834099,0.0004311136312159969,1.858589630202426e-07,0.04361613568491698,0.0013096751696933598,1.7152490501113306e-06,0.0032062866163167386,7.897838924733249e-05,6.237585968103164e-09,0.10599888439201446,0.01750977665012027,0.00030659227833709703,0.8762280464300638,0.0031064725104192874,9.65017145799071e-06,0.9888653232582877,0.00039546821350909094,1.5639510789607193e-07,5.053438978803075e-05,1.9720114304242048e-06,3.888829081723718e-12,0.029369068145751954,0.004484423076175872,2.0110050326138665e-05,20.381923770904542,0.7953510875001687,0.6325833523877009
9,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.9481404464008403,0.001284092411678478,1.6488933217302494e-06,0.9790915264385525,0.0005993368878226706,3.5920470510496444e-07,0.9481404464008403,0.001284092411678478,1.6488933217302494e-06,0.9608137368833385,0.0009812179403301696,9.627886464257802e-07,0.46709776212029575,0.010720509132882831,0.00011492931606822418,0.8953155759452909,0.016575011596955333,0.00027473100943920377,0.5472629537301399,0.009635390250547292,9.284074528034182e-05,0.0030027018226245197,0.0006105018108908638,3.727124611010241e-07,0.051859553599159634,0.0012840924116784794,1.6488933217302534e-06,0.0036574836947856106,9.97520954963771e-05,9.950480555918335e-09,0.1046844240547091,0.01657501159695536,0.0002747310094392047,0.8575262737246048,0.002903153960799704,8.42830292010701e-06,0.9918236236274767,0.00024064114744550997,5.7908161843891666e-08,0.00022966936641578652,5.543984615298723e-06,3.073576541466893e-11,0.025675106048583984,0.0033581587976347443,1.127723051013163e-05,92.63204188346863,2.23612417572861,5.000251329277956
10,StandardScaler + sin PCA + RUS_SMOTE_ENN + knn,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9531586963316914,0.00125228593799413,1.5682200704978377e-06,0.9802275038093619,0.0004387491130989431,1.9250078424510912e-07,0.9531586963316914,0.00125228593799413,1.5682200704978377e-06,0.9642077250451002,0.0008943854231969019,7.999252852271014e-07,0.4696460440799025,0.01260217691492004,0.0001588148629949436,0.8939470104217904,0.018104249298374293,0.00032776384265768605,0.5460930351555662,0.012823814955529488,0.00016445023001366175,0.004033341269528087,0.00045733099630110774,2.0915164017776382e-07,0.04684130366830858,0.001252285937994149,1.5682200704978856e-06,0.003391642995855778,8.044923258575125e-05,6.472079023636301e-09,0.10605298957820974,0.01810424929837435,0.0003277638426576881,0.8686902567718077,0.0028986146720426723,8.401967016981049e-06,0.9895423055524578,0.00039799132785088527,1.5839709704451086e-07,5.1633764586951476e-05,4.500181480556961e-06,2.0251633357947838e-11,0.026501560211181642,0.002704435543834646,7.313971610756198e-06,20.825333213806154,1.8150565005324413,3.294430100125072
