rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.965480187702099,0.0008072800898125659,6.517011434077845e-07,0.9829990877205814,0.0005221198056544594,2.7260909145665043e-07,0.965480187702099,0.0008072800898125659,6.517011434077845e-07,0.972505544583688,0.0007127100620850078,5.079556325972157e-07,0.5262885367481238,0.010006806107473658,0.0001001361684725721,0.8951848418553651,0.0160755758410025,0.00025842413861982313,0.6011747581822191,0.009089034715780259,8.261055206465874e-05,0.0018197968126432023,0.00019775929339303547,3.910873812331268e-08,0.03451981229790095,0.0008072800898125783,6.517011434078046e-07,0.0024226406073696105,5.397360580793967e-05,2.9131501239108584e-09,0.10481515814463496,0.016075575841002564,0.00025842413861982535,0.8994982000310886,0.002063649674471123,4.258649978944772e-06,0.9877988142805396,0.0002632115228579808,6.928030576521735e-08,0.00024066216345770348,2.244694590460875e-06,5.038653804444315e-12,0.02172818183898926,0.002547353323770211,6.489008956123143e-06,97.06574058532715,0.9053015757505919,0.8195709430565046
2,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9612097158940376,0.000984113010527092,9.684784174886962e-07,0.9820021543403982,0.0004971658979821909,2.4717393011643826e-07,0.9612097158940376,0.000984113010527092,9.684784174886962e-07,0.9696028389494431,0.0008005918012464416,6.409472322230219e-07,0.5101973041443101,0.010503796992725566,0.00011032975126439064,0.8966389187806951,0.021536786477483732,0.0004638331717767261,0.5869314058247885,0.009408278401692664,8.851570248375667e-05,0.0015814785499521234,0.00014983540481680423,2.2450648536615602e-08,0.038790284105962455,0.000984113010527102,9.68478417488716e-07,0.0026914508437276387,6.5829048619236e-05,4.333463642113736e-09,0.10336108121930476,0.02153678647748369,0.00046383317177672433,0.8888711994796097,0.0024435271110073904,5.9708247422281244e-06,0.989191700759968,0.0002571991718988734,6.615141402546623e-08,0.00023969728052054668,2.6119424861114366e-06,6.822243550753993e-12,0.022013044357299803,0.000753505947186366,5.677712124452227e-07,96.67657651901246,1.0534349936752838,1.1097252858996454
3,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9635918971427581,0.0007422905589914609,5.509952739678555e-07,0.9822452383739089,0.00043066890901365443,1.8547570919101137e-07,0.9635918971427581,0.0007422905589914609,5.509952739678555e-07,0.9710171597094508,0.0006064619444654265,3.6779609008478604e-07,0.5113339809268583,0.013863422402492005,0.00019219448070991718,0.8911964296474528,0.013178358033273453,0.00017366912045314295,0.5860053552728575,0.014278539956089931,0.00020387670327765665,0.0022582848473912563,0.000134332054786238,1.804510094309285e-08,0.036408102857241956,0.0007422905589914737,5.509952739678746e-07,0.0025777591803088805,4.552708466872857e-05,2.0727154384335803e-09,0.10880357035254713,0.013178358033273477,0.0001736691204531436,0.8945920557576874,0.001860882856573064,3.4628850058875267e-06,0.9869745880469465,0.0003928155444352072,1.543040519499282e-07,5.457535415180698e-05,1.1899338443442585e-06,1.4159425539159061e-12,0.02170701026916504,0.00043418489199705874,1.8851652043849755e-07,22.01175765991211,0.47994131791858574,0.23034366864542902
4,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9577118169872995,0.0012721629213402917,1.6183984984330652e-06,0.9811794009279338,0.0005083063422314547,2.583753375527207e-07,0.9577118169872995,0.0012721629213402917,1.6183984984330652e-06,0.9672110193294877,0.0009859523929457933,9.72102121155536e-07,0.49518541868141835,0.011656040653152953,0.00013586328370795433,0.8957665292492527,0.021644287106035907,0.00046847516432851227,0.5731971927701557,0.009935847005460224,9.872105571591289e-05,0.0014953489801863187,0.0001431130045751905,2.04813320785385e-08,0.04228818301270062,0.0012721629213403092,1.6183984984331096e-06,0.002918902132859129,8.279151390846326e-05,6.854434775255266e-09,0.10423347075074736,0.021644287106035904,0.00046847516432851216,0.8803792658110317,0.0030662408277846672,9.401832813973602e-06,0.9900538973260711,0.0002387462257826578,5.699976032546382e-08,0.0002418846692252576,2.2532471328990215e-06,5.07712264191766e-12,0.02187318801879883,0.0008162280408322151,6.662282146407961e-07,97.55881175994872,0.9088333747383891,0.8259781030383693
5,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9591567951176078,0.001105880282289721,1.2229711987571927e-06,0.9813879004242609,0.0005480101867895755,3.0031516482514547e-07,0.9591567951176078,0.001105880282289721,1.2229711987571927e-06,0.9680757598201666,0.0008841535878711316,7.817275669453948e-07,0.4915957133655387,0.010835514363882378,0.00011740837152990135,0.8919168465263325,0.014406861812484458,0.000207557667284023,0.5681293183310782,0.011527234801225802,0.00013287714216259124,0.001959669301030331,0.00014402896215553207,2.074434193959969e-08,0.04084320488239221,0.0011058802822897552,1.2229711987572685e-06,0.002853524945561503,7.12411033357167e-05,5.075294804490264e-09,0.1080831534736674,0.014406861812484524,0.0002075576672840249,0.8837128084264281,0.002705449445412444,7.3194567016825005e-06,0.9883965457552891,0.0003771708802847191,1.4225787293474992e-07,5.281255075258351e-05,1.8240603798656306e-06,3.327196269395549e-12,0.022308492660522462,0.0005040874607714474,2.541041681070055e-07,21.300769662857057,0.7356855688688889,0.5412332562419407
6,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9547802067890885,0.0014022640647141683,1.9663445071887015e-06,0.9804515021487175,0.0005465344163238704,2.9869986822647373e-07,0.9547802067890885,0.0014022640647141683,1.9663445071887015e-06,0.9651893951338859,0.0010653193714603455,1.1349053632086657e-06,0.48576738202365943,0.012398109674738008,0.00015371312350683219,0.8959236530490946,0.0206855905688566,0.00042789365718236917,0.5647399691369441,0.010745604732739835,0.00011546802107228075,0.0014530490030028186,0.000159296015463734,2.5375220542622188e-08,0.045219793210911595,0.0014022640647141423,1.966344507188628e-06,0.0031115228142609606,9.257495798245054e-05,8.570122845452482e-09,0.10407634695090533,0.020685590568856518,0.00042789365718236575,0.8734058801967777,0.0033103534944549625,1.0958440258250182e-05,0.9907877994318707,0.00024827565573387925,6.164080123008772e-08,0.00023624822740879047,3.082376443639428e-06,9.501044540303246e-12,0.021524572372436525,0.0008162877075660003,6.66325621523356e-07,95.28547730445862,1.243159319023029,1.545445092473801
7,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9521337242617129,0.0013244454649831076,1.7541557897143204e-06,0.9798565201292361,0.0005855395068741577,3.428565141104318e-07,0.9521337242617129,0.0013244454649831076,1.7541557897143204e-06,0.9633962682543984,0.0010285287436329839,1.0578713764792445e-06,0.4781963102276808,0.011710951786713069,0.000137146391750718,0.894710935453087,0.02018562721814068,0.00040745954618974186,0.5578530187057266,0.010218109459017312,0.00010440976091645904,0.0014627214867330295,0.0002011662110145774,4.046784445396149e-08,0.04786627573828712,0.001324445464983107,1.7541557897143187e-06,0.003288599815001343,8.652903554209994e-05,7.487273991845995e-09,0.10528906454691303,0.020185627218140566,0.00040745954618973725,0.8672105066668653,0.00306795369473892,9.41233987306219e-06,0.9913999845545595,0.00022454756769598743,5.042161015818405e-08,0.00024020452435726268,4.122224163238627e-06,1.6992732051988393e-11,0.020521163940429688,0.0006954451718729882,4.836439870814502e-07,96.8811625957489,1.6626255856443362,2.764323838039172
8,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9552988909881993,0.0012976655316514975,1.6839358320363638e-06,0.9806795390834419,0.0005392082899988454,2.9074558000347896e-07,0.9552988909881993,0.0012976655316514975,1.6839358320363638e-06,0.9655415790807979,0.000982251957312555,9.648189076443453e-07,0.4745312359736464,0.011816985248498953,0.00013964114036324186,0.8952946528882224,0.021586465786947916,0.0004659755051710729,0.5516759928167996,0.011797051878361796,0.00013917043302075956,0.0018706399500626354,0.00013934389972529754,1.9416722390653774e-08,0.04470110901180078,0.0012976655316514947,1.6839358320363564e-06,0.003104783264124227,8.022483103500823e-05,6.436023514595621e-09,0.10470534711177762,0.021586465786947912,0.0004659755051710727,0.8744764976090865,0.0030865649285762094,9.52688305831666e-06,0.9893571817098762,0.00035319196138254767,1.2474456158525103e-07,5.385865834003629e-05,1.4380532901833003e-06,2.0679972654070153e-12,0.02202134132385254,0.0004998313562947445,2.498313847354438e-07,21.722694683074952,0.5800296415701186,0.3364343850999603
9,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.9474333294760491,0.0014228584752290063,2.0245262405310127e-06,0.9789273776771182,0.0006753628281315797,4.561149496218857e-07,0.9474333294760491,0.0014228584752290063,2.0245262405310127e-06,0.9602556806286966,0.001127895924184623,1.2721492157922847e-06,0.4636197932937646,0.010596263427089444,0.00011228079861627331,0.8947545493531475,0.020893009658231303,0.0004365178525789465,0.544490991647234,0.009433496136100922,8.899084934983103e-05,0.001483972699533997,0.00021071592294895944,4.440120018423181e-08,0.052566670523950844,0.0014228584752289844,2.0245262405309505e-06,0.0036033762148989885,9.714433167069581e-05,9.437021175746152e-09,0.10524545064685256,0.02089300965823127,0.00043651785257894514,0.856490160065143,0.003215972644795658,1.034248005207398e-05,0.9922500408431055,0.00016902491219582998,2.856942094280804e-08,0.00023965200062347325,4.2232980375985764e-06,1.7836246314383984e-11,0.020318317413330077,0.0012168601478979753,1.4807486195422825e-06,96.65831451416015,1.7033980966424707,2.901565075645192
10,StandardScaler + sin PCA + RUS_SMOTE + knn,StandardScaler,False,,RUS_SMOTE,RUS_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9521877741095338,0.0011095454189041403,1.2310910366111644e-06,0.9800652730482466,0.0004967711916954535,2.46781616898521e-07,0.9521877741095338,0.0011095454189041403,1.2310910366111644e-06,0.9634694068006853,0.0008504848898135781,7.23324547801214e-07,0.4643330095372967,0.01116248525526133,0.00012460107707392657,0.8950731929808571,0.02107852207066509,0.00044430409268351534,0.5422357377003034,0.011647237284762794,0.0001356581363675686,0.0018151657453027545,0.00016028369414423945,2.5690862608524104e-08,0.04781222589046619,0.0011095454189041412,1.231091036611166e-06,0.0033084927757179292,7.300930591658097e-05,5.330358750420906e-09,0.10492680701914289,0.021078522070665066,0.00044430409268351426,0.8671906647938927,0.002600232884356504,6.761211052888943e-06,0.9900732076757697,0.0003424940679678367,1.1730218659315714e-07,5.325982981103886e-05,5.2635569212107035e-06,2.7705031462825096e-11,0.022269296646118163,0.0023557505767010703,5.5495607796274264e-06,21.48117094039917,2.12295087526455,4.506920418786518
