dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,150000,403328,0.01,0.004574440653760711,0.8330557504471588,0.004574440653760711,0.0006730811959758764,0.07203473516692015,0.24504356724466472,0.004659151238017917,0.005189868433513614,0.5764810110136936,8.95080500956529e-08,0.06649283725347829,0.7549564327553353,0.0019669994559352116,0.9954255593462393,0.03610110282897949,56.84739875793457
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,150000,403328,0.01,0.005625694224055855,0.8349305752513303,0.005625694224055855,0.0024072903151784583,0.07622480427050556,0.25752898692095355,0.007606466660284031,0.006193727198312211,0.5734648679354869,8.40584386609464e-08,0.06643518366984379,0.7424710130790465,0.0021534492717128367,0.9943743057759441,0.03390312194824219,57.36785340309143
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,150000,403328,0.01,0.005672802284988892,0.8345487965949572,0.005672802284988892,0.002533880561478354,0.07551151990927664,0.23288717042109544,0.007535885981516986,0.0063569744102494235,0.5695366125980075,7.281636140037059e-08,0.06642453723837052,0.7671128295789045,0.002040860860546827,0.9943271977150111,0.029368877410888672,56.81172299385071
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,150000,403328,0.01,0.005814126467788004,0.8347499230943805,0.005814126467788004,0.0026541475900861344,0.07566989545115087,0.23573042221116064,0.007446460855212758,0.006427210879762272,0.5722760347542237,7.296828136335135e-08,0.06642252472167948,0.7642695777888393,0.002151997292980268,0.994185873532212,0.029430150985717773,57.41944122314453
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,150000,403327,0.01,0.005675295727784155,0.8349837141678021,0.005675295727784155,0.002707713834593953,0.07588693753577568,0.2540488480439355,0.007155072103410251,0.006356808246513015,0.5704679355461924,9.346825005611045e-08,0.0664249197126978,0.7459511519560645,0.002049091418251207,0.9943247042722159,0.03769826889038086,57.61743664741516
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,150000,403328,0.1,0.005105026182164392,0.8353001919557552,0.005105026182164392,0.0015658945320156377,0.07637140502231929,0.24465967555073015,0.006208004640663856,0.005851449483129166,0.5743287033337239,7.534225245802337e-08,0.06646415769689536,0.7553403244492698,0.0020673916355946165,0.9948949738178356,0.03038763999938965,56.99453830718994
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,150000,403328,0.1,0.005814126467788004,0.8352333219587149,0.005814126467788004,0.002762164963793298,0.07758335201465191,0.2686679711441915,0.009525492805735272,0.006567319354617254,0.5700260663008314,8.035856687769138e-08,0.06641999200135162,0.7313320288558084,0.002114006488062373,0.994185873532212,0.03241086006164551,58.6606981754303
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,150000,403328,0.1,0.005615776737543637,0.8343540168750564,0.005615776737543637,0.0022767468345275717,0.07476724641741742,0.22244026393660135,0.006486811535946202,0.006148295076536593,0.5703253554816498,8.488188032799771e-08,0.06643357279382703,0.7775597360633987,0.002119368644949115,0.9943842232624563,0.034235239028930664,56.904900789260864
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,150000,403328,0.1,0.005833961440812441,0.8348986059547141,0.005833961440812441,0.002829195174827116,0.07664441728051265,0.24469156004521786,0.008938685680093704,0.006608212961679654,0.5709396746751605,8.222002977040109e-08,0.06641531554777709,0.755308439954782,0.0020636946574687305,0.9941660385591876,0.03316164016723633,57.87261176109314
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,150000,403327,0.1,0.0058116615054285975,0.8351417192349776,0.0058116615054285975,0.0029283539117432263,0.07638171643826777,0.2307259278954485,0.007770577361754452,0.0064831917724793514,0.5710746218542169,8.202279629634616e-08,0.06641884969623321,0.7692740721045513,0.0020944069489267363,0.9941883384945714,0.033082008361816406,57.97964406013489
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1,1613311,150000,403328,1.0,0.005018248175182482,0.8342265867872196,0.005018248175182482,0.0014510356427650541,0.0742552189494565,0.2457993015020383,0.0056082126896184565,0.005607687112010368,0.57508895557124,7.528313963196081e-08,0.06646959825642998,0.7542006984979618,0.0020622220216323208,0.9949817518248175,0.030363798141479492,57.5431272983551
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",2,1613311,150000,403328,1.0,0.005826523325928277,0.8353068488526953,0.005826523325928277,0.0028294062553543527,0.07684302879954027,0.27757098772059235,0.00806574984052538,0.0065435376410994525,0.5712712639324876,8.469803943894318e-08,0.06641961919577347,0.7224290122794076,0.0021208112625302907,0.9941734766740717,0.03416109085083008,63.80737924575806
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",3,1613311,150000,403328,1.0,0.0054992462710250715,0.8343095046410197,0.0054992462710250715,0.0022440327172833898,0.07508663455520782,0.2325158405290571,0.007241632622927108,0.0061769237431937764,0.5701254890113828,8.231047239427678e-08,0.06643401884731262,0.7674841594709428,0.0020095289807145183,0.994500753728975,0.03319811820983887,58.221644163131714
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",4,1613311,150000,403328,1.0,0.005861234528721041,0.834806036113792,0.005861234528721041,0.0027616035710702003,0.07608520046147695,0.24666177046878182,0.00812991735412929,0.006528657248681805,0.5721678717665084,7.90539468064909e-08,0.06641800585311594,0.7533382295312182,0.0021313223254600814,0.994138765471279,0.03188467025756836,59.79903197288513
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",5,1613312,150000,403327,1.0,0.006037284882985766,0.8354830402676785,0.006037284882985766,0.0032245259319162913,0.0773771371060891,0.21048298966308726,0.008846540641070018,0.006815323920887935,0.5684973602701214,8.383638229649887e-08,0.06640596599110309,0.7895170103369128,0.0021267747495319366,0.9939627151170143,0.0338134765625,59.56403064727783
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",1,1613311,150000,403328,10.0,0.004824857188194224,0.8332138140842829,0.004824857188194224,0.00107035564733646,0.0725080497965172,0.24363752858377333,0.005215558861007113,0.0051933663263451415,0.5759484073542934,7.71812524768293e-08,0.06648543313701358,0.7563624714162266,0.00210635424339808,0.9951751428118057,0.03112936019897461,58.73517155647278
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",2,1613311,150000,403328,10.0,0.005816605839416058,0.8352452397228466,0.005816605839416058,0.002825068212658341,0.07705934346323766,0.277702912058473,0.008657311609038435,0.0065254812966687266,0.5714452452587542,1.015174118385206e-07,0.06642061689451094,0.722297087941527,0.0021258592570800802,0.994183394160584,0.040944814682006836,60.09449887275696
CIC17,C__RobustScaler_no_pca_NM_SMOTE_logreg,RobustScaler + sin PCA + NearMiss_SMOTE + logreg,RobustScaler,False,,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",3,1613311,150000,403328,10.0,0.005692637258013329,0.8343957515684758,0.005692637258013329,0.0024584314427289825,0.0752945184432574,0.23487469085253695,0.007515398389225846,0.006388204388850117,0.5704359082134901,8.542808284081568e-08,0.06642359031147776,0.7651253091474629,0.002046491930179829,0.9943073627419867,0.03445553779602051,58.69206404685974
