dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,150000,403328,0.01,0.12168012139003491,0.8873789917993827,0.12168012139003491,0.20514777817707916,0.138681503782937,0.2696639905412656,0.049267965956744736,0.06636249588705187,0.5359190340050914,8.263854857892394e-08,0.05887899480931639,0.7303360094587342,0.004865043529780757,0.8783198786099651,0.033330440521240234,55.92242360115051
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,150000,403328,0.01,0.13304556093303713,0.878716513224162,0.13304556093303715,0.22349452919260493,0.14525057002736155,0.28277182199995476,0.052022765382008875,0.06774119661222144,0.534189313112376,7.630933829240669e-08,0.05873598485239427,0.7172281780000452,0.014085333718951178,0.8669544390669629,0.030777692794799805,55.596816062927246
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,150000,403328,0.01,0.12838682164392257,0.8882328647987263,0.1283868216439226,0.21632132802275075,0.13866901695494618,0.24353685361327665,0.05152569373874554,0.06928214410178325,0.5228416131439164,7.201892937678679e-08,0.05834693744297841,0.7564631463867234,0.003590883288598753,0.8716131783560774,0.029047250747680664,55.14447259902954
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,150000,403328,0.01,0.13246538797207236,0.8606303143790043,0.13246538797207236,0.22114897249478893,0.11405681671488947,0.23326820192736328,0.04047676700394208,0.05302724214670177,0.531407656518867,6.90520566367074e-08,0.05877720040879462,0.7667317980726368,0.014123394103991558,0.8675346120279276,0.027850627899169922,55.56431531906128
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,150000,403327,0.01,0.12584577774361747,0.8631908337965664,0.12584577774361744,0.21112669172563012,0.13011971150342927,0.24513284763256882,0.0488228405033615,0.061586381942849544,0.530596638695571,7.454559638893687e-08,0.059611516356427016,0.7548671523674312,0.020018523090022715,0.8741542222563825,0.030066251754760742,55.05336141586304
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,150000,403328,0.1,0.1406522730879086,0.8727764822908601,0.1406522730879086,0.2331844810481354,0.12624471870206433,0.24858669030335195,0.04862425427894697,0.06613741201553527,0.537901019364973,7.090938163159273e-08,0.058107616426955035,0.751413309696648,0.012266519492234167,0.8593477269120914,0.02859973907470703,54.68522644042969
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,150000,403328,0.1,0.1316000872738813,0.8877603700685213,0.1316000872738813,0.22157626986957563,0.14639077185667437,0.2820057190150911,0.05175021544217069,0.0690949987886443,0.5361389483138564,8.092368549484935e-08,0.05844287379524116,0.7179942809849089,0.008243194202498564,0.8683999127261187,0.0326387882232666,55.46789574623108
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,150000,403328,0.1,0.14698458822596,0.8790212619513454,0.14698458822596003,0.2451325322648252,0.13609095266971125,0.20518199109033539,0.04928050731563279,0.06965422133777903,0.5318233247084622,7.036554363181726e-08,0.05749303754932327,0.7948180089096647,0.009380151465809124,0.8530154117740399,0.028380393981933594,56.1861355304718
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,150000,403328,0.1,0.1399580490320533,0.882269911485002,0.1399580490320533,0.23325924214471497,0.12788410875101605,0.24702575888285722,0.0490267745986672,0.06453733615543332,0.5260059379887836,7.673199499875392e-08,0.0578771017954375,0.7529742411171428,0.008114575963615929,0.8600419509679467,0.030948162078857422,55.09760665893555
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,150000,403327,0.1,0.16853570427965398,0.7906670547262675,0.16853570427965398,0.27161345512362883,0.1260322324862958,0.2684077729741268,0.05871431162259327,0.05303078134246777,0.5349797680414093,7.565692027429772e-08,0.06174969538131233,0.7315922270258731,0.09478113499933892,0.831464295720346,0.03051447868347168,55.70079302787781
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1,1613311,150000,403328,1.0,0.12793309663598856,0.8923755548484488,0.12793309663598856,0.21498968513029992,0.13917195054885922,0.24708872362166703,0.046696358203996556,0.0625957958214046,0.5308574662262028,9.993850825438988e-08,0.058557721267800754,0.752911276378333,0.006298915652999861,0.8720669033640114,0.04030799865722656,56.369818925857544
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",2,1613311,150000,403328,1.0,0.1267901063154554,0.8864014690319748,0.1267901063154554,0.2140439204157838,0.14584520383509356,0.2812509694522493,0.05094708769048128,0.06714319868389,0.536213791551899,7.689337301390468e-08,0.05878458151351702,0.7187490305477506,0.008558829018210583,0.8732098936845446,0.03101325035095215,55.00867772102356
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",3,1613311,150000,403328,1.0,0.130449658838464,0.8893276556512361,0.13044965883846396,0.2196246464661652,0.1394794749634443,0.23128693133380537,0.05058647679852763,0.06936562841576775,0.5276956641833824,7.413457742156546e-08,0.05820023673911493,0.7687130686661946,0.0034532099251878947,0.8695503411615361,0.029900550842285156,56.11452317237854
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",4,1613311,150000,403328,1.0,0.1376323984449381,0.8824143952750959,0.1376323984449381,0.2295934792959705,0.1273914855690072,0.23790101883469295,0.04753018497936446,0.06361435689590096,0.5310484226765034,7.3729654563037e-08,0.05801072242763275,0.762098981165307,0.007793234859429309,0.8623676015550619,0.029737234115600586,56.67308473587036
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",5,1613312,150000,403327,1.0,0.129559885651097,0.8676022973741292,0.129559885651097,0.21785391452813338,0.13812547492253266,0.245409168380375,0.051018042385741244,0.06398810422940573,0.5306844432963944,7.895305962789992e-08,0.05937644455341333,0.754590831619625,0.02020655395229699,0.870440114348903,0.03184390068054199,55.81789255142212
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",1,1613311,150000,403328,10.0,0.12627439701682006,0.8779851412786018,0.12627439701682006,0.21291241425628185,0.12468023316375425,0.252557793138025,0.04018204439272297,0.05402904535679584,0.5295299193267576,7.880803745007068e-08,0.05864282979154678,0.7474422068619752,0.005916843890021754,0.8737256029831799,0.03178548812866211,56.376996994018555
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",2,1613311,150000,403328,10.0,0.13328605998095844,0.8812269690975402,0.13328605998095844,0.2239339107175464,0.14478613187897293,0.2824426868463784,0.05195316958586324,0.06834135533355346,0.5345531067615827,8.003640197565048e-08,0.05858596056785624,0.7175573131536215,0.012075468498802058,0.8667139400190416,0.032280921936035156,54.61519169807434
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",3,1613311,150000,403328,10.0,0.12312559504919074,0.8788999906387515,0.12312559504919074,0.20633158730330725,0.12181924603751719,0.19389569608055035,0.04525887236696026,0.05995934756100469,0.537013751251458,8.428129401520221e-08,0.058903088741374725,0.8061043039194496,0.006671926169811713,0.8768744049508093,0.03399300575256348,54.973740577697754
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",4,1613311,150000,403328,10.0,0.13601336877181847,0.875259877929901,0.13601336877181847,0.228076316354619,0.14509855091448987,0.25913140965220366,0.052157188293258945,0.0670749716039285,0.5348230868023122,7.201183583765929e-08,0.058714585845378954,0.7408685903477963,0.016732156452502926,0.8639866312281815,0.029044389724731445,55.10157012939453
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_logreg,RobustScaler + sin PCA + RUS_SMOTE + logreg,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,logreg,LogisticRegression,10000,4,"{""C"": 10}",5,1613312,150000,403327,10.0,0.13699058084383142,0.867803922986051,0.13699058084383142,0.22808936730930143,0.13132564520295548,0.2553509401432555,0.0499963053040422,0.06382988136144552,0.5253247998518523,8.46072154595364e-08,0.058885080897092996,0.7446490598567445,0.020266794300226442,0.8630094191561686,0.03412437438964844,55.72138261795044
