dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,1613311,1613311,403328,0.01,0.9640887813392574,0.9635128961613894,0.9640887813392574,0.962386275443168,0.47695820827948354,0.40521171861436495,0.4223421951373124,0.8804571435335262,0.9932010251359261,6.162157440064483e-08,0.008471964990879719,0.594788281385635,0.09116825620245315,0.03591121866074262,0.02485370635986328,54.30880117416382
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,1613311,1613311,403328,0.01,0.9633400111075849,0.9630007760906615,0.9633400111075849,0.9616283530537503,0.455223291701287,0.37952944014417256,0.39370481523343975,0.8779290879251136,0.9930884086321572,5.9501788458041786e-08,0.00864985737909484,0.6204705598558274,0.0930878717940075,0.036659988892415105,0.023998737335205078,71.60127758979797
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,1613311,1613311,403328,0.01,0.9633920779117741,0.9626895627275042,0.9633920779117741,0.9616724485657019,0.42252245186582965,0.3797555181679021,0.3933758901272763,0.8781068556956636,0.9929926751529906,5.780879711961035e-08,0.00865023061455405,0.6202444818320978,0.09314553713008478,0.03660792208822596,0.023315906524658203,63.45273566246033
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,1613311,1613311,403328,0.01,0.9640069620755316,0.9630367208170523,0.9640069620755316,0.9622264993237131,0.4205199392918452,0.3797148259261917,0.39339405905968905,0.8800597231070518,0.9931269930777907,7.234227653534895e-08,0.00854857856729327,0.6202851740738082,0.09223564058493061,0.035993037924468424,0.02917766571044922,63.93225908279419
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,1613312,1613312,403327,0.01,0.9638209195020417,0.9631745387305621,0.9638209195020417,0.962114150679389,0.421666309410431,0.377614188758452,0.39143619060096896,0.8796556495235435,0.9929207252411305,7.382678264180985e-08,0.00850165339241955,0.622385811241548,0.09134572038833504,0.03617908049795823,0.029776334762573242,60.31625962257385
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,1613311,1613311,403328,0.1,0.9704062202475404,0.9723666869447638,0.9704062202475404,0.9698569370672264,0.5878263330938207,0.46100708283635533,0.4835020327120771,0.9026458558990863,0.9949776533329635,7.294286284814445e-08,0.006338054372265743,0.5389929171636446,0.0654770358315266,0.029593779752459536,0.029419898986816406,126.20742964744568
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,1613311,1613311,403328,0.1,0.9700020826721676,0.9717679148069657,0.9700020826721676,0.9694842142958027,0.5239669394026516,0.44089774944825894,0.4577948107010228,0.901429518464331,0.994937056851313,7.175173940298406e-08,0.0063654759555863165,0.559102250551741,0.06548422200596232,0.029997917327832434,0.028939485549926758,128.06299209594727
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,1613311,1613311,403328,0.1,0.9697194343065694,0.971552558335081,0.9697194343065694,0.9691921530689297,0.5959361110828907,0.5039840605168499,0.5232649752038313,0.9003147281937613,0.9948386469685015,7.497989083425994e-08,0.0065365119106067255,0.4960159394831502,0.06776711296567023,0.030280565693430656,0.03024148941040039,146.31068015098572
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,1613311,1613311,403328,0.1,0.9704186171056808,0.9722439710479405,0.9704186171056808,0.9698122951281359,0.5662525815672544,0.504253192798117,0.47596067300599737,0.9025607451316895,0.9949497689489096,7.347842505227116e-08,0.006406590854848571,0.495746807201883,0.0665174799284093,0.029581382894319264,0.029635906219482422,127.48813962936401
CIC17,C__StandardScaler_no_pca_NONE_logreg,StandardScaler + sin PCA + NONE + logreg,StandardScaler,False,,NONE,NONE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,1613312,1613312,403327,0.1,0.9701334153180917,0.9720243642409168,0.9701334153180917,0.969581196206533,0.5397408154990581,0.43725200533992814,0.45627217975198797,0.9018185949575862,0.994855504241343,6.884296791974742e-08,0.006372460559501107,0.562747994660072,0.06572032371060836,0.02986658468190823,0.02776622772216797,102.13365530967712
