dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,147221,403328,0.0001,"(50,)",0.198037329419232,0.9500008799681708,0.198037329419232,0.29097872433628064,0.24680696889270015,0.7328942571912179,0.1729234127937867,0.17646518502732064,0.7200022536276597,3.044387388895217e-07,0.05367384544511674,0.2671057428087821,0.0031450110959829348,0.801962670580768,0.12278866767883301,10.251365423202515
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,146981,403328,0.0001,"(50,)",0.10152530942557918,0.9508761537821421,0.10152530942557918,0.13351586905099236,0.23891779353062498,0.7061692243411095,0.13583428345522225,0.1336498187112757,0.6640034013653155,3.0278298863150965e-07,0.06007005337994582,0.29383077565889054,0.0025761101247665304,0.8984746905744209,0.12212085723876953,6.0955705642700195
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,147059,403328,0.0001,"(50,)",0.14843254125674388,0.9354495265273602,0.14843254125674388,0.21748934090962965,0.22489007187073487,0.6930254883868596,0.13960201380664697,0.14048572886200178,0.7147797829266489,2.980598738291119e-07,0.05700111490150061,0.3069745116131403,0.003449264779252871,0.8515674587432561,0.12021589279174805,10.44967269897461
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,147039,403328,0.0001,"(50,)",0.14709120120596636,0.9523134079588614,0.14709120120596636,0.21116989829875532,0.23773125500458067,0.6532350623724849,0.15217186772180166,0.1592900728787385,0.6699576176863262,3.0671340043640866e-07,0.05704630870888199,0.34676493762751526,0.0027858318391961617,0.8529087987940336,0.12370610237121582,12.930022478103638
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,146968,403327,0.0001,"(50,)",0.19256831305615543,0.9355490642934456,0.19256831305615543,0.2960425732542603,0.24195948263061007,0.6873418835329647,0.15520327195116498,0.1453460816057513,0.6396959338686254,2.944842779882914e-07,0.054528035867560706,0.3126581164670353,0.01048885106956605,0.8074316869438446,0.1187734603881836,14.588690757751465
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,147221,403328,0.0001,"(100,)",0.1649203625833069,0.928786231329482,0.1649203625833069,0.24811160666554977,0.25313018884347965,0.7111384801654713,0.18808609421118058,0.13954567480700547,0.5632758614750701,4.109269482716421e-07,0.05605155647466905,0.2888615198345287,0.005693709703342619,0.8350796374166931,0.16573834419250488,18.623534440994263
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,146981,403328,0.0001,"(100,)",0.11082543240241194,0.9491017721915708,0.11082543240241194,0.15028000958841153,0.30499053495495193,0.7395994607166358,0.23138581881381762,0.14480989829965005,0.6398442733496784,3.792276952955996e-07,0.059458481085472456,0.2604005392833642,0.002702648684498818,0.8891745675975881,0.1529531478881836,11.028343200683594
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,147059,403328,0.0001,"(100,)",0.20431261900983816,0.9334519044739119,0.20431261900983816,0.3031345212685682,0.2691052719665607,0.6898031015260602,0.20340710896681197,0.15875960020148588,0.6089415962805862,4.111302963932973e-07,0.05344286128353156,0.3101968984739398,0.005955538262811399,0.7956873809901619,0.16582036018371582,15.006114721298218
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,147039,403328,0.0001,"(100,)",0.14376636385274516,0.9675232884252214,0.14376636385274516,0.21175059249807532,0.363846865934011,0.6815515820486641,0.2763254849419526,0.15979592022818678,0.6335412106584845,3.7944700388029165e-07,0.05725345176571604,0.3184484179513359,0.0025681403384858296,0.8562336361472549,0.15304160118103027,8.94783329963684
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,146968,403327,0.0001,"(100,)",0.2777547746617509,0.9494439864139158,0.2777547746617509,0.40359149171446107,0.2879710723588571,0.657738065680101,0.23095947298752553,0.1940957673962165,0.6030253898561566,4.027662389843715e-07,0.04837319862189019,0.3422619343198991,0.0033527539901039415,0.7222452253382491,0.1624464988708496,7.802164793014526
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",1,1613311,147221,403328,0.0001,"(100, 50)",0.12491322199301809,0.9321883667165956,0.12491322199301809,0.17160192178905212,0.2530718044916304,0.7209387610204272,0.19976285248884934,0.15752458749375203,0.5621622922591919,4.508275147356029e-07,0.05858340104554829,0.27906123897957286,0.0036642376762426074,0.8750867780069819,0.18183135986328125,11.49036192893982
CIC17,C__RobustScaler_no_pca_NM_SMOTE_ENN_mlp,RobustScaler + sin PCA + NearMiss_SMOTE_ENN + mlp,RobustScaler,False,,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",2,1613311,146981,403328,0.0001,"(100, 50)",0.1076716716915265,0.9435549921615696,0.1076716716915265,0.15125052605887682,0.23149087911499155,0.6876703007463296,0.13891513881155462,0.13448163153556233,0.5540714703607704,4.4778261306512096e-07,0.05974683813994195,0.3123296992536703,0.0038742437906557725,0.8923283283084735,0.1806032657623291,12.137457609176636
