dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,1613311,403328,0.0001,"(50,)",0.9806113138686131,0.9793315299006079,0.9806113138686131,0.9792385621292706,0.7121112120113973,0.6078498546006343,0.6139510457121763,0.9347861002747778,0.9913538280279085,2.2612961369141894e-07,0.005033640443612362,0.39215014539936566,0.05611592052279856,0.019388686131386862,0.09120440483093262,33.23670029640198
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,1613311,403328,0.0001,"(50,)",0.9809063590923517,0.9804124776622127,0.9809063590923517,0.9786542821301228,0.7809095399038649,0.5556092243828971,0.5968956187354909,0.9351936863324426,0.9918958879652434,2.2285476312755367e-07,0.006953966959292506,0.4443907756171029,0.08521586348173922,0.019093640907648365,0.08988356590270996,55.22568202018738
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,1613311,403328,0.0001,"(50,)",0.9817468660742621,0.9817564843260014,0.9817468660742621,0.9796033550005141,0.7934234467716222,0.6014167311451324,0.6312817226433157,0.9381087413694341,0.9929764441740955,2.121813512536996e-07,0.0066768083836573336,0.3985832688548676,0.08189899182912212,0.018253133925737863,0.08557868003845215,65.99130272865295
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,1613311,403328,0.0001,"(50,)",0.9804749484290701,0.9804148281014985,0.9804749484290701,0.9782496368798289,0.7350983818639125,0.5406987450931493,0.573562755659385,0.9336954022666588,0.9921631553234046,2.171095875625344e-07,0.007081261912016914,0.45930125490685064,0.08669387710932386,0.019525051570929864,0.08756637573242188,57.9091534614563
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,1613312,403327,0.0001,"(50,)",0.9787393355763437,0.9774581031502054,0.9787393355763437,0.9773347479446924,0.5547492125653648,0.4831465124745768,0.5008599505171663,0.928003345857675,0.9558582570150362,2.3282826528036164e-07,0.0057686455902917315,0.5168534875254233,0.06526901943071971,0.02126066442365624,0.09390592575073242,25.535356760025024
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,1613311,403328,0.0001,"(100,)",0.9811096675658522,0.9808092074674942,0.9811096675658522,0.9788970977198451,0.6904328834788082,0.5267030482851676,0.5563033575139992,0.9359075606207891,0.9921078730901167,2.953519152671865e-07,0.0069901765362007364,0.47329695171483244,0.08596231560886317,0.01889033243414789,0.11912369728088379,56.44164156913757
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,1613311,403328,0.0001,"(100,)",0.9820567875277689,0.9820185382663084,0.9820567875277689,0.9799323074127992,0.8273287148457903,0.6021020503523474,0.6321354602521971,0.9391923299347399,0.9920380339734169,2.926640550661223e-07,0.006628409264093925,0.3978979496476525,0.08148292648917782,0.01794321247223104,0.11803960800170898,78.11863684654236
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,1613311,403328,0.0001,"(100,)",0.981422068390987,0.9808927901348795,0.981422068390987,0.9793677509958562,0.7629187956993089,0.5994627714259987,0.634431404276819,0.9369765832865675,0.9918172398184328,2.8811650535713036e-07,0.006859963974689658,0.40053722857400137,0.08432152801133186,0.018577931609013013,0.11620545387268066,83.06024169921875
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,1613311,403328,0.0001,"(100,)",0.9817344692161218,0.9818513073082589,0.9817344692161218,0.9795644632364421,0.8757464959506123,0.6290300845138164,0.6542423565562206,0.9380859110608524,0.9926744052387847,2.8611908296447674e-07,0.006820613719846333,0.3709699154861836,0.0840436750138169,0.018265530783878135,0.11539983749389648,99.31217217445374
CIC17,C__RobustScaler_no_pca_NONE_mlp,RobustScaler + sin PCA + NONE + mlp,RobustScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,1613312,403327,0.0001,"(100,)",0.9820617017953175,0.9821520258566457,0.9820617017953175,0.980014184034643,0.8274381245983952,0.6068376826680699,0.6393632152976799,0.9392130854245501,0.9927413694111694,2.882076625549076e-07,0.0066728801320083565,0.3931623173319302,0.08215490377544278,0.017938298204682554,0.1162419319152832,127.81940412521362
