dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,144610,403328,0.0001,"(50,)",0.7947204260552205,0.9618356357046342,0.7947204260552205,0.8625599510915307,0.34579762154467064,0.8345508334212325,0.3856956444471063,0.6023264256263692,0.9133788363478949,2.758304955882899e-07,0.01473129855858912,0.16544916657876757,0.01568990443405736,0.20527957394477944,0.11125016212463379,6.580691576004028
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,144303,403328,0.0001,"(50,)",0.8469359925420501,0.9501295800556185,0.8469359925420501,0.8858666829389494,0.3475311068018521,0.8406691723787182,0.40640388694529433,0.6759074708026919,0.9211125350423311,2.6953320622784645e-07,0.010962452766197029,0.1593308276212818,0.011372784035005556,0.15306400745794985,0.10871028900146484,8.462137222290039
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,144570,403328,0.0001,"(50,)",0.8474417843541733,0.962103588717486,0.8474417843541733,0.8948008559854552,0.3487045396010242,0.8740662532734758,0.40225727444296994,0.6729561303215832,0.9262627462745167,2.5024173544233314e-07,0.010898700837867592,0.12593374672652413,0.010922296922187116,0.15255821564582672,0.10092949867248535,7.706725120544434
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,144503,403328,0.0001,"(50,)",0.8257968700412568,0.9595720088631908,0.8257968700412568,0.8803711210935091,0.35466554448643345,0.8338474060771989,0.39597303130348876,0.6381382614556473,0.9182457857930986,2.4876509704729067e-07,0.013088348366638304,0.16615259392280127,0.022122095540831336,0.17420312995874326,0.10033392906188965,8.580785512924194
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,144336,403327,0.0001,"(50,)",0.8106598368073549,0.9583350258499506,0.8106598368073549,0.8696476393190609,0.3310241939514423,0.8257753654175065,0.3911653973285463,0.6290264865652977,0.9230929553069842,2.512455030315865e-07,0.013328077347518785,0.17422463458249338,0.010580997020136613,0.18934016319264518,0.1013340950012207,9.709646224975586
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,144610,403328,0.0001,"(100,)",0.853469136781974,0.9684339793871486,0.853469136781974,0.9021964857377069,0.3888104651603008,0.8614003128686321,0.4326045900269298,0.6831664782985508,0.9367546826497073,3.3260008922572063e-07,0.010314713052286815,0.13859968713136783,0.008189832566276211,0.14653086321802605,0.13414692878723145,13.177255392074585
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,144303,403328,0.0001,"(100,)",0.8093437599174865,0.9500036485457686,0.8093437599174865,0.8624847745999094,0.3223162786909097,0.8574555712681928,0.37112336589891143,0.6305157702698815,0.9261271900815944,3.282015038384063e-07,0.013293698260166215,0.14254442873180734,0.008749233819979696,0.1906562400825135,0.13237285614013672,8.194957733154297
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,144570,403328,0.0001,"(100,)",0.8704156418597271,0.9648775812054238,0.8704156418597271,0.9088709267340391,0.3868225227146952,0.8910472866425245,0.45252855791018026,0.7097399428987735,0.9535929099203095,3.1515412086988015e-07,0.009040512780753065,0.10895271335747546,0.0060233335710230505,0.12958435814027294,0.12711048126220703,12.922197341918945
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,144503,403328,0.0001,"(100,)",0.8157008687718185,0.9621055454587722,0.8157008687718185,0.8745672560332728,0.3569777232689166,0.8263299090398006,0.39409706634030367,0.6287165985989823,0.9157325222792403,3.135503898988032e-07,0.01293195488918045,0.17367009096019947,0.009680192109525245,0.18429913122818153,0.1264636516571045,10.840357065200806
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_ENN_mlp,RobustScaler + sin PCA + RUS_SMOTE_ENN + mlp,RobustScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,144336,403327,0.0001,"(100,)",0.867732633818217,0.9641184674443375,0.867732633818217,0.9078407246725917,0.40543092876226566,0.8384831565529086,0.46758584936925235,0.7054902367247412,0.958451442392978,3.3551341002825215e-07,0.009294316989538177,0.16151684344709138,0.007147388661289652,0.13226736618178303,0.13532161712646484,13.34985876083374
