dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,150000,403328,0.0001,"(50,)",0.7690415741034592,0.9481945696414643,0.7690415741034592,0.8353047232658167,0.2979061950840125,0.8562112468283049,0.34872669071760704,0.5865165704845815,0.9138874759554417,2.6842306735439173e-07,0.01611492875190861,0.1437887531716951,0.01076550538208834,0.23095842589654075,0.10826253890991211,8.162429809570312
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,150000,403328,0.0001,"(50,)",0.7426065138051412,0.9518076084931206,0.7426065138051412,0.8218496811097615,0.3052722347779385,0.8756603982772198,0.3549148818403315,0.5574168084262179,0.8996430544855734,2.5991436717094826e-07,0.01739118774976916,0.12433960172278005,0.003474330051678588,0.25739348619485874,0.10483074188232422,6.2199437618255615
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,150000,403328,0.0001,"(50,)",0.8742586678832117,0.9653435151615325,0.8742586678832117,0.9120750940766574,0.36336667726205274,0.8680386786863555,0.4168347652596555,0.7161767763510714,0.9569048989370896,2.4237854731949273e-07,0.009171946490920105,0.13196132131364458,0.011837865247013262,0.1257413321167883,0.09775805473327637,8.934933185577393
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,150000,403328,0.0001,"(50,)",0.7998105760076166,0.9537766108024496,0.7998105760076166,0.8607687975696747,0.32667650826720507,0.8228780794226138,0.37735011778399746,0.6151894696892624,0.9275126166250564,3.2122914600432844e-07,0.014153786576990122,0.17712192057738607,0.012117374662468476,0.20018942399238338,0.1295607089996338,8.389182090759277
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,150000,403327,0.0001,"(50,)",0.8347792238059937,0.960828083819188,0.8347792238059937,0.8860742999802391,0.34738007404300786,0.8329515634147862,0.3961027668824037,0.6568164021698466,0.9318455429696765,2.5901649441294496e-07,0.011923400864854527,0.16704843658521376,0.013630236778811576,0.16522077619400635,0.10446834564208984,11.354695081710815
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,150000,403328,0.0001,"(100,)",0.8613981672484925,0.9561827798218783,0.8613981672484925,0.8991659718630546,0.36740716957172376,0.8492430344423736,0.4360837203568779,0.6948431612272346,0.9417915148701055,3.286714508056035e-07,0.009847044520121766,0.1507569655576265,0.009103835050318984,0.13860183275150745,0.13256239891052246,15.66384506225586
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,150000,403328,0.0001,"(100,)",0.7929873452872104,0.9536355157390718,0.7929873452872104,0.8566708783708463,0.33379762090608855,0.8289647308923825,0.38535904568983986,0.6010081213391122,0.8998892360199542,3.7258814267225396e-07,0.014096784943213782,0.17103526910761754,0.004439119435417126,0.2070126547127896,0.15027523040771484,6.961712598800659
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,150000,403328,0.0001,"(100,)",0.8737256029831799,0.9657617412903197,0.8737256029831799,0.9120709269010803,0.44855272943796864,0.8409495744126593,0.49014089204861944,0.7145398028817815,0.9574762137140068,3.829340694897215e-07,0.008863257677171,0.1590504255873408,0.0066744681407449515,0.12627439701682003,0.1544480323791504,19.617203950881958
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,150000,403328,0.0001,"(100,)",0.8043974135195177,0.9495607985984429,0.8043974135195177,0.8596912447221088,0.3251596063555381,0.8271949663087307,0.380979653684992,0.6258963055443459,0.9233607329634058,3.2699264654542713e-07,0.0136615521981321,0.17280503369126932,0.009320696491499124,0.1956025864804824,0.13188529014587402,9.167688369750977
CIC17,C__RobustScaler_no_pca_RUS_SMOTE_mlp,RobustScaler + sin PCA + RUS_SMOTE + mlp,RobustScaler,False,,RUS_SMOTE,RUS_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,150000,403327,0.0001,"(100,)",0.7973232637537284,0.96236157669556,0.7973232637537284,0.8625070542265028,0.31181327256098945,0.8095918623273769,0.35277642513836516,0.6154401944199991,0.9131213684932918,3.7847967418115305e-07,0.01403649858629289,0.1904081376726229,0.007870742548121755,0.20267673624627164,0.15265107154846191,9.862356901168823
