dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,150000,403328,0.0001,"(50,)",0.15501775230085688,0.7188991313256404,0.15501775230085688,0.20125425711678102,0.28051014416037123,0.7552739466728071,0.22871495328017827,0.14746860711604343,0.4717919563551823,2.1148795780398588e-07,0.06466909549678125,0.24472605332719288,0.1250541847525755,0.8449822476991431,0.08529901504516602,6.331185817718506
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,150000,403328,0.0001,"(50,)",0.15253094255791813,0.9372439193556745,0.15253094255791813,0.19834194739946148,0.2760821476629793,0.7852863100006994,0.22319710021910305,0.2142881545476186,0.4752998128233689,2.091701438940733e-07,0.05713059024910973,0.21471368999930068,0.009489796294564019,0.8474690574420819,0.08436417579650879,4.531046152114868
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,150000,403328,0.0001,"(50,)",0.16859231196445573,0.9472966562397532,0.16859231196445573,0.20894380455695405,0.2285754331005238,0.7651232406156188,0.16867799082993423,0.20942757866845885,0.5454205092059174,2.1349838501837322e-07,0.05592404569497757,0.23487675938438135,0.0074529973891192345,0.8314076880355443,0.08610987663269043,8.796601057052612
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,150000,403328,0.0001,"(50,)",0.14638953903522692,0.9515705586087032,0.14638953903522692,0.19437070188433597,0.23805644417942526,0.7448647511686554,0.16976913427658416,0.20215324354330322,0.42159965758838613,2.0332033862692332e-07,0.05713486764083613,0.2551352488313447,0.0034125536477689652,0.8536104609647731,0.08200478553771973,8.917813777923584
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,150000,403327,0.0001,"(50,)",0.14850729061034842,0.8745760541146574,0.14850729061034842,0.19083284391774222,0.25243845049028973,0.7254644609299985,0.20181403363358366,0.18258666739994825,0.4717919921088625,2.0965420662195653e-07,0.05900669839417401,0.2745355390700016,0.03360776652295866,0.8514927093896516,0.08455920219421387,5.7022998332977295
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,150000,403328,0.0001,"(100,)",0.2016671294827039,0.8266745906822267,0.2016671294827039,0.2656362918201613,0.22997458909716192,0.774480407958979,0.1810330774098089,0.17474527329257927,0.6494664987157025,2.816968524467374e-07,0.059812139485675285,0.22551959204102098,0.09884922176783319,0.7983328705172961,0.1136162281036377,11.635961294174194
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,150000,403328,0.0001,"(100,)",0.19244386702634084,0.8172755184700997,0.19244386702634084,0.25582787542247415,0.32302311423728214,0.7559043032674986,0.2587425635656138,0.20659210334605135,0.5264569026066063,2.8183103856189935e-07,0.05990511632072572,0.24409569673250145,0.0910206118372265,0.8075561329736591,0.11367034912109375,7.921398162841797
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,150000,403328,0.0001,"(100,)",0.17788499682640432,0.8044878656970674,0.17788499682640432,0.2374520257130959,0.23667497844178315,0.7321071917265249,0.190226598393118,0.16168342317362172,0.6197374926691035,2.808627704709948e-07,0.06133055864688918,0.2678928082734752,0.09784337652974219,0.8221150031735956,0.11327981948852539,11.006924867630005
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,150000,403328,0.0001,"(100,)",0.15898722627737227,0.7626895471114438,0.15898722627737227,0.21134973780866084,0.3099795750439184,0.7707235016005508,0.26352519868116464,0.16789009666717272,0.47794657916551886,2.8360442334377587e-07,0.06257304219105411,0.22927649839944927,0.09758285914318383,0.8410127737226277,0.11438560485839844,6.824656963348389
CIC17,C__StandardScaler_no_pca_NM_SMOTE_mlp,StandardScaler + sin PCA + NearMiss_SMOTE + mlp,StandardScaler,False,,NearMiss_SMOTE,NM_SMOTE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,150000,403327,0.0001,"(100,)",0.1846789329749806,0.8009499432190789,0.1846789329749806,0.23504407367791094,0.2424075293355371,0.7451761621072382,0.20674428825174265,0.17969800715787151,0.6060494260822191,2.836003974684701e-07,0.06084894574942532,0.25482383789276175,0.09741311921636044,0.8153210670250194,0.11438369750976562,10.380672931671143
