dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,1613311,403328,0.0001,"(50,)",0.9965363178356077,0.996256442095997,0.9965363178356077,0.9960977084027368,0.8198815556801947,0.6801689902769373,0.7125660870918957,0.9884542247060767,0.9997940853929996,1.9901278699174527e-07,0.0008946614293878137,0.3198310097230627,0.009956239276424948,0.0034636821643922564,0.08026742935180664,96.13519501686096
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,1613311,403328,0.0001,"(50,)",0.9970123571881943,0.9967881791753591,0.9970123571881943,0.9965725762498032,0.8428374708662184,0.6790285545252052,0.7123393801282745,0.9900422398198641,0.9997852491553733,1.9909081592214784e-07,0.0008228663926484194,0.32097144547479495,0.009355353077920516,0.002987642811805776,0.08029890060424805,107.48866748809814
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,1613311,403328,0.0001,"(50,)",0.9969230998095843,0.9969245581011632,0.9969230998095843,0.9964981703631999,0.9168242062046673,0.6753938188196987,0.710645710645941,0.9897438812726853,0.9997989712555354,2.0066735499323607e-07,0.0008604462327361371,0.3246061811803011,0.009829793300626314,0.003076900190415741,0.08093476295471191,107.51138114929199
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,1613311,403328,0.0001,"(50,)",0.9968264043160902,0.9968057640525427,0.9968264043160902,0.9963555843370844,0.8713093523785579,0.7090852842251121,0.7016684191034945,0.9894203471384803,0.9997371739611184,1.9640236459282307e-07,0.000908091173535314,0.290914715774888,0.01044777191911984,0.0031735956839098697,0.07921457290649414,93.25385594367981
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,1613312,403327,0.0001,"(50,)",0.9969206128030109,0.9968781395350899,0.9969206128030109,0.9964539148270012,0.8374682181858283,0.701307168859721,0.6985955047590386,0.9897370958327287,0.9998017172750243,2.066004304561192e-07,0.0008429748895890412,0.298692831140279,0.009565236146846576,0.003079387196989044,0.0833275318145752,132.11349868774414
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,1613311,403328,0.0001,"(100,)",0.9969280585528404,0.9966263318595602,0.9969280585528404,0.9964923028013346,0.7800227330555789,0.7222574134856468,0.7191908121477437,0.9897585950402734,0.999822545047401,2.6936237016052565e-07,0.00087517813240224,0.27774258651435335,0.010055730538873969,0.0030719414471596317,0.10864138603210449,122.25868082046509
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,1613311,403328,0.0001,"(100,)",0.9969255791812123,0.9969070865428451,0.9969255791812123,0.996456494892249,0.895024003050302,0.6737661485120403,0.7085687559352581,0.9897461047163617,0.9998183988577148,2.719095418355609e-07,0.0009400551722309538,0.3262338514879598,0.011026406764676621,0.0030744208187876865,0.10966873168945312,112.75614500045776
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,1613311,403328,0.0001,"(100,)",0.9969677284988893,0.9969734698657908,0.9969677284988893,0.9965432690328077,0.9174010732298119,0.6760421544231036,0.7111113382818154,0.9898923762927981,0.9998122104516013,2.6999251288635243e-07,0.0008588037654642156,0.32395784557689633,0.009849784980852476,0.0030322715011107584,0.10889554023742676,130.10846281051636
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,1613311,403328,0.0001,"(100,)",0.9967569819105045,0.9967582997856402,0.9967569819105045,0.9962786610476275,0.814252930637211,0.6405389153198718,0.6591571957297186,0.9891893279207428,0.9997145211925487,2.6917498250190735e-07,0.0009164585227050727,0.3594610846801283,0.010503859751080695,0.0032430180894953984,0.1085658073425293,107.19740009307861
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,1613312,403327,0.0001,"(100,)",0.9969677209807427,0.9969491295856082,0.9969677209807427,0.9965201033692879,0.8701996397772176,0.7035277595070352,0.7214498033187443,0.9898956810835511,0.999813911822267,2.754729548621794e-07,0.0008227098564814714,0.2964722404929647,0.009308368827964743,0.003032279019257327,0.11110568046569824,128.18110418319702
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",1,1613311,1613311,403328,0.0001,"(100, 50)",0.9969230998095843,0.9964847310070195,0.9969230998095843,0.9965147295087562,0.807336570008668,0.7218669412361141,0.7449920658609158,0.9897434255589636,0.999874909592728,3.370713833890919e-07,0.0008576805642002567,0.2781330587638859,0.00978830827258811,0.003076900190415741,0.13595032691955566,175.9667513370514
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",2,1613311,1613311,403328,0.0001,"(100, 50)",0.9969330172960965,0.9968215931952047,0.9969330172960965,0.9964952963359645,0.8680951604700209,0.6801586006644524,0.7093269451059194,0.9897757578781063,0.9998365012073033,3.391728443556156e-07,0.0008652334542596185,0.3198413993355475,0.009911519109990757,0.0030669827039035225,0.13679790496826172,149.50901460647583
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",3,1613311,1613311,403328,0.0001,"(100, 50)",0.9964892097746747,0.9964970972759484,0.9964892097746747,0.9960261106095342,0.8497545777995651,0.6367366659375266,0.6586577065185188,0.9882883431287206,0.9998339091361639,3.4141676723294996e-07,0.0010555773812336395,0.36326333406247324,0.012322870493179297,0.0035107902253252938,0.13770294189453125,104.42445850372314
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",4,1613311,1613311,403328,0.0001,"(100, 50)",0.996913182323072,0.9967059422908086,0.996913182323072,0.9964658733225419,0.7867907601470792,0.640474030153866,0.6607571912564143,0.9897045137548682,0.9998179652783398,3.3769147693448805e-07,0.000933613966072966,0.3595259698461341,0.010917391814166528,0.0030868176769279594,0.1362004280090332,163.2937352657318
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,3,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}",5,1613312,1613312,403327,0.0001,"(100, 50)",0.9968958190252574,0.9968785257726961,0.9968958190252574,0.996437208145071,0.8923467569710549,0.6999724342750244,0.7103399289088815,0.9896543477433932,0.9998511728205846,3.444702076404796e-07,0.0008589581042126025,0.3000275657249755,0.009780190588446461,0.0031041809747425785,0.13893413543701172,160.26773381233215
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",1,1613311,1613311,403328,0.001,"(50,)",0.9866386662964138,0.9863413442551401,0.9866386662964138,0.9861510363244542,0.8098150308221365,0.6586744999074579,0.6912292269658494,0.955380101754955,0.9988610668590413,1.9788018524438682e-07,0.0033020765942554523,0.341325500092542,0.03616981521024563,0.013361333703586163,0.07981061935424805,38.308719635009766
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",2,1613311,1613311,403328,0.001,"(50,)",0.9873105760076166,0.988090406302533,0.9873105760076166,0.9870642106653984,0.8725781409508071,0.6510348613675094,0.6775530477461947,0.9581530463762734,0.9990984625240465,1.947625747978479e-07,0.0024825519138664868,0.3489651386324906,0.024548854715613928,0.01268942399238337,0.0785531997680664,70.84703707695007
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",3,1613311,1613311,403328,0.001,"(50,)",0.9875758687718185,0.9878046224924877,0.9875758687718185,0.9872258004277576,0.9059786496272113,0.6622765589171503,0.6961340836804311,0.9586350274142629,0.9991729908337214,1.974746712575977e-07,0.0029284293243251997,0.3377234410828497,0.03150230863669646,0.012424131228181529,0.07964706420898438,72.41398239135742
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",4,1613311,1613311,403328,0.001,"(50,)",0.9869113971754998,0.9870559473896012,0.9869113971754998,0.9866985108916875,0.7954072633467599,0.7152560068459388,0.724543363998141,0.9566437343690024,0.9990033560019259,1.9686817366219596e-07,0.0027996642983600423,0.28474399315406107,0.028906361650900467,0.013088602824500159,0.07940244674682617,50.20246601104736
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,4,"{""alpha"": 0.001, ""hidden_layer_sizes"": [50]}",5,1613312,1613312,403327,0.001,"(50,)",0.9874121990345303,0.9881960758911167,0.9874121990345303,0.9871950104156418,0.8299930772023371,0.6811885586550575,0.687911243319075,0.9586399480246798,0.999157067265779,2.0220656320086005e-07,0.0022962483604936656,0.3188114413449425,0.021855924441935282,0.012587800965469706,0.08155536651611328,60.95290970802307
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",1,1613311,1613311,403328,0.001,"(100,)",0.9875857862583307,0.9875257325268234,0.9875857862583307,0.9871723338508678,0.7606600009896736,0.6354614774458828,0.6579145408328608,0.9586667780681274,0.999051435168791,2.70501474318751e-07,0.002920007727675281,0.3645385225541171,0.03138590217345989,0.012414213741669311,0.1091008186340332,64.37410807609558
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",2,1613311,1613311,403328,0.001,"(100,)",0.9876998373532212,0.9881162928708354,0.9876998373532212,0.9875046705713162,0.8503131874454896,0.6676293440934026,0.6869742363452013,0.9593654113577026,0.9991736433200386,2.73459480134921e-07,0.002475254962057002,0.3323706559065974,0.024828661784076233,0.0123001626467788,0.11029386520385742,94.27762532234192
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",3,1613311,1613311,403328,0.001,"(100,)",0.9873180141225008,0.9880527867434575,0.9873180141225008,0.9871378068283477,0.861091657684481,0.6989963475630815,0.7152762163123495,0.9581106468680846,0.9991561909252802,2.7011724094934445e-07,0.00256967755682421,0.30100365243691857,0.025863177474863948,0.012681985877499207,0.10894584655761719,95.79584527015686
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",4,1613311,1613311,403328,0.001,"(100,)",0.9889494406537607,0.9889795132027863,0.9889494406537607,0.9884788254902465,0.8624625676828063,0.6976985072677309,0.7114670539096903,0.9631994653088254,0.9991183402464039,2.7054876457960105e-07,0.0026145820191861807,0.30230149273226914,0.02816817094155342,0.011050559346239289,0.10911989212036133,111.03390455245972
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,5,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}",5,1613312,1613312,403327,0.001,"(100,)",0.9873303795679437,0.9871879205548153,0.9873303795679437,0.9869011981126615,0.8083634706780118,0.6761286074188788,0.6874508097755434,0.9577498016509859,0.9991302389506661,2.703673674165083e-07,0.0030846152862477453,0.32387139258112113,0.0335996088616598,0.012669620432056371,0.10904645919799805,88.10231065750122
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",1,1613311,1613311,403328,0.001,"(100, 50)",0.9967371469374802,0.9964568019057894,0.9967371469374802,0.9962963800610813,0.8044130917475336,0.7212159146678638,0.731564662153772,0.9891216748377417,0.9998579682185711,3.402238704030077e-07,0.0009231848581866764,0.2787840853321363,0.010584919810280313,0.003262853062519835,0.1372218132019043,166.1968309879303
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",2,1613311,1613311,403328,0.001,"(100, 50)",0.9968437599174865,0.9968223334678366,0.9968437599174865,0.9963740341584618,0.9167208038056842,0.6744557546949762,0.7124337151705189,0.9894761853310233,0.9998392971451863,3.440200960927447e-07,0.0009198933281605343,0.32554424530502396,0.010642159839894527,0.0031562400825134876,0.13875293731689453,197.00381183624268
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",3,1613311,1613311,403328,0.001,"(100, 50)",0.9966627657886385,0.9966729006705137,0.9966627657886385,0.9962352852930331,0.8920206711234875,0.6867009253610881,0.7180472731504104,0.9888766643950424,0.9998188261255837,3.4437240853607747e-07,0.0009118380671097186,0.3132990746389118,0.010340336795284311,0.0033372342113614727,0.13889503479003906,137.55051732063293
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",4,1613311,1613311,403328,0.001,"(100, 50)",0.9969255791812123,0.9968174610060685,0.9969255791812123,0.996471616201713,0.8517935758197565,0.6982378380197181,0.7156039035841235,0.9897483176201006,0.9998123758332843,3.453554548334977e-07,0.0009142103373575871,0.30176216198028194,0.01063873424157612,0.0030744208187876865,0.13929152488708496,219.18035364151
CIC17,C__StandardScaler_no_pca_NONE_mlp,StandardScaler + sin PCA + NONE + mlp,StandardScaler,False,,NONE,NONE,mlp,MLPClassifier,10000,6,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100, 50]}",5,1613312,1613312,403327,0.001,"(100, 50)",0.9965387886256065,0.9964648760561632,0.9965387886256065,0.9960550517486245,0.8282558780607573,0.6878175688198479,0.7002365154308248,0.9884694069859565,0.9998419355565776,3.536380385649804e-07,0.0008933274527715349,0.312182431180152,0.00993870041717954,0.0034612113743934824,0.14263176918029785,170.27257537841797
