dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_alpha,param_hidden_layer_sizes,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",1,1613311,142306,403328,0.0001,"(50,)",0.9351817875277689,0.9673455062763501,0.9351817875277689,0.9475337463506562,0.47461754463379796,0.8900054036320664,0.5590636172024682,0.829595930544157,0.9964925109377771,2.2061261363500114e-07,0.004486085684184199,0.10999459636793349,0.002473072790531934,0.06481821247223103,0.08897924423217773,9.270920991897583
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",2,1613311,141662,403328,0.0001,"(50,)",0.9399025111075849,0.9697622347215797,0.9399025111075849,0.9516050706186543,0.4907205484557143,0.9186909384903358,0.5716021726161881,0.8392786159693416,0.9963826409382409,2.5471716750352883e-07,0.004238565578870827,0.08130906150966428,0.0034809947906472936,0.060097488892415105,0.10273456573486328,13.12895655632019
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",3,1613311,141715,403328,0.0001,"(50,)",0.9393000238019676,0.9699424858524341,0.9393000238019676,0.9513553821075116,0.46275243006811395,0.8982100829730076,0.5377625320770949,0.8379816452869289,0.9961326979600349,2.449854229488512e-07,0.004267199416523175,0.10178991702699235,0.003308015049815261,0.06069997619803237,0.09880948066711426,12.81108832359314
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",4,1613311,141521,403328,0.0001,"(50,)",0.9427537884798477,0.9711998886255474,0.9427537884798477,0.9538589396657265,0.47268158861396664,0.8727428604459334,0.5519974793162384,0.8456786245905464,0.9964676307338175,2.449954721292818e-07,0.004000656008742281,0.12725713955406676,0.0027636286109818872,0.05724621152015233,0.09881353378295898,9.677016258239746
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,1,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}",5,1613312,141908,403327,0.0001,"(50,)",0.9408693194355945,0.9692079103636726,0.9408693194355945,0.9518621118347923,0.48608753321087733,0.8687578475765316,0.5613190740311627,0.8414011472995607,0.9963069778109603,2.673596993693189e-07,0.004145807291264812,0.13124215242346834,0.003056428804566628,0.059130680564405555,0.1078333854675293,12.349801778793335
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",1,1613311,142306,403328,0.0001,"(100,)",0.936319819105046,0.967424275898102,0.936319819105046,0.9482755546815012,0.4781168014190982,0.9123934461451191,0.5621816274216703,0.8319794737416093,0.9968270525669464,3.2228312769302373e-07,0.004409383461180928,0.08760655385488085,0.0024605710227599254,0.06368018089495399,0.12998580932617188,13.146760702133179
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",2,1613311,141662,403328,0.0001,"(100,)",0.9452034076483656,0.973713449291648,0.9452034076483656,0.9567291576770056,0.5031820528248742,0.8983195027608333,0.5709643878594047,0.85100645096697,0.9962390651995607,3.4761060914778397e-07,0.0038862404322596794,0.10168049723916679,0.003497014132260792,0.0547965923516344,0.14020109176635742,18.71785569190979
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",3,1613311,141715,403328,0.0001,"(100,)",0.9509505910821962,0.9751602307965082,0.9509505910821962,0.9605835655966036,0.5181549130212012,0.8690291631259928,0.5828653408181281,0.8638835879481024,0.9966235624805984,2.8531219288872297e-07,0.0035045924593417512,0.13097083687400726,0.0035194779723223967,0.04904940891780387,0.11507439613342285,22.785938501358032
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",4,1613311,141521,403328,0.0001,"(100,)",0.9420471675658522,0.9690551425417281,0.9420471675658522,0.9523575074248637,0.4947510394006392,0.8835803774000602,0.5770864280408096,0.844065275636097,0.9964735396818737,3.342682531772058e-07,0.0040557858470639686,0.1164196225999395,0.0028839552718116345,0.05795283243414788,0.13481974601745605,11.625924825668335
CIC17,C__StandardScaler_no_pca_RUS_SMOTE_ENN_mlp,StandardScaler + sin PCA + RUS_SMOTE_ENN + mlp,StandardScaler,False,,RUS_SMOTE_ENN,RUS_SMOTE_ENN,mlp,MLPClassifier,10000,2,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100]}",5,1613312,141908,403327,0.0001,"(100,)",0.9389874717041011,0.9700129582067517,0.9389874717041011,0.951168890855846,0.47162426260083706,0.8687044836173569,0.549659875859654,0.8373159408258829,0.9962918585755373,3.5035313067617707e-07,0.00427824144597867,0.13129551638264322,0.0031610933937811845,0.061012528295898864,0.14130687713623047,13.231406450271606
