dataset,step,label,count,proportion
CIC18,homogenize_columns,Benign,13484658,0.8306965978831207
CIC18,homogenize_columns,DDOS attack-HOIC,686012,0.04226045884938242
CIC18,homogenize_columns,DDoS attacks-LOIC-HTTP,576191,0.035495145922935026
CIC18,homogenize_columns,DoS attacks-Hulk,461912,0.028455206422097472
CIC18,homogenize_columns,Bot,286191,0.017630249876917026
CIC18,homogenize_columns,FTP-BruteForce,193360,0.011911573446407036
CIC18,homogenize_columns,SSH-Bruteforce,187589,0.011556062015091278
CIC18,homogenize_columns,Infilteration,161934,0.009975634745916824
CIC18,homogenize_columns,DoS attacks-SlowHTTPTest,139890,0.008617656234060201
CIC18,homogenize_columns,DoS attacks-GoldenEye,41508,0.0025570210519935007
CIC18,homogenize_columns,DoS attacks-Slowloris,10990,0.0006770179570542683
CIC18,homogenize_columns,DDOS attack-LOIC-UDP,1730,0.00010657334537796945
CIC18,homogenize_columns,Brute Force -Web,611,3.763948787626551e-05
CIC18,homogenize_columns,Brute Force -XSS,230,1.416871065718669e-05
CIC18,homogenize_columns,SQL Injection,87,5.3594688138054e-06
CIC18,homogenize_columns,Label,59,3.6345822990174554e-06
CIC18,remove_manual_columns,Benign,13484658,0.8306965978831207
CIC18,remove_manual_columns,DDOS attack-HOIC,686012,0.04226045884938242
CIC18,remove_manual_columns,DDoS attacks-LOIC-HTTP,576191,0.035495145922935026
CIC18,remove_manual_columns,DoS attacks-Hulk,461912,0.028455206422097472
CIC18,remove_manual_columns,Bot,286191,0.017630249876917026
CIC18,remove_manual_columns,FTP-BruteForce,193360,0.011911573446407036
CIC18,remove_manual_columns,SSH-Bruteforce,187589,0.011556062015091278
CIC18,remove_manual_columns,Infilteration,161934,0.009975634745916824
CIC18,remove_manual_columns,DoS attacks-SlowHTTPTest,139890,0.008617656234060201
CIC18,remove_manual_columns,DoS attacks-GoldenEye,41508,0.0025570210519935007
CIC18,remove_manual_columns,DoS attacks-Slowloris,10990,0.0006770179570542683
CIC18,remove_manual_columns,DDOS attack-LOIC-UDP,1730,0.00010657334537796945
CIC18,remove_manual_columns,Brute Force -Web,611,3.763948787626551e-05
CIC18,remove_manual_columns,Brute Force -XSS,230,1.416871065718669e-05
CIC18,remove_manual_columns,SQL Injection,87,5.3594688138054e-06
CIC18,remove_manual_columns,Label,59,3.6345822990174554e-06
CIC18,remove_infinite_and_empty_values,Benign,13484658,0.8306965978831207
CIC18,remove_infinite_and_empty_values,DDOS attack-HOIC,686012,0.04226045884938242
CIC18,remove_infinite_and_empty_values,DDoS attacks-LOIC-HTTP,576191,0.035495145922935026
CIC18,remove_infinite_and_empty_values,DoS attacks-Hulk,461912,0.028455206422097472
CIC18,remove_infinite_and_empty_values,Bot,286191,0.017630249876917026
CIC18,remove_infinite_and_empty_values,FTP-BruteForce,193360,0.011911573446407036
CIC18,remove_infinite_and_empty_values,SSH-Bruteforce,187589,0.011556062015091278
CIC18,remove_infinite_and_empty_values,Infilteration,161934,0.009975634745916824
CIC18,remove_infinite_and_empty_values,DoS attacks-SlowHTTPTest,139890,0.008617656234060201
CIC18,remove_infinite_and_empty_values,DoS attacks-GoldenEye,41508,0.0025570210519935007
CIC18,remove_infinite_and_empty_values,DoS attacks-Slowloris,10990,0.0006770179570542683
CIC18,remove_infinite_and_empty_values,DDOS attack-LOIC-UDP,1730,0.00010657334537796945
CIC18,remove_infinite_and_empty_values,Brute Force -Web,611,3.763948787626551e-05
CIC18,remove_infinite_and_empty_values,Brute Force -XSS,230,1.416871065718669e-05
