dataset,experiment,component,explained_variance_ratio,cumulative_variance
CIC18,A1__RobustScaler,1,0.8884433093424625,0.8884433093424625
CIC18,A1__RobustScaler,2,0.07895548926079415,0.9673987986032566
CIC18,A1__RobustScaler,3,0.023091786148713305,0.9904905847519699
CIC18,A1__RobustScaler,4,0.009509378110044844,0.9999999628620148
CIC18,A1__RobustScaler,5,2.7965226997465283e-08,0.9999999908272418
CIC18,A1__RobustScaler,6,2.3339170353115e-09,0.9999999931611588
CIC18,A1__RobustScaler,7,1.8547033887626114e-09,0.9999999950158622
CIC18,A1__RobustScaler,8,1.7620027303754036e-09,0.999999996777865
CIC18,A1__RobustScaler,9,1.2197854763771746e-09,0.9999999979976505
CIC18,A1__RobustScaler,10,4.861423577012017e-10,0.9999999984837928
CIC18,A1__RobustScaler,11,3.9018009749611816e-10,0.999999998873973
CIC18,A1__RobustScaler,12,2.9957028715101903e-10,0.9999999991735432
CIC18,A1__RobustScaler,13,1.7008959094399823e-10,0.9999999993436328
CIC18,A1__RobustScaler,14,1.3655430154633202e-10,0.9999999994801871
CIC18,A1__RobustScaler,15,1.048822838167961e-10,0.9999999995850695
CIC18,A1__RobustScaler,16,9.390025785853277e-11,0.9999999996789697
CIC18,A1__RobustScaler,17,7.532578122337157e-11,0.9999999997542954
CIC18,A1__RobustScaler,18,6.816131202640102e-11,0.9999999998224568
CIC18,A1__RobustScaler,19,3.13545984656765e-11,0.9999999998538114
CIC18,A1__RobustScaler,20,2.6580679829198634e-11,0.999999999880392
CIC18,A1__RobustScaler,21,2.3340170441877342e-11,0.9999999999037322
CIC18,A1__RobustScaler,22,1.5680814334597387e-11,0.999999999919413
CIC18,A1__RobustScaler,23,1.3754459918123915e-11,0.9999999999331675
CIC18,A1__RobustScaler,24,1.3024935005289724e-11,0.9999999999461924
CIC18,A1__RobustScaler,25,7.905704453029452e-12,0.999999999954098
CIC18,A1__RobustScaler,26,6.6142352267902474e-12,0.9999999999607123
CIC18,A1__RobustScaler,27,5.674995269201738e-12,0.9999999999663873
CIC18,A1__RobustScaler,28,4.46617647130162e-12,0.9999999999708535
CIC18,A1__RobustScaler,29,3.42639940071999e-12,0.9999999999742799
CIC18,A1__RobustScaler,30,3.1908439339135945e-12,0.9999999999774708
CIC18,A1__RobustScaler,31,2.773205299431178e-12,0.999999999980244
CIC18,A1__RobustScaler,32,2.5923044543540513e-12,0.9999999999828363
CIC18,A1__RobustScaler,33,2.1106574483653594e-12,0.9999999999849469
CIC18,A1__RobustScaler,34,1.6863719706722924e-12,0.9999999999866332
CIC18,A1__RobustScaler,35,1.4036092970551707e-12,0.9999999999880369
CIC18,A1__RobustScaler,36,1.2527876526635965e-12,0.9999999999892897
CIC18,A1__RobustScaler,37,1.1690680531969455e-12,0.9999999999904587
CIC18,A1__RobustScaler,38,1.1052939478157725e-12,0.9999999999915641
CIC18,A1__RobustScaler,39,1.039991083991167e-12,0.999999999992604
CIC18,A1__RobustScaler,40,9.32389656622593e-13,0.9999999999935364
CIC18,A1__RobustScaler,41,8.898431647863377e-13,0.9999999999944262
CIC18,A1__RobustScaler,42,7.708387873557939e-13,0.9999999999951971
CIC18,A1__RobustScaler,43,6.662825734297138e-13,0.9999999999958633
CIC18,A1__RobustScaler,44,6.082821256071252e-13,0.9999999999964716
CIC18,A1__RobustScaler,45,5.886635031443783e-13,0.9999999999970602
CIC18,A1__RobustScaler,46,5.809820571903183e-13,0.9999999999976412
CIC18,A1__RobustScaler,47,5.097991977617192e-13,0.999999999998151
CIC18,A1__RobustScaler,48,4.0841846782843e-13,0.9999999999985595
CIC18,A1__RobustScaler,49,3.8890708087346443e-13,0.9999999999989484
CIC18,A1__RobustScaler,50,2.9246878797603954e-13,0.9999999999992408
CIC18,A1__RobustScaler,51,2.697656881763705e-13,0.9999999999995106
CIC18,A1__RobustScaler,52,2.45023134892706e-13,0.9999999999997556
CIC18,A1__RobustScaler,53,1.4962496782021414e-13,0.9999999999999053
CIC18,A1__RobustScaler,54,9.487859278164742e-14,1.0000000000000002
