rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.15114297810348326,0.0032427410250538565,1.0515369355567336e-05,0.8819171063554301,0.0024406665083376794,5.95685300492124e-06,0.15114297810348326,0.0032427410250538565,1.0515369355567336e-05,0.15189325829036893,0.0032600773844469657,1.062810455258257e-05,0.46381404156724926,0.014913465574035932,0.0002224114554279549,0.6521374818413679,0.013725492067508116,0.00018838913249522824,0.3472850419587131,0.007369452345925154,5.430882787886175e-05,0.007527849915052298,0.00028205434445364714,7.955465322517663e-08,0.8488570218965167,0.003242741025053846,1.0515369355567268e-05,0.057092324787437934,0.00020355469853773988,4.143451529679017e-08,0.347862518158632,0.013725492067508146,0.00018838913249522905,0.18329703986800278,0.003340210107037343,1.1157003559154419e-05,0.5732671785059849,0.001152928622424957,1.3292444084067089e-06,2.2723572582080607e-06,4.779345744568055e-08,2.2842145746120777e-15,0.039779949188232425,5.4223954201617086e-05,2.940237209259067e-09,1.2644936561584472,0.026596216681340216,0.0007073587417607995
2,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.15199190401905335,0.002679316350092683,7.178736103873976e-06,0.8826052379037137,0.0024407284766936213,5.957155496943165e-06,0.15199190401905335,0.002679316350092683,7.178736103873976e-06,0.15387069739646947,0.0029183726236123183,8.516898770249845e-06,0.4603989544050472,0.01403671890547976,0.00019702947763145293,0.6557588486253643,0.014794009733793249,0.00021886272400356937,0.34626460270026493,0.007668344007261033,5.880349981369619e-05,0.007433363818461235,0.00032494109474090574,1.0558671505141829e-07,0.8480080959809466,0.00267931635009269,7.178736103874014e-06,0.057029430653293856,0.00016492556266908766,2.7200441221715156e-08,0.34424115137463585,0.014794009733793242,0.00021886272400356918,0.18417337491391644,0.0028388578520308167,8.059113904037022e-06,0.5738610210501105,0.001176007194640779,1.382992921846875e-06,2.6792854396283732e-06,4.914998678067186e-08,2.415721200540219e-15,0.03981060981750488,6.829753947758476e-05,4.664553898692248e-09,1.4909360885620118,0.027351349706185593,0.0007480963307500588
3,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.15239300528010138,0.002865867356675688,8.213195706059295e-06,0.8818579988270547,0.003624568206565716,1.3137494684047011e-05,0.15239300528010138,0.002865867356675688,8.213195706059295e-06,0.1545249727799315,0.0032871908608926286,1.080562375593602e-05,0.45904384543039534,0.013894252013326308,0.00019305023900982216,0.6569551935714278,0.0141918679375484,0.00020140911555681428,0.3461298544712509,0.007437468108245235,5.5315931861164955e-05,0.007447982961872437,0.0003841195704025057,1.4754784436620554e-07,0.8476069947198986,0.002865867356675717,8.213195706059462e-06,0.057003665178784746,0.0001774021458166083,3.147152134033715e-08,0.3430448064285721,0.014191867937548407,0.00020140911555681447,0.18446623494088366,0.0029833854246256422,8.900588591868724e-06,0.5742879574770663,0.0010456288333183135,1.0933396570666176e-06,3.049277205326362e-06,7.862737038231283e-08,6.182263373237406e-15,0.03980851173400879,0.00013102017466910416,1.7166286170322564e-08,1.696824598312378,0.04375456570779845,0.0019144620202780516
4,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.14847651680277063,0.0032426504450212097,1.0514781908596248e-05,0.8841891498247193,0.003866720534972396,1.4951527695577212e-05,0.14847651680277063,0.0032426504450212097,1.0514781908596248e-05,0.14720927534542722,0.004905800342854438,2.406687700395072e-05,0.466035611946319,0.015827911825840597,0.0002505227927665846,0.6524433836725629,0.01368999051758985,0.00018741584037170004,0.3449314728708551,0.007449922865457849,5.550135070127169e-05,0.007519323214583834,0.00033112484713688443,1.0964366439142507e-07,0.8515234831972294,0.0032426504450212214,1.0514781908596324e-05,0.057269520427454215,0.00020402510457554965,4.162624329706397e-08,0.34755661632743706,0.013689990517589868,0.00018741584037170047,0.17894713356088243,0.003235279663642999,1.0467034501981955e-05,0.5724104826535897,0.0011001800613634003,1.2103961674215756e-06,2.945209864323928e-06,1.4142688079427299e-07,2.0001562611197498e-14,0.040121841430664065,0.0004695489549580715,2.2047622110221708e-07,1.638914442062378,0.07869922354065881,0.006193567785902587
5,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.14934736659928521,0.002868357691187112,8.22747584459226e-06,0.8847031200581729,0.0030734470709054902,9.446076897657539e-06,0.14934736659928521,0.002868357691187112,8.22747584459226e-06,0.1489206999655958,0.004090618250962211,1.673315767510514e-05,0.46329996465022194,0.013290085805146809,0.00017662638070816469,0.6531086590153343,0.014939829076275678,0.00022319849282833218,0.34443293263673425,0.006345594858821003,4.0266574112295536e-05,0.007480342486018425,0.00027123108879438366,7.356630352858685e-08,0.8506526334007148,0.0028683576911871056,8.227475844592224e-06,0.05720886505911554,0.00018075823329773987,3.2673538904920155e-08,0.3468913409846657,0.014939829076275708,0.00022319849282833307,0.1797794735780954,0.0030802036196630567,9.487654338585396e-06,0.5733571333090349,0.0012972462850923152,1.6828479241858123e-06,3.432533564049312e-06,4.076237589749619e-08,1.6615712888087783e-15,0.03986506462097168,0.0002453138568475215,6.017888836140628e-08,1.910094404220581,0.02268331477613569,0.0005145327692332557
6,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.15272869398314487,0.0027233114775678594,7.416425403852838e-06,0.8816550222137568,0.0037533746387872066,1.4087821179090993e-05,0.15272869398314487,0.0027233114775678594,7.416425403852838e-06,0.15512740973301536,0.003146975790930565,9.903456628703057e-06,0.45624312237977993,0.014872170697160679,0.00022118146124548474,0.6568763962165246,0.01233910288710977,0.00015225346005868067,0.3442285746898529,0.00830243326239292,6.893039807648835e-05,0.0074579470893839745,0.00033592121711793814,1.1284306410999694e-07,0.847271306016855,0.002723311477567867,7.416425403852879e-06,0.05698195020708261,0.00017078226969025506,2.916658364055501e-08,0.3431236037834754,0.012339102887109732,0.00015225346005867974,0.1846558613403495,0.0029031691539547614,8.428391136474405e-06,0.5745857453825011,0.001203193546753442,1.4476747109491272e-06,3.3943853757904334e-06,9.862731429679738e-08,9.727347125399252e-15,0.04013776779174805,0.0004160697606952861,1.7311404576503264e-07,1.8888661861419678,0.05488392927897617,0.0030122456930996577
7,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.1530201753143718,0.0026771650473742603,7.167212690882426e-06,0.88092301555678,0.0036755268996564875,1.350949799009843e-05,0.1530201753143718,0.0026771650473742603,7.167212690882426e-06,0.1554826126665834,0.003053173146826575,9.32186626450289e-06,0.45460901325446834,0.014892047800789582,0.00022177308770100182,0.6580889628683161,0.012688068188064427,0.00016098707434497253,0.3434546442980217,0.008662658176398124,7.504164668111725e-05,0.007492731874337692,0.000310723179232195,9.654889411216279e-08,0.8469798246856282,0.002677165047374259,7.167212690882418e-06,0.05696483710399773,0.00016905477554008948,2.8579517132910034e-08,0.3419110371316839,0.012688068188064389,0.00016098707434497153,0.18487077947419758,0.002864335660052396,8.204418773447795e-06,0.5750886704620404,0.0014775190623339972,2.183062579560334e-06,3.7415093969239523e-06,1.130388775650985e-07,1.2777787841177328e-14,0.03990683555603027,0.00025019503011963713,6.259755309656612e-08,2.0820295333862306,0.062903732430444,0.003956879553680893
8,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.15040151549092717,0.0029149736962565983,8.497071649867854e-06,0.8848752046696777,0.003559231179413593,1.2668126588509875e-05,0.15040151549092717,0.0029149736962565983,8.497071649867854e-06,0.15066949134147783,0.004859111817452059,2.3610967654502254e-05,0.4589110274053375,0.014002834113253315,0.00019607936320329076,0.6551050004826589,0.01445315956296165,0.00020889382135242976,0.34277275517711797,0.006138467578420629,3.768078421132122e-05,0.0074712881597229054,0.0003216572245063233,1.0346337007711128e-07,0.8495984845090728,0.002914973696256598,8.497071649867852e-06,0.05713798484458639,0.00018931318741205615,3.583948292811229e-08,0.3448949995173411,0.014453159562961681,0.00020889382135243068,0.18097139694559056,0.0032629879353754956,1.0647090266406039e-05,0.5739752699500374,0.0016703545495393224,2.790084321166713e-06,3.8462480257456666e-06,6.609054657469943e-08,4.367960346542513e-15,0.03981204032897949,0.00016444552281926674,2.704232997530198e-08,2.140313196182251,0.03677862516637157,0.0013526672691284603
9,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.15378607748979803,0.002729504364991768,7.4501940785091136e-06,0.879445075033173,0.003831699000148134,1.468191722773621e-05,0.15378607748979803,0.002729504364991768,7.4501940785091136e-06,0.15611901959661312,0.0033320868194603743,1.1102802572421552e-05,0.45145760474749136,0.01516640928438556,0.00023001997058149653,0.6594047671621375,0.012794634874894767,0.00016370268158187343,0.3418617602616386,0.008597959611429243,7.39249094797685e-05,0.0076169636165347885,0.000335375337788553,1.1247661719678604e-07,0.8462139225102019,0.002729504364991778,7.4501940785091695e-06,0.056922059075115786,0.00017316215977167466,2.998513357679098e-08,0.3405952328378625,0.012794634874894772,0.00016370268158187354,0.18539984215438216,0.002853405165320913,8.141921037480068e-06,0.5753846494433624,0.0017331668527897325,3.0038673396090658e-06,4.606106777287086e-06,2.6035961903165355e-07,6.778713122230778e-14,0.03973984718322754,0.0002062504682989738,4.2539255673545995e-08,2.56315016746521,0.1448830856797488,0.020991108516085433
10,RobustScaler + PCA + NearMiss_SMOTE + knn,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.15089857916724111,0.002952641139083462,8.718089696208084e-06,0.8843603758341748,0.004586420241261484,2.1035250629453044e-05,0.15089857916724111,0.002952641139083462,8.718089696208084e-06,0.15141991833066698,0.005366717435775908,2.880165603546114e-05,0.4557357244777208,0.0136336434924088,0.00018587623487810082,0.6555413328115531,0.01267460462442432,0.00016064560238547836,0.34114199606752754,0.006795849686255054,4.618357295817292e-05,0.007488395742798831,0.0003425012352568515,1.1730709615246912e-07,0.8491014208327587,0.00295264113908349,8.71808969620825e-06,0.05710598777170385,0.00019759104258712236,3.9042220110665997e-08,0.344458667188447,0.0126746046244243,0.00016064560238547785,0.18148899380148814,0.0033037122537956415,1.0914514655879478e-05,0.5744832970144571,0.001707011926468471,2.9138897171056005e-06,4.224494408553808e-06,6.974100157835373e-08,4.8638073011519374e-15,0.03979578018188477,0.0001848702489754605,3.417700895624876e-08,2.350795125961304,0.03880984761071547,0.0015062042715669576
