rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9767555283430409,8.89287639395869e-05,7.908325055822771e-09,0.9775746130515837,9.136010871131186e-05,8.346669463742722e-09,0.9767555283430409,8.89287639395869e-05,7.908325055822771e-09,0.9771007424786726,8.04882663545352e-05,6.478361020758603e-09,0.9147149830925325,0.025844682695566376,0.0006679476236345081,0.8978837852643743,0.007203789151720774,5.189457814244991e-05,0.8961257249404164,0.009747996684840061,9.502343936765282e-05,0.0151383296495964,0.0002267795444546356,5.1428961783052037e-08,0.023244471656958962,8.892876393961347e-05,7.908325055827496e-09,0.0025588534204370244,1.6261669554442454e-05,2.644418966978807e-10,0.10211621473562575,0.007203789151720744,5.189457814244947e-05,0.9607939722798771,0.00014523175813774218,2.109226357177964e-08,0.9965795054908544,5.011069902240588e-05,2.5110821565141497e-09,6.387455003345286e-06,2.0060934457430984e-08,4.024410913053417e-16,1.1749122142791748,0.057670880390254836,0.0033259304449870797,3.5544130325317385,0.011162958281087657,0.00012461163758530349
2,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9762516358125678,0.00012265843224501443,1.5045091000804793e-08,0.976653053090962,0.00011217474512142654,1.2583173443057009e-08,0.9762516358125678,0.00012265843224501443,1.5045091000804793e-08,0.9764304559257045,0.00011573264928936595,1.3394046111535377e-08,0.905134265125481,0.016350957943632827,0.0002673538256744495,0.8953608843973784,0.0076263597686066185,5.81613633202216e-05,0.8959821046859767,0.00796469086373917,6.343630055493021e-05,0.017018152864471732,0.00013057984676761143,1.7051096381852884e-08,0.023748364187432196,0.0001226584322450002,1.5045091000801306e-08,0.0027177678034602617,1.0442693268779648e-05,1.0904984270581576e-10,0.10463911560262149,0.007626359768606516,5.8161363320220034e-05,0.9598438625047547,0.0001998875654593438,3.9955038825263454e-08,0.9924004925117551,3.965945211791492e-05,1.5728721422931864e-09,4.2473701437070455e-06,1.907782897294601e-08,3.6396355832097825e-16,1.2020953178405762,0.05360200595533347,0.002873175042435605,2.3635247230529783,0.010617143489598179,0.000112723735878717
3,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9767282132241535,6.957971025241238e-05,4.84133607880966e-09,0.9775294234449255,9.091761797828215e-05,8.266013258844853e-09,0.9767282132241535,6.957971025241238e-05,4.84133607880966e-09,0.9770662568628434,7.082897615423497e-05,5.0167438630571855e-09,0.9128586687761354,0.026472402930230118,0.000700788116900456,0.8978258929138081,0.0072140621322113446,5.204269244740569e-05,0.8951914534043155,0.010113311239548603,0.00010227906422798011,0.01518560800964317,0.00019035447614846224,3.6234826589755475e-08,0.02327178677584648,6.957971025239625e-05,4.841336078807416e-09,0.0025638263190326436,1.2119486176459299e-05,1.4688194518138803e-10,0.10217410708619194,0.007214062132211301,5.2042692447405066e-05,0.9607458678690515,0.00011107562577053766,1.233779464031653e-08,0.9965763429124053,4.828146282440916e-05,2.3310996524648037e-09,8.81870070189344e-06,2.3137109534135534e-08,5.353258375945854e-16,1.1724947929382323,0.06407005324097832,0.004104971722301797,4.907322978973388,0.012875315195727446,0.0001657737413893301
4,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9766886781410475,7.179595601767289e-05,5.154659300491619e-09,0.9773963205721617,7.09911540653181e-05,5.039743955525731e-09,0.9766886781410475,7.179595601767289e-05,5.154659300491619e-09,0.9769907102366675,6.25472465495449e-05,3.9121580509295554e-09,0.913673943689108,0.02845121302153841,0.0008094715223969567,0.8958978596665549,0.008347295738471512,6.967734614550468e-05,0.8951139884144144,0.01139327256669756,0.0001298066597790632,0.015556952996122347,0.0001868501485635828,3.491297801823297e-08,0.023311321858952516,7.179595601764169e-05,5.154659300487139e-09,0.0025912183236716574,1.1568792183219754e-05,1.3383695257852647e-10,0.10410214033344498,0.008347295738471481,6.967734614550415e-05,0.9606556816844032,0.00011311256707485682,1.2794452830263983e-08,0.9961533456961795,5.7237991256179835e-05,3.276187643042519e-09,5.748468406583709e-06,2.3514941697622983e-08,5.529524830426081e-16,1.1828013420104981,0.05746643295825656,0.0033023909169457963,3.1988375663757322,0.013084944094782926,0.00017121576196359458
5,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9767159932793114,9.771284459355865e-05,9.547799998564946e-09,0.977411091595102,0.00011543617617267254,1.3325510769368292e-08,0.9767159932793114,9.771284459355865e-05,9.547799998564946e-09,0.9770126028273293,0.0001003242580683771,1.0064956756970328e-08,0.9145014261110127,0.028039754743379074,0.0007862278460688493,0.8958476234968551,0.008562372447247859,7.331422192538928e-05,0.8950706139517,0.011607599581657604,0.00013473636804809777,0.0155540473208754,0.00019967839801831588,3.987146263516098e-08,0.023284006720688664,9.771284459353482e-05,9.547799998560287e-09,0.0025892036027709378,1.5057883080241586e-05,2.2673984285822585e-10,0.10415237650314493,0.008562372447247854,7.331422192538921e-05,0.960700409224595,0.00016158053539680632,2.6108269419118584e-08,0.996153495271011,6.924152563051583e-05,4.794388871641382e-09,7.920368319439315e-06,1.9582003962783908e-08,3.834548791984847e-16,1.1708435535430908,0.05723550682970223,0.003275903242052891,4.407429933547974,0.01089657704170236,0.00011873539122575494
6,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9762282741830021,0.00011721710073367498,1.3739848704408508e-08,0.9766167573914808,9.763241802359491e-05,9.53208904913398e-09,0.9762282741830021,0.00011721710073367498,1.3739848704408508e-08,0.9764010211588362,0.00010705686907358022,1.1461173215837698e-08,0.9052325711420105,0.022117444752906043,0.0004891813623978511,0.8935042772466808,0.009001577734099216,8.102840170303077e-05,0.8946017872663491,0.011372211418328854,0.00012932719254316917,0.017066561935435237,0.000105167072063715,1.1060113046454623e-08,0.023771725816997914,0.00011721710073369546,1.3739848704413307e-08,0.002722552516828877,6.728510454441475e-06,4.5272852935528226e-11,0.10649572275331934,0.009001577734099169,8.102840170302991e-05,0.9598025863869271,0.0001886595160488847,3.5592412995799386e-08,0.9924079887251278,6.805581975255055e-05,4.631594602191649e-09,5.893321022723355e-06,1.9794491393375882e-07,3.918218895224319e-14,1.1818905830383302,0.05974420847784257,0.003569370446643916,3.2794434070587157,0.11015084428982358,0.01213320849776096
7,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.9767688264976233,0.00012373084386789406,1.5309321724261174e-08,0.977670172783631,0.00012241640026024436,1.4985775052676354e-08,0.9767688264976233,0.00012373084386789406,1.5309321724261174e-08,0.9771446493456104,0.0001169511632722006,1.3677574590720921e-08,0.9114267645418848,0.025181745164202768,0.0006341202895148495,0.8981421536489014,0.0071982158372994026,5.1814311240347936e-05,0.8944856173805779,0.008939791372497964,7.991986978378902e-05,0.014837522163112024,0.00023509672536399314,5.527047027687282e-08,0.02323117350237662,0.00012373084386786893,1.530932172425496e-08,0.00253791304436591,1.9028672822298324e-05,3.6209038937807487e-10,0.10185784635109855,0.007198215837299387,5.181431124034772e-05,0.9608370586367367,0.00020479893851794341,4.1942605218076365e-08,0.9967893316755351,3.626958570140424e-05,1.315482846951507e-09,7.023205350763543e-06,1.292165036510963e-08,1.6696904815813786e-16,1.170388126373291,0.05364355715485087,0.002877631224225752,3.9081876277923584,0.007188650709984982,5.167669903016758e-05
8,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9767461837133038,0.00012270300003103038,1.505602621661504e-08,0.9776371410513269,0.00010654936087818817,1.1352766303550376e-08,0.9767461837133038,0.00012270300003103038,1.505602621661504e-08,0.9771178466409655,0.000110778396009178,1.2271853022366264e-08,0.9111529232078727,0.025498078040434337,0.0006501519837560797,0.8981012905394786,0.007207194883861095,5.194365809395353e-05,0.8943568577066751,0.009084738301867578,8.25324700134198e-05,0.014864834227514435,0.0001774243438061089,3.1479397775028335e-08,0.02325381628669623,0.0001227030000310424,1.5056026216617997e-08,0.0025412433676140446,1.269921302557855e-05,1.612700114690239e-10,0.10189870946052124,0.007207194883861045,5.194365809395282e-05,0.9607980098893893,0.00019726692355071716,3.891423912716449e-08,0.9967859675727289,4.809792491741858e-05,2.3134103813616346e-09,9.649158996508043e-06,3.883042759930212e-08,1.5078021075446438e-15,1.1767804145812988,0.06234785921518063,0.003887255548715984,5.369446277618408,0.02160757424196602,0.0004668872646220734
9,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9765211931653226,0.00010178723518360701,1.0360641246322926e-08,0.977082987055298,9.84302332134926e-05,9.688510810462542e-09,0.9765211931653226,0.00010178723518360701,1.0360641246322926e-08,0.9767653401904532,9.644717642884607e-05,9.30205784109696e-09,0.9092357552606076,0.026701163435424086,0.0007129521288052282,0.8946090358339067,0.00887285957994338,7.8727637125393e-05,0.8940694842302571,0.012137626115904767,0.00014732196772949344,0.016176850521805158,0.00017162724118000564,2.9455909915059828e-08,0.023478806834677353,0.00010178723518357801,1.036064124631702e-08,0.0026437104904321676,1.1837793313494447e-05,1.4013335053301383e-10,0.10539096416609325,0.008872859579943384,7.872763712539309e-05,0.9603399300750478,0.0001651696242034376,2.7281004759504803e-08,0.995224709318928,4.722028930017944e-05,2.229755721592641e-09,6.946207250882206e-06,1.7634944651765953e-08,3.1099127287084856e-16,1.1723778247833252,0.05549143134957371,0.003079298953224452,3.8653406620025637,0.009810692878006894,9.624969474657519e-05
10,RobustScaler + PCA + NONE + knn,RobustScaler,True,3,NONE,NONE,knn,KNeighborsClassifier,10000,12,"{""metric"": ""manhattan"", ""n_neighbors"": 15}",manhattan,15,0.9767195873576359,0.00014885594789648348,2.2158093224160605e-08,0.9777236469497603,0.00015305418262546457,2.342558281914906e-08,0.9767195873576359,0.00014885594789648348,2.2158093224160605e-08,0.9771325891749078,0.00014438155929545098,2.0846034664585823e-08,0.9105266263014371,0.024006932710628676,0.000576332818172653,0.8983183631103004,0.006556293243451273,4.298498109412482e-05,0.8939739457752877,0.008371766665419743,7.00864771002332e-05,0.01450119330370286,0.0002374168457319511,5.636675863730907e-08,0.02328041264236412,0.00014885594789646828,2.2158093224156078e-08,0.002518773729737799,2.154570753975532e-05,4.6421751338866925e-10,0.10168163688969963,0.0065562932434512266,4.298498109412421e-05,0.9607812821026085,0.00024887514315483024,6.193883688033725e-08,0.9970023135491299,3.413197044543448e-05,1.1649914064880128e-09,1.115253326540584e-05,3.4060458447357376e-08,1.1601148296441584e-15,1.171296739578247,0.054646830015754766,0.002986276030770796,6.206025648117065,0.0189525272858805,0.0003591982905220448
