rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9426849136895262,0.0008924194090322795,7.96412401617523e-07,0.9660333510644847,0.000361312692808685,1.3054686198466318e-07,0.9426849136895262,0.0008924194090322795,7.96412401617523e-07,0.9508510319334281,0.0006652016227591639,4.4249319892142504e-07,0.6098435746309602,0.02013191058765609,0.00040529382390937934,0.9470953455964757,0.0054008506440128765,2.9169187678934305e-05,0.6746261810883845,0.019868372658702855,0.0003947522321050912,0.007965243689103656,0.0003268825334412981,1.0685219066900138e-07,0.057315086310473815,0.0008924194090322872,7.964124016175367e-07,0.004352021999971832,5.9679036642948186e-05,3.5615874146303525e-09,0.05290465440352425,0.005400850644012888,2.916918767893442e-05,0.9104024239462415,0.0012406560609486553,1.5392274615686333e-06,0.9774810209730159,0.0003812388943282804,1.453430945486497e-07,1.7994607530715274e-06,1.9779775205585527e-08,3.9123950718349595e-16,0.04067263603210449,0.00027118232682800847,7.35398543838528e-08,1.001341962814331,0.011006394577332216,0.000121140721591928
2,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9433803716375962,0.000808351297936895,6.534318208762628e-07,0.966241796779103,0.00032998778541155563,1.0889193852082287e-07,0.9433803716375962,0.000808351297936895,6.534318208762628e-07,0.9513702002075963,0.000588307668002797,3.461059122308892e-07,0.6090813605803532,0.014725763261310832,0.0002168481036281718,0.9444667656256817,0.0037571737325429867,1.4116354456510997e-05,0.674505575918858,0.015081180022106205,0.0002274419908591753,0.008021363801196852,0.0003057627646707363,9.349086825909205e-08,0.05661962836240368,0.0008083512979369128,6.534318208762916e-07,0.004309399477573369,5.1376878311490145e-05,2.6395836250336667e-09,0.055533234374318285,0.0037571737325429607,1.4116354456510802e-05,0.9113671481064174,0.001117863574881329,1.2496189720464643e-06,0.977579825310767,0.00038834171100982225,1.5080928451003632e-07,1.5318812623510292e-06,1.1319014383858192e-08,1.2812008662198865e-16,0.041070747375488284,0.0007174012351170266,5.146645321474353e-07,0.8524425983428955,0.0062990756793928375,3.967835441471834e-05
3,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9382889719022771,0.0009183511489227037,8.4336883272765e-07,0.9652226323467783,0.0002702242762243171,7.302115946095602e-08,0.9382889719022771,0.0009183511489227037,8.4336883272765e-07,0.9475574764777148,0.0006293468644607353,3.9607747580655915e-07,0.590836293161272,0.008790657577182115,7.727566063926932e-05,0.9468663948602908,0.003003089862873537,9.0185487244938e-06,0.6564055031365036,0.010726363096429386,0.0001150548652764422,0.006749117292920603,0.0002551999496927859,6.512701432320045e-08,0.061711028097722886,0.000918351148922704,8.433688327276505e-07,0.004564009692709566,5.594020280658942e-05,3.129306290042354e-09,0.053133605139709286,0.003003089862873508,9.018548724493624e-06,0.9046062865455408,0.0012493540971251164,1.5608856600033145e-06,0.9801249960920009,0.00037216066615698625,1.3850356143441178e-07,2.1220004140279497e-06,8.392296082255229e-09,7.043063353223648e-17,0.040963602066040036,0.00045871082185281,2.104156180848804e-07,1.1808248996734618,0.004669307055771676,2.1802428381079154e-05
4,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9389506454575176,0.0007903728364455013,6.246892205909072e-07,0.9654394134368502,0.00022627682570260395,5.12012018500466e-08,0.9389506454575176,0.0007903728364455013,6.246892205909072e-07,0.9480461814468251,0.0005219961850941224,2.724800172528173e-07,0.5906583635245243,0.00834062460506782,6.956601880266273e-05,0.9457615422276362,0.00256389188071679,6.5735415760054785e-06,0.6562970918624383,0.010550152579325144,0.00011130571944704097,0.0067569119996149325,0.00029958292824297625,8.974993089463626e-08,0.061049354542482316,0.000790372836445511,6.246892205909224e-07,0.004520417769473149,4.536980090651396e-05,2.058418834296715e-09,0.05423845777236368,0.0025638918807167994,6.573541576005526e-06,0.9055223691316752,0.0010595262990695856,1.1225959784200928e-06,0.9802132890641564,0.0003434918260775522,1.1798663458209138e-07,1.8124279571097855e-06,1.0721794126672204e-08,1.1495686929474257e-16,0.0406531810760498,0.00019072155608009512,3.6374711953612863e-08,1.0085577964782715,0.005966022846609123,3.559342860626202e-05
5,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9354780275899323,0.0008582290288105905,7.365570658931694e-07,0.9646005966007543,0.0001290312891114787,1.664907356977e-08,0.9354780275899323,0.0008582290288105905,7.365570658931694e-07,0.9453808231800995,0.0005064637021206001,2.5650548156570395e-07,0.5817515313563557,0.006231405940394557,3.883041999398457e-05,0.9481726277705717,0.005459168727963321,2.9802523200372668e-05,0.6471334759921962,0.0085070817541124,7.237043997115212e-05,0.006110452851658933,0.0002453884857756134,6.021550895124842e-08,0.06452197241006774,0.0008582290288106073,7.365570658931982e-07,0.004708828350781778,4.645066560721559e-05,2.1576643353533614e-09,0.05182737222942842,0.005459168727963309,2.980252320037253e-05,0.9009323059468628,0.0011368746212181227,1.2924839043698501e-06,0.9822005035397637,0.0003459811719344461,1.1970297133313274e-07,2.097306867346472e-06,2.1076483132522243e-08,4.442181412354946e-16,0.040666723251342775,0.00027309870504680023,7.45829026982392e-08,1.167083740234375,0.01172861597205403,0.0001375604326199209
6,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9346887635601748,0.000840013021983044,7.05621877101086e-07,0.9643216118359103,0.00020399398869345447,4.1613547423065226e-08,0.9346887635601748,0.000840013021983044,7.05621877101086e-07,0.9447787103518438,0.0005101308924900377,2.602335274726824e-07,0.581429180927332,0.0060755119111210445,3.691184498217369e-05,0.9478098878353677,0.0028280886758722686,7.998085558596963e-06,0.6469817317685219,0.007996661613566056,6.394659696188088e-05,0.0061010447749903825,0.00020227868602531863,4.091666682012943e-08,0.0653112364398252,0.0008400130219830384,7.056218771010765e-07,0.004760818747654372,4.813679974562144e-05,2.3171514897500606e-09,0.052190112164632305,0.0028280886758722014,7.998085558596581e-06,0.8998540881616588,0.0011218835671073164,1.2586227381454366e-06,0.9820760599666102,0.0003405856041377502,1.1599855374587629e-07,2.462210129759074e-06,1.9896985540327324e-08,3.958900335919946e-16,0.04071455001831055,0.000457915433671515,2.0968654439457167e-07,1.3701406478881837,0.01107107153055587,0.00012256862483468468
7,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9318864450600939,0.0009242079855003126,8.541604004625459e-07,0.9635010983664578,0.0001536262865618117,2.3601035922771886e-08,0.9318864450600939,0.0009242079855003126,8.541604004625459e-07,0.9425901024041133,0.0005462477268941262,2.9838657913699984e-07,0.5754847843523031,0.0042677301625959055,1.821352074073087e-05,0.9480906342269725,0.002510485449702972,6.302537193170334e-06,0.6406252041698043,0.005592497930577246,3.127603310351079e-05,0.005783828062795274,0.0001922970165409281,3.697814257054198e-08,0.06811355493990615,0.0009242079855003022,8.541604004625267e-07,0.004926492200180095,5.5236111339865365e-05,3.051027995950003e-09,0.05190936577302767,0.00251048544970295,6.302537193170223e-06,0.8961487427037269,0.0012292293022567494,1.5110046775266151e-06,0.9835436488864439,0.00030614635879639606,9.372559300429166e-08,2.780415330673072e-06,1.6388289178561537e-08,2.6857602220015717e-16,0.04090027809143067,0.0004000819479420306,1.6006556506908965e-07,1.5472115993499755,0.009118962642934112,8.315547968322788e-05
8,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9326839754394477,0.0008480124615432518,7.191251349326451e-07,0.963819162337632,7.591395091518541e-05,5.7629279435531795e-09,0.9326839754394477,0.0008480124615432518,7.191251349326451e-07,0.9432088841041832,0.0004802202782716905,2.3061151566333984e-07,0.5753581832550854,0.006420130156179175,4.1218071222281244e-05,0.9495150906065607,0.004896196337754506,2.3972738577840638e-05,0.6403714544414738,0.008832731045001367,7.801713771333094e-05,0.005754550188534282,0.00017762950530844285,3.1552241156122126e-08,0.06731602456055227,0.0008480124615432617,7.191251349326619e-07,0.004871371649939104,4.843742244366521e-05,2.3461838929860823e-09,0.050484909393439206,0.004896196337754524,2.3972738577840814e-05,0.8972418154678529,0.001125230063185235,1.2661426950958484e-06,0.9836394015718053,0.0003296140337381383,1.0864541123712657e-07,2.3423559708074832e-06,1.5291210761777938e-08,2.3382112656111344e-16,0.041222000122070314,0.0005369997990133726,2.8836878414040256e-07,1.3034456729888917,0.00850889625347805,7.240131545245277e-05
9,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9295492028991295,0.0007456653366175165,5.560167942329141e-07,0.9627714797822604,0.0001262072843854136,1.5928278631940668e-08,0.9295492028991295,0.0007456653366175165,5.560167942329141e-07,0.9407499643107601,0.0004152726801073855,1.724513988435709e-07,0.5708242907108732,0.004092360427530696,1.674741386881922e-05,0.9482015895268832,0.002492453061825166,6.212322265401645e-06,0.635621727858344,0.005061854922904927,2.5622375260536844e-05,0.005547705305471777,0.00016759286159375518,2.8087367257183585e-08,0.07045079710087059,0.0007456653366174969,5.560167942328849e-07,0.00506656682708949,4.734736517533128e-05,2.2417729890461727e-09,0.051798410473116854,0.002492453061825168,6.212322265401655e-06,0.8930764837148011,0.0009916194434180174,9.833091205646584e-07,0.9847404728251226,0.0002759024035408172,7.612213627959994e-08,3.085241236620385e-06,2.0250729743270204e-08,4.100920551349685e-16,0.040531063079833986,6.081463980298174e-05,3.6984204143664107e-09,1.7168374061584473,0.011269403964749012,0.00012699946572070075
10,RobustScaler + PCA + RUS_SMOTE_ENN + knn,RobustScaler,True,3,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.9303082765091037,0.0005933866339135519,3.5210769730725565e-07,0.9630922407247556,0.00018747104642085534,3.51453932461305e-08,0.9303082765091037,0.0005933866339135519,3.5210769730725565e-07,0.9413532137201457,0.00026823852109617886,7.19519041998652e-08,0.5703571159029648,0.005151819576613272,2.654124494997575e-05,0.949571469225004,0.004915876958278899,2.4165846268937403e-05,0.6347953531870076,0.007203554052928995,5.189119099346976e-05,0.0055360259011749315,0.00018903921179521603,3.573582359615654e-08,0.06969172349089627,0.0005933866339135623,3.5210769730726793e-07,0.005015183292804747,3.188871505839132e-05,1.0168901480752734e-09,0.050428530774996004,0.004915876958278913,2.4165846268937542e-05,0.8941034772869262,0.0007697704662401211,5.925465706955334e-07,0.984828318969391,0.00032422298677892576,1.0512054515584745e-07,2.623751435358547e-06,3.35312964929316e-08,1.1243478444968868e-15,0.041405105590820314,0.0007552777457128724,5.704444731691183e-07,1.4600331783294678,0.01865803055255182,0.00034812210409995714
