rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.2143588541582461,0.0026886031586897275,7.228586944916379e-06,0.8272575801714824,0.0026966183571595936,7.271750564170106e-06,0.2143588541582461,0.0026886031586897275,7.228586944916379e-06,0.2311061983450481,0.0029361581653242056,8.621024771800006e-06,0.3975486694010487,0.012086400243462506,0.00014608107084517052,0.7105724164094875,0.00918041839576127,8.428008192123192e-05,0.33820618470337865,0.007738179714267231,5.987942529029688e-05,0.012978104162726137,0.0005738690054058495,3.293256353654989e-07,0.7856411458417538,0.0026886031586897154,7.228586944916316e-06,0.053241283333632004,0.00018837154888700402,3.5483840430088944e-08,0.2894275835905124,0.009180418395761267,8.428008192123188e-05,0.2333654023474642,0.00330267263342488,1.090764652357363e-05,0.6045357098381072,0.0016045893084565357,2.5747068488130237e-06,3.1333419076449724e-05,1.3517823861872205e-06,1.827315619606016e-12,0.017245960235595704,0.0012455031001835453,1.5512779725668226e-06,17.436038494110107,0.7522149812327867,0.5658273779910417
2,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.21074678480887038,0.0028471327616495156,8.106164962457998e-06,0.8267214923071744,0.004128001992915188,1.704040045351176e-05,0.21074678480887038,0.0028471327616495156,8.106164962457998e-06,0.22421923408354932,0.0032161806860367633,1.0343818205235907e-05,0.39240236977485426,0.013905141336004491,0.00019335295557426077,0.7118360848001162,0.008662707454402115,7.504250044055398e-05,0.3375921129697626,0.008493616663060474,7.214152401901854e-05,0.012639944304173806,0.0005773962770747439,3.3338646077977437e-07,0.7892532151911296,0.0028471327616495165,8.106164962458004e-06,0.053459543966353565,0.00020933894065317899,4.382279207379519e-08,0.2881639151998838,0.00866270745440208,7.504250044055337e-05,0.2327704066686464,0.004003427589394804,1.6027432463527494e-05,0.610020870991765,0.0029314098110560897,8.5931634803559e-06,3.148784087100493e-05,3.479510387328522e-07,1.210699253552708e-13,0.01712632179260254,0.0010663623641393358,1.1371286916528334e-06,17.52196955680847,0.19362593840054068,0.03749100402148997
3,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.2140461674864665,0.002883446430898735,8.314263319862653e-06,0.8274513058876364,0.003270055021498039,1.0693259843624542e-05,0.2140461674864665,0.002883446430898735,8.314263319862653e-06,0.23063882311068779,0.003002704245174013,9.016232783986041e-06,0.39506363724663973,0.012543819436575494,0.00015734740605740914,0.7104926773747977,0.00996751279827979,9.935131138387141e-05,0.33758677175465507,0.007715601977101621,5.953051386905444e-05,0.012790254090073814,0.0005727753656996795,3.280716195524016e-07,0.7859538325135336,0.00288344643089875,8.31426331986274e-06,0.05324960577357383,0.00020206596225851573,4.083065310345991e-08,0.2895073226252023,0.009967512798279772,9.935131138387106e-05,0.2336623593684682,0.0036268145123069533,1.3153783506680323e-05,0.60608120291101,0.001898362478443043,3.603780099560413e-06,3.217177718563799e-05,1.325815648589632e-06,1.7577871340451468e-12,0.017305469512939452,0.0018156595022975868,3.2966194282835206e-06,17.9025577545166,0.7377638579371467,0.5442955100783025
4,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.21451663503187798,0.0019648239806164354,3.860533274805415e-06,0.832129166844708,0.008059944918679863,6.496271209215334e-05,0.21451663503187798,0.0019648239806164354,3.860533274805415e-06,0.23191391059860872,0.002889262790440884,8.347839472226242e-06,0.4001140685580723,0.010355196625926735,0.00010723009716160442,0.710878478946001,0.007986639300236204,6.378640731207743e-05,0.33730975029840254,0.007233447879225086,5.2322768221465884e-05,0.012831371084472696,0.000994846574851851,9.897197074944593e-07,0.7854833649681219,0.0019648239806164076,3.860533274805305e-06,0.05322098240350631,0.00016057275791391546,2.5783610584080902e-08,0.28912152105399896,0.007986639300236164,6.378640731207681e-05,0.23330290065232323,0.002623301384706325,6.881710155002124e-06,0.6031753645694881,0.0014007907842205228,1.962214821157147e-06,3.094056729248763e-05,7.790855500639116e-07,6.069742943183876e-13,0.017125415802001952,0.0015298321613175271,2.3403864418014566e-06,17.21742959022522,0.4335447705921589,0.1879610681078077
5,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.21132795072894278,0.0029897382910115213,8.938535048740493e-06,0.8277169717606527,0.003601780655136887,1.2972823887718303e-05,0.21132795072894278,0.0029897382910115213,8.938535048740493e-06,0.226089270051187,0.003387082968662462,1.1472331036603316e-05,0.393876449719104,0.01237844984797771,0.0001532260206388994,0.7100183179652015,0.010061516744602074,0.00010123411920190792,0.3369619979354673,0.007791066026481378,6.070070982899232e-05,0.012656974054265533,0.0005978211536061559,3.5739013169899504e-07,0.7886720492710572,0.0029897382910114966,8.938535048740344e-06,0.05342193488835485,0.00021337636372897027,4.552947259819782e-08,0.2899816820347984,0.010061516744602003,0.00010123411920190647,0.23245847029357924,0.0037432386097009706,1.4011835289156055e-05,0.6076790354836182,0.002068772113075345,4.279818055838228e-06,3.096364797289704e-05,1.0575050498066793e-07,1.118316930366627e-14,0.01658000946044922,0.0013166080397502868,1.7334567303350925e-06,17.230273056030274,0.058842585267992756,0.0034624498410209983
6,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.21180848145158798,0.0029524041527664554,8.716690281272611e-06,0.8280539923396351,0.004070407644070755,1.6568218388909632e-05,0.21180848145158798,0.0029524041527664554,8.716690281272611e-06,0.22497861513465386,0.003488462507077831,1.2169370663287747e-05,0.38883155900321864,0.015475164451030771,0.00023948071478644653,0.7140459364340668,0.0090706832933475,8.227729540821346e-05,0.3363179068736381,0.011910482655495921,0.0001418595970868692,0.012456270369937673,0.0007242714628025597,5.245691518301597e-07,0.788191518548412,0.0029524041527664866,8.716690281272796e-06,0.05337651926122332,0.00022280417301828834,4.964169951436336e-08,0.28595406356593334,0.00907068329334749,8.227729540821327e-05,0.23493107146213146,0.004192395378801196,1.7576179012193624e-05,0.6130450630473302,0.002088736139524849,4.36281866055717e-06,3.284341354135832e-05,1.4367972435229679e-06,2.0643863189951984e-12,0.017213869094848632,0.0014704682721988656,2.1622769395435172e-06,18.276302289962768,0.7995375536999983,0.6392602997765777
7,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.24308432671631625,0.003448224229959279,1.1890250340078262e-05,0.8090130241396467,0.0073905849955551,5.4620746576524176e-05,0.24308432671631625,0.003448224229959279,1.1890250340078262e-05,0.27796063049439257,0.005225904841414549,2.7310081411520027e-05,0.3539315492553058,0.00857442525183575,7.352076839931857e-05,0.7137850336604066,0.008892127950265586,7.906993948389445e-05,0.31952025093202857,0.0050442327775677654,2.544428431428901e-05,0.014349334353382367,0.001024463038472873,1.0495245171970713e-06,0.7569156732836837,0.0034482242299592714,1.1890250340078211e-05,0.051417667175804406,0.00027316883251885064,7.462121105971185e-08,0.2862149663395934,0.008892127950265631,7.906993948389526e-05,0.24629908910554574,0.003952796595446939,1.5624600924976912e-05,0.6201680491779981,0.0033763258981221694,1.1399576570330473e-05,0.00012550470723428036,2.2536992526401133e-06,5.079160321350606e-12,0.01663527488708496,0.0010983084651662513,1.2062814846558468e-06,69.83932876586914,1.2541417133612998,1.5728714371928163
8,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.24360618986834473,0.0035753859371337638,1.2783384599453882e-05,0.8099200480861912,0.0073394797376925315,5.3867962819999236e-05,0.24360618986834473,0.0035753859371337638,1.2783384599453882e-05,0.278497231331444,0.0051618682686983405,2.6644884023394805e-05,0.3517918856783512,0.007946233076678091,6.314262010889297e-05,0.7141234693518622,0.0095221278821239,9.067091940352138e-05,0.3190991551861694,0.004449075972065785,1.9794277005213107e-05,0.014137038943206809,0.001023873557184031,1.048317061100681e-06,0.7563938101316554,0.003575385937133763,1.2783384599453877e-05,0.051368723271657465,0.0002765636958815931,7.648747787968632e-08,0.2858765306481378,0.009522127882123943,9.067091940352223e-05,0.24754997830323533,0.004117148021338094,1.6950907829608178e-05,0.6239928345643385,0.0037282743763480328,1.3900029825333313e-05,0.00012637293919470506,1.994606001693575e-06,3.9784531019920295e-12,0.016153669357299803,0.0013335565789885661,1.7783731493636877e-06,70.32247157096863,1.1099436964762954,1.2319750093474624
9,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.2426073896541126,0.003174976908419415,1.0080478368996506e-05,0.8107635599944304,0.011394173413184557,0.0001298271877697218,0.2426073896541126,0.003174976908419415,1.0080478368996506e-05,0.2775758645872231,0.005522786172892833,3.0501167111496267e-05,0.3524594237205584,0.006544768678185651,4.283399705095995e-05,0.7117117968133194,0.00828247217128699,6.859934526814345e-05,0.31729124056316416,0.004766041174820047,2.2715148480080053e-05,0.014524912616850016,0.0013438899468652145,1.806040189285389e-06,0.7573926103458873,0.003174976908419386,1.0080478368996323e-05,0.051461168197515825,0.0002701078559528779,7.295825384746065e-08,0.28828820318668047,0.00828247217128697,6.85993452681431e-05,0.24488469404912436,0.003676292598294321,1.351512726827361e-05,0.6173905596634528,0.0029419855176264996,8.655278785924063e-06,0.00012489346044016752,1.5214868227114073e-06,2.314922151684453e-12,0.01668095588684082,0.0011603402255587559,1.3463894390497444e-06,69.49918904304505,0.8466461017598237,0.7168096216251058
10,StandardScaler + PCA + NearMiss_SMOTE_ENN + knn,StandardScaler,True,44,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.2431889152842237,0.0036745979504085842,1.3502670097146968e-05,0.8103702343063425,0.005967572679123748,3.5611923680624184e-05,0.2431889152842237,0.0036745979504085842,1.3502670097146968e-05,0.27651369842713774,0.004676690528336167,2.187143429782922e-05,0.3472583195403262,0.0077443265572097846,5.997459382470476e-05,0.7153265872970324,0.009535287341627178,9.09217046873955e-05,0.3170647026733395,0.005250959049781139,2.757257094247844e-05,0.01410267527941728,0.0009779266248132825,9.563404835186989e-07,0.7568110847157763,0.003674597950408568,1.3502670097146849e-05,0.051394250666346245,0.00025664841257840503,6.586840767901521e-08,0.28467341270296764,0.009535287341627155,9.092170468739507e-05,0.24872689141418142,0.003950070318774396,1.5603055523262453e-05,0.626943798477378,0.003373635840674548,1.1381418785483866e-05,0.00012779891286232074,3.0024279269958153e-06,9.01457345680439e-12,0.016454744338989257,0.0011960329674712323,1.430494859278042e-06,71.11597957611085,1.6707385461924331,2.7913672897332047
