rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.21228182484818303,0.0020819578795392706,4.334548612175656e-06,0.8328697123505675,0.0068458876648782975,4.6866177920132825e-05,0.21228182484818303,0.0020819578795392706,4.334548612175656e-06,0.22989923119963626,0.0029360617529104755,8.620458616903735e-06,0.39932805656202086,0.01445358283271173,0.00020890605670205925,0.7005204713241724,0.011055472056128885,0.00012222346238384662,0.3315794541770865,0.008439080671653604,7.121808258267744e-05,0.012453431419178648,0.0009326139506949394,8.697687810308229e-07,0.7877181751518169,0.0020819578795392662,4.3345486121756385e-06,0.0533447737713997,0.00016916938129295426,2.861827956704094e-08,0.2994795286758275,0.011055472056128935,0.00012222346238384773,0.23159061308622456,0.0028105893552992397,7.899412524121396e-06,0.6035727821698111,0.001187398965483273,1.409916303230747e-06,3.228523370407276e-05,2.2585527186735476e-07,5.1010603830276734e-14,0.015441226959228515,0.0005280597578806241,2.788471078929434e-07,17.965692949295043,0.12567719850293657,0.015794758223546524
2,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.2121161366942826,0.0013322667377277356,1.7749346604557032e-06,0.8388525374155493,0.007863063537699845,6.182776819790479e-05,0.2121161366942826,0.0013322667377277356,1.7749346604557032e-06,0.23084714586575986,0.0020582317332240386,4.236317867650429e-06,0.40360578278358467,0.010164019156982715,0.00010330728542351161,0.6998659265399132,0.007879707607637738,6.208979198186405e-05,0.33122951132722356,0.007116891937064568,5.065015084385465e-05,0.01210913858605599,0.0006078745390710441,3.695114552508343e-07,0.7878838633057175,0.0013322667377277174,1.7749346604556545e-06,0.05333286679278489,0.00010884264642721007,1.1846721681278665e-08,0.3001340734600868,0.00787970760763772,6.208979198186374e-05,0.2316613097836532,0.0015725434113989677,2.4728927807343027e-06,0.6023332751548034,0.0009936287502128845,9.872980932496187e-07,3.220571154418594e-05,6.420108762183211e-07,4.121779651826164e-13,0.015420961380004882,0.0006598871414819909,4.354510394932731e-07,17.92144122123718,0.3572436255635063,0.1276230080057587
3,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.2120992445711749,0.0022335973727930867,4.988957223748179e-06,0.831153436871579,0.006912082844156847,4.777688924448741e-05,0.2120992445711749,0.0022335973727930867,4.988957223748179e-06,0.2293450076267657,0.002865649048506242,8.21194446920473e-06,0.3962487197366312,0.013493375103968844,0.0001820711716964062,0.7005999040319055,0.011822798272985149,0.00013977855900370063,0.33117996188487675,0.007966878538987098,6.34711536549732e-05,0.01246915922917247,0.0008746035682991456,7.649314016815983e-07,0.7879007554288251,0.0022335973727930633,4.988957223748075e-06,0.05335799431053316,0.00016394548779843218,2.687812296946588e-08,0.29940009596809436,0.011822798272985146,0.00013977855900370052,0.23173710707330164,0.0027040455369992744,7.311862266165694e-06,0.6047403524751415,0.001501631121972224,2.2548960264755603e-06,3.2528330571631454e-05,5.9137084798636213e-08,3.49719479848109e-15,0.015524578094482423,0.0006487493827509622,4.208757616197545e-07,18.10096855163574,0.03290842597631887,0.0010829645002388589
4,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.20854144635730662,0.002166715765156446,4.694657206977484e-06,0.8280393834632933,0.004910245704771549,2.4110512881227442e-05,0.20854144635730662,0.002166715765156446,4.694657206977484e-06,0.2224538405111982,0.0028630637135168674,8.197133827656996e-06,0.3923202054257561,0.01402898532054256,0.00019681242912399866,0.7005023196564105,0.01113154441381135,0.00012391128103665468,0.33079825876675295,0.008039854224720953,6.463925595476335e-05,0.012532555024043244,0.0006521517793259185,4.253019432779615e-07,0.7914585536426934,0.0021667157651564686,4.694657206977582e-06,0.0535994072444491,0.00016217342905515736,2.630022109150816e-08,0.2994976803435895,0.011131544413811359,0.00012391128103665484,0.23021036885210672,0.002899984643381476,8.409910931848387e-06,0.6076974149210418,0.002041945972755582,4.169543355652741e-06,3.3381446144623765e-05,7.976975510675134e-07,6.363213829791082e-13,0.015544414520263672,0.0005280313009447372,2.788170547773916e-07,18.575699949264525,0.4438958778522354,0.19704355037420668
5,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.20937959022520766,0.0024622859107160094,6.062851906110568e-06,0.8289066091569453,0.004620668583327776,2.1350578156952324e-05,0.20937959022520766,0.0024622859107160094,6.062851906110568e-06,0.22445083685099237,0.003083205902112041,9.506158634818526e-06,0.39371202997455257,0.013757399667004632,0.00018926604559769917,0.7002656777595132,0.011909199964666892,0.0001418290437984219,0.3304322202356157,0.007857067600264687,6.17335112751291e-05,0.012570822619112191,0.0006555988531537398,4.2980985625649885e-07,0.7906204097747924,0.0024622859107160267,6.062851906110653e-06,0.05354608215959363,0.00017614531410596284,3.102717168148831e-08,0.2997343222404868,0.011909199964666906,0.00014182904379842225,0.23019092833325194,0.002891333949278104,8.359812006248117e-06,0.6061772059412271,0.001720765133462985,2.9610326445418846e-06,3.284323885991037e-05,6.946011000880925e-07,4.824706882435884e-13,0.015318536758422851,0.0005072202887526691,2.57272421322341e-07,18.276204919815065,0.38652601799163594,0.14940236258447046
6,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,6,"{""metric"": ""euclidean"", ""n_neighbors"": 15}",euclidean,15,0.209271767048102,0.0023959437665332555,5.7405465323895625e-06,0.82809495984223,0.004786255374694782,2.2908240511794682e-05,0.209271767048102,0.0023959437665332555,5.7405465323895625e-06,0.22273229134213895,0.0032479972136813823,1.0549485900082023e-05,0.3881202728133795,0.014529905092351593,0.00021111814199274476,0.7033529026943537,0.01112397139788484,0.00012374273966095999,0.33016183330483273,0.010878691936454327,0.00011834593824827639,0.012470884980530672,0.0007305191919193867,5.336582897625538e-07,0.7907282329518981,0.00239594376653325,5.740546532389536e-06,0.05354660786216191,0.0001837406980811373,3.3760644131343655e-08,0.2966470973056463,0.011123971397884836,0.00012374273966095993,0.23173625523320118,0.00329936318640493,1.0885797435804094e-05,0.6109373504093106,0.0025412635459597746,6.458020410024047e-06,3.363798545453959e-05,2.941444538653141e-07,8.65209597397239e-14,0.015769338607788085,0.0005144201331691512,2.6462807340976723e-07,18.718455743789672,0.16367932050154585,0.02679091995984777
7,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.2421599246624802,0.003207485463428089,1.0287962998102501e-05,0.8167414794271902,0.011970447484643192,0.00014329161298260053,0.2421599246624802,0.003207485463428089,1.0287962998102501e-05,0.2783187146833296,0.0053391411872750595,2.8506428617656935e-05,0.35663725113356143,0.011295696282298616,0.00012759275450193477,0.7051403401730052,0.011792700251841308,0.00013906777922977805,0.31490595496841434,0.007027619810337288,4.93874401986451e-05,0.013564221876475385,0.0014516903738942012,2.1074049416570858e-06,0.7578400753375198,0.0032074854634280914,1.0287962998102518e-05,0.05142695314759969,0.00026041520573226397,6.781607937657737e-08,0.29485965982699486,0.011792700251841317,0.00013906777922977827,0.2466451240550851,0.0035194537127186793,1.2386554435969295e-05,0.6223044974991785,0.00387235367374431,1.4995122974561054e-05,0.00012606570404598868,1.299975059984192e-06,1.689935156580904e-12,0.015229177474975587,0.0005894154148613542,3.474105312761822e-07,70.15150465965272,0.723354460824989,0.5232416759954106
8,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.24143391678158094,0.0030892226657339324,9.543296678484263e-06,0.8192736799665672,0.010828701712764406,0.0001172607807840268,0.24143391678158094,0.0030892226657339324,9.543296678484263e-06,0.2781593670590678,0.0051989941827466765,2.702954051223378e-05,0.3592858234518722,0.01082637549471988,0.00011721040635267113,0.7045213915657177,0.010927410194381537,0.00011940829355627356,0.3144590678683307,0.007265647685763939,5.278963629364688e-05,0.013431433164215046,0.00120582624120777,1.4540169239852592e-06,0.7585660832184191,0.0030892226657339675,9.54329667848448e-06,0.05146650109217561,0.0002520580278192539,6.353324938813177e-08,0.2954786084342823,0.010927410194381523,0.00011940829355627322,0.24573639222007845,0.0033783821963718676,1.1413466264762405e-05,0.6194990382855515,0.0031389406942712887,9.85294868215232e-06,0.00012672168279962893,2.965246122898576e-06,8.792684569365036e-12,0.01562657356262207,0.00048095234516181253,2.3131515831664727e-07,70.51653504371643,1.6500092776118922,2.7225306162053187
9,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.2409681213537224,0.002711271628003122,7.350993840814699e-06,0.8212164517636673,0.010260374746766044,0.00010527528994407435,0.2409681213537224,0.002711271628003122,7.350993840814699e-06,0.2786676227672927,0.005398753841272085,2.9146543038650094e-05,0.36046655397926436,0.00834186894818654,6.958677754871882e-05,0.7013543594954553,0.008532208087177943,7.27985748429047e-05,0.31345888934929306,0.0064233932259699185,4.125998053543623e-05,0.01332733107006547,0.0010334177448186295,1.067952235306022e-06,0.7590318786462775,0.0027112716280031156,7.3509938408146645e-06,0.05149061398108954,0.00024307244506517722,5.9084213549963603e-08,0.2986456405045447,0.008532208087177957,7.279857484290493e-05,0.24485578909412978,0.0030737681017744206,9.448050343485924e-06,0.6167663228336432,0.0024686274463008545,6.094121468629879e-06,0.00012480074456090696,1.190390579417432e-06,1.4170297315657692e-12,0.015621471405029296,0.0005529468996297838,3.057502738101902e-07,69.44759573936463,0.6624110133336716,0.43878835058574167
10,StandardScaler + PCA + NearMiss_SMOTE + knn,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.24114710821313903,0.0037869070129583483,1.4340664724793121e-05,0.8136787137838903,0.008435112412902786,7.115112141830667e-05,0.24114710821313903,0.0037869070129583483,1.4340664724793121e-05,0.27537697168793784,0.00510186888086423,2.6029066077530835e-05,0.3505824887115042,0.008514139069541536,7.249056409549363e-05,0.7060886782280079,0.012363694193961666,0.0001528609341218014,0.3131282423309421,0.005480866164404476,3.0039893912113837e-05,0.013800881899340095,0.001097638314744445,1.2048098699950253e-06,0.758852891786861,0.003786907012958329,1.4340664724792972e-05,0.05151025157908007,0.0002743198400232683,7.525137463039151e-08,0.293911321771992,0.012363694193961683,0.00015286093412180185,0.24667101845964123,0.0040044178584454325,1.6035362385036704e-05,0.6250630187483627,0.0036857244227518015,1.3584564520469102e-05,0.00012766641177155337,2.9914459536557666e-06,8.948748893643458e-12,0.01580338478088379,0.00014505643814104386,2.104137024616648e-08,71.04224758148193,1.6646591941782651,2.771090232762231
