rank,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,param_metric,param_n_neighbors,B_accuracy_mean,B_accuracy_std,B_accuracy_var,B_precision_weighted_mean,B_precision_weighted_std,B_precision_weighted_var,B_recall_weighted_mean,B_recall_weighted_std,B_recall_weighted_var,B_f1_weighted_mean,B_f1_weighted_std,B_f1_weighted_var,B_precision_macro_mean,B_precision_macro_std,B_precision_macro_var,B_recall_macro_mean,B_recall_macro_std,B_recall_macro_var,B_f1_macro_mean,B_f1_macro_std,B_f1_macro_var,B_fpr_weighted_mean,B_fpr_weighted_std,B_fpr_weighted_var,B_fnr_weighted_mean,B_fnr_weighted_std,B_fnr_weighted_var,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_macro_var,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_macro_var,B_mcc_mean,B_mcc_std,B_mcc_var,B_roc_auc_mean,B_roc_auc_std,B_roc_auc_var,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_detection_latency_seconds_var,B_fit_time_mean,B_fit_time_std,B_fit_time_var,B_score_time_mean,B_score_time_std,B_score_time_var
1,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,3,"{""metric"": ""euclidean"", ""n_neighbors"": 7}",euclidean,7,0.9786025355190897,9.3361175670207e-05,8.71630912252325e-09,0.9796407849689546,8.321549993025265e-05,6.9248194286418784e-09,0.9786025355190897,9.3361175670207e-05,8.71630912252325e-09,0.979042436756185,8.826479306394606e-05,7.790673694621222e-09,0.9253073245241245,0.031004996927175597,0.0009613098344541682,0.9127075903147419,0.016961711375315304,0.0002876996527795005,0.9140495882758145,0.016738911091976342,0.00028019114454508863,0.013766897533210828,0.00010044174709018237,1.0088544558528159e-08,0.021397464480910365,9.336117567021429e-05,8.716309122524612e-09,0.0023442908009414128,9.442105105093676e-06,8.915334881563606e-11,0.087292409685258,0.01696171137531537,0.0002876996527795028,0.9639105538038468,0.00015340546369408564,2.353323629119743e-08,0.9973386870933044,2.3682693623799684e-05,5.608699772787622e-10,0.0004667609494697424,1.63057007690512e-05,2.658758775698369e-10,0.1789374828338623,0.0175718760069813,0.00030877082640472513,259.73743324279786,9.073394916448443,82.32649530983245
2,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,10,"{""metric"": ""manhattan"", ""n_neighbors"": 9}",manhattan,9,0.9785942690745492,2.267170109496551e-05,5.140060305394604e-10,0.9797914264071391,4.794207018949834e-05,2.2984420940547858e-09,0.9785942690745492,2.267170109496551e-05,5.140060305394604e-10,0.9790912161389544,2.8211409315385725e-05,7.958836155602325e-10,0.92637242981901,0.024591182439067317,0.0006047262537514928,0.913358767874833,0.01106666919179461,0.00012247116700061595,0.9139133540185469,0.008646785655385864,7.476690217018675e-05,0.013316760767318922,0.00013132562460517415,1.724641967793912e-08,0.021405730925450832,2.2671701094957094e-05,5.140060305390787e-10,0.0023148327795179833,9.329354281288564e-06,8.703685130579725e-11,0.08664123212516708,0.011066669191794602,0.0001224711670006158,0.9639284001495312,4.0440810770305764e-05,1.6354591757596785e-09,0.9972435540526435,3.103037440864604e-05,9.628841359407552e-10,0.001876205547338396,3.883123676902762e-06,1.5078649490122827e-11,0.17753539085388184,0.018297768938237296,0.0003348083481171216,1044.0479724884033,2.160357990360482,4.66714664651438
3,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",euclidean,3,0.9781069093201282,0.00010900514297535138,1.1882121195076797e-08,0.9786517162403751,0.00012616775846249813,1.5918303275451268e-08,0.9781069093201282,0.00010900514297535138,1.1882121195076797e-08,0.9783541383019424,0.00011411989085567751,1.3023349488911749e-08,0.9243959678635691,0.023033411216521818,0.0005305380322693931,0.910527120794978,0.012111968733934763,0.00014669978661181326,0.91381531325003,0.012093976565148247,0.00014626426915835498,0.015652261265980016,0.000174875123636937,3.0581308867033996e-08,0.021893090679871757,0.00010900514297535947,1.1882121195078562e-08,0.002503023463056785,1.689730932445045e-05,2.855190624061601e-10,0.08947287920502196,0.012111968733934794,0.00014669978661181401,0.9629781791670526,0.00018546074918550585,3.43956894884491e-08,0.9937593209450691,9.075292909548081e-05,8.236094139409366e-09,0.00048122771125919865,1.8113697643214043e-05,3.2810604230977795e-10,0.17693285942077636,0.018413515032081006,0.0003390575358366732,267.78773097991944,10.079856352470289,101.60350408643565
4,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,7,"{""metric"": ""manhattan"", ""n_neighbors"": 3}",manhattan,3,0.9780210103656364,8.321997102170554e-05,6.9255635768535105e-09,0.978568812916899,0.00010400788562057055,1.0817640271261688e-08,0.9780210103656364,8.321997102170554e-05,6.9255635768535105e-09,0.9782695457487153,8.879042130025505e-05,7.883738914676786e-09,0.9232859230559474,0.022155108362131148,0.0004908488265377734,0.910467020632186,0.009127217666665351,8.330610233468809e-05,0.9131296566661705,0.01037015123228218,0.00010754003658040363,0.015709066780620725,0.00017792227334376885,3.16563353518148e-08,0.021978989634363587,8.321997102167477e-05,6.9255635768483886e-09,0.0025125370943322872,1.5393924310596794e-05,2.3697290568038296e-10,0.0895329793678142,0.009127217666665324,8.33061023346876e-05,0.9628336084465383,0.00014221564785588285,2.022529049506848e-08,0.9933686113532134,6.287844611988214e-05,3.953698986450922e-09,0.001857777120423189,2.625110371441355e-06,6.89120446224897e-12,0.17754106521606444,0.017788693203443073,0.0003164376058862217,1033.793147611618,1.4612489024590227,2.1352483549376986
5,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",euclidean,5,0.9784199552808343,3.676551824963218e-05,1.3517033321640366e-09,0.9792528086966037,6.817127505236957e-05,4.647322742265826e-09,0.9784199552808343,3.676551824963218e-05,1.3517033321640366e-09,0.9787829033905118,4.513134200385959e-05,2.036838031069341e-09,0.9243489521403048,0.030175421034871492,0.000910556034631765,0.9118344838372909,0.014600209443116085,0.0002131661157828561,0.9131087147776155,0.014444911393408349,0.00020865546516341834,0.014526138821682189,0.00016079361482022932,2.585458656695627e-08,0.021580044719165806,3.676551824964994e-05,1.3517033321653425e-09,0.0024070789027231996,1.181154249215084e-05,1.3951253604388489e-10,0.08816551616270901,0.014600209443116125,0.00021316611578285727,0.9635615990251865,6.500986389156999e-05,4.226282403200456e-09,0.9964691550762572,4.366865275022409e-05,1.9069512330196537e-09,0.00046145053257613003,1.1436759043820958e-05,1.3079945742642047e-10,0.17813286781311036,0.017672075524320655,0.0003123022533372932,256.78236417770387,6.36426516162776,40.50387104750881
6,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,8,"{""metric"": ""manhattan"", ""n_neighbors"": 5}",manhattan,5,0.9783531050491302,7.598787410998115e-05,5.774157011754344e-09,0.9791883753499488,0.00010307755714536396,1.0624982787055772e-08,0.9783531050491302,7.598787410998115e-05,5.774157011754344e-09,0.9787169013228256,8.338760331697718e-05,6.953492386949543e-09,0.9261028733508283,0.02740840521453086,0.0007512206764039224,0.9117985073506164,0.011629957234856252,0.00013525590528458528,0.9130878523653209,0.010967820624665378,0.00012029308925483526,0.01457232780827622,0.0001782210387846848,3.176273866549213e-08,0.021646894950869737,7.598787410994206e-05,5.774157011748403e-09,0.0024146148506097305,1.529958029445625e-05,2.34077157186514e-10,0.08820149264938362,0.011629957234856289,0.00013525590528458612,0.9634491907201095,0.00013133511539204908,1.724891253504285e-08,0.9960733159034956,4.0735138837237926e-05,1.6593515360890494e-09,0.0018594191692275573,3.556551361597405e-06,1.2649057587680357e-11,0.17853889465332032,0.018028831818885885,0.00032503877675367217,1034.7068933963776,1.9784639665216748,3.914319666824679
7,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,9,"{""metric"": ""manhattan"", ""n_neighbors"": 7}",manhattan,7,0.9785130424552712,5.447782006262343e-05,2.9678328787755763e-09,0.9795502359053307,7.634419857111921e-05,5.828436655466481e-09,0.9785130424552712,5.447782006262343e-05,2.9678328787755763e-09,0.978952607947566,6.218519637421917e-05,3.8669986481002014e-09,0.9266902077428852,0.0273361392284373,0.0007472645079165085,0.9111669117572173,0.012123692030011606,0.00014698390843856694,0.9130372069764494,0.011307020863481764,0.0001278487208072119,0.0138458831945916,0.00014354757256680929,2.060590558982338e-08,0.021486957544728867,5.4477820062621746e-05,2.9678328787753927e-09,0.002355522715954698,1.2257733298584672e-05,1.5025202561923146e-10,0.08883308824278287,0.012123692030011604,0.00014698390843856688,0.9637590255493974,9.544552981805147e-05,9.109849162248552e-09,0.9969176692650606,3.892857679720822e-05,1.5154340914561384e-09,0.0018667160831627324,3.5457247348402185e-06,1.2572163895257737e-11,0.17727298736572267,0.017647876560715783,0.0003114475471022615,1038.7673915863038,1.9727953267671832,3.8919214013144368
8,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,4,"{""metric"": ""euclidean"", ""n_neighbors"": 9}",euclidean,9,0.9786909503195602,8.83313697549516e-05,7.802430882785977e-09,0.9798905121399981,0.00011205779028497186,1.2556948363550736e-08,0.9786909503195602,8.83313697549516e-05,7.802430882785977e-09,0.97918822209977,9.472425679927372e-05,8.972684826174753e-09,0.9233968950282652,0.02574003280012004,0.0006625492885512555,0.9140867097328332,0.013978852672105442,0.00019540832202842947,0.9130303031045827,0.01003573429165305,0.00010071596277266094,0.013224735708688835,0.00017335605787411452,3.005232280165334e-08,0.021309049680439885,8.83313697549643e-05,7.80243088278822e-09,0.0023022523592752483,1.559446011758057e-05,2.43187186358811e-10,0.08591329026716686,0.01397885267210549,0.00019540832202843077,0.964092514127753,0.0001512432825378829,2.287453051283387e-08,0.9976779920181507,2.6042682470325572e-05,6.782213102502029e-10,0.00048473273371720145,1.772749193666363e-05,3.14263970364474e-10,0.1769458293914795,0.01879849948817502,0.00035338358300691653,269.7381637096405,9.864968064439047,97.31759491240228
9,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,11,"{""metric"": ""manhattan"", ""n_neighbors"": 11}",manhattan,11,0.9786471023335516,8.023266487738225e-05,6.437280513326328e-09,0.9799917305551602,7.627542395750644e-05,5.817940299897347e-09,0.9786471023335516,8.023266487738225e-05,6.437280513326328e-09,0.9791943212720753,7.745735455336742e-05,5.999641774406068e-09,0.9285094005690379,0.021882432364810658,0.00047884084620051294,0.9119157700915471,0.011621330387600026,0.00013505531997775577,0.9123714358009908,0.007489198759004513,5.608809805187473e-05,0.012852760176691605,0.00010989680110301396,1.207730689267541e-08,0.021352897666448482,8.023266487735002e-05,6.437280513321155e-09,0.0022803771895426725,1.0708567527356625e-05,1.1467341848795679e-10,0.08808422990845294,0.0116213303876,0.00013505531997775518,0.9640479987225637,0.00013408593542469914,1.797903807871659e-08,0.9974032634159185,2.7390106319251255e-05,7.502179241798875e-10,0.0018868861856026718,4.457469582301222e-06,1.986903507714063e-11,0.17844042778015137,0.01659936624524943,0.00027553895974392613,1049.9914037227632,2.4799991677721045,6.15039587215033
10,StandardScaler + PCA + NONE + knn,StandardScaler,True,44,NONE,NONE,knn,KNeighborsClassifier,10000,5,"{""metric"": ""euclidean"", ""n_neighbors"": 11}",euclidean,11,0.9787071237731004,7.349014996426539e-05,5.400802141770217e-09,0.9800395558010203,5.711141371131152e-05,3.261713576104582e-09,0.9787071237731004,7.349014996426539e-05,5.400802141770217e-09,0.9792499712219211,6.556750040161084e-05,4.299097108915239e-09,0.9244162273879934,0.022720705254664495,0.0005162304472693389,0.9127324744031796,0.014032124634160256,0.00019690052174860706,0.9117880473867206,0.01046860990498009,0.00010959179334264723,0.012826149774601841,8.10304655833542e-05,6.5659363526551475e-09,0.021292876226899578,7.349014996428489e-05,5.400802141773082e-09,0.0022746017334334275,5.92710476270858e-06,3.5130570868122736e-11,0.08726752559682047,0.014032124634160243,0.00019690052174860676,0.9641476466237255,0.00011771737239773487,1.3857379764226991e-08,0.9978367133376539,2.4986145647128118e-05,6.243074742994994e-10,0.00046261503604496995,7.029139402182096e-06,4.940880073530887e-11,0.1766073226928711,0.017459184622285077,0.0003048231276750357,257.4303717136383,3.9115205510449846,15.299993021247259
