dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_metric,param_n_neighbors,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",1,2225871,148745,556468,euclidean,3,0.9604846999288369,0.9742659065412658,0.9604846999288369,0.9649766709263964,0.6763168731205186,0.949351729601534,0.7271739147023176,0.9369621873309568,0.9847606768802618,3.096066758123267e-05,0.0029723546153241982,0.05064827039846602,0.005070019158699857,0.03951530007116312,17.228620767593384,0.01796865463256836
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",2,2225871,148712,556468,euclidean,3,0.9605188438508594,0.9742670118594451,0.9605188438508594,0.9649865546453379,0.665393610101029,0.9544778315127576,0.7181394245039119,0.9370276230040867,0.984941292409672,3.112355518121013e-05,0.002968613573304373,0.045522168487242484,0.005048047450424951,0.039481156149140655,17.319262504577637,0.01465463638305664
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",3,2225871,148695,556468,euclidean,3,0.9606626077330592,0.9738807223101333,0.9606626077330592,0.9649604606195602,0.66474346371178,0.9383601595824407,0.7203441000552638,0.937151947514083,0.9854002145387163,3.12371569203478e-05,0.0029807787956405538,0.06163984041755936,0.005374289667667522,0.039337392266940774,17.3824782371521,0.019120216369628906
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",4,2225871,148680,556468,euclidean,3,0.9602079544556021,0.974155150971245,0.9602079544556021,0.9647656388306572,0.6742286964913315,0.9558872872988051,0.7249347456167431,0.9365572516179081,0.9847404612775922,3.140762850946511e-05,0.0029955948967188306,0.04411271270119501,0.005141877906384589,0.03979204554439788,17.47734022140503,0.014594554901123047
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,1,"{""metric"": ""euclidean"", ""n_neighbors"": 3}",5,2225872,148765,556467,euclidean,3,0.9613741695374568,0.9747100321172555,0.9613741695374568,0.9657024981051956,0.6667328442952211,0.9497452692598204,0.7170931426848063,0.938371836335069,0.9854253646820891,3.165674452697555e-05,0.0028857858963868594,0.05025473074017959,0.004660957983259742,0.03862583046254315,17.615933656692505,0.018274307250976562
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",1,2225871,148745,556468,euclidean,5,0.9575249610040469,0.9736649328896736,0.9575249610040469,0.962766222858976,0.6666577053578355,0.9507655652299148,0.716831607332294,0.9328075085478427,0.9863882798526339,3.146465088755805e-05,0.003106185810328899,0.049234434770085087,0.004117748158980446,0.04247503899595305,17.509071350097656,0.018257856369018555
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",2,2225871,148712,556468,euclidean,5,0.9577531861670393,0.9738875824090043,0.9577531861670393,0.9630062805678182,0.6572023741556889,0.9551141269468926,0.70979525397928,0.9331563870529901,0.9864502501167906,3.14667031618917e-05,0.003087494261236276,0.044885873053107414,0.004065600085583391,0.04224681383296074,17.510213375091553,0.015067577362060547
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",3,2225871,148695,556468,euclidean,5,0.9578214740110842,0.9734597874421996,0.9578214740110842,0.9629043718139116,0.6553125038069246,0.9391635822753549,0.7100567914176212,0.9331846152684565,0.9868315911876282,3.1384468657877354e-05,0.0030980019935936466,0.06083641772464525,0.004291503914988889,0.042178525988915805,17.464452505111694,0.016984224319458008
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",4,2225871,148680,556468,euclidean,5,0.957485425936442,0.9736827843072441,0.957485425936442,0.9627360901972764,0.6639755552963734,0.9567353681790252,0.7152183550069755,0.9327844535028016,0.9863601230300947,3.1464877109029486e-05,0.0031033827731192223,0.04326463182097488,0.004036167533230318,0.04251457406355801,17.509197235107422,0.016054630279541016
CIC18,B__StandardScaler_pca_RUS_SMOTE_ENN_knn,StandardScaler + PCA + RUS_SMOTE_ENN + knn,StandardScaler,True,44,RUS_SMOTE_ENN,RUS_SMOTE_ENN,knn,KNeighborsClassifier,10000,2,"{""metric"": ""euclidean"", ""n_neighbors"": 5}",5,2225872,148765,556467,euclidean,5,0.9584395840184593,0.9740789880381293,0.9584395840184593,0.9635260500798645,0.6592307455178505,0.9546873575618273,0.7099584267768917,0.9342158210027606,0.9868843932127368,3.16465821089387e-05,0.0030240942580990345,0.04531264243817269,0.0038009978899448435,0.041560415981540685,17.610278606414795,0.017759084701538086
