dataset,experiment,descripcion_experimento,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,model,model_display_name,n,param_id,params,fold,train_original_rows_A,train_balanceado_rows_A,val_rows_B,param_C,B_accuracy,B_precision_weighted,B_recall_weighted,B_f1_weighted,B_precision_macro,B_recall_macro,B_f1_macro,B_mcc,B_roc_auc,B_detection_latency_seconds,B_fpr_macro,B_fnr_macro,B_fpr_weighted,B_fnr_weighted,B_score_time,B_fit_time
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",1,2225871,150000,556468,0.01,0.2686030463566638,0.8533552315187111,0.2686030463566638,0.29647228611575255,0.3765778520641229,0.7285095794834204,0.3312349389475407,0.3029674006056351,0.7087021210535669,8.434119146707588e-08,0.04940839482890554,0.2714904205165797,0.00972896879024681,0.7313969536433362,0.04693317413330078,10.484371185302734
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",2,2225871,150000,556468,0.01,0.27249185937017045,0.8492913116598848,0.27249185937017045,0.3020982724381292,0.37342774848620214,0.7271651989326015,0.3301300493677195,0.3044666392250698,0.7103664523427248,7.620107454328047e-08,0.04919335740849697,0.27283480106739855,0.010392220497625018,0.7275081406298296,0.042403459548950195,10.95125412940979
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",3,2225871,150000,556468,0.01,0.26366835110015313,0.8427979260235271,0.26366835110015313,0.28550846288246795,0.36153703060654535,0.712068394845168,0.32003485841667245,0.2992562453926399,0.7008304577834491,8.401171360432528e-08,0.04978040228523024,0.287931605154832,0.010374385378606679,0.7363316488998469,0.04674983024597168,10.207210779190063
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",4,2225871,150000,556468,0.01,0.27258171179654533,0.8624481569471069,0.27258171179654533,0.3026105723646528,0.3728069066084393,0.7405992942841623,0.329288233554255,0.3050884746994515,0.7153673351699893,7.8949151281489e-08,0.04906439193779615,0.25940070571583784,0.008547590863487636,0.7274182882034547,0.04393267631530762,10.010912895202637
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,1,"{""C"": 0.01}",5,2225872,150000,556467,0.01,0.27253727534606725,0.8554531494389511,0.27253727534606725,0.2997887157796131,0.36763575002024124,0.7532434604920566,0.32641253763906974,0.3050029411800719,0.7143751139864696,6.857950506555196e-08,0.04913553262727011,0.24675653950794335,0.00957026475511873,0.7274627246539328,0.0381622314453125,9.69724178314209
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",1,2225871,150000,556468,0.1,0.2785137689858177,0.8823200638467238,0.2785137689858177,0.30991634040153987,0.36707829443074314,0.7386956667275258,0.32364527381850594,0.30848041480952293,0.7199524143260313,6.695555724770801e-08,0.04855327586749298,0.2613043332724742,0.006812906998212453,0.7214862310141823,0.03725862503051758,16.109026193618774
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",2,2225871,150000,556468,0.1,0.27775900860426833,0.8826416553189631,0.27775900860426833,0.3079574536006587,0.3643636875863597,0.7409823153698414,0.32131555965369923,0.307762031913589,0.7184075192012009,6.697655128577664e-08,0.048607785791144546,0.2590176846301586,0.006875795471436403,0.7222409913957316,0.037270307540893555,16.600749015808105
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",3,2225871,150000,556468,0.1,0.2749304542219858,0.8803921748210224,0.2749304542219858,0.302366961430966,0.36039084003494,0.7420455355780544,0.31809967333117084,0.3055108315729866,0.7162192042718918,6.685615690419937e-08,0.04881142664883751,0.2579544644219455,0.007101853954548381,0.7250695457780142,0.037203311920166016,15.989529371261597
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",4,2225871,150000,556468,0.1,0.28391030571389547,0.8847480100051386,0.28391030571389547,0.3191745784402665,0.36760623133033665,0.7491383974504959,0.3252049164236883,0.312169486640291,0.7276470644757042,6.751768332823958e-08,0.048179851839502144,0.25086160254950407,0.006608083306427667,0.7160896942861045,0.03757143020629883,14.574448585510254
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,2,"{""C"": 0.1}",5,2225872,150000,556467,0.1,0.278954547169913,0.8805022083122732,0.278954547169913,0.3090735135739155,0.3650545418445288,0.7574888833854051,0.3228494457409813,0.30858172170744447,0.7221249022915466,7.560566524879107e-08,0.048540402730395525,0.24251111661459474,0.0070605881258458975,0.7210454528300869,0.04207205772399902,16.467243909835815
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",1,2225871,150000,556468,1.0,0.316663312176082,0.8880295203362133,0.316663312176082,0.3607103586271412,0.4051702025298794,0.7830352776280253,0.3687253084233169,0.33644583394309296,0.7417565400769084,6.621005467139325e-08,0.04605192237928549,0.2169647223719748,0.007442147865364354,0.683336687823918,0.03684377670288086,18.100685834884644
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",2,2225871,150000,556468,1.0,0.3236574250451059,0.8821491575445327,0.3236574250451059,0.374338058208551,0.37422782919496816,0.7724260807961536,0.3396728835432063,0.33092851640897347,0.7553207611847955,6.54165657223502e-08,0.045638606346744034,0.22757391920384637,0.008236520246266617,0.676342574954894,0.036402225494384766,17.471142053604126
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",3,2225871,150000,556468,1.0,0.31992315820496414,0.8814215976399565,0.31992315820496414,0.3701570164311781,0.3846493893486217,0.7531430063599243,0.35416344103438846,0.32860677578156716,0.7521003902121025,6.587243626326909e-08,0.04586775236058777,0.24685699364007577,0.007939443613780708,0.6800768417950358,0.03665590286254883,19.095890522003174
CIC18,B__StandardScaler_pca_NM_SMOTE_logreg,StandardScaler + PCA + NearMiss_SMOTE + logreg,StandardScaler,True,44,NearMiss_SMOTE,NM_SMOTE,logreg,LogisticRegression,10000,3,"{""C"": 1}",4,2225871,150000,556468,1.0,0.31361012672786215,0.8818797051669471,0.31361012672786215,0.359575278158816,0.3797848764767266,0.7804496901108567,0.3466667145122017,0.3265909465173366,0.7463503710987737,6.795984347695042e-08,0.04629229800819864,0.2195503098891432,0.007994596850841607,0.6863898732721379,0.03781747817993164,18.116902828216553
